Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-11-25 00:00:00-05:00,25.23,25.3,25.22,25.26,6946,0.0,0.0,0.0
2025-11-24 00:00:00-05:00,25.19,25.21,25.17,25.21,31018,0.0,0.0,0.0
2025-11-21 00:00:00-05:00,25.24,25.28,25.23,25.23,9021,0.0,0.0,0.0
2025-11-20 00:00:00-05:00,25.2,25.37,25.18,25.19,22700,0.0,0.0,0.0
2025-11-19 00:00:00-05:00,25.2,25.2,25.17,25.17,7700,0.0,0.0,0.0
2025-11-18 00:00:00-05:00,25.19,25.22,25.17,25.18,9000,0.0,0.0,0.0
2025-11-17 00:00:00-05:00,25.2,25.21,25.16,25.18,13000,0.0,0.0,0.0
2025-11-14 00:00:00-05:00,25.21,25.3,25.16,25.23,51900,0.0,0.0,0.0
2025-11-13 00:00:00-05:00,25.23,25.25,25.22,25.22,12900,0.0,0.0,0.0
2025-11-12 00:00:00-05:00,25.3,25.3,25.25,25.27,8300,0.0,0.0,0.0
2025-11-11 00:00:00-05:00,25.26,25.43,25.25,25.3,20900,0.0,0.0,0.0
2025-11-10 00:00:00-05:00,25.23,25.26,25.2,25.23,17300,0.0,0.0,0.0
2025-11-07 00:00:00-05:00,25.24,25.25,25.19,25.22,39300,0.0,0.0,0.0
2025-11-06 00:00:00-05:00,25.19,25.25,25.17,25.22,32000,0.0,0.0,0.0
2025-11-05 00:00:00-05:00,25.16,25.19,25.12,25.13,11100,0.0,0.0,0.0
2025-11-04 00:00:00-05:00,25.22,25.26,25.19,25.23,394200,0.0,0.0,0.0
2025-11-03 00:00:00-05:00,25.14,25.22,25.14,25.17,20600,0.0,0.0,0.0
2025-10-31 00:00:00-04:00,25.23,25.29,25.23,25.25,12600,0.0,0.0,0.0
2025-10-30 00:00:00-04:00,25.21,25.27,25.2,25.24,13300,0.0,0.0,0.0
2025-10-29 00:00:00-04:00,25.37,25.46,25.26,25.28,95700,0.0,0.0,0.0
2025-10-28 00:00:00-04:00,25.39,25.5,25.39,25.45,117200,0.0,0.0,0.0
