Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-11-21 00:00:00-05:00,42.07,42.1,42.01,42.1,189895,0.0,0.0,0.0
2025-11-20 00:00:00-05:00,41.97,42.01,41.96,41.99,292500,0.0,0.0,0.0
2025-11-19 00:00:00-05:00,42.01,42.01,41.9,41.92,184600,0.0,0.0,0.0
2025-11-18 00:00:00-05:00,41.96,41.99,41.88,41.94,149400,0.0,0.0,0.0
2025-11-17 00:00:00-05:00,41.89,41.94,41.88,41.89,161400,0.0,0.0,0.0
2025-11-14 00:00:00-05:00,42.0,42.0,41.88,41.9,137800,0.0,0.0,0.0
2025-11-13 00:00:00-05:00,41.97,42.01,41.94,41.95,272700,0.0,0.0,0.0
2025-11-12 00:00:00-05:00,42.06,42.08,42.03,42.05,143700,0.0,0.0,0.0
2025-11-11 00:00:00-05:00,42.05,42.1,42.03,42.08,127900,0.0,0.0,0.0
2025-11-10 00:00:00-05:00,41.97,42.0,41.94,41.99,179300,0.0,0.0,0.0
2025-11-07 00:00:00-05:00,41.93,42.02,41.93,41.98,118500,0.0,0.0,0.0
2025-11-06 00:00:00-05:00,41.97,41.99,41.96,41.99,213800,0.0,0.0,0.0
2025-11-05 00:00:00-05:00,41.97,41.97,41.82,41.84,645800,0.0,0.0,0.0
2025-11-04 00:00:00-05:00,41.92,42.0,41.91,41.96,192900,0.0,0.0,0.0
2025-11-03 00:00:00-05:00,41.89,41.94,41.88,41.9,214400,0.15,0.0,0.0
2025-10-31 00:00:00-04:00,42.03,42.04,41.95,41.95,240100,0.0,0.0,0.0
2025-10-30 00:00:00-04:00,41.99,42.07,41.96,42.0,129400,0.0,0.0,0.0
2025-10-29 00:00:00-04:00,42.31,42.31,42.09,42.12,162700,0.0,0.0,0.0
2025-10-28 00:00:00-04:00,42.28,42.33,42.26,42.33,273600,0.0,0.0,0.0
2025-10-27 00:00:00-04:00,42.26,42.3,42.2,42.28,125800,0.0,0.0,0.0
2025-10-24 00:00:00-04:00,42.28,42.28,42.19,42.26,138100,0.0,0.0,0.0
2025-10-23 00:00:00-04:00,42.21,42.26,42.2,42.2,147900,0.0,0.0,0.0
2025-10-22 00:00:00-04:00,42.24,42.28,42.21,42.27,121400,0.0,0.0,0.0
2025-10-21 00:00:00-04:00,42.3,42.31,42.25,42.27,137500,0.0,0.0,0.0
2025-10-20 00:00:00-04:00,42.22,42.23,42.19,42.23,118300,0.0,0.0,0.0
2025-10-17 00:00:00-04:00,42.18,42.19,42.12,42.16,300000,0.0,0.0,0.0
2025-10-16 00:00:00-04:00,42.08,42.22,42.07,42.2,257800,0.0,0.0,0.0
2025-10-15 00:00:00-04:00,42.13,42.17,42.06,42.1,146300,0.0,0.0,0.0
2025-10-14 00:00:00-04:00,41.97,42.1,41.96,42.07,105900,0.0,0.0,0.0
