Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-11-21 00:00:00-05:00,106.18,106.57,105.85,106.3,118280,0.0,0.0,0.0
2025-11-20 00:00:00-05:00,109.05,109.46,105.72,105.84,410500,0.0,0.0,0.0
2025-11-19 00:00:00-05:00,107.23,108.11,106.92,107.49,241700,0.0,0.0,0.0
2025-11-18 00:00:00-05:00,107.08,107.94,106.46,107.16,286600,0.0,0.0,0.0
2025-11-17 00:00:00-05:00,108.71,109.3,107.21,107.72,412400,0.0,0.0,0.0
2025-11-14 00:00:00-05:00,108.09,109.66,107.77,109.09,216400,0.0,0.0,0.0
2025-11-13 00:00:00-05:00,110.45,110.67,108.91,109.15,204400,0.0,0.0,0.0
2025-11-12 00:00:00-05:00,111.21,111.24,110.74,110.95,255900,0.0,0.0,0.0
2025-11-11 00:00:00-05:00,110.33,110.98,110.24,110.83,224800,0.0,0.0,0.0
2025-11-10 00:00:00-05:00,110.17,110.74,109.6,110.53,198200,0.0,0.0,0.0
2025-11-07 00:00:00-05:00,108.28,109.13,107.5,109.13,238500,0.0,0.0,0.0
2025-11-06 00:00:00-05:00,109.73,109.91,108.49,108.75,251400,0.0,0.0,0.0
2025-11-05 00:00:00-05:00,109.22,110.39,109.18,109.88,227200,0.0,0.0,0.0
2025-11-04 00:00:00-05:00,109.02,109.86,109.02,109.22,222800,0.0,0.0,0.0
2025-11-03 00:00:00-05:00,110.81,110.81,109.76,110.47,196400,0.0,0.0,0.0
2025-10-31 00:00:00-04:00,110.74,110.74,109.85,110.27,221200,0.0,0.0,0.0
2025-10-30 00:00:00-04:00,110.37,111.01,109.94,109.99,177900,0.0,0.0,0.0
2025-10-29 00:00:00-04:00,111.31,111.62,110.53,111.08,255500,0.0,0.0,0.0
2025-10-28 00:00:00-04:00,111.3,111.35,110.88,111.09,194600,0.0,0.0,0.0
2025-10-27 00:00:00-04:00,110.97,111.2,110.84,111.17,265900,0.0,0.0,0.0
2025-10-24 00:00:00-04:00,109.93,110.34,109.93,110.04,238700,0.0,0.0,0.0
2025-10-23 00:00:00-04:00,108.67,109.36,108.6,109.16,334200,0.0,0.0,0.0
2025-10-22 00:00:00-04:00,109.18,109.21,107.75,108.4,273400,0.0,0.0,0.0
2025-10-21 00:00:00-04:00,109.0,109.45,108.82,109.18,171700,0.0,0.0,0.0
2025-10-20 00:00:00-04:00,108.44,109.16,108.44,109.05,228200,0.0,0.0,0.0
2025-10-17 00:00:00-04:00,107.13,107.99,106.94,107.82,224600,0.0,0.0,0.0
2025-10-16 00:00:00-04:00,108.59,108.67,106.84,107.31,277100,0.0,0.0,0.0
2025-10-15 00:00:00-04:00,108.91,109.2,107.48,108.36,188800,0.0,0.0,0.0
2025-10-14 00:00:00-04:00,106.52,108.5,106.3,107.91,154200,0.0,0.0,0.0
2025-10-13 00:00:00-04:00,107.21,107.82,107.07,107.64,169800,0.0,0.0,0.0
2025-10-10 00:00:00-04:00,109.07,109.38,105.91,105.96,271900,0.0,0.0,0.0
2025-10-09 00:00:00-04:00,109.67,109.67,108.71,108.99,167600,0.0,0.0,0.0
2025-10-08 00:00:00-04:00,109.16,109.56,108.83,109.49,164900,0.0,0.0,0.0
2025-10-07 00:00:00-04:00,109.61,109.65,108.6,108.89,202800,0.0,0.0,0.0
2025-10-06 00:00:00-04:00,109.68,109.68,109.15,109.41,229700,0.0,0.0,0.0
2025-10-03 00:00:00-04:00,109.31,109.75,109.13,109.21,171500,0.0,0.0,0.0
2025-10-02 00:00:00-04:00,109.1,109.15,108.57,109.13,181600,0.0,0.0,0.0
2025-10-01 00:00:00-04:00,108.23,109.07,108.2,108.92,201900,0.0,0.0,0.0
2025-09-30 00:00:00-04:00,108.43,108.74,107.91,108.7,230000,0.0,0.0,0.0
2025-09-29 00:00:00-04:00,108.76,108.76,108.21,108.49,271800,0.0,0.0,0.0
2025-09-26 00:00:00-04:00,107.83,108.5,107.82,108.39,228300,0.0,0.0,0.0
2025-09-25 00:00:00-04:00,107.64,107.83,107.15,107.61,326000,0.0,0.0,0.0
2025-09-24 00:00:00-04:00,108.8,108.8,108.02,108.19,317600,0.0,0.0,0.0
2025-09-23 00:00:00-04:00,108.92,109.3,108.39,108.57,202000,0.28,0.0,0.0
2025-09-22 00:00:00-04:00,108.34,109.0,108.22,108.88,214000,0.0,0.0,0.0
2025-09-19 00:00:00-04:00,108.8,108.8,108.1,108.52,274500,0.0,0.0,0.0
2025-09-18 00:00:00-04:00,108.26,108.72,107.95,108.47,280800,0.0,0.0,0.0
2025-09-17 00:00:00-04:00,107.64,108.41,106.87,107.69,288200,0.0,0.0,0.0
2025-09-16 00:00:00-04:00,107.94,107.94,107.36,107.66,379500,0.0,0.0,0.0
2025-09-15 00:00:00-04:00,107.76,107.95,107.6,107.78,160400,0.0,0.0,0.0
2025-09-12 00:00:00-04:00,107.6,107.7,107.31,107.33,211300,0.0,0.0,0.0
2025-09-11 00:00:00-04:00,106.94,107.77,106.84,107.72,326200,0.0,0.0,0.0
2025-09-10 00:00:00-04:00,106.94,106.96,106.33,106.58,257200,0.0,0.0,0.0
2025-09-09 00:00:00-04:00,106.41,106.53,106.04,106.44,238000,0.0,0.0,0.0
2025-09-08 00:00:00-04:00,106.5,106.5,106.05,106.36,179900,0.0,0.0,0.0
2025-09-05 00:00:00-04:00,106.85,107.06,105.53,106.23,195600,0.0,0.0,0.0
2025-09-04 00:00:00-04:00,105.73,106.67,105.68,106.67,265100,0.0,0.0,0.0
2025-09-03 00:00:00-04:00,105.5,105.67,105.03,105.51,277100,0.0,0.0,0.0
2025-09-02 00:00:00-04:00,104.51,105.19,104.29,105.19,208700,0.0,0.0,0.0
2025-08-29 00:00:00-04:00,106.22,106.25,105.55,105.86,187200,0.0,0.0,0.0
2025-08-28 00:00:00-04:00,106.29,106.45,105.91,106.38,178800,0.0,0.0,0.0
2025-08-27 00:00:00-04:00,105.56,106.19,105.56,106.09,198000,0.0,0.0,0.0
2025-08-26 00:00:00-04:00,105.2,105.78,105.2,105.7,188300,0.0,0.0,0.0
2025-08-25 00:00:00-04:00,105.6,105.68,105.28,105.28,217600,0.0,0.0,0.0
2025-08-22 00:00:00-04:00,104.06,105.94,104.06,105.74,199200,0.0,0.0,0.0
2025-08-21 00:00:00-04:00,103.7,104.02,103.42,103.72,196700,0.0,0.0,0.0
2025-08-20 00:00:00-04:00,104.22,104.29,103.37,104.09,241300,0.0,0.0,0.0
