Date,Close,High,Low,Open,Volume,Dividends,Stock Splits,Capital Gains
2025-12-01 00:00:00-05:00,74.25,74.3,74.21,74.27,6586557,0.0,0.0,0.0
2025-11-28 00:00:00-05:00,74.78,74.88,74.71,74.86,4812100,0.0,0.0,0.0
2025-11-26 00:00:00-05:00,74.9,74.9,74.68,74.78,7327100,0.0,0.0,0.0
2025-11-25 00:00:00-05:00,74.82,74.89,74.7,74.7,7446200,0.0,0.0,0.0
2025-11-24 00:00:00-05:00,74.65,74.68,74.55,74.62,5734400,0.0,0.0,0.0
2025-11-21 00:00:00-05:00,74.52,74.55,74.4,74.55,6818400,0.0,0.0,0.0
2025-11-20 00:00:00-05:00,74.34,74.4,74.29,74.31,8461100,0.0,0.0,0.0
2025-11-19 00:00:00-05:00,74.23,74.37,74.2,74.34,7527500,0.0,0.0,0.0
2025-11-18 00:00:00-05:00,74.26,74.38,74.18,74.33,8009200,0.0,0.0,0.0
2025-11-17 00:00:00-05:00,74.2,74.28,74.19,74.21,6908300,0.0,0.0,0.0
2025-11-14 00:00:00-05:00,74.16,74.42,74.16,74.4,6473000,0.0,0.0,0.0
2025-11-13 00:00:00-05:00,74.27,74.41,74.27,74.36,7105100,0.0,0.0,0.0
2025-11-12 00:00:00-05:00,74.49,74.54,74.44,74.48,7129700,0.0,0.0,0.0
2025-11-11 00:00:00-05:00,74.52,74.53,74.42,74.46,5229400,0.0,0.0,0.0
2025-11-10 00:00:00-05:00,74.31,74.37,74.28,74.32,7235100,0.0,0.0,0.0
2025-11-07 00:00:00-05:00,74.33,74.43,74.26,74.26,7073200,0.0,0.0,0.0
2025-11-06 00:00:00-05:00,74.37,74.4,74.28,74.3,6461200,0.0,0.0,0.0
2025-11-05 00:00:00-05:00,74.08,74.26,74.04,74.24,10862500,0.0,0.0,0.0
2025-11-04 00:00:00-05:00,74.29,74.37,74.24,74.26,11476200,0.0,0.0,0.0
2025-11-03 00:00:00-05:00,74.25,74.29,74.17,74.24,7085100,0.244,0.0,0.0
2025-10-31 00:00:00-04:00,74.34,74.44,74.3,74.42,7106700,0.0,0.0,0.0
2025-10-30 00:00:00-04:00,74.36,74.48,74.26,74.27,7109500,0.0,0.0,0.0
2025-10-29 00:00:00-04:00,74.49,74.83,74.47,74.82,8938700,0.0,0.0,0.0
2025-10-28 00:00:00-04:00,74.85,74.87,74.76,74.79,7399700,0.0,0.0,0.0
2025-10-27 00:00:00-04:00,74.81,74.81,74.64,74.71,7706600,0.0,0.0,0.0
2025-10-24 00:00:00-04:00,74.77,74.8,74.66,74.79,6912300,0.0,0.0,0.0
2025-10-23 00:00:00-04:00,74.67,74.77,74.65,74.74,6041700,0.0,0.0,0.0
2025-10-22 00:00:00-04:00,74.82,74.83,74.72,74.78,7164500,0.0,0.0,0.0
2025-10-21 00:00:00-04:00,74.82,74.9,74.8,74.85,6179900,0.0,0.0,0.0
2025-10-20 00:00:00-04:00,74.73,74.74,74.66,74.7,6287200,0.0,0.0,0.0
2025-10-17 00:00:00-04:00,74.64,74.67,74.57,74.66,20337500,0.0,0.0,0.0
2025-10-16 00:00:00-04:00,74.73,74.75,74.43,74.43,8485100,0.0,0.0,0.0
2025-10-15 00:00:00-04:00,74.46,74.63,74.42,74.53,6264800,0.0,0.0,0.0
2025-10-14 00:00:00-04:00,74.51,74.54,74.33,74.39,6550100,0.0,0.0,0.0
