Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2026-01-02 00:00:00-05:00,48.34,48.36,48.29,48.31,3926682,0.0,0.0,0.0
2025-12-31 00:00:00-05:00,48.34,48.39,48.31,48.32,4715200,0.0,0.0,0.0
2025-12-30 00:00:00-05:00,48.37,48.4,48.36,48.38,4568100,0.0,0.0,0.0
2025-12-29 00:00:00-05:00,48.36,48.4,48.35,48.37,4936100,0.0,0.0,0.0
2025-12-26 00:00:00-05:00,48.44,48.47,48.41,48.42,4713000,0.0,0.0,0.0
2025-12-24 00:00:00-05:00,48.39,48.42,48.37,48.42,3565300,0.0,0.0,0.0
2025-12-23 00:00:00-05:00,48.26,48.35,48.26,48.33,6903500,0.0,0.0,0.0
2025-12-22 00:00:00-05:00,48.3,48.31,48.2,48.23,16120600,0.0,0.0,0.0
2025-12-19 00:00:00-05:00,48.26,48.28,48.21,48.23,5625200,0.0,0.0,0.0
2025-12-18 00:00:00-05:00,48.31,48.35,48.29,48.34,4391400,0.969,0.0,0.0
2025-12-17 00:00:00-05:00,48.31,48.34,48.29,48.33,3516800,0.0,0.0,0.0
2025-12-16 00:00:00-05:00,48.25,48.34,48.24,48.33,3252200,0.0,0.0,0.0
2025-12-15 00:00:00-05:00,48.29,48.33,48.27,48.27,3125900,0.0,0.0,0.0
2025-12-12 00:00:00-05:00,48.2,48.24,48.19,48.22,3032700,0.0,0.0,0.0
2025-12-11 00:00:00-05:00,48.27,48.29,48.24,48.25,3765200,0.0,0.0,0.0
2025-12-10 00:00:00-05:00,48.21,48.27,48.17,48.26,4317500,0.0,0.0,0.0
2025-12-09 00:00:00-05:00,48.24,48.28,48.22,48.27,3248400,0.0,0.0,0.0
2025-12-08 00:00:00-05:00,48.27,48.28,48.18,48.23,3383000,0.0,0.0,0.0
2025-12-05 00:00:00-05:00,48.41,48.43,48.33,48.35,2717700,0.0,0.0,0.0
2025-12-04 00:00:00-05:00,48.46,48.46,48.41,48.42,3234600,0.0,0.0,0.0
2025-12-03 00:00:00-05:00,48.44,48.48,48.44,48.47,4371300,0.0,0.0,0.0
2025-12-02 00:00:00-05:00,48.37,48.44,48.37,48.44,3445100,0.0,0.0,0.0
2025-12-01 00:00:00-05:00,48.44,48.45,48.39,48.42,3522200,0.104,0.0,0.0
2025-11-28 00:00:00-05:00,48.59,48.6,48.54,48.57,1959000,0.0,0.0,0.0
2025-11-26 00:00:00-05:00,48.52,48.59,48.5,48.59,3325900,0.0,0.0,0.0
2025-11-25 00:00:00-05:00,48.51,48.59,48.47,48.57,4413700,0.0,0.0,0.0
2025-11-24 00:00:00-05:00,48.44,48.49,48.44,48.44,3381800,0.0,0.0,0.0
2025-11-21 00:00:00-05:00,48.47,48.49,48.44,48.48,2898000,0.0,0.0,0.0
2025-11-20 00:00:00-05:00,48.36,48.41,48.36,48.39,5215500,0.0,0.0,0.0
2025-11-19 00:00:00-05:00,48.45,48.45,48.35,48.38,3547600,0.0,0.0,0.0
2025-11-18 00:00:00-05:00,48.47,48.48,48.41,48.43,3253100,0.0,0.0,0.0
2025-11-17 00:00:00-05:00,48.41,48.44,48.41,48.43,3131400,0.0,0.0,0.0
2025-11-14 00:00:00-05:00,48.46,48.49,48.39,48.39,3091700,0.0,0.0,0.0
2025-11-13 00:00:00-05:00,48.54,48.57,48.5,48.51,4006400,0.0,0.0,0.0
2025-11-12 00:00:00-05:00,48.62,48.65,48.6,48.63,3261500,0.0,0.0,0.0
2025-11-11 00:00:00-05:00,48.6,48.63,48.59,48.63,2360200,0.0,0.0,0.0
2025-11-10 00:00:00-05:00,48.54,48.58,48.53,48.56,2876100,0.0,0.0,0.0
2025-11-07 00:00:00-05:00,48.53,48.56,48.5,48.54,2830600,0.0,0.0,0.0
2025-11-06 00:00:00-05:00,48.57,48.6,48.56,48.56,3294200,0.0,0.0,0.0
2025-11-05 00:00:00-05:00,48.58,48.6,48.52,48.54,9603700,0.0,0.0,0.0
2025-11-04 00:00:00-05:00,48.61,48.64,48.58,48.58,3439400,0.0,0.0,0.0
2025-11-03 00:00:00-05:00,48.63,48.65,48.58,48.62,3721700,0.109,0.0,0.0
2025-10-31 00:00:00-04:00,48.63,48.67,48.61,48.66,3555000,0.0,0.0,0.0
2025-10-30 00:00:00-04:00,48.52,48.61,48.51,48.6,3179100,0.0,0.0,0.0
2025-10-29 00:00:00-04:00,48.71,48.72,48.56,48.57,3933000,0.0,0.0,0.0
2025-10-28 00:00:00-04:00,48.69,48.74,48.67,48.71,3381800,0.0,0.0,0.0
2025-10-27 00:00:00-04:00,48.64,48.68,48.61,48.68,3280000,0.0,0.0,0.0
2025-10-24 00:00:00-04:00,48.64,48.64,48.59,48.59,3445000,0.0,0.0,0.0
2025-10-23 00:00:00-04:00,48.69,48.69,48.65,48.66,3650600,0.0,0.0,0.0
2025-10-22 00:00:00-04:00,48.7,48.73,48.68,48.72,4784100,0.0,0.0,0.0
2025-10-21 00:00:00-04:00,48.7,48.71,48.68,48.69,3498200,0.0,0.0,0.0
2025-10-20 00:00:00-04:00,48.64,48.66,48.6,48.65,2934500,0.0,0.0,0.0
2025-10-17 00:00:00-04:00,48.63,48.65,48.59,48.61,3291600,0.0,0.0,0.0
2025-10-16 00:00:00-04:00,48.57,48.7,48.57,48.69,4518400,0.0,0.0,0.0
2025-10-15 00:00:00-04:00,48.54,48.62,48.54,48.58,3847000,0.0,0.0,0.0
2025-10-14 00:00:00-04:00,48.47,48.55,48.45,48.52,4724400,0.0,0.0,0.0
2025-10-13 00:00:00-04:00,48.41,48.48,48.41,48.48,2645400,0.0,0.0,0.0
2025-10-10 00:00:00-04:00,48.29,48.44,48.29,48.43,2891600,0.0,0.0,0.0
2025-10-09 00:00:00-04:00,48.26,48.26,48.21,48.22,4422800,0.0,0.0,0.0
2025-10-08 00:00:00-04:00,48.3,48.31,48.26,48.29,3464900,0.0,0.0,0.0
2025-10-07 00:00:00-04:00,48.12,48.2,48.12,48.16,3256800,0.0,0.0,0.0
2025-10-06 00:00:00-04:00,48.15,48.16,48.11,48.12,3641400,0.0,0.0,0.0
2025-10-03 00:00:00-04:00,48.28,48.29,48.23,48.23,4188200,0.0,0.0,0.0
2025-10-02 00:00:00-04:00,48.17,48.25,48.15,48.23,3724200,0.0,0.0,0.0
2025-10-01 00:00:00-04:00,48.2,48.24,48.18,48.2,4537800,0.105,0.0,0.0
2025-09-30 00:00:00-04:00,48.17,48.22,48.16,48.18,5700100,0.0,0.0,0.0
2025-09-29 00:00:00-04:00,48.09,48.18,48.08,48.17,6673300,0.0,0.0,0.0
2025-09-26 00:00:00-04:00,48.1,48.16,48.09,48.11,2890900,0.0,0.0,0.0
2025-09-25 00:00:00-04:00,48.06,48.09,48.02,48.07,3324800,0.0,0.0,0.0
2025-09-24 00:00:00-04:00,48.09,48.12,48.08,48.1,3240700,0.0,0.0,0.0
2025-09-23 00:00:00-04:00,48.11,48.12,48.09,48.1,4355100,0.0,0.0,0.0
2025-09-22 00:00:00-04:00,48.11,48.13,48.09,48.11,2929000,0.0,0.0,0.0
2025-09-19 00:00:00-04:00,48.12,48.12,48.08,48.11,3394100,0.0,0.0,0.0
2025-09-18 00:00:00-04:00,48.11,48.14,48.07,48.11,3150000,0.0,0.0,0.0
2025-09-17 00:00:00-04:00,48.22,48.3,48.15,48.18,4345200,0.0,0.0,0.0
2025-09-16 00:00:00-04:00,48.15,48.21,48.15,48.19,4997500,0.0,0.0,0.0
2025-09-15 00:00:00-04:00,48.13,48.21,48.13,48.18,3238800,0.0,0.0,0.0
2025-09-12 00:00:00-04:00,48.1,48.13,48.07,48.13,3116700,0.0,0.0,0.0
2025-09-11 00:00:00-04:00,48.19,48.26,48.17,48.23,3375800,0.0,0.0,0.0
2025-09-10 00:00:00-04:00,48.14,48.22,48.14,48.2,3377100,0.0,0.0,0.0
2025-09-09 00:00:00-04:00,48.14,48.17,48.1,48.14,3572000,0.0,0.0,0.0
2025-09-08 00:00:00-04:00,48.16,48.18,48.14,48.16,3189300,0.0,0.0,0.0
2025-09-05 00:00:00-04:00,48.12,48.15,48.1,48.12,3420400,0.0,0.0,0.0
2025-09-04 00:00:00-04:00,47.97,47.99,47.91,47.97,4420300,0.0,0.0,0.0
2025-09-03 00:00:00-04:00,47.81,47.89,47.78,47.87,3031400,0.0,0.0,0.0
2025-09-02 00:00:00-04:00,47.7,47.74,47.68,47.73,3211000,0.109,0.0,0.0
2025-08-29 00:00:00-04:00,47.91,47.94,47.89,47.93,2840100,0.0,0.0,0.0
2025-08-28 00:00:00-04:00,47.89,47.95,47.89,47.93,4082100,0.0,0.0,0.0
2025-08-27 00:00:00-04:00,47.83,47.91,47.82,47.89,3298200,0.0,0.0,0.0
2025-08-26 00:00:00-04:00,47.84,47.91,47.83,47.88,4275600,0.0,0.0,0.0
2025-08-25 00:00:00-04:00,47.8,47.82,47.76,47.8,2567400,0.0,0.0,0.0
2025-08-22 00:00:00-04:00,47.83,47.94,47.82,47.9,2540700,0.0,0.0,0.0
2025-08-21 00:00:00-04:00,47.85,47.85,47.79,47.82,2556100,0.0,0.0,0.0
2025-08-20 00:00:00-04:00,47.85,47.93,47.85,47.92,2884900,0.0,0.0,0.0
2025-08-19 00:00:00-04:00,47.82,47.88,47.82,47.85,2756400,0.0,0.0,0.0
2025-08-18 00:00:00-04:00,47.78,47.81,47.75,47.79,2772700,0.0,0.0,0.0
2025-08-15 00:00:00-04:00,47.84,47.84,47.74,47.76,2654800,0.0,0.0,0.0
2025-08-14 00:00:00-04:00,47.95,47.96,47.91,47.94,2513700,0.0,0.0,0.0
2025-08-13 00:00:00-04:00,47.97,48.05,47.97,48.05,2937300,0.0,0.0,0.0
2025-08-12 00:00:00-04:00,47.88,47.9,47.82,47.9,2791700,0.0,0.0,0.0
2025-08-11 00:00:00-04:00,47.95,47.98,47.94,47.95,2528300,0.0,0.0,0.0
2025-08-08 00:00:00-04:00,47.99,48.0,47.95,47.97,2448700,0.0,0.0,0.0
2025-08-07 00:00:00-04:00,48.02,48.07,48.02,48.05,2354800,0.0,0.0,0.0
2025-08-06 00:00:00-04:00,48.04,48.05,47.95,48.03,2624300,0.0,0.0,0.0
2025-08-05 00:00:00-04:00,48.02,48.1,48.02,48.08,5914300,0.0,0.0,0.0
2025-08-04 00:00:00-04:00,48.02,48.08,47.99,48.08,2928100,0.0,0.0,0.0
2025-08-01 00:00:00-04:00,47.99,48.06,47.96,48.03,3401100,0.107,0.0,0.0
2025-07-31 00:00:00-04:00,47.87,47.9,47.85,47.86,4303500,0.0,0.0,0.0
2025-07-30 00:00:00-04:00,47.82,47.87,47.79,47.82,4707600,0.0,0.0,0.0
2025-07-29 00:00:00-04:00,47.76,47.88,47.76,47.88,3689100,0.0,0.0,0.0
2025-07-28 00:00:00-04:00,47.8,47.85,47.8,47.82,3389800,0.0,0.0,0.0
2025-07-25 00:00:00-04:00,47.68,47.78,47.68,47.76,3209400,0.0,0.0,0.0
2025-07-24 00:00:00-04:00,47.61,47.68,47.61,47.66,3469400,0.0,0.0,0.0
2025-07-23 00:00:00-04:00,47.84,47.87,47.72,47.73,3056000,0.0,0.0,0.0
2025-07-22 00:00:00-04:00,47.88,47.95,47.88,47.9,2726100,0.0,0.0,0.0
2025-07-21 00:00:00-04:00,47.85,47.92,47.85,47.86,3186400,0.0,0.0,0.0
2025-07-18 00:00:00-04:00,47.7,47.72,47.68,47.71,2807900,0.0,0.0,0.0
2025-07-17 00:00:00-04:00,47.72,47.77,47.7,47.72,3794500,0.0,0.0,0.0
2025-07-16 00:00:00-04:00,47.68,47.76,47.68,47.75,3626700,0.0,0.0,0.0
2025-07-15 00:00:00-04:00,47.72,47.73,47.61,47.64,2821500,0.0,0.0,0.0
2025-07-14 00:00:00-04:00,47.58,47.63,47.57,47.63,2452800,0.0,0.0,0.0
2025-07-11 00:00:00-04:00,47.65,47.66,47.61,47.63,2493200,0.0,0.0,0.0
2025-07-10 00:00:00-04:00,47.73,47.75,47.69,47.74,3399200,0.0,0.0,0.0
2025-07-09 00:00:00-04:00,47.72,47.8,47.72,47.79,2730900,0.0,0.0,0.0
2025-07-08 00:00:00-04:00,47.71,47.71,47.67,47.71,2731800,0.0,0.0,0.0
2025-07-07 00:00:00-04:00,47.83,47.83,47.78,47.82,4801800,0.0,0.0,0.0
2025-07-03 00:00:00-04:00,47.82,47.89,47.82,47.88,3923500,0.0,0.0,0.0
2025-07-02 00:00:00-04:00,47.78,47.82,47.74,47.8,4041100,0.0,0.0,0.0
