Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-11-21 00:00:00-05:00,48.68,48.91,48.47,48.78,61976,0.0,0.0,0.0
2025-11-20 00:00:00-05:00,49.04,49.29,48.41,48.42,61700,0.0,0.0,0.0
2025-11-19 00:00:00-05:00,48.85,48.96,48.71,48.85,82500,0.0,0.0,0.0
2025-11-18 00:00:00-05:00,48.85,48.88,48.58,48.74,41300,0.0,0.0,0.0
2025-11-17 00:00:00-05:00,48.93,49.12,48.82,48.89,54500,0.0,0.0,0.0
2025-11-14 00:00:00-05:00,48.78,49.2,48.78,49.02,41100,0.0,0.0,0.0
2025-11-13 00:00:00-05:00,49.34,49.34,48.99,49.09,75600,0.0,0.0,0.0
2025-11-12 00:00:00-05:00,49.35,49.39,49.26,49.34,48700,0.0,0.0,0.0
2025-11-11 00:00:00-05:00,49.31,49.38,49.27,49.33,39800,0.0,0.0,0.0
2025-11-10 00:00:00-05:00,49.11,49.4,49.11,49.31,52200,0.0,0.0,0.0
2025-11-07 00:00:00-05:00,49.02,49.06,48.71,49.06,27300,0.0,0.0,0.0
2025-11-06 00:00:00-05:00,49.21,49.21,48.98,49.01,67400,0.0,0.0,0.0
2025-11-05 00:00:00-05:00,49.02,49.3,49.02,49.18,61800,0.0,0.0,0.0
2025-11-04 00:00:00-05:00,49.08,49.21,49.07,49.09,73900,0.0,0.0,0.0
2025-11-03 00:00:00-05:00,49.37,49.37,49.22,49.31,59700,0.0,0.0,0.0
2025-10-31 00:00:00-04:00,49.28,49.31,49.17,49.17,71700,0.0,0.0,0.0
2025-10-30 00:00:00-04:00,49.17,49.33,49.17,49.18,389900,0.0,0.0,0.0
2025-10-29 00:00:00-04:00,49.47,49.47,49.26,49.33,37900,0.0,0.0,0.0
2025-10-28 00:00:00-04:00,49.48,49.48,49.32,49.38,50900,0.0,0.0,0.0
2025-10-27 00:00:00-04:00,49.31,49.46,49.29,49.34,56200,0.0,0.0,0.0
2025-10-24 00:00:00-04:00,49.28,49.28,49.18,49.25,44100,0.0,0.0,0.0
2025-10-23 00:00:00-04:00,49.06,49.16,49.0,49.13,61600,0.0,0.0,0.0
2025-10-22 00:00:00-04:00,49.19,49.19,48.87,49.03,89200,0.0,0.0,0.0
2025-10-21 00:00:00-04:00,49.0,49.15,48.97,49.1,61000,0.0,0.0,0.0
2025-10-20 00:00:00-04:00,48.81,49.1,48.81,49.02,41200,0.0,0.0,0.0
2025-10-17 00:00:00-04:00,48.67,48.85,48.6,48.75,37000,0.0,0.0,0.0
2025-10-16 00:00:00-04:00,48.9,48.9,48.53,48.6,31800,0.0,0.0,0.0
2025-10-15 00:00:00-04:00,48.98,48.98,48.66,48.74,45000,0.0,0.0,0.0
2025-10-14 00:00:00-04:00,48.54,48.88,48.54,48.76,54400,0.0,0.0,0.0
2025-10-13 00:00:00-04:00,48.84,48.84,48.67,48.82,36300,0.0,0.0,0.0
2025-10-10 00:00:00-04:00,49.06,49.08,48.42,48.5,26300,0.0,0.0,0.0
2025-10-09 00:00:00-04:00,49.05,49.67,47.04,49.01,50700,0.0,0.0,0.0
2025-10-08 00:00:00-04:00,48.85,49.02,48.85,48.95,38700,0.0,0.0,0.0
2025-10-07 00:00:00-04:00,49.06,49.06,48.85,48.94,47900,0.0,0.0,0.0
2025-10-06 00:00:00-04:00,48.86,49.02,48.86,48.91,43400,0.0,0.0,0.0
2025-10-03 00:00:00-04:00,48.99,49.02,48.89,48.95,51800,0.0,0.0,0.0
2025-10-02 00:00:00-04:00,48.85,48.96,48.81,48.95,137000,0.0,0.0,0.0
2025-10-01 00:00:00-04:00,48.75,48.97,48.75,48.96,512700,0.0,0.0,0.0
2025-09-30 00:00:00-04:00,48.85,48.86,48.76,48.86,39200,0.0,0.0,0.0
2025-09-29 00:00:00-04:00,48.82,48.88,48.77,48.81,1386600,0.0,0.0,0.0
2025-09-26 00:00:00-04:00,48.56,48.81,48.56,48.78,43100,0.0,0.0,0.0
2025-09-25 00:00:00-04:00,48.69,48.71,48.59,48.7,56700,0.0,0.0,0.0
2025-09-24 00:00:00-04:00,48.66,48.79,48.66,48.7,89400,0.0,0.0,0.0
2025-09-23 00:00:00-04:00,48.91,48.91,48.72,48.77,108100,0.0,0.0,0.0
2025-09-22 00:00:00-04:00,48.68,48.86,48.68,48.86,23700,0.0,0.0,0.0
2025-09-19 00:00:00-04:00,48.81,48.81,48.71,48.73,28600,0.0,0.0,0.0
2025-09-18 00:00:00-04:00,48.69,48.78,48.66,48.66,95900,0.0,0.0,0.0
2025-09-17 00:00:00-04:00,48.69,48.83,48.55,48.69,45100,0.0,0.0,0.0
2025-09-16 00:00:00-04:00,48.73,48.73,48.58,48.67,337500,0.0,0.0,0.0
2025-09-15 00:00:00-04:00,48.61,48.76,48.61,48.64,46600,0.0,0.0,0.0
2025-09-12 00:00:00-04:00,48.62,48.66,48.54,48.61,62700,0.0,0.0,0.0
2025-09-11 00:00:00-04:00,48.58,48.62,48.48,48.51,42600,0.0,0.0,0.0
2025-09-10 00:00:00-04:00,48.55,48.56,48.41,48.5,94200,0.0,0.0,0.0
2025-09-09 00:00:00-04:00,48.43,48.44,48.31,48.39,35800,0.0,0.0,0.0
2025-09-08 00:00:00-04:00,48.29,48.43,48.29,48.4,65600,0.0,0.0,0.0
2025-09-05 00:00:00-04:00,48.38,48.45,48.15,48.35,39600,0.0,0.0,0.0
2025-09-04 00:00:00-04:00,48.25,48.38,48.2,48.37,145700,0.0,0.0,0.0
2025-09-03 00:00:00-04:00,48.07,48.21,48.05,48.15,123300,0.0,0.0,0.0
2025-09-02 00:00:00-04:00,48.04,48.1,47.81,48.1,45700,0.0,0.0,0.0
2025-08-29 00:00:00-04:00,48.15,48.26,48.09,48.15,50800,0.0,0.0,0.0
2025-08-28 00:00:00-04:00,48.29,48.4,48.17,48.32,60200,0.0,0.0,0.0
2025-08-27 00:00:00-04:00,48.24,48.31,48.14,48.25,39900,0.0,0.0,0.0
2025-08-26 00:00:00-04:00,48.17,48.25,48.04,48.25,44100,0.0,0.0,0.0
2025-08-25 00:00:00-04:00,48.17,48.2,48.08,48.14,42900,0.0,0.0,0.0
2025-08-22 00:00:00-04:00,47.86,48.24,47.86,48.11,407600,0.0,0.0,0.0
2025-08-21 00:00:00-04:00,47.95,47.95,47.73,47.87,60900,0.0,0.0,0.0
2025-08-20 00:00:00-04:00,47.9,47.97,47.72,47.94,33600,0.0,0.0,0.0
2025-08-19 00:00:00-04:00,47.99,48.1,47.89,47.91,52800,0.0,0.0,0.0
2025-08-18 00:00:00-04:00,47.95,48.16,47.95,48.05,65300,0.0,0.0,0.0
2025-08-15 00:00:00-04:00,48.17,48.17,47.98,48.07,25000,0.0,0.0,0.0
2025-08-14 00:00:00-04:00,48.03,48.16,47.96,48.11,45900,0.0,0.0,0.0
2025-08-13 00:00:00-04:00,48.15,48.15,47.97,48.12,70500,0.0,0.0,0.0
2025-08-12 00:00:00-04:00,47.79,48.18,47.78,47.99,43700,0.0,0.0,0.0
2025-08-11 00:00:00-04:00,47.94,47.94,47.67,47.82,53500,0.0,0.0,0.0
2025-08-08 00:00:00-04:00,47.79,47.88,47.7,47.85,45000,0.0,0.0,0.0
2025-08-07 00:00:00-04:00,47.82,47.82,47.54,47.58,43800,0.0,0.0,0.0
2025-08-06 00:00:00-04:00,47.49,47.73,47.47,47.6,52700,0.0,0.0,0.0
2025-08-05 00:00:00-04:00,47.72,47.72,47.44,47.53,71900,0.0,0.0,0.0
2025-08-04 00:00:00-04:00,47.51,47.68,47.47,47.64,53700,0.0,0.0,0.0
2025-08-01 00:00:00-04:00,47.36,47.4,47.14,47.29,69700,0.0,0.0,0.0
2025-07-31 00:00:00-04:00,47.83,47.83,47.54,47.62,48400,0.0,0.0,0.0
2025-07-30 00:00:00-04:00,47.74,47.75,47.56,47.69,19100,0.0,0.0,0.0
2025-07-29 00:00:00-04:00,47.8,47.8,47.6,47.61,57000,0.0,0.0,0.0
2025-07-28 00:00:00-04:00,47.81,47.81,47.65,47.75,64700,0.0,0.0,0.0
2025-07-25 00:00:00-04:00,47.68,47.74,47.57,47.72,106800,0.0,0.0,0.0
2025-07-24 00:00:00-04:00,47.49,47.69,47.49,47.53,191100,0.0,0.0,0.0
2025-07-23 00:00:00-04:00,47.42,47.78,47.42,47.53,36900,0.0,0.0,0.0
2025-07-22 00:00:00-04:00,47.49,47.49,47.32,47.44,62100,0.0,0.0,0.0
2025-07-21 00:00:00-04:00,47.44,47.52,47.39,47.44,42200,0.0,0.0,0.0
2025-07-18 00:00:00-04:00,47.46,47.46,47.29,47.39,23500,0.0,0.0,0.0
