Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-11-20 00:00:00-05:00,74.38,74.8,70.97,70.97,2036,0.0,0.0,0.0
2025-11-19 00:00:00-05:00,73.61,73.84,73.26,73.41,5100,0.0,0.0,0.0
2025-11-18 00:00:00-05:00,73.22,74.16,72.58,73.24,2400,0.0,0.0,0.0
2025-11-17 00:00:00-05:00,75.94,75.94,74.35,74.35,2400,0.0,0.0,0.0
2025-11-14 00:00:00-05:00,75.3,76.73,75.22,75.59,5700,0.0,0.0,0.0
2025-11-13 00:00:00-05:00,77.08,77.08,75.57,75.57,3300,0.0,0.0,0.0
2025-11-12 00:00:00-05:00,77.72,77.72,77.39,77.42,16600,0.0,0.0,0.0
2025-11-11 00:00:00-05:00,77.32,77.62,77.07,77.07,900,0.0,0.0,0.0
2025-11-10 00:00:00-05:00,76.88,78.07,76.86,77.59,1900,0.0,0.0,0.0
2025-11-07 00:00:00-05:00,74.79,75.88,73.93,75.52,2100,0.0,0.0,0.0
2025-11-06 00:00:00-05:00,76.14,76.82,75.9,75.91,1300,0.0,0.0,0.0
2025-11-05 00:00:00-05:00,75.66,78.18,75.66,77.46,2600,0.0,0.0,0.0
2025-11-04 00:00:00-05:00,77.2,77.31,75.75,75.86,4300,0.0,0.0,0.0
2025-11-03 00:00:00-05:00,79.06,79.2,78.92,79.15,57700,0.0,0.0,0.0
2025-10-31 00:00:00-04:00,78.47,78.86,78.46,78.79,1500,0.0,0.0,0.0
2025-10-30 00:00:00-04:00,79.02,79.02,78.78,78.79,900,0.0,0.0,0.0
2025-10-29 00:00:00-04:00,79.09,79.5,78.95,79.29,2700,0.0,0.0,0.0
2025-10-28 00:00:00-04:00,78.65,79.03,78.63,78.86,900,0.0,0.0,0.0
2025-10-27 00:00:00-04:00,78.32,78.75,78.32,78.75,600,0.0,0.0,0.0
2025-10-24 00:00:00-04:00,77.47,77.48,77.12,77.48,700,0.0,0.0,0.0
2025-10-23 00:00:00-04:00,76.09,76.11,75.72,76.08,1100,0.0,0.0,0.0
2025-10-22 00:00:00-04:00,75.18,75.21,74.83,75.21,1300,0.0,0.0,0.0
2025-10-21 00:00:00-04:00,76.95,76.95,76.41,76.41,700,0.0,0.0,0.0
2025-10-20 00:00:00-04:00,76.99,77.1,76.22,76.74,2100,0.0,0.0,0.0
2025-10-17 00:00:00-04:00,75.7,75.7,75.28,75.28,600,0.0,0.0,0.0
2025-10-16 00:00:00-04:00,75.56,75.57,75.19,75.31,800,0.0,0.0,0.0
2025-10-15 00:00:00-04:00,75.86,75.86,75.35,75.35,500,0.0,0.0,0.0
2025-10-14 00:00:00-04:00,73.68,74.43,72.75,73.7,14800,0.0,0.0,0.0
2025-10-13 00:00:00-04:00,73.53,74.08,73.53,74.08,800,0.0,0.0,0.0
2025-10-10 00:00:00-04:00,74.41,74.77,71.33,71.33,5100,0.0,0.0,0.0
2025-10-09 00:00:00-04:00,75.9,77.03,75.0,75.31,5500,0.0,0.0,0.0
2025-10-08 00:00:00-04:00,75.9,76.25,75.24,76.25,2500,0.0,0.0,0.0
2025-10-07 00:00:00-04:00,76.0,76.54,74.61,74.82,1400,0.0,0.0,0.0
2025-10-06 00:00:00-04:00,75.83,76.05,75.5,76.01,3400,0.0,0.0,0.0
2025-10-03 00:00:00-04:00,74.33,74.99,74.31,74.42,7300,0.0,0.0,0.0
2025-10-02 00:00:00-04:00,74.38,74.45,74.24,74.4,900,0.0,0.0,0.0
2025-10-01 00:00:00-04:00,73.67,73.67,73.67,73.67,300,0.0,0.0,0.0
2025-09-30 00:00:00-04:00,72.33,72.68,71.99,72.68,1400,0.0,0.0,0.0
2025-09-29 00:00:00-04:00,72.4,72.41,72.4,72.41,700,0.0,0.0,0.0
2025-09-26 00:00:00-04:00,72.21,72.21,72.21,72.21,400,0.0,0.0,0.0
2025-09-25 00:00:00-04:00,71.82,72.42,71.78,72.21,2000,0.29,0.0,0.0
2025-09-24 00:00:00-04:00,71.98,72.43,71.98,72.38,700,0.0,0.0,0.0
2025-09-23 00:00:00-04:00,73.64,73.64,72.08,72.54,7100,0.0,0.0,0.0
2025-09-22 00:00:00-04:00,72.49,73.01,72.33,72.74,6900,0.0,0.0,0.0
2025-09-19 00:00:00-04:00,71.14,71.72,71.14,71.72,1100,0.0,0.0,0.0
2025-09-18 00:00:00-04:00,71.3,72.08,71.23,71.72,5500,0.0,0.0,0.0
2025-09-17 00:00:00-04:00,70.12,70.52,70.12,70.52,400,0.0,0.0,0.0
2025-09-16 00:00:00-04:00,70.1,70.1,69.72,69.88,1000,0.0,0.0,0.0
2025-09-15 00:00:00-04:00,69.8,69.8,69.45,69.77,800,0.0,0.0,0.0
2025-09-12 00:00:00-04:00,68.5,68.83,68.2,68.83,2200,0.0,0.0,0.0
2025-09-11 00:00:00-04:00,67.92,68.49,67.92,68.49,1500,0.0,0.0,0.0
2025-09-10 00:00:00-04:00,67.63,67.63,67.49,67.49,1000,0.0,0.0,0.0
2025-09-09 00:00:00-04:00,67.63,67.63,67.63,67.63,200,0.0,0.0,0.0
2025-09-08 00:00:00-04:00,67.45,67.52,67.36,67.52,4800,0.0,0.0,0.0
2025-09-05 00:00:00-04:00,66.73,66.87,66.73,66.87,400,0.0,0.0,0.0
2025-09-04 00:00:00-04:00,66.14,66.59,66.14,66.59,400,0.0,0.0,0.0
2025-09-03 00:00:00-04:00,66.27,66.38,66.27,66.38,200,0.0,0.0,0.0
2025-09-02 00:00:00-04:00,65.53,66.05,65.23,66.05,5300,0.0,0.0,0.0
2025-08-29 00:00:00-04:00,66.76,66.86,66.76,66.86,400,0.0,0.0,0.0
2025-08-28 00:00:00-04:00,67.59,67.92,67.59,67.92,700,0.0,0.0,0.0
2025-08-27 00:00:00-04:00,67.58,67.58,67.53,67.53,300,0.0,0.0,0.0
2025-08-26 00:00:00-04:00,67.18,67.63,67.18,67.63,300,0.0,0.0,0.0
2025-08-25 00:00:00-04:00,67.37,67.37,66.85,67.07,1000,0.0,0.0,0.0
2025-08-22 00:00:00-04:00,66.99,67.72,66.99,67.54,1200,0.0,0.0,0.0
2025-08-21 00:00:00-04:00,65.48,65.49,65.13,65.49,1800,0.0,0.0,0.0
2025-08-20 00:00:00-04:00,64.69,65.81,64.69,65.81,400,0.0,0.0,0.0
2025-08-19 00:00:00-04:00,66.37,66.4,66.02,66.02,9400,0.0,0.0,0.0
2025-08-18 00:00:00-04:00,66.96,66.96,66.96,66.96,200,0.0,0.0,0.0
2025-08-15 00:00:00-04:00,66.72,66.8,66.72,66.8,500,0.0,0.0,0.0
2025-08-14 00:00:00-04:00,66.3,66.96,66.3,66.96,300,0.0,0.0,0.0
2025-08-13 00:00:00-04:00,67.22,67.22,67.22,67.22,100,0.0,0.0,0.0
2025-08-12 00:00:00-04:00,66.3,66.94,65.94,66.58,1700,0.0,0.0,0.0
2025-08-11 00:00:00-04:00,65.44,66.08,65.35,65.35,1300,0.0,0.0,0.0
2025-08-08 00:00:00-04:00,65.04,65.05,65.04,65.04,600,0.0,0.0,0.0
2025-08-07 00:00:00-04:00,63.99,64.71,63.99,64.01,400,0.0,0.0,0.0
2025-08-06 00:00:00-04:00,63.0,63.35,63.0,63.35,1500,0.0,0.0,0.0
2025-08-05 00:00:00-04:00,63.87,63.87,62.85,63.24,1700,0.0,0.0,0.0
2025-08-04 00:00:00-04:00,62.84,63.23,62.59,63.23,4800,0.0,0.0,0.0
2025-08-01 00:00:00-04:00,62.28,62.54,61.27,62.16,9800,0.0,0.0,0.0
2025-07-31 00:00:00-04:00,63.74,63.74,62.92,63.32,3200,0.0,0.0,0.0
2025-07-30 00:00:00-04:00,65.06,65.06,64.56,64.56,500,0.0,0.0,0.0
2025-07-29 00:00:00-04:00,64.74,64.89,64.74,64.89,300,0.0,0.0,0.0
2025-07-28 00:00:00-04:00,65.07,65.31,65.07,65.31,200,0.0,0.0,0.0
2025-07-25 00:00:00-04:00,64.98,64.98,64.98,64.98,200,0.0,0.0,0.0
2025-07-24 00:00:00-04:00,65.02,65.02,65.0,65.0,400,0.0,0.0,0.0
2025-07-23 00:00:00-04:00,64.75,65.27,64.75,65.27,1700,0.0,0.0,0.0
2025-07-22 00:00:00-04:00,64.73,64.73,64.73,64.73,300,0.0,0.0,0.0
2025-07-21 00:00:00-04:00,64.71,64.71,64.71,64.71,400,0.0,0.0,0.0
2025-07-18 00:00:00-04:00,65.01,65.01,64.19,64.56,2100,0.0,0.0,0.0
2025-07-17 00:00:00-04:00,64.58,64.58,64.45,64.48,1000,0.0,0.0,0.0
2025-07-16 00:00:00-04:00,63.01,63.63,63.0,63.63,2000,0.0,0.0,0.0
2025-07-15 00:00:00-04:00,63.04,63.89,63.04,63.09,4700,0.0,0.0,0.0
2025-07-14 00:00:00-04:00,62.8,63.26,62.49,62.86,1600,0.0,0.0,0.0
2025-07-11 00:00:00-04:00,63.36,63.36,62.77,63.0,400,0.0,0.0,0.0
2025-07-10 00:00:00-04:00,63.32,63.59,62.81,62.9,6500,0.0,0.0,0.0
2025-07-09 00:00:00-04:00,62.12,62.62,62.12,62.62,300,0.0,0.0,0.0
2025-07-08 00:00:00-04:00,61.58,62.61,61.58,62.61,400,0.0,0.0,0.0
2025-07-07 00:00:00-04:00,60.99,61.67,60.99,61.08,4100,0.0,0.0,0.0
2025-07-03 00:00:00-04:00,63.12,63.12,62.65,62.65,900,0.0,0.0,0.0
2025-07-02 00:00:00-04:00,62.7,62.7,62.7,62.7,200,0.0,0.0,0.0
2025-07-01 00:00:00-04:00,60.97,60.97,60.97,60.97,100,0.0,0.0,0.0
2025-06-30 00:00:00-04:00,61.39,61.7,61.39,61.7,300,0.0,0.0,0.0
2025-06-27 00:00:00-04:00,61.61,61.74,61.61,61.74,700,0.0,0.0,0.0
2025-06-26 00:00:00-04:00,61.18,61.38,61.18,61.38,400,0.3,0.0,0.0
2025-06-25 00:00:00-04:00,60.55,60.56,60.03,60.33,11100,0.0,0.0,0.0
2025-06-24 00:00:00-04:00,59.74,60.84,59.74,60.84,3600,0.0,0.0,0.0
2025-06-23 00:00:00-04:00,58.17,58.73,58.17,58.73,1200,0.0,0.0,0.0
2025-06-20 00:00:00-04:00,58.22,58.22,58.22,58.22,300,0.0,0.0,0.0
2025-06-18 00:00:00-04:00,58.74,58.74,58.74,58.74,300,0.0,0.0,0.0
2025-06-17 00:00:00-04:00,59.07,59.07,59.07,59.07,200,0.0,0.0,0.0
2025-06-16 00:00:00-04:00,59.66,59.66,59.24,59.24,300,0.0,0.0,0.0
2025-06-13 00:00:00-04:00,58.36,58.75,58.3,58.75,700,0.0,0.0,0.0
2025-06-12 00:00:00-04:00,59.56,59.84,59.46,59.46,1400,0.0,0.0,0.0
2025-06-11 00:00:00-04:00,60.16,60.33,60.08,60.12,1900,0.0,0.0,0.0
2025-06-10 00:00:00-04:00,59.62,59.76,59.62,59.76,200,0.0,0.0,0.0
2025-06-09 00:00:00-04:00,59.01,59.45,59.01,59.45,300,0.0,0.0,0.0
2025-06-06 00:00:00-04:00,58.33,58.65,58.33,58.65,300,0.0,0.0,0.0
2025-06-05 00:00:00-04:00,57.43,57.43,57.43,57.43,300,0.0,0.0,0.0
2025-06-04 00:00:00-04:00,58.25,58.28,57.97,58.28,500,0.0,0.0,0.0
2025-06-03 00:00:00-04:00,57.25,57.96,57.23,57.53,2600,0.0,0.0,0.0
2025-06-02 00:00:00-04:00,56.97,57.19,56.97,57.19,300,0.0,0.0,0.0
2025-05-30 00:00:00-04:00,56.38,57.31,56.38,57.31,600,0.0,0.0,0.0
2025-05-29 00:00:00-04:00,57.55,58.05,57.55,58.05,300,0.0,0.0,0.0
2025-05-28 00:00:00-04:00,57.85,57.88,57.57,57.88,300,0.0,0.0,0.0
2025-05-27 00:00:00-04:00,57.49,58.4,57.49,58.4,800,0.0,0.0,0.0
2025-05-23 00:00:00-04:00,55.91,56.07,55.91,56.07,300,0.0,0.0,0.0
2025-05-22 00:00:00-04:00,57.03,57.03,56.73,56.73,200,0.0,0.0,0.0
2025-05-21 00:00:00-04:00,57.61,57.61,56.89,56.89,500,0.0,0.0,0.0
2025-05-20 00:00:00-04:00,57.98,58.21,57.28,58.08,800,0.0,0.0,0.0
2025-05-19 00:00:00-04:00,57.49,58.59,57.11,58.59,500,0.0,0.0,0.0
2025-05-16 00:00:00-04:00,57.4,58.31,57.22,57.63,2500,0.0,0.0,0.0
2025-05-15 00:00:00-04:00,57.35,58.38,57.35,57.43,800,0.0,0.0,0.0
2025-05-14 00:00:00-04:00,58.63,58.7,57.95,58.7,700,0.0,0.0,0.0
2025-05-13 00:00:00-04:00,57.39,58.64,57.39,57.61,1600,0.0,0.0,0.0
2025-05-12 00:00:00-04:00,58.21,58.21,56.7,56.97,1900,0.0,0.0,0.0
2025-05-09 00:00:00-04:00,54.07,55.49,54.07,55.49,400,0.0,0.0,0.0
2025-05-08 00:00:00-04:00,54.2,55.5,53.69,53.69,700,0.0,0.0,0.0
