Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-11-24 00:00:00-05:00,54.73,57.44,52.41,53.24,128073,0.0,0.0,0.0
2025-11-21 00:00:00-05:00,58.25,67.54,54.91,58.88,427204,0.0,0.0,0.0
2025-11-20 00:00:00-05:00,41.66,60.88,41.5,60.61,774700,0.0,0.0,0.0
2025-11-19 00:00:00-05:00,52.27,55.47,49.46,52.59,271000,0.0,0.0,0.0
2025-11-18 00:00:00-05:00,53.85,58.54,48.82,52.63,410000,0.0,0.0,0.0
2025-11-17 00:00:00-05:00,51.72,55.46,48.24,52.1,335500,0.0,0.0,0.0
2025-11-14 00:00:00-05:00,51.67,54.01,46.14,49.45,494600,0.0,0.0,0.0
2025-11-13 00:00:00-05:00,42.29,49.25,42.29,48.16,363300,0.0,0.0,0.0
2025-11-12 00:00:00-05:00,35.89,41.42,35.36,41.33,338400,0.0,0.0,0.0
2025-11-11 00:00:00-05:00,34.48,39.05,33.56,38.85,315700,0.0,0.0,0.0
2025-11-10 00:00:00-05:00,26.5,30.7,26.5,29.2,255100,0.0,0.0,0.0
2025-11-07 00:00:00-05:00,30.75,32.25,29.69,30.19,184300,0.0,0.0,0.0
2025-11-06 00:00:00-05:00,24.6,29.68,24.6,28.54,185100,0.0,0.0,0.0
2025-11-05 00:00:00-05:00,23.56,26.2,23.56,25.24,159900,0.0,0.0,0.0
2025-11-04 00:00:00-05:00,23.35,24.84,22.21,24.75,147400,0.0,0.0,0.0
2025-11-03 00:00:00-05:00,19.14,21.28,19.14,21.09,80900,0.0,0.0,0.0
2025-10-31 00:00:00-04:00,19.1,19.37,17.71,19.03,97600,0.0,0.0,0.0
2025-10-30 00:00:00-04:00,18.69,20.03,18.55,19.9,183200,0.0,0.0,0.0
2025-10-29 00:00:00-04:00,18.18,19.23,17.6,17.6,82000,0.0,0.0,0.0
2025-10-28 00:00:00-04:00,18.55,19.11,17.2,19.09,144200,0.0,0.0,0.0
2025-10-27 00:00:00-04:00,18.9,19.75,18.5,18.71,50700,0.0,0.0,0.0
2025-10-24 00:00:00-04:00,21.74,21.97,19.63,19.75,131700,0.0,0.0,0.0
2025-10-23 00:00:00-04:00,24.58,25.22,22.87,23.1,76300,0.0,0.0,0.0
2025-10-22 00:00:00-04:00,23.22,26.51,23.0,23.9,197300,0.0,0.0,0.0
2025-10-21 00:00:00-04:00,23.05,24.57,22.27,22.7,209400,0.0,0.0,0.0
2025-10-20 00:00:00-04:00,18.91,22.01,18.91,21.94,129500,0.0,0.0,0.0
2025-10-17 00:00:00-04:00,19.19,21.22,19.16,19.22,251600,0.0,0.0,0.0
2025-10-16 00:00:00-04:00,18.13,19.0,15.63,17.94,298700,0.0,0.0,0.0
2025-10-15 00:00:00-04:00,18.74,20.07,18.14,18.74,68300,0.0,0.0,0.0
2025-10-14 00:00:00-04:00,19.32,20.97,19.14,20.27,89300,0.0,0.0,0.0
2025-10-13 00:00:00-04:00,18.15,19.75,17.66,18.38,64800,0.0,0.0,0.0
2025-10-10 00:00:00-04:00,17.03,19.45,15.51,19.15,287400,0.0,0.0,0.0
2025-10-09 00:00:00-04:00,19.04,19.76,17.89,18.06,77400,0.0,0.0,0.0
2025-10-08 00:00:00-04:00,21.68,21.68,18.6,19.05,168300,0.0,0.0,0.0
2025-10-07 00:00:00-04:00,20.65,23.51,19.71,22.87,40500,0.0,0.0,0.0
2025-10-06 00:00:00-04:00,19.93,21.06,18.09,21.06,23800,0.0,0.0,0.0
2025-10-03 00:00:00-04:00,19.68,22.0,19.35,20.78,61200,0.0,0.0,0.0
2025-10-02 00:00:00-04:00,19.48,20.85,19.3,19.91,38300,0.0,0.0,0.0
2025-10-01 00:00:00-04:00,20.57,21.4,20.1,20.2,173300,0.0,0.0,0.0
2025-09-30 00:00:00-04:00,21.22,21.8,17.85,20.27,329000,0.0,0.0,0.0
2025-09-29 00:00:00-04:00,25.67,26.56,25.12,26.53,45000,0.0,0.0,0.0
2025-09-26 00:00:00-04:00,25.99,27.51,25.99,27.51,400,0.0,0.0,0.0
