Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-11-20 00:00:00-05:00,25.82,25.83,25.59,25.61,13572,0.0,0.0,0.0
2025-11-19 00:00:00-05:00,25.73,25.73,25.7,25.71,500,0.0,0.0,0.0
2025-11-18 00:00:00-05:00,25.61,25.73,25.61,25.7,3200,0.0,0.0,0.0
2025-11-17 00:00:00-05:00,25.76,25.76,25.7,25.73,600,0.0,0.0,0.0
2025-11-14 00:00:00-05:00,25.71,25.82,25.71,25.78,4100,0.0,0.0,0.0
2025-11-13 00:00:00-05:00,25.79,25.79,25.72,25.75,1200,0.0,0.0,0.0
2025-11-12 00:00:00-05:00,25.81,25.83,25.81,25.83,200,0.0,0.0,0.0
2025-11-11 00:00:00-05:00,25.82,25.82,25.82,25.82,200,0.0,0.0,0.0
2025-11-10 00:00:00-05:00,25.76,25.78,25.76,25.77,600,0.0,0.0,0.0
2025-11-07 00:00:00-05:00,25.64,25.69,25.59,25.69,500,0.0,0.0,0.0
2025-11-06 00:00:00-05:00,25.7,25.7,25.68,25.68,1300,0.0,0.0,0.0
2025-11-05 00:00:00-05:00,25.72,25.75,25.72,25.75,163400,0.0,0.0,0.0
2025-11-04 00:00:00-05:00,25.68,25.73,25.68,25.71,21900,0.0,0.0,0.0
2025-11-03 00:00:00-05:00,25.72,25.79,25.71,25.75,1600,0.0,0.0,0.0
2025-10-31 00:00:00-04:00,25.74,25.74,25.71,25.73,5500,0.0,0.0,0.0
2025-10-30 00:00:00-04:00,25.72,25.77,25.69,25.7,35800,0.0,0.0,0.0
2025-10-29 00:00:00-04:00,25.72,25.79,25.71,25.74,61600,0.0,0.0,0.0
2025-10-28 00:00:00-04:00,25.73,25.74,25.72,25.74,1900,0.0,0.0,0.0
2025-10-27 00:00:00-04:00,25.71,25.75,25.71,25.75,1100,0.0,0.0,0.0
2025-10-24 00:00:00-04:00,25.68,25.73,25.68,25.7,3200,0.0,0.0,0.0
2025-10-23 00:00:00-04:00,25.62,25.69,25.62,25.66,16300,0.0,0.0,0.0
2025-10-22 00:00:00-04:00,25.63,25.63,25.61,25.61,900,0.0,0.0,0.0
2025-10-21 00:00:00-04:00,25.61,25.65,25.61,25.63,25300,0.0,0.0,0.0
2025-10-20 00:00:00-04:00,25.59,25.64,25.59,25.64,15100,0.0,0.0,0.0
2025-10-17 00:00:00-04:00,25.48,25.54,25.48,25.54,17300,0.0,0.0,0.0
2025-10-16 00:00:00-04:00,25.59,25.59,25.44,25.47,106300,0.0,0.0,0.0
2025-10-15 00:00:00-04:00,25.5,25.58,25.5,25.53,103600,0.0,0.0,0.0
2025-10-14 00:00:00-04:00,25.52,25.54,25.44,25.52,2300,0.0,0.0,0.0
2025-10-13 00:00:00-04:00,25.51,25.53,25.51,25.53,3500,0.0,0.0,0.0
2025-10-10 00:00:00-04:00,25.62,25.62,25.44,25.44,1200,0.0,0.0,0.0
2025-10-09 00:00:00-04:00,25.58,25.59,25.58,25.59,32400,0.0,0.0,0.0
2025-10-08 00:00:00-04:00,25.58,25.62,25.56,25.59,12700,0.0,0.0,0.0
2025-10-07 00:00:00-04:00,25.59,25.59,25.55,25.55,11400,0.0,0.0,0.0
2025-10-06 00:00:00-04:00,25.57,25.59,25.57,25.59,3200,0.0,0.0,0.0
2025-10-03 00:00:00-04:00,25.56,25.56,25.55,25.55,800,0.0,0.0,0.0
2025-10-02 00:00:00-04:00,25.57,25.57,25.57,25.57,200,0.0,0.0,0.0
2025-10-01 00:00:00-04:00,25.52,25.55,25.52,25.55,1600,0.0,0.0,0.0
2025-09-30 00:00:00-04:00,25.54,25.54,25.53,25.53,200,0.0,0.0,0.0
2025-09-29 00:00:00-04:00,25.52,25.52,25.52,25.52,200,0.0,0.0,0.0
2025-09-26 00:00:00-04:00,25.44,25.51,25.44,25.51,600,0.0,0.0,0.0
2025-09-25 00:00:00-04:00,25.41,25.44,25.41,25.44,1800,0.0,0.0,0.0
2025-09-24 00:00:00-04:00,25.46,25.48,25.44,25.48,900,0.0,0.0,0.0
2025-09-23 00:00:00-04:00,25.47,25.48,25.44,25.48,3200,0.0,0.0,0.0
2025-09-22 00:00:00-04:00,25.47,25.5,25.47,25.5,700,0.0,0.0,0.0
2025-09-19 00:00:00-04:00,25.46,25.49,25.46,25.49,100,0.0,0.0,0.0
2025-09-18 00:00:00-04:00,25.43,25.47,25.42,25.47,800,0.0,0.0,0.0
2025-09-17 00:00:00-04:00,25.42,25.42,25.4,25.42,3600,0.0,0.0,0.0
2025-09-16 00:00:00-04:00,25.41,25.42,25.4,25.42,500,0.0,0.0,0.0
2025-09-15 00:00:00-04:00,25.42,25.45,25.41,25.44,4600,0.0,0.0,0.0
2025-09-12 00:00:00-04:00,25.4,25.43,25.4,25.43,200,0.0,0.0,0.0
2025-09-11 00:00:00-04:00,25.36,25.41,25.36,25.39,1300,0.0,0.0,0.0
2025-09-10 00:00:00-04:00,25.35,25.38,25.35,25.35,300,0.0,0.0,0.0
2025-09-09 00:00:00-04:00,25.3,25.33,25.3,25.33,300,0.0,0.0,0.0
2025-09-08 00:00:00-04:00,25.27,25.32,25.27,25.32,600,0.0,0.0,0.0
2025-09-05 00:00:00-04:00,25.33,25.33,25.28,25.28,700,0.0,0.0,0.0
2025-09-04 00:00:00-04:00,25.25,25.28,25.23,25.28,10500,0.0,0.0,0.0
2025-09-03 00:00:00-04:00,25.23,25.25,25.22,25.25,1000,0.0,0.0,0.0
2025-09-02 00:00:00-04:00,25.19,25.19,25.14,25.18,24800,0.0,0.0,0.0
2025-08-29 00:00:00-04:00,25.25,25.25,25.22,25.25,1900,0.0,0.0,0.0
2025-08-28 00:00:00-04:00,25.29,25.3,25.25,25.3,2700,0.0,0.0,0.0
2025-08-27 00:00:00-04:00,25.25,25.25,25.11,25.11,26900,0.0,0.0,0.0
2025-08-26 00:00:00-04:00,25.26,25.26,25.23,25.24,400,0.0,0.0,0.0
2025-08-25 00:00:00-04:00,25.21,25.23,25.21,25.23,400,0.0,0.0,0.0
2025-08-22 00:00:00-04:00,25.24,25.25,25.24,25.25,15900,0.0,0.0,0.0
2025-08-21 00:00:00-04:00,25.12,25.12,25.12,25.12,0,0.0,0.0,0.0
2025-08-20 00:00:00-04:00,25.09,25.16,25.07,25.16,1500,0.0,0.0,0.0
2025-08-19 00:00:00-04:00,25.2,25.2,25.14,25.16,4500,0.0,0.0,0.0
