Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-11-21 00:00:00-05:00,82.77,83.81,82.6,83.42,27461,0.0,0.0,0.0
2025-11-20 00:00:00-05:00,83.73,84.07,82.4,82.42,24300,0.0,0.0,0.0
2025-11-19 00:00:00-05:00,83.01,83.34,82.74,82.96,18700,0.0,0.0,0.0
2025-11-18 00:00:00-05:00,82.98,83.47,82.69,83.13,22000,0.0,0.0,0.0
2025-11-17 00:00:00-05:00,83.91,84.01,82.96,83.09,13100,0.0,0.0,0.0
2025-11-14 00:00:00-05:00,83.68,84.26,83.46,83.93,16100,0.0,0.0,0.0
2025-11-13 00:00:00-05:00,84.67,84.74,83.93,84.04,11800,0.0,0.0,0.0
2025-11-12 00:00:00-05:00,84.65,85.0,84.65,84.74,26000,0.0,0.0,0.0
2025-11-11 00:00:00-05:00,83.94,84.65,83.94,84.56,10900,0.0,0.0,0.0
2025-11-10 00:00:00-05:00,83.65,84.01,83.42,83.96,17100,0.0,0.0,0.0
2025-11-07 00:00:00-05:00,82.85,83.32,82.61,83.27,22800,0.0,0.0,0.0
2025-11-06 00:00:00-05:00,83.09,83.27,82.77,82.91,32100,0.0,0.0,0.0
2025-11-05 00:00:00-05:00,83.09,83.53,83.01,83.15,14900,0.0,0.0,0.0
2025-11-04 00:00:00-05:00,82.79,83.09,82.7,83.0,25400,0.0,0.0,0.0
2025-11-03 00:00:00-05:00,83.47,83.47,82.87,83.15,52500,0.0,0.0,0.0
2025-10-31 00:00:00-04:00,83.51,83.7,83.17,83.57,13800,0.0,0.0,0.0
2025-10-30 00:00:00-04:00,83.6,84.22,83.56,83.56,18200,0.0,0.0,0.0
2025-10-29 00:00:00-04:00,84.43,84.46,83.58,83.77,75800,0.0,0.0,0.0
2025-10-28 00:00:00-04:00,84.9,84.9,84.37,84.37,46700,0.1,0.0,0.0
2025-10-27 00:00:00-04:00,84.68,84.89,84.55,84.76,21400,0.0,0.0,0.0
2025-10-24 00:00:00-04:00,84.4,84.55,84.34,84.39,32700,0.0,0.0,0.0
2025-10-23 00:00:00-04:00,83.96,84.12,83.72,83.96,46900,0.0,0.0,0.0
2025-10-22 00:00:00-04:00,84.04,84.13,83.57,83.85,55600,0.0,0.0,0.0
