Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-11-24 00:00:00-05:00,30.81,30.94,30.81,30.94,15825,0.0,0.0,0.0
2025-11-21 00:00:00-05:00,30.83,30.91,30.64,30.9,21942,0.0,0.0,0.0
2025-11-20 00:00:00-05:00,30.73,30.73,30.73,30.73,100,0.0,0.0,0.0
2025-11-19 00:00:00-05:00,30.83,30.83,30.79,30.79,900,0.0,0.0,0.0
2025-11-18 00:00:00-05:00,30.78,30.88,30.78,30.88,600,0.0,0.0,0.0
2025-11-17 00:00:00-05:00,30.79,30.84,30.79,30.84,1500,0.0,0.0,0.0
2025-11-14 00:00:00-05:00,30.9,30.93,30.9,30.93,400,0.0,0.0,0.0
2025-11-13 00:00:00-05:00,30.97,30.97,30.93,30.93,900,0.0,0.0,0.0
2025-11-12 00:00:00-05:00,30.94,30.94,30.94,30.94,100,0.0,0.0,0.0
2025-11-11 00:00:00-05:00,30.98,31.06,30.98,31.06,300,0.0,0.0,0.0
2025-11-10 00:00:00-05:00,30.71,30.84,30.71,30.84,2400,0.0,0.0,0.0
2025-11-07 00:00:00-05:00,30.86,30.86,30.86,30.86,200,0.0,0.0,0.0
2025-11-06 00:00:00-05:00,30.83,30.83,30.8,30.8,1000,0.0,0.0,0.0
2025-11-05 00:00:00-05:00,30.59,30.64,30.59,30.64,1200,0.0,0.0,0.0
2025-11-04 00:00:00-05:00,30.66,30.69,30.65,30.69,10100,0.0,0.0,0.0
2025-11-03 00:00:00-05:00,30.54,30.57,30.53,30.57,1200,0.0,0.0,0.0
2025-10-31 00:00:00-04:00,30.48,30.52,30.48,30.52,600,0.0,0.0,0.0
2025-10-30 00:00:00-04:00,30.55,30.55,30.54,30.54,300,0.0,0.0,0.0
2025-10-29 00:00:00-04:00,30.57,30.62,30.53,30.56,7400,0.0,0.0,0.0
2025-10-28 00:00:00-04:00,30.88,30.89,30.82,30.82,6400,0.0,0.0,0.0
2025-10-27 00:00:00-04:00,30.87,30.87,30.87,30.87,400,0.0,0.0,0.0
2025-10-24 00:00:00-04:00,30.88,30.94,30.88,30.9,1600,0.0,0.0,0.0
2025-10-23 00:00:00-04:00,30.9,30.96,30.88,30.92,8400,0.0,0.0,0.0
2025-10-22 00:00:00-04:00,30.87,30.91,30.83,30.91,2000,0.0,0.0,0.0
2025-10-21 00:00:00-04:00,30.71,30.81,30.71,30.74,16800,0.0,0.0,0.0
2025-10-20 00:00:00-04:00,30.56,30.68,30.56,30.68,300,0.0,0.0,0.0
2025-10-17 00:00:00-04:00,30.08,30.51,30.08,30.51,3900,0.0,0.0,0.0
2025-10-16 00:00:00-04:00,30.46,30.46,30.46,30.46,100,0.0,0.0,0.0
2025-10-15 00:00:00-04:00,30.6,30.61,30.52,30.55,1700,0.0,0.0,0.0
2025-10-14 00:00:00-04:00,30.41,30.56,30.41,30.56,900,0.0,0.0,0.0
2025-10-13 00:00:00-04:00,30.58,30.68,30.49,30.64,4200,0.0,0.0,0.0
2025-10-10 00:00:00-04:00,30.81,30.86,30.57,30.57,4400,0.0,0.0,0.0
2025-10-09 00:00:00-04:00,31.08,31.08,30.77,30.77,400,0.0,0.0,0.0
2025-10-08 00:00:00-04:00,30.9,30.9,30.9,30.9,300,0.0,0.0,0.0
2025-10-07 00:00:00-04:00,31.09,31.09,30.93,30.99,1000,0.0,0.0,0.0
2025-10-06 00:00:00-04:00,31.15,31.15,30.94,31.02,2100,0.0,0.0,0.0
2025-10-03 00:00:00-04:00,31.12,31.21,31.01,31.12,9500,0.0,0.0,0.0
2025-10-02 00:00:00-04:00,31.1,31.15,31.1,31.15,100,0.0,0.0,0.0
2025-10-01 00:00:00-04:00,31.18,31.18,31.18,31.18,100,0.0,0.0,0.0
2025-09-30 00:00:00-04:00,31.1,31.1,30.92,31.03,4600,0.0,0.0,0.0
2025-09-29 00:00:00-04:00,30.99,31.15,30.99,31.14,3000,0.0,0.0,0.0
2025-09-26 00:00:00-04:00,31.22,31.23,31.22,31.23,1900,0.0,0.0,0.0
2025-09-25 00:00:00-04:00,31.16,31.16,31.16,31.16,300,0.0,0.0,0.0
2025-09-24 00:00:00-04:00,31.17,31.23,31.14,31.21,1000,0.0,0.0,0.0
2025-09-23 00:00:00-04:00,31.05,31.21,31.05,31.14,1200,0.0,0.0,0.0
2025-09-22 00:00:00-04:00,30.96,30.99,30.96,30.99,500,0.0,0.0,0.0
2025-09-19 00:00:00-04:00,31.09,31.09,31.02,31.02,200,0.0,0.0,0.0
2025-09-18 00:00:00-04:00,31.22,31.22,31.22,31.22,200,0.0,0.0,0.0
2025-09-17 00:00:00-04:00,31.55,31.55,31.39,31.39,1400,0.0,0.0,0.0
2025-09-16 00:00:00-04:00,31.37,31.37,31.37,31.37,100,0.0,0.0,0.0
2025-09-15 00:00:00-04:00,31.27,31.27,31.23,31.23,300,0.0,0.0,0.0
2025-09-12 00:00:00-04:00,31.27,31.33,31.25,31.25,1000,0.0,0.0,0.0
2025-09-11 00:00:00-04:00,31.9,31.9,31.4,31.43,1000,0.0,0.0,0.0
2025-09-10 00:00:00-04:00,31.48,31.51,31.46,31.51,7100,0.0,0.0,0.0
2025-09-09 00:00:00-04:00,31.6,31.6,31.59,31.59,2300,0.0,0.0,0.0
2025-09-08 00:00:00-04:00,31.75,31.75,31.54,31.57,1200,0.0,0.0,0.0
2025-09-05 00:00:00-04:00,31.58,31.71,31.58,31.71,1000,0.0,0.0,0.0
2025-09-04 00:00:00-04:00,31.05,31.52,31.05,31.52,700,0.0,0.0,0.0
2025-09-03 00:00:00-04:00,31.78,31.78,31.21,31.26,33900,0.0,0.0,0.0
2025-09-02 00:00:00-04:00,31.43,31.54,31.43,31.54,400,0.0,0.0,0.0
2025-08-29 00:00:00-04:00,31.71,31.8,31.63,31.8,2900,0.0,0.0,0.0
2025-08-28 00:00:00-04:00,31.6,31.75,31.6,31.75,300,0.0,0.0,0.0
2025-08-27 00:00:00-04:00,31.6,31.67,31.6,31.67,900,0.0,0.0,0.0
2025-08-26 00:00:00-04:00,31.58,31.58,31.52,31.58,1700,0.0,0.0,0.0
2025-08-25 00:00:00-04:00,31.69,31.71,31.66,31.71,2400,0.0,0.0,0.0
2025-08-22 00:00:00-04:00,31.61,31.89,31.61,31.78,23900,0.0,0.0,0.0
2025-08-21 00:00:00-04:00,31.28,31.32,31.28,31.32,400,0.0,0.0,0.0
2025-08-20 00:00:00-04:00,31.35,31.35,31.35,31.35,100,0.0,0.0,0.0
2025-08-19 00:00:00-04:00,31.38,31.38,31.38,31.38,200,0.0,0.0,0.0
2025-08-18 00:00:00-04:00,31.25,31.25,31.25,31.25,100,0.0,0.0,0.0
2025-08-15 00:00:00-04:00,31.25,31.27,31.18,31.27,4400,0.0,0.0,0.0
2025-08-14 00:00:00-04:00,30.91,31.16,30.91,31.16,1000,0.0,0.0,0.0
2025-08-13 00:00:00-04:00,30.94,31.1,30.87,31.1,1600,0.0,0.0,0.0
2025-08-12 00:00:00-04:00,30.71,30.89,30.71,30.89,1000,0.0,0.0,0.0
2025-08-11 00:00:00-04:00,30.56,30.71,30.56,30.6,17800,0.0,0.0,0.0
2025-08-08 00:00:00-04:00,30.56,30.74,30.56,30.64,26200,0.0,0.0,0.0
2025-08-07 00:00:00-04:00,30.52,30.6,30.5,30.6,36700,0.0,0.0,0.0
2025-08-06 00:00:00-04:00,30.49,30.49,30.33,30.35,9600,0.0,0.0,0.0
2025-08-05 00:00:00-04:00,30.54,30.81,30.48,30.6,15600,0.0,0.0,0.0
2025-08-04 00:00:00-04:00,29.6,30.3,29.6,30.3,2000,0.0,0.0,0.0
2025-08-01 00:00:00-04:00,30.02,30.02,29.86,29.93,8300,0.0,0.0,0.0
2025-07-31 00:00:00-04:00,30.08,30.14,29.92,29.98,2000,0.0,0.0,0.0
2025-07-30 00:00:00-04:00,30.42,30.44,30.34,30.34,600,0.0,0.0,0.0
2025-07-29 00:00:00-04:00,30.35,30.42,30.28,30.38,5200,0.0,0.0,0.0
2025-07-28 00:00:00-04:00,30.41,30.47,30.33,30.42,4400,0.0,0.0,0.0
2025-07-25 00:00:00-04:00,30.75,30.75,30.51,30.68,3100,0.0,0.0,0.0
2025-07-24 00:00:00-04:00,30.7,30.82,30.68,30.75,2100,0.0,0.0,0.0
2025-07-23 00:00:00-04:00,30.82,30.92,30.82,30.88,1000,0.0,0.0,0.0
2025-07-22 00:00:00-04:00,30.26,30.69,28.68,30.65,3700,0.0,0.0,0.0
2025-07-21 00:00:00-04:00,30.48,30.63,30.44,30.46,3100,0.0,0.0,0.0
2025-07-18 00:00:00-04:00,30.55,30.55,30.32,30.38,4600,0.0,0.0,0.0
2025-07-17 00:00:00-04:00,30.44,30.51,30.44,30.49,1300,0.0,0.0,0.0
2025-07-16 00:00:00-04:00,30.14,30.18,30.14,30.18,3300,0.0,0.0,0.0
2025-07-15 00:00:00-04:00,30.35,30.35,30.17,30.29,7900,0.0,0.0,0.0
2025-07-14 00:00:00-04:00,30.48,30.49,30.33,30.49,1400,0.0,0.0,0.0
2025-07-11 00:00:00-04:00,30.5,30.69,30.5,30.58,1100,0.0,0.0,0.0
2025-07-10 00:00:00-04:00,30.61,30.8,30.61,30.72,15100,0.0,0.0,0.0
2025-07-09 00:00:00-04:00,30.65,30.69,30.56,30.69,27400,0.0,0.0,0.0
2025-07-08 00:00:00-04:00,30.59,30.73,30.58,30.58,9300,0.0,0.0,0.0
2025-07-07 00:00:00-04:00,30.62,30.73,30.61,30.62,2900,0.0,0.0,0.0
2025-07-03 00:00:00-04:00,30.86,31.08,30.86,30.95,10700,0.0,0.0,0.0
2025-07-02 00:00:00-04:00,30.66,30.98,30.66,30.94,4600,0.0,0.0,0.0
2025-07-01 00:00:00-04:00,30.79,30.86,30.79,30.84,20600,0.0,0.0,0.0
2025-06-30 00:00:00-04:00,30.52,30.52,30.52,30.52,200,0.0,0.0,0.0
2025-06-27 00:00:00-04:00,30.49,30.49,30.15,30.34,3900,0.0,0.0,0.0
2025-06-26 00:00:00-04:00,30.26,30.47,30.26,30.41,4000,0.0,0.0,0.0
2025-06-25 00:00:00-04:00,30.04,30.13,30.0,30.08,5700,0.0,0.0,0.0
2025-06-24 00:00:00-04:00,30.1,30.16,30.1,30.16,900,0.0,0.0,0.0
2025-06-23 00:00:00-04:00,30.08,30.12,29.76,29.93,17800,0.0,0.0,0.0
2025-06-20 00:00:00-04:00,30.0,30.11,29.76,29.76,2900,0.0,0.0,0.0
2025-06-18 00:00:00-04:00,29.88,30.1,29.88,30.0,1800,0.0,0.0,0.0
2025-06-17 00:00:00-04:00,29.99,29.99,29.88,29.88,300,0.0,0.0,0.0
2025-06-16 00:00:00-04:00,30.34,30.38,30.27,30.33,4800,0.0,0.0,0.0
2025-06-13 00:00:00-04:00,30.36,30.36,29.91,30.16,12300,0.0,0.0,0.0
2025-06-12 00:00:00-04:00,30.44,30.44,30.31,30.38,1700,0.0,0.0,0.0
2025-06-11 00:00:00-04:00,30.28,30.46,30.2,30.31,5800,0.0,0.0,0.0
2025-06-10 00:00:00-04:00,30.12,30.25,30.12,30.21,6100,0.0,0.0,0.0
2025-06-09 00:00:00-04:00,29.92,30.2,29.77,29.92,16400,0.0,0.0,0.0
2025-06-06 00:00:00-04:00,29.88,29.92,29.82,29.89,12900,0.0,0.0,0.0
2025-06-05 00:00:00-04:00,29.8,29.84,29.78,29.79,2000,0.0,0.0,0.0
2025-06-04 00:00:00-04:00,29.82,29.82,29.71,29.73,2400,0.0,0.0,0.0
2025-06-03 00:00:00-04:00,29.7,29.79,29.7,29.75,1800,0.0,0.0,0.0
2025-06-02 00:00:00-04:00,29.52,29.62,29.52,29.61,800,0.0,0.0,0.0
2025-05-30 00:00:00-04:00,29.85,29.85,29.75,29.76,6600,0.0,0.0,0.0
2025-05-29 00:00:00-04:00,29.86,29.86,29.86,29.86,300,0.0,0.0,0.0
2025-05-28 00:00:00-04:00,29.99,29.99,29.93,29.93,300,0.0,0.0,0.0
