Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-11-21 00:00:00-05:00,50.01,50.12,49.94,50.03,2908,0.0,0.0,0.0
2025-11-20 00:00:00-05:00,49.88,49.98,49.88,49.97,7900,0.0,0.0,0.0
2025-11-19 00:00:00-05:00,49.99,50.05,49.89,49.97,36700,0.0,0.0,0.0
2025-11-18 00:00:00-05:00,50.04,50.08,49.94,50.08,14000,0.0,0.0,0.0
2025-11-17 00:00:00-05:00,49.89,49.89,49.88,49.88,600,0.0,0.0,0.0
2025-11-14 00:00:00-05:00,49.99,49.99,49.89,49.92,2700,0.0,0.0,0.0
2025-11-13 00:00:00-05:00,49.92,49.92,49.92,49.92,400,0.0,0.0,0.0
2025-11-12 00:00:00-05:00,50.0,50.03,49.97,50.02,8500,0.0,0.0,0.0
2025-11-11 00:00:00-05:00,50.0,50.05,50.0,50.05,2000,0.0,0.0,0.0
2025-11-10 00:00:00-05:00,49.96,50.03,49.95,50.01,8500,0.0,0.0,0.0
2025-11-07 00:00:00-05:00,49.85,50.0,49.85,49.94,3900,0.0,0.0,0.0
2025-11-06 00:00:00-05:00,49.88,49.88,49.83,49.87,1800,0.0,0.0,0.0
2025-11-05 00:00:00-05:00,49.77,49.9,49.77,49.86,1000,0.0,0.0,0.0
2025-11-04 00:00:00-05:00,49.85,49.91,49.85,49.9,2800,0.0,0.0,0.0
2025-11-03 00:00:00-05:00,49.8,49.92,49.8,49.89,4900,0.15,0.0,0.0
2025-10-31 00:00:00-04:00,49.89,49.93,49.87,49.92,1400,0.0,0.0,0.0
2025-10-30 00:00:00-04:00,49.72,49.89,49.72,49.84,1600,0.0,0.0,0.0
2025-10-29 00:00:00-04:00,49.85,50.0,49.85,49.88,4200,0.0,0.0,0.0
2025-10-28 00:00:00-04:00,49.91,49.98,49.91,49.98,1200,0.0,0.0,0.0
2025-10-27 00:00:00-04:00,49.84,49.9,49.84,49.9,1400,0.0,0.0,0.0
2025-10-24 00:00:00-04:00,49.92,49.98,49.92,49.96,9700,0.0,0.0,0.0
2025-10-23 00:00:00-04:00,49.9,49.9,49.79,49.87,6300,0.0,0.0,0.0
2025-10-22 00:00:00-04:00,49.93,49.93,49.91,49.91,600,0.0,0.0,0.0
2025-10-21 00:00:00-04:00,49.86,49.91,49.86,49.91,900,0.0,0.0,0.0
2025-10-20 00:00:00-04:00,49.87,49.87,49.87,49.87,800,0.0,0.0,0.0
2025-10-17 00:00:00-04:00,49.8,49.8,49.79,49.79,200,0.0,0.0,0.0
2025-10-16 00:00:00-04:00,49.83,49.85,49.72,49.8,2800,0.0,0.0,0.0
2025-10-15 00:00:00-04:00,49.72,49.72,49.67,49.67,600,0.0,0.0,0.0
2025-10-14 00:00:00-04:00,49.66,49.66,49.66,49.66,200,0.0,0.0,0.0
2025-10-13 00:00:00-04:00,49.64,49.67,49.63,49.67,2500,0.0,0.0,0.0
2025-10-10 00:00:00-04:00,49.67,49.7,49.61,49.67,2600,0.0,0.0,0.0
2025-10-09 00:00:00-04:00,49.49,49.49,49.49,49.49,100,0.0,0.0,0.0
2025-10-08 00:00:00-04:00,49.54,49.57,49.5,49.5,6100,0.0,0.0,0.0
2025-10-07 00:00:00-04:00,49.58,49.62,49.52,49.52,8800,0.0,0.0,0.0
2025-10-06 00:00:00-04:00,49.48,49.48,49.48,49.48,400,0.0,0.0,0.0
2025-10-03 00:00:00-04:00,49.49,49.56,49.39,49.46,10100,0.0,0.0,0.0
2025-10-02 00:00:00-04:00,49.47,49.49,49.47,49.49,300,0.0,0.0,0.0
2025-10-01 00:00:00-04:00,49.49,49.5,49.48,49.48,2200,0.16,0.0,0.0
2025-09-30 00:00:00-04:00,49.44,49.47,49.42,49.47,9300,0.0,0.0,0.0
2025-09-29 00:00:00-04:00,49.41,49.48,49.41,49.45,1700,0.0,0.0,0.0
2025-09-26 00:00:00-04:00,49.4,49.4,49.39,49.39,800,0.0,0.0,0.0
2025-09-25 00:00:00-04:00,49.4,49.4,49.38,49.4,600,0.0,0.0,0.0
2025-09-24 00:00:00-04:00,49.43,49.44,49.43,49.44,2200,0.0,0.0,0.0
2025-09-23 00:00:00-04:00,49.45,49.52,49.45,49.52,100,0.0,0.0,0.0
2025-09-22 00:00:00-04:00,49.5,49.51,49.44,49.44,1200,0.0,0.0,0.0
2025-09-19 00:00:00-04:00,49.5,49.5,49.5,49.5,100,0.0,0.0,0.0
2025-09-18 00:00:00-04:00,49.51,49.56,49.47,49.51,1600,0.0,0.0,0.0
2025-09-17 00:00:00-04:00,49.55,49.58,49.49,49.56,1800,0.0,0.0,0.0
2025-09-16 00:00:00-04:00,49.47,49.61,49.47,49.61,1100,0.0,0.0,0.0
2025-09-15 00:00:00-04:00,49.45,49.45,49.36,49.44,1800,0.0,0.0,0.0
2025-09-12 00:00:00-04:00,49.35,49.45,49.33,49.37,4400,0.0,0.0,0.0
2025-09-11 00:00:00-04:00,49.3,49.39,49.3,49.39,1100,0.0,0.0,0.0
2025-09-10 00:00:00-04:00,49.15,49.3,49.15,49.3,1000,0.0,0.0,0.0
2025-09-09 00:00:00-04:00,49.22,49.22,49.15,49.2,1800,0.0,0.0,0.0
2025-09-08 00:00:00-04:00,48.93,49.14,48.93,49.13,3400,0.0,0.0,0.0
2025-09-05 00:00:00-04:00,48.76,48.93,48.76,48.93,3100,0.0,0.0,0.0
2025-09-04 00:00:00-04:00,48.6,48.67,48.5,48.67,4700,0.0,0.0,0.0
2025-09-03 00:00:00-04:00,48.57,48.57,48.57,48.57,100,0.0,0.0,0.0
2025-09-02 00:00:00-04:00,48.47,48.5,48.4,48.47,12000,0.14,0.0,0.0
2025-08-29 00:00:00-04:00,48.59,48.62,48.58,48.58,6300,0.0,0.0,0.0
2025-08-28 00:00:00-04:00,48.53,48.6,48.51,48.53,6100,0.0,0.0,0.0
2025-08-27 00:00:00-04:00,48.56,48.56,48.56,48.56,100,0.0,0.0,0.0
2025-08-26 00:00:00-04:00,48.41,48.57,48.41,48.49,600,0.0,0.0,0.0
2025-08-25 00:00:00-04:00,48.39,48.44,48.39,48.44,300,0.0,0.0,0.0
