Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-11-21 00:00:00-05:00,54.71,55.28,54.71,55.04,18427,0.0,0.0,0.0
2025-11-20 00:00:00-05:00,57.08,57.08,55.27,55.27,8200,0.0,0.0,0.0
2025-11-19 00:00:00-05:00,56.46,56.46,55.83,55.98,4700,0.0,0.0,0.0
2025-11-18 00:00:00-05:00,56.54,56.54,56.16,56.47,6700,0.0,0.0,0.0
2025-11-17 00:00:00-05:00,57.0,57.08,56.38,56.5,6100,0.0,0.0,0.0
2025-11-14 00:00:00-05:00,57.18,57.45,56.72,56.9,16100,0.0,0.0,0.0
2025-11-13 00:00:00-05:00,57.9,57.9,57.03,57.08,7500,0.0,0.0,0.0
2025-11-12 00:00:00-05:00,57.87,57.87,57.74,57.77,5300,0.0,0.0,0.0
2025-11-11 00:00:00-05:00,57.84,57.86,57.73,57.73,6800,0.0,0.0,0.0
2025-11-10 00:00:00-05:00,57.62,57.89,57.43,57.75,11300,0.0,0.0,0.0
2025-11-07 00:00:00-05:00,56.33,56.56,56.14,56.56,11200,0.0,0.0,0.0
2025-11-06 00:00:00-05:00,57.65,57.65,56.65,56.65,26900,0.0,0.0,0.0
2025-11-05 00:00:00-05:00,57.01,57.71,57.01,57.41,10200,0.0,0.0,0.0
2025-11-04 00:00:00-05:00,57.08,57.38,56.93,56.93,6600,0.0,0.0,0.0
2025-11-03 00:00:00-05:00,58.46,58.46,57.74,58.0,4900,0.0,0.0,0.0
2025-10-31 00:00:00-04:00,57.64,57.78,57.38,57.54,13100,0.0,0.0,0.0
2025-10-30 00:00:00-04:00,58.27,58.28,57.64,57.68,66400,0.0,0.0,0.0
2025-10-29 00:00:00-04:00,58.89,58.95,58.51,58.55,1700,0.0,0.0,0.0
2025-10-28 00:00:00-04:00,58.14,58.42,57.86,58.03,3000,0.0,0.0,0.0
2025-10-27 00:00:00-04:00,58.48,58.5,57.99,58.5,3800,0.0,0.0,0.0
2025-10-24 00:00:00-04:00,57.93,57.93,57.47,57.47,4900,0.0,0.0,0.0
2025-10-23 00:00:00-04:00,56.98,57.37,56.94,57.03,7200,0.0,0.0,0.0
2025-10-22 00:00:00-04:00,56.72,57.0,56.38,56.57,1800,0.0,0.0,0.0
2025-10-21 00:00:00-04:00,56.84,56.84,56.84,56.84,200,0.0,0.0,0.0
2025-10-20 00:00:00-04:00,56.85,57.39,56.85,57.39,2100,0.0,0.0,0.0
2025-10-17 00:00:00-04:00,56.41,56.94,56.41,56.67,1200,0.0,0.0,0.0
2025-10-16 00:00:00-04:00,57.12,57.12,56.55,56.67,3900,0.0,0.0,0.0
2025-10-15 00:00:00-04:00,56.56,56.56,56.34,56.34,1000,0.0,0.0,0.0
2025-10-14 00:00:00-04:00,55.27,55.92,55.17,55.46,4200,0.0,0.0,0.0
2025-10-13 00:00:00-04:00,55.63,56.09,55.63,55.92,4700,0.0,0.0,0.0
2025-10-10 00:00:00-04:00,54.55,54.55,54.33,54.33,1500,0.0,0.0,0.0
2025-10-09 00:00:00-04:00,56.4,56.4,56.12,56.31,400,0.0,0.0,0.0
2025-10-08 00:00:00-04:00,56.66,56.82,56.47,56.82,1500,0.0,0.0,0.0
2025-10-07 00:00:00-04:00,56.97,56.97,56.29,56.42,1200,0.0,0.0,0.0
2025-10-06 00:00:00-04:00,56.61,56.91,56.61,56.82,1500,0.0,0.0,0.0
2025-10-03 00:00:00-04:00,56.6,56.6,56.59,56.59,200,0.0,0.0,0.0
2025-10-02 00:00:00-04:00,56.89,56.89,56.18,56.46,1000,0.0,0.0,0.0
2025-10-01 00:00:00-04:00,55.9,56.26,55.87,56.2,2200,0.0,0.0,0.0
2025-09-30 00:00:00-04:00,55.93,55.93,55.43,55.54,76000,0.0,0.0,0.0
2025-09-29 00:00:00-04:00,55.66,55.66,55.47,55.53,1200,0.0,0.0,0.0
2025-09-26 00:00:00-04:00,54.88,55.01,54.88,55.01,200,0.0,0.0,0.0
2025-09-25 00:00:00-04:00,55.46,55.46,55.05,55.23,400,0.0,0.0,0.0
2025-09-24 00:00:00-04:00,55.48,55.48,55.48,55.48,100,0.0,0.0,0.0
2025-09-23 00:00:00-04:00,55.7,55.7,55.62,55.63,1800,0.0,0.0,0.0
2025-09-22 00:00:00-04:00,55.28,55.55,55.23,55.39,64500,0.0,0.0,0.0
2025-09-19 00:00:00-04:00,55.43,55.43,55.43,55.43,200,0.0,0.0,0.0
2025-09-18 00:00:00-04:00,55.62,55.62,55.6,55.6,200,0.0,0.0,0.0
2025-09-17 00:00:00-04:00,55.92,55.92,55.7,55.7,1100,0.0,0.0,0.0
2025-09-16 00:00:00-04:00,55.47,55.47,55.47,55.47,100,0.0,0.0,0.0
2025-09-15 00:00:00-04:00,55.04,55.22,54.83,55.22,700,0.0,0.0,0.0
2025-09-12 00:00:00-04:00,54.88,54.88,54.44,54.65,700,0.0,0.0,0.0
2025-09-11 00:00:00-04:00,54.46,54.67,54.46,54.67,1000,0.0,0.0,0.0
2025-09-10 00:00:00-04:00,53.82,54.02,53.81,53.98,600,0.0,0.0,0.0
2025-09-09 00:00:00-04:00,53.63,53.63,53.63,53.63,100,0.0,0.0,0.0
2025-09-08 00:00:00-04:00,53.41,53.41,53.13,53.32,900,0.0,0.0,0.0
2025-09-05 00:00:00-04:00,52.97,52.97,52.79,52.85,1800,0.0,0.0,0.0
2025-09-04 00:00:00-04:00,52.26,52.26,52.26,52.26,100,0.0,0.0,0.0
2025-09-03 00:00:00-04:00,52.45,52.45,52.45,52.45,100,0.0,0.0,0.0
2025-09-02 00:00:00-04:00,52.23,52.25,52.23,52.25,300,0.0,0.0,0.0
2025-08-29 00:00:00-04:00,52.26,52.33,52.26,52.33,600,0.0,0.0,0.0
2025-08-28 00:00:00-04:00,52.61,52.61,52.39,52.39,20900,0.0,0.0,0.0
