Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-11-13 00:00:00-05:00,112.34,112.34,112.34,112.34,600,0.0,0.0,0.0
2025-11-03 00:00:00-05:00,111.68,111.68,111.68,111.68,751,0.0,0.0,0.0
2025-10-21 00:00:00-04:00,111.8,111.8,111.8,111.8,5830,0.0,0.0,0.0
2025-10-08 00:00:00-04:00,111.4,111.4,111.4,111.4,590,0.0,0.0,0.0
2025-10-06 00:00:00-04:00,111.32,111.32,111.31,111.31,1401,0.0,0.0,0.0
2025-09-29 00:00:00-04:00,112.02,112.02,112.02,112.02,461,0.0,0.0,0.0
2025-09-09 00:00:00-04:00,111.26,111.28,111.26,111.26,14676,0.0,0.0,0.0
2025-09-08 00:00:00-04:00,110.95,110.95,110.95,110.95,2775,0.0,0.0,0.0
2025-08-20 00:00:00-04:00,110.98,110.98,110.98,110.98,180,0.0,0.0,0.0
2025-08-18 00:00:00-04:00,111.21,111.21,111.21,111.21,427,0.0,0.0,0.0
2025-08-12 00:00:00-04:00,110.88,110.88,110.67,110.67,4471,0.0,0.0,0.0
2025-08-06 00:00:00-04:00,110.8,110.8,110.8,110.8,371,0.0,0.0,0.0
2025-08-05 00:00:00-04:00,110.78,110.78,110.78,110.78,3176,0.0,0.0,0.0
2025-07-31 00:00:00-04:00,110.42,110.42,110.42,110.42,1454,0.0,0.0,0.0
2025-07-23 00:00:00-04:00,110.85,110.85,110.85,110.85,173,0.0,0.0,0.0
2025-07-10 00:00:00-04:00,110.61,110.61,110.21,110.21,11247,0.0,0.0,0.0
2025-06-23 00:00:00-04:00,110.75,110.75,110.75,110.75,169,0.0,0.0,0.0
2025-06-17 00:00:00-04:00,110.42,110.42,110.42,110.42,1355,0.0,0.0,0.0
2025-06-06 00:00:00-04:00,110.65,110.65,110.65,110.65,755,0.0,0.0,0.0
2025-05-22 00:00:00-04:00,109.82,109.82,109.79,109.79,4645,0.0,0.0,0.0
2025-05-15 00:00:00-04:00,110.01,110.01,109.71,109.71,2700,0.0,0.0,0.0
2025-05-14 00:00:00-04:00,110.19,110.19,110.19,110.19,2929,0.0,0.0,0.0
2025-05-13 00:00:00-04:00,109.93,109.93,109.57,109.57,6343,0.0,0.0,0.0
2025-05-09 00:00:00-04:00,109.69,109.69,109.69,109.69,135,0.0,0.0,0.0
2025-04-28 00:00:00-04:00,109.59,109.59,109.59,109.59,635,0.0,0.0,0.0
2025-04-04 00:00:00-04:00,109.25,109.25,109.25,109.25,913,0.0,0.0,0.0
2025-04-03 00:00:00-04:00,109.25,109.25,108.98,108.98,6597,0.0,0.0,0.0
2025-04-01 00:00:00-04:00,109.73,109.73,109.73,109.73,280,0.0,0.0,0.0
2025-03-27 00:00:00-04:00,108.93,108.93,108.93,108.93,133,0.0,0.0,0.0
2025-03-25 00:00:00-04:00,109.11,109.11,109.11,109.11,2295,0.0,0.0,0.0
2025-03-12 00:00:00-04:00,109.17,109.17,108.93,108.93,415,0.0,0.0,0.0
2025-02-19 00:00:00-05:00,108.48,108.85,108.48,108.85,515,0.0,0.0,0.0
2025-02-18 00:00:00-05:00,108.24,108.24,108.24,108.24,412,0.0,0.0,0.0
2025-01-31 00:00:00-05:00,108.67,108.95,108.67,108.95,1106,0.0,0.0,0.0
2025-01-28 00:00:00-05:00,108.39,108.39,108.16,108.16,1493,0.0,0.0,0.0
2024-12-30 00:00:00-05:00,108.41,108.41,108.41,108.41,5000,0.0,0.0,0.0
2024-12-24 00:00:00-05:00,107.67,107.67,107.67,107.67,2477,0.0,0.0,0.0
2024-12-20 00:00:00-05:00,107.73,107.73,107.73,107.73,470,0.0,0.0,0.0
2024-12-12 00:00:00-05:00,107.99,107.99,107.99,107.99,4045,0.0,0.0,0.0
2024-12-11 00:00:00-05:00,108.01,108.01,108.01,108.01,700,0.0,0.0,0.0
2024-12-10 00:00:00-05:00,107.98,107.98,107.85,107.85,18522,0.0,0.0,0.0
2024-12-09 00:00:00-05:00,107.89,107.89,107.89,107.89,230,0.0,0.0,0.0
2024-12-04 00:00:00-05:00,107.81,108.09,107.81,108.09,10155,0.0,0.0,0.0
2024-12-02 00:00:00-05:00,107.25,107.25,107.25,107.25,370,0.0,0.0,0.0
2024-11-22 00:00:00-05:00,107.49,107.49,107.49,107.49,124,0.0,0.0,0.0
2024-11-21 00:00:00-05:00,107.47,107.47,107.47,107.47,475,0.0,0.0,0.0
