Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-11-24 00:00:00-05:00,27.14,27.88,27.3,27.88,1715,0.0,0.0,0.0
2025-11-21 00:00:00-05:00,26.94,27.75,26.94,27.22,6100,0.0,0.0,0.0
2025-11-20 00:00:00-05:00,27.91,27.91,27.06,27.09,11274,0.0,0.0,0.0
2025-11-19 00:00:00-05:00,28.06,28.06,27.41,27.79,2300,0.0,0.0,0.0
2025-11-18 00:00:00-05:00,27.64,28.28,27.64,28.08,2700,0.0,0.0,0.0
2025-11-17 00:00:00-05:00,26.77,28.61,26.77,28.05,8600,0.0,0.0,0.0
2025-11-14 00:00:00-05:00,28.56,28.56,28.18,28.18,500,0.0,0.0,0.0
2025-11-13 00:00:00-05:00,28.83,28.83,28.64,28.64,800,0.0,0.0,0.0
2025-11-12 00:00:00-05:00,29.52,29.52,29.22,29.26,1000,0.0,0.0,0.0
2025-11-11 00:00:00-05:00,29.28,29.28,29.28,29.28,200,0.0,0.0,0.0
2025-11-10 00:00:00-05:00,29.04,29.62,28.77,29.36,5800,0.0,0.0,0.0
2025-11-07 00:00:00-05:00,29.0,29.72,29.0,29.36,1000,0.0,0.0,0.0
2025-11-06 00:00:00-05:00,29.6,29.7,29.23,29.23,800,0.0,0.0,0.0
2025-11-05 00:00:00-05:00,30.0,30.09,30.0,30.08,1400,0.0,0.0,0.0
2025-11-04 00:00:00-05:00,29.77,30.0,29.57,30.0,2500,0.0,0.0,0.0
2025-11-03 00:00:00-05:00,30.0,30.34,30.0,30.23,4400,0.0,0.0,0.0
2025-10-31 00:00:00-04:00,30.61,30.61,30.42,30.42,900,0.0,0.0,0.0
2025-10-30 00:00:00-04:00,30.51,31.09,30.51,30.71,3200,0.0,0.0,0.0
2025-10-29 00:00:00-04:00,31.46,31.58,30.98,31.58,3200,0.0,0.0,0.0
2025-10-28 00:00:00-04:00,31.49,32.01,31.45,31.65,3000,0.0,0.0,0.0
2025-10-27 00:00:00-04:00,33.41,33.41,31.71,31.87,3800,0.0,0.0,0.0
2025-10-24 00:00:00-04:00,31.99,31.99,31.5,31.62,5900,2.78,0.0,0.0
2025-10-23 00:00:00-04:00,31.08,32.35,30.92,32.3,5000,0.0,0.0,0.0
2025-10-22 00:00:00-04:00,31.1,31.14,30.77,30.77,6000,0.0,0.0,0.0
2025-10-21 00:00:00-04:00,31.69,32.0,31.29,31.29,7900,0.0,0.0,0.0
2025-10-20 00:00:00-04:00,31.86,32.06,31.78,31.96,2200,0.0,0.0,0.0
2025-10-17 00:00:00-04:00,31.55,31.83,31.34,31.34,3500,0.0,0.0,0.0
2025-10-16 00:00:00-04:00,31.57,31.57,31.1,31.33,3300,0.0,0.0,0.0
2025-10-15 00:00:00-04:00,31.96,32.32,31.78,31.84,9000,0.0,0.0,0.0
2025-10-14 00:00:00-04:00,31.55,32.12,31.38,31.64,1200,0.0,0.0,0.0
2025-10-13 00:00:00-04:00,32.48,32.48,31.78,32.17,1900,0.0,0.0,0.0
2025-10-10 00:00:00-04:00,32.92,32.92,31.78,32.14,5800,0.0,0.0,0.0
2025-10-09 00:00:00-04:00,33.91,34.67,32.55,32.92,28900,0.0,0.0,0.0
2025-10-08 00:00:00-04:00,33.92,35.67,32.41,33.45,23700,0.0,0.0,0.0
2025-10-07 00:00:00-04:00,35.73,38.34,33.79,33.91,15300,0.0,0.0,0.0
2025-10-06 00:00:00-04:00,35.87,36.82,35.24,35.41,6000,0.0,0.0,0.0
2025-10-03 00:00:00-04:00,36.26,36.26,34.88,34.99,2600,0.0,0.0,0.0
2025-10-02 00:00:00-04:00,36.63,36.7,35.94,35.94,1800,0.0,0.0,0.0
2025-10-01 00:00:00-04:00,35.68,36.46,35.68,36.46,2900,0.0,0.0,0.0
2025-09-30 00:00:00-04:00,35.57,36.1,35.57,36.0,5700,0.0,0.0,0.0
2025-09-29 00:00:00-04:00,35.65,35.79,35.44,35.79,2400,0.0,0.0,0.0
2025-09-26 00:00:00-04:00,33.94,35.26,33.94,34.86,4400,3.42,0.0,0.0
2025-09-25 00:00:00-04:00,34.53,34.77,33.83,33.83,5700,0.0,0.0,0.0
2025-09-24 00:00:00-04:00,35.24,35.25,34.64,34.64,1800,0.0,0.0,0.0
2025-09-23 00:00:00-04:00,35.06,35.27,35.06,35.11,2300,0.0,0.0,0.0
2025-09-22 00:00:00-04:00,34.9,35.33,34.9,35.16,2100,0.0,0.0,0.0
2025-09-19 00:00:00-04:00,34.79,34.79,34.79,34.79,700,0.0,0.0,0.0
2025-09-18 00:00:00-04:00,34.9,34.97,34.59,34.59,2100,0.0,0.0,0.0
2025-09-17 00:00:00-04:00,35.41,35.41,34.1,34.9,19400,0.0,0.0,0.0
2025-09-16 00:00:00-04:00,35.12,35.42,35.12,35.42,1700,0.0,0.0,0.0
2025-09-15 00:00:00-04:00,34.47,35.04,34.47,34.96,2800,0.0,0.0,0.0
2025-09-12 00:00:00-04:00,34.01,34.18,34.01,34.09,3900,0.0,0.0,0.0
2025-09-11 00:00:00-04:00,32.87,33.78,32.87,33.78,500,0.0,0.0,0.0
2025-09-10 00:00:00-04:00,33.09,33.88,32.65,33.25,5500,0.0,0.0,0.0
2025-09-09 00:00:00-04:00,31.25,31.65,31.15,31.65,1200,0.0,0.0,0.0
2025-09-08 00:00:00-04:00,30.7,31.33,30.38,31.33,7900,0.0,0.0,0.0
2025-09-05 00:00:00-04:00,30.47,30.47,30.47,30.47,300,0.0,0.0,0.0
2025-09-04 00:00:00-04:00,30.4,30.4,30.4,30.4,200,0.0,0.0,0.0
2025-09-03 00:00:00-04:00,30.99,30.99,30.8,30.8,400,0.0,0.0,0.0
2025-09-02 00:00:00-04:00,30.16,31.02,30.16,31.02,600,0.0,0.0,0.0
2025-08-29 00:00:00-04:00,30.32,30.67,30.28,30.28,900,0.0,0.0,0.0
2025-08-28 00:00:00-04:00,30.3,30.57,30.3,30.57,200,0.0,0.0,0.0
2025-08-27 00:00:00-04:00,30.2,30.28,30.03,30.28,1000,0.0,0.0,0.0
2025-08-26 00:00:00-04:00,30.59,30.59,30.12,30.12,1000,0.0,0.0,0.0
2025-08-25 00:00:00-04:00,30.08,30.68,30.08,30.55,1100,0.0,0.0,0.0
2025-08-22 00:00:00-04:00,30.17,30.52,30.17,30.52,1700,2.57,0.0,0.0
2025-08-21 00:00:00-04:00,30.2,30.2,30.12,30.18,1400,0.0,0.0,0.0
2025-08-20 00:00:00-04:00,30.05,30.35,30.05,30.35,700,0.0,0.0,0.0
2025-08-19 00:00:00-04:00,30.62,30.62,30.45,30.52,700,0.0,0.0,0.0
2025-08-18 00:00:00-04:00,30.61,30.89,30.46,30.89,900,0.0,0.0,0.0
2025-08-15 00:00:00-04:00,30.46,30.53,30.45,30.53,400,0.0,0.0,0.0
2025-08-14 00:00:00-04:00,30.35,30.46,30.35,30.46,1100,0.0,0.0,0.0
2025-08-13 00:00:00-04:00,30.27,30.65,30.27,30.53,1100,0.0,0.0,0.0
2025-08-12 00:00:00-04:00,30.4,30.4,30.4,30.4,200,0.0,0.0,0.0
2025-08-11 00:00:00-04:00,29.67,29.87,29.67,29.86,2800,0.0,0.0,0.0
2025-08-08 00:00:00-04:00,29.9,29.9,29.66,29.66,300,0.0,0.0,0.0
2025-08-07 00:00:00-04:00,30.4,30.4,29.89,30.06,1700,0.0,0.0,0.0
2025-08-06 00:00:00-04:00,30.04,30.16,29.96,30.16,900,0.0,0.0,0.0
2025-08-05 00:00:00-04:00,30.24,30.24,30.24,30.24,200,0.0,0.0,0.0
