Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-11-25 00:00:00-05:00,27.01,27.11,27.01,27.11,7600,0.0,0.0,0.0
2025-11-24 00:00:00-05:00,26.92,26.92,26.92,26.92,100,0.0,0.0,0.0
2025-11-21 00:00:00-05:00,26.67,26.92,26.92,26.92,2,0.0,0.0,0.0
2025-11-20 00:00:00-05:00,27.3,27.3,27.09,27.09,200,0.0,0.0,0.0
2025-11-19 00:00:00-05:00,27.35,27.36,27.29,27.34,4800,0.0,0.0,0.0
2025-11-18 00:00:00-05:00,27.08,27.15,27.08,27.12,800,0.0,0.0,0.0
2025-11-17 00:00:00-05:00,27.29,27.29,27.14,27.14,800,0.0,0.0,0.0
2025-11-14 00:00:00-05:00,27.17,27.29,27.15,27.16,8500,0.0,0.0,0.0
2025-11-13 00:00:00-05:00,27.21,27.27,27.15,27.15,6200,0.0,0.0,0.0
2025-11-12 00:00:00-05:00,27.48,27.48,27.47,27.47,100,0.0,0.0,0.0
2025-11-11 00:00:00-05:00,27.67,27.67,27.67,27.67,100,0.0,0.0,0.0
2025-11-10 00:00:00-05:00,27.12,27.31,27.12,27.31,1400,0.0,0.0,0.0
2025-11-07 00:00:00-05:00,26.92,26.96,26.92,26.96,700,0.0,0.0,0.0
2025-11-06 00:00:00-05:00,26.92,26.92,26.92,26.92,200,0.0,0.0,0.0
2025-11-05 00:00:00-05:00,27.49,27.49,27.49,27.49,100,0.0,0.0,0.0
2025-11-04 00:00:00-05:00,27.29,27.32,27.29,27.32,400,0.0,0.0,0.0
2025-11-03 00:00:00-05:00,27.5,27.5,27.39,27.43,1200,0.0,0.0,0.0
2025-10-31 00:00:00-04:00,27.35,27.38,27.35,27.38,600,0.0,0.0,0.0
2025-10-30 00:00:00-04:00,27.62,27.65,27.56,27.56,1300,0.0,0.0,0.0
2025-10-29 00:00:00-04:00,27.4,28.4,26.01,27.65,8000,0.0,0.0,0.0
2025-10-28 00:00:00-04:00,27.65,27.65,27.65,27.65,100,0.0,0.0,0.0
2025-10-27 00:00:00-04:00,27.72,27.77,27.69,27.77,1300,0.0,0.0,0.0
2025-10-24 00:00:00-04:00,27.7,27.7,27.63,27.64,3700,0.0,0.0,0.0
2025-10-23 00:00:00-04:00,27.83,27.83,27.83,27.83,200,0.0,0.0,0.0
2025-10-22 00:00:00-04:00,28.2,28.32,28.2,28.23,2300,0.0,0.0,0.0
2025-10-21 00:00:00-04:00,27.88,27.88,27.79,27.79,1300,0.0,0.0,0.0
2025-10-20 00:00:00-04:00,27.94,28.11,27.94,28.09,900,0.0,0.0,0.0
2025-10-17 00:00:00-04:00,28.03,28.03,28.0,28.0,600,0.0,0.0,0.0
