Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-12-04 00:00:00-05:00,50.55,50.57,50.53,50.54,3894564,0.0,0.0,0.0
2025-12-03 00:00:00-05:00,50.55,50.57,50.54,50.54,5046300,0.0,0.0,0.0
2025-12-02 00:00:00-05:00,50.57,50.57,50.53,50.53,4824300,0.0,0.0,0.0
2025-12-01 00:00:00-05:00,50.54,50.56,50.51,50.56,5748400,0.195,0.0,0.0
2025-11-28 00:00:00-05:00,50.52,50.54,50.51,50.53,1572200,0.0,0.0,0.0
2025-11-26 00:00:00-05:00,50.52,50.53,50.48,50.51,3763000,0.0,0.0,0.0
2025-11-25 00:00:00-05:00,50.5,50.51,50.47,50.49,6110000,0.0,0.0,0.0
2025-11-24 00:00:00-05:00,50.5,50.51,50.48,50.49,5369300,0.0,0.0,0.0
2025-11-21 00:00:00-05:00,50.5,50.51,50.48,50.5,5459300,0.0,0.0,0.0
2025-11-20 00:00:00-05:00,50.5,50.5,50.48,50.48,4832500,0.0,0.0,0.0
2025-11-19 00:00:00-05:00,50.46,50.48,50.45,50.48,4494800,0.0,0.0,0.0
2025-11-18 00:00:00-05:00,50.49,50.49,50.44,50.44,6824300,0.0,0.0,0.0
2025-11-17 00:00:00-05:00,50.45,50.52,50.44,50.46,4102300,0.0,0.0,0.0
2025-11-14 00:00:00-05:00,50.44,50.45,50.42,50.44,4227500,0.0,0.0,0.0
2025-11-13 00:00:00-05:00,50.45,50.45,50.42,50.43,4548500,0.0,0.0,0.0
2025-11-12 00:00:00-05:00,50.45,50.45,50.42,50.42,3099500,0.0,0.0,0.0
2025-11-11 00:00:00-05:00,50.44,50.44,50.41,50.43,2767200,0.0,0.0,0.0
2025-11-10 00:00:00-05:00,50.41,50.42,50.4,50.42,4766500,0.0,0.0,0.0
2025-11-07 00:00:00-05:00,50.44,50.44,50.39,50.39,5001200,0.0,0.0,0.0
2025-11-06 00:00:00-05:00,50.4,50.4,50.37,50.38,5346100,0.0,0.0,0.0
2025-11-05 00:00:00-05:00,50.38,50.39,50.37,50.38,4130400,0.0,0.0,0.0
2025-11-04 00:00:00-05:00,50.39,50.39,50.35,50.37,8246000,0.0,0.0,0.0
2025-11-03 00:00:00-05:00,50.38,50.38,50.35,50.36,4231600,0.222,0.0,0.0
2025-10-31 00:00:00-04:00,50.29,50.35,50.29,50.32,9822200,0.0,0.0,0.0
2025-10-30 00:00:00-04:00,50.32,50.32,50.28,50.28,5265600,0.0,0.0,0.0
2025-10-29 00:00:00-04:00,50.34,50.34,50.29,50.3,6731200,0.0,0.0,0.0
2025-10-28 00:00:00-04:00,50.34,50.34,50.3,50.32,2975500,0.0,0.0,0.0
2025-10-27 00:00:00-04:00,50.25,50.31,50.24,50.31,7084800,0.0,0.0,0.0
2025-10-24 00:00:00-04:00,50.25,50.26,50.22,50.23,2574100,0.0,0.0,0.0
2025-10-23 00:00:00-04:00,50.23,50.25,50.22,50.24,6594000,0.0,0.0,0.0
2025-10-22 00:00:00-04:00,50.24,50.25,50.21,50.22,3294000,0.0,0.0,0.0
2025-10-21 00:00:00-04:00,50.21,50.25,50.2,50.22,7037300,0.0,0.0,0.0
2025-10-20 00:00:00-04:00,50.2,50.22,50.19,50.2,6838900,0.0,0.0,0.0
2025-10-17 00:00:00-04:00,50.19,50.2,50.18,50.2,4660900,0.0,0.0,0.0
2025-10-16 00:00:00-04:00,50.18,50.21,50.16,50.17,5855100,0.0,0.0,0.0
2025-10-15 00:00:00-04:00,50.2,50.21,50.16,50.18,6244400,0.0,0.0,0.0
2025-10-14 00:00:00-04:00,50.2,50.21,50.18,50.18,4749900,0.0,0.0,0.0
2025-10-13 00:00:00-04:00,50.19,50.2,50.16,50.2,2205600,0.0,0.0,0.0
2025-10-10 00:00:00-04:00,50.23,50.23,50.14,50.14,7286000,0.0,0.0,0.0
2025-10-09 00:00:00-04:00,50.19,50.21,50.18,50.19,4134900,0.0,0.0,0.0
2025-10-08 00:00:00-04:00,50.2,50.22,50.19,50.2,5017300,0.0,0.0,0.0
2025-10-07 00:00:00-04:00,50.23,50.23,50.18,50.2,4210600,0.0,0.0,0.0
2025-10-06 00:00:00-04:00,50.2,50.2,50.18,50.18,4196500,0.0,0.0,0.0
2025-10-03 00:00:00-04:00,50.2,50.23,50.17,50.18,6350100,0.0,0.0,0.0
2025-10-02 00:00:00-04:00,50.18,50.19,50.18,50.18,7139100,0.0,0.0,0.0
2025-10-01 00:00:00-04:00,50.19,50.19,50.17,50.18,5736700,0.227,0.0,0.0
