Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-11-25 00:00:00-05:00,78.43,79.23,78.39,79.22,28195,0.0,0.0,0.0
2025-11-24 00:00:00-05:00,77.69,78.39,77.71,78.26,28980,0.0,0.0,0.0
2025-11-21 00:00:00-05:00,76.63,77.88,76.49,77.33,18602,0.0,0.0,0.0
2025-11-20 00:00:00-05:00,78.62,78.75,76.36,76.36,25300,0.0,0.0,0.0
2025-11-19 00:00:00-05:00,77.37,77.85,77.16,77.47,13000,0.0,0.0,0.0
2025-11-18 00:00:00-05:00,77.3,77.76,76.82,77.37,18800,0.0,0.0,0.0
2025-11-17 00:00:00-05:00,78.4,78.56,77.42,77.65,24200,0.0,0.0,0.0
2025-11-14 00:00:00-05:00,78.02,79.0,78.02,78.51,27800,0.0,0.0,0.0
2025-11-13 00:00:00-05:00,79.57,79.68,78.61,78.68,21700,0.0,0.0,0.0
2025-11-12 00:00:00-05:00,80.02,80.1,79.85,79.88,13300,0.0,0.0,0.0
2025-11-11 00:00:00-05:00,79.45,79.87,79.45,79.77,25600,0.0,0.0,0.0
2025-11-10 00:00:00-05:00,79.25,79.69,78.95,79.54,14300,0.0,0.0,0.0
2025-11-07 00:00:00-05:00,77.86,78.61,77.7,78.61,11700,0.0,0.0,0.0
2025-11-06 00:00:00-05:00,78.96,78.96,78.2,78.31,21500,0.0,0.0,0.0
2025-11-05 00:00:00-05:00,78.64,79.31,78.61,79.0,17900,0.0,0.0,0.0
2025-11-04 00:00:00-05:00,78.69,79.02,78.49,78.66,37200,0.0,0.0,0.0
2025-11-03 00:00:00-05:00,79.7,79.7,79.07,79.34,16200,0.0,0.0,0.0
2025-10-31 00:00:00-04:00,79.51,79.63,79.04,79.38,18000,0.0,0.0,0.0
2025-10-30 00:00:00-04:00,79.32,79.82,79.09,79.09,21400,0.0,0.0,0.0
2025-10-29 00:00:00-04:00,80.02,80.12,79.43,79.65,32500,0.0,0.0,0.0
2025-10-28 00:00:00-04:00,80.19,80.19,79.89,79.92,23800,0.0,0.0,0.0
2025-10-27 00:00:00-04:00,79.96,80.12,79.87,80.09,13100,0.0,0.0,0.0
2025-10-24 00:00:00-04:00,79.41,79.6,79.38,79.38,10300,0.0,0.0,0.0
2025-10-23 00:00:00-04:00,78.48,78.99,78.48,78.84,11300,0.0,0.0,0.0
2025-10-22 00:00:00-04:00,78.87,78.87,78.12,78.34,16300,0.0,0.0,0.0
2025-10-21 00:00:00-04:00,78.68,79.0,78.64,78.89,19600,0.0,0.0,0.0
2025-10-20 00:00:00-04:00,78.24,78.79,78.24,78.71,23000,0.0,0.0,0.0
2025-10-17 00:00:00-04:00,77.49,78.01,77.3,77.88,15900,0.0,0.0,0.0
2025-10-16 00:00:00-04:00,78.4,78.52,77.27,77.52,18700,0.0,0.0,0.0
2025-10-15 00:00:00-04:00,78.4,78.8,77.72,78.19,27400,0.0,0.0,0.0
2025-10-14 00:00:00-04:00,77.03,78.26,76.95,77.89,56800,0.0,0.0,0.0
2025-10-13 00:00:00-04:00,77.49,77.86,77.39,77.72,11200,0.0,0.0,0.0
2025-10-10 00:00:00-04:00,78.74,78.77,76.59,76.59,16100,0.0,0.0,0.0
2025-10-09 00:00:00-04:00,78.69,78.76,78.44,78.56,166300,0.0,0.0,0.0
2025-10-08 00:00:00-04:00,78.79,79.04,78.79,78.99,20000,0.0,0.0,0.0
2025-10-07 00:00:00-04:00,79.08,79.08,78.43,78.55,14000,0.0,0.0,0.0
2025-10-06 00:00:00-04:00,79.13,79.13,78.76,78.91,39000,0.0,0.0,0.0
2025-10-03 00:00:00-04:00,78.82,79.16,78.74,78.75,16500,0.0,0.0,0.0
2025-10-02 00:00:00-04:00,78.67,78.72,78.36,78.68,33500,0.0,0.0,0.0
2025-10-01 00:00:00-04:00,78.09,78.59,78.09,78.54,217300,0.0,0.0,0.0
2025-09-30 00:00:00-04:00,78.02,78.37,77.81,78.37,18800,0.0,0.0,0.0
2025-09-29 00:00:00-04:00,78.29,78.29,77.92,78.12,18300,0.0,0.0,0.0
2025-09-26 00:00:00-04:00,77.52,77.92,77.52,77.91,15800,0.0,0.0,0.0
2025-09-25 00:00:00-04:00,77.51,77.51,77.01,77.33,23600,0.0,0.0,0.0
2025-09-24 00:00:00-04:00,78.24,78.24,77.72,77.8,17500,0.0,0.0,0.0
2025-09-23 00:00:00-04:00,78.31,78.54,77.95,78.04,16200,0.0,0.0,0.0
2025-09-22 00:00:00-04:00,77.92,78.34,77.9,78.29,20300,0.0,0.0,0.0
2025-09-19 00:00:00-04:00,78.14,78.15,77.75,78.07,29400,0.0,0.0,0.0
2025-09-18 00:00:00-04:00,77.8,78.1,77.67,77.91,34900,0.0,0.0,0.0
2025-09-17 00:00:00-04:00,77.52,77.9,77.02,77.42,54700,0.0,0.0,0.0
2025-09-16 00:00:00-04:00,77.76,77.77,77.37,77.45,56400,0.0,0.0,0.0
2025-09-15 00:00:00-04:00,77.68,77.83,77.53,77.62,43300,0.0,0.0,0.0
2025-09-12 00:00:00-04:00,77.69,77.69,77.46,77.53,10700,0.0,0.0,0.0
2025-09-11 00:00:00-04:00,77.12,77.73,77.12,77.69,12300,0.0,0.0,0.0
2025-09-10 00:00:00-04:00,77.03,77.14,76.72,76.93,51600,0.0,0.0,0.0
2025-09-09 00:00:00-04:00,76.69,76.82,76.52,76.77,17300,0.0,0.0,0.0
2025-09-08 00:00:00-04:00,76.76,76.79,76.49,76.74,14900,0.0,0.0,0.0
2025-09-05 00:00:00-04:00,76.98,77.11,76.2,76.61,26900,0.0,0.0,0.0
2025-09-04 00:00:00-04:00,76.13,76.68,76.07,76.68,9300,0.0,0.0,0.0
2025-09-03 00:00:00-04:00,75.97,76.06,75.65,75.98,13000,0.0,0.0,0.0
2025-09-02 00:00:00-04:00,75.56,75.83,75.29,75.83,10100,0.0,0.0,0.0
2025-08-29 00:00:00-04:00,76.55,76.56,76.2,76.32,13600,0.0,0.0,0.0
2025-08-28 00:00:00-04:00,76.62,76.71,76.42,76.71,37400,0.0,0.0,0.0
2025-08-27 00:00:00-04:00,76.18,76.56,76.18,76.52,14000,0.0,0.0,0.0
2025-08-26 00:00:00-04:00,76.01,76.29,76.0,76.26,14600,0.0,0.0,0.0
2025-08-25 00:00:00-04:00,76.31,76.31,76.06,76.06,17500,0.0,0.0,0.0
2025-08-22 00:00:00-04:00,75.41,76.58,75.41,76.38,11300,0.0,0.0,0.0
2025-08-21 00:00:00-04:00,75.19,75.4,75.02,75.15,35000,0.0,0.0,0.0
2025-08-20 00:00:00-04:00,75.55,75.55,74.97,75.48,13900,0.0,0.0,0.0
2025-08-19 00:00:00-04:00,75.75,76.0,75.41,75.59,16000,0.0,0.0,0.0
2025-08-18 00:00:00-04:00,75.72,75.77,75.66,75.75,16200,0.0,0.0,0.0
2025-08-15 00:00:00-04:00,76.12,76.12,75.7,75.7,16100,0.0,0.0,0.0
2025-08-14 00:00:00-04:00,75.75,76.01,75.73,76.01,16500,0.0,0.0,0.0
2025-08-13 00:00:00-04:00,75.89,76.14,75.77,76.14,18300,0.0,0.0,0.0
2025-08-12 00:00:00-04:00,75.07,75.68,75.05,75.68,19000,0.0,0.0,0.0
2025-08-11 00:00:00-04:00,75.03,75.07,74.76,74.76,15900,0.0,0.0,0.0
2025-08-08 00:00:00-04:00,74.74,75.01,74.74,74.91,11500,0.0,0.0,0.0
2025-08-07 00:00:00-04:00,75.1,75.1,74.21,74.54,11000,0.0,0.0,0.0
2025-08-06 00:00:00-04:00,74.41,74.75,74.27,74.62,18300,0.0,0.0,0.0
2025-08-05 00:00:00-04:00,74.7,74.75,74.23,74.3,31600,0.0,0.0,0.0
2025-08-04 00:00:00-04:00,74.01,74.64,74.01,74.64,31100,0.0,0.0,0.0
2025-08-01 00:00:00-04:00,73.98,73.98,73.39,73.62,9300,0.0,0.0,0.0
2025-07-31 00:00:00-04:00,75.35,75.48,74.65,74.65,22000,0.0,0.0,0.0
2025-07-30 00:00:00-04:00,75.3,75.44,74.69,74.96,19300,0.0,0.0,0.0
2025-07-29 00:00:00-04:00,75.53,75.53,75.12,75.22,14400,0.0,0.0,0.0
2025-07-28 00:00:00-04:00,75.57,75.58,75.22,75.34,12200,0.0,0.0,0.0
2025-07-25 00:00:00-04:00,75.34,75.57,75.26,75.49,17800,0.0,0.0,0.0
