Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-11-25 00:00:00-05:00,50.79,50.79,50.72,50.75,672999,0.0,0.0,0.0
2025-11-24 00:00:00-05:00,50.75,50.76,50.72,50.74,431198,0.0,0.0,0.0
2025-11-21 00:00:00-05:00,50.76,50.76,50.7,50.76,706561,0.0,0.0,0.0
2025-11-20 00:00:00-05:00,50.7,50.72,50.66,50.68,614100,0.0,0.0,0.0
2025-11-19 00:00:00-05:00,50.74,50.75,50.63,50.65,558200,0.0,0.0,0.0
2025-11-18 00:00:00-05:00,50.72,50.74,50.66,50.72,512200,0.0,0.0,0.0
2025-11-17 00:00:00-05:00,50.66,50.68,50.63,50.64,627700,0.0,0.0,0.0
2025-11-14 00:00:00-05:00,50.71,50.71,50.58,50.58,554900,0.0,0.0,0.0
2025-11-13 00:00:00-05:00,50.71,50.73,50.64,50.65,637400,0.0,0.0,0.0
2025-11-12 00:00:00-05:00,50.71,50.77,50.7,50.72,872400,0.0,0.0,0.0
2025-11-11 00:00:00-05:00,50.76,50.81,50.74,50.81,607700,0.0,0.0,0.0
2025-11-10 00:00:00-05:00,50.66,50.7,50.65,50.7,369600,0.0,0.0,0.0
2025-11-07 00:00:00-05:00,50.63,50.72,50.63,50.66,755700,0.0,0.0,0.0
2025-11-06 00:00:00-05:00,50.63,50.68,50.61,50.67,611700,0.0,0.0,0.0
2025-11-05 00:00:00-05:00,50.62,50.66,50.55,50.57,689800,0.0,0.0,0.0
2025-11-04 00:00:00-05:00,50.59,50.69,50.59,50.66,610700,0.0,0.0,0.0
2025-11-03 00:00:00-05:00,50.61,50.64,50.56,50.6,675200,0.0,0.0,0.0
2025-10-31 00:00:00-04:00,50.63,50.69,50.63,50.65,561800,0.0,0.0,0.0
2025-10-30 00:00:00-04:00,50.5,50.66,50.49,50.61,969700,0.0,0.0,0.0
2025-10-29 00:00:00-04:00,50.72,50.73,50.61,50.63,777100,0.0,0.0,0.0
2025-10-28 00:00:00-04:00,50.7,50.74,50.59,50.72,583500,0.0,0.0,0.0
2025-10-27 00:00:00-04:00,50.66,50.72,50.66,50.72,431700,0.0,0.0,0.0
