Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-11-25 00:00:00-05:00,26.0,26.08,25.81,26.05,124907,0.0,0.0,0.0
2025-11-24 00:00:00-05:00,25.81,25.92,25.75,25.91,75682,0.0,0.0,0.0
2025-11-21 00:00:00-05:00,25.57,25.83,25.48,25.72,179765,0.0,0.0,0.0
2025-11-20 00:00:00-05:00,25.83,26.03,25.54,25.64,205200,0.0,0.0,0.0
2025-11-19 00:00:00-05:00,25.68,25.72,25.62,25.71,85000,0.0,0.0,0.0
2025-11-18 00:00:00-05:00,25.7,25.7,25.55,25.64,57400,0.0,0.0,0.0
2025-11-17 00:00:00-05:00,25.77,25.77,25.65,25.71,46100,0.0,0.0,0.0
2025-11-14 00:00:00-05:00,25.62,25.82,25.54,25.78,43400,0.0,0.0,0.0
2025-11-13 00:00:00-05:00,25.49,25.87,25.49,25.75,59900,0.0,0.0,0.0
2025-11-12 00:00:00-05:00,26.38,26.38,25.89,25.97,68900,0.0,0.0,0.0
2025-11-11 00:00:00-05:00,25.88,26.15,25.85,26.14,85700,0.0,0.0,0.0
2025-11-10 00:00:00-05:00,25.84,25.96,25.78,25.95,93300,0.0,0.0,0.0
2025-11-07 00:00:00-05:00,25.95,25.95,25.55,25.78,67200,0.0,0.0,0.0
2025-11-06 00:00:00-05:00,25.97,25.97,25.7,25.97,44500,0.0,0.0,0.0
2025-11-05 00:00:00-05:00,26.22,26.22,25.77,25.95,66200,0.0,0.0,0.0
2025-11-04 00:00:00-05:00,25.89,26.02,25.81,25.9,65100,0.0,0.0,0.0
2025-11-03 00:00:00-05:00,26.3,26.3,25.94,26.02,249700,0.0,0.0,0.0
2025-10-31 00:00:00-04:00,25.95,26.17,25.93,25.97,148000,0.2,0.0,0.0
2025-10-30 00:00:00-04:00,26.07,26.2,25.92,25.99,105200,0.0,0.0,0.0
2025-10-29 00:00:00-04:00,26.29,26.34,26.05,26.18,59900,0.0,0.0,0.0
2025-10-28 00:00:00-04:00,26.14,26.19,26.04,26.16,52200,0.0,0.0,0.0
2025-10-27 00:00:00-04:00,26.03,26.07,25.96,26.06,92800,0.0,0.0,0.0
2025-10-24 00:00:00-04:00,25.9,25.91,25.81,25.86,98000,0.0,0.0,0.0
2025-10-23 00:00:00-04:00,25.71,25.8,25.57,25.78,78200,0.0,0.0,0.0
2025-10-22 00:00:00-04:00,25.79,26.0,25.59,25.68,73400,0.0,0.0,0.0
2025-10-21 00:00:00-04:00,25.72,25.8,25.67,25.74,91700,0.0,0.0,0.0
2025-10-20 00:00:00-04:00,25.72,25.76,25.65,25.75,38600,0.0,0.0,0.0
2025-10-17 00:00:00-04:00,25.42,25.91,25.42,25.62,40700,0.0,0.0,0.0
2025-10-16 00:00:00-04:00,25.5,25.66,25.42,25.5,92600,0.0,0.0,0.0
2025-10-15 00:00:00-04:00,25.45,25.66,25.37,25.49,52000,0.0,0.0,0.0
2025-10-14 00:00:00-04:00,25.21,25.47,25.02,25.4,35600,0.0,0.0,0.0
2025-10-13 00:00:00-04:00,25.42,25.66,25.34,25.43,59100,0.0,0.0,0.0
2025-10-10 00:00:00-04:00,25.93,25.93,25.24,25.25,101900,0.0,0.0,0.0
2025-10-09 00:00:00-04:00,25.52,25.52,25.41,25.46,57400,0.0,0.0,0.0
2025-10-08 00:00:00-04:00,25.5,25.97,25.34,25.51,56300,0.0,0.0,0.0
2025-10-07 00:00:00-04:00,25.52,25.52,25.38,25.44,93100,0.0,0.0,0.0
2025-10-06 00:00:00-04:00,25.49,25.5,25.39,25.5,91000,0.0,0.0,0.0
2025-10-03 00:00:00-04:00,25.42,25.79,25.39,25.43,39400,0.0,0.0,0.0
2025-10-02 00:00:00-04:00,25.47,25.47,25.34,25.42,60400,0.0,0.0,0.0
2025-10-01 00:00:00-04:00,25.23,25.45,25.23,25.45,84200,0.0,0.0,0.0
2025-09-30 00:00:00-04:00,25.13,25.47,25.13,25.34,50100,0.19,0.0,0.0
2025-09-29 00:00:00-04:00,25.38,25.49,25.23,25.34,67900,0.0,0.0,0.0
