Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-11-20 00:00:00-05:00,50.04,50.04,50.0,50.04,362746,0.0,0.0,0.0
2025-11-19 00:00:00-05:00,50.03,50.06,49.85,50.01,565500,0.0,0.0,0.0
2025-11-18 00:00:00-05:00,50.02,50.09,49.97,50.01,498500,0.0,0.0,0.0
2025-11-17 00:00:00-05:00,50.01,50.07,49.96,49.97,331400,0.0,0.0,0.0
2025-11-14 00:00:00-05:00,50.03,50.03,49.91,49.96,439000,0.0,0.0,0.0
2025-11-13 00:00:00-05:00,49.51,50.03,49.51,49.99,344100,0.0,0.0,0.0
2025-11-12 00:00:00-05:00,50.03,50.25,50.02,50.03,844000,0.0,0.0,0.0
2025-11-11 00:00:00-05:00,50.04,50.07,49.8,50.04,302400,0.0,0.0,0.0
2025-11-10 00:00:00-05:00,49.99,50.23,49.9,49.97,481400,0.0,0.0,0.0
2025-11-07 00:00:00-05:00,49.95,50.22,49.8,49.97,524900,0.0,0.0,0.0
2025-11-06 00:00:00-05:00,50.0,50.02,49.86,49.92,699000,0.0,0.0,0.0
2025-11-05 00:00:00-05:00,49.96,49.97,49.82,49.88,683000,0.0,0.0,0.0
2025-11-04 00:00:00-05:00,49.96,49.98,49.92,49.95,495400,0.0,0.0,0.0
2025-11-03 00:00:00-05:00,49.91,49.98,49.87,49.92,770300,0.0,0.0,0.0
2025-10-31 00:00:00-04:00,49.98,49.98,49.89,49.93,895400,0.0,0.0,0.0
2025-10-30 00:00:00-04:00,49.95,50.03,49.84,49.9,882900,0.0,0.0,0.0
2025-10-29 00:00:00-04:00,50.08,50.12,49.88,49.99,473000,0.0,0.0,0.0
2025-10-28 00:00:00-04:00,50.05,50.08,49.95,50.03,416500,0.0,0.0,0.0
2025-10-27 00:00:00-04:00,50.02,50.05,49.9,50.04,435100,0.0,0.0,0.0
2025-10-24 00:00:00-04:00,50.02,50.04,49.95,49.99,425900,0.0,0.0,0.0
2025-10-23 00:00:00-04:00,50.04,50.04,49.94,49.97,829200,0.0,0.0,0.0
2025-10-22 00:00:00-04:00,49.97,50.04,49.95,50.04,437000,0.0,0.0,0.0
2025-10-21 00:00:00-04:00,50.04,50.04,49.95,49.95,541200,0.17,0.0,0.0
2025-10-20 00:00:00-04:00,50.03,50.03,49.95,49.97,267700,0.0,0.0,0.0
2025-10-17 00:00:00-04:00,49.95,49.99,49.91,49.99,595800,0.0,0.0,0.0
2025-10-16 00:00:00-04:00,49.85,49.99,49.84,49.95,764100,0.0,0.0,0.0
2025-10-15 00:00:00-04:00,49.89,50.05,49.84,49.89,638400,0.0,0.0,0.0
2025-10-14 00:00:00-04:00,49.86,49.88,49.76,49.87,594600,0.0,0.0,0.0
2025-10-13 00:00:00-04:00,49.82,49.84,49.76,49.84,258100,0.0,0.0,0.0
2025-10-10 00:00:00-04:00,49.8,49.81,49.72,49.8,424400,0.0,0.0,0.0
2025-10-09 00:00:00-04:00,49.74,49.74,49.66,49.7,527300,0.0,0.0,0.0
2025-10-08 00:00:00-04:00,49.7,49.91,49.66,49.71,656800,0.0,0.0,0.0
2025-10-07 00:00:00-04:00,49.68,49.92,49.59,49.61,1436800,0.0,0.0,0.0
2025-10-06 00:00:00-04:00,49.7,49.91,49.66,49.69,600400,0.0,0.0,0.0
2025-10-03 00:00:00-04:00,49.78,49.83,49.65,49.74,407500,0.0,0.0,0.0
2025-10-02 00:00:00-04:00,49.69,49.99,49.58,49.78,537600,0.0,0.0,0.0
2025-10-01 00:00:00-04:00,49.67,49.74,49.63,49.69,537800,0.0,0.0,0.0
2025-09-30 00:00:00-04:00,49.63,49.78,49.6,49.62,589200,0.0,0.0,0.0
2025-09-29 00:00:00-04:00,49.58,49.59,49.49,49.58,838600,0.0,0.0,0.0
2025-09-26 00:00:00-04:00,49.55,49.57,49.48,49.54,489100,0.0,0.0,0.0
2025-09-25 00:00:00-04:00,49.58,49.67,49.45,49.52,404000,0.17,0.0,0.0
