Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-11-25 00:00:00-05:00,25.85,26.13,25.85,26.13,33801,0.0,0.0,0.0
2025-11-24 00:00:00-05:00,26.0,26.06,25.83,26.0,26381,0.0,0.0,0.0
2025-11-21 00:00:00-05:00,26.0,26.04,25.9,25.94,12630,0.0,0.0,0.0
2025-11-20 00:00:00-05:00,26.23,26.49,25.92,26.0,54000,0.0,0.0,0.0
2025-11-19 00:00:00-05:00,26.07,26.21,26.0,26.19,28800,0.0,0.0,0.0
2025-11-18 00:00:00-05:00,26.19,26.25,26.04,26.21,48400,0.0,0.0,0.0
2025-11-17 00:00:00-05:00,26.37,26.41,26.05,26.1,157900,0.0,0.0,0.0
2025-11-14 00:00:00-05:00,25.9,26.45,25.85,26.42,28500,0.0,0.0,0.0
2025-11-13 00:00:00-05:00,26.24,26.24,25.78,25.91,201900,0.0,0.0,0.0
2025-11-12 00:00:00-05:00,26.14,26.26,26.06,26.07,87200,0.0,0.0,0.0
2025-11-11 00:00:00-05:00,25.99,26.15,25.88,26.13,19000,0.0,0.0,0.0
2025-11-10 00:00:00-05:00,25.74,26.02,25.58,26.01,42300,0.0,0.0,0.0
2025-11-07 00:00:00-05:00,25.4,25.79,25.21,25.76,45300,0.0,0.0,0.0
2025-11-06 00:00:00-05:00,25.29,25.5,25.29,25.45,22500,0.0,0.0,0.0
2025-11-05 00:00:00-05:00,25.19,25.46,25.08,25.37,28200,0.0,0.0,0.0
2025-11-04 00:00:00-05:00,25.28,25.28,25.0,25.01,70800,0.0,0.0,0.0
2025-11-03 00:00:00-05:00,25.5,25.5,25.18,25.3,23600,0.0,0.0,0.0
2025-10-31 00:00:00-04:00,25.08,25.37,25.0,25.37,30600,0.0,0.0,0.0
2025-10-30 00:00:00-04:00,25.04,25.44,24.93,25.34,36400,0.22,0.0,0.0
2025-10-29 00:00:00-04:00,25.37,25.41,25.18,25.22,38200,0.0,0.0,0.0
2025-10-28 00:00:00-04:00,25.44,25.44,25.15,25.32,70100,0.0,0.0,0.0
2025-10-27 00:00:00-04:00,25.59,25.59,25.35,25.48,33600,0.0,0.0,0.0
2025-10-24 00:00:00-04:00,25.71,25.74,25.28,25.39,58800,0.0,0.0,0.0
2025-10-23 00:00:00-04:00,25.92,25.92,25.58,25.66,32600,0.0,0.0,0.0
2025-10-22 00:00:00-04:00,25.55,25.78,25.52,25.77,22900,0.0,0.0,0.0
2025-10-21 00:00:00-04:00,25.45,25.59,25.37,25.57,62200,0.0,0.0,0.0
2025-10-20 00:00:00-04:00,25.41,25.57,25.4,25.56,20900,0.0,0.0,0.0
2025-10-17 00:00:00-04:00,25.37,25.38,25.25,25.25,45900,0.0,0.0,0.0
2025-10-16 00:00:00-04:00,25.53,25.65,25.37,25.37,73900,0.0,0.0,0.0
2025-10-15 00:00:00-04:00,25.46,25.88,25.46,25.66,78100,0.0,0.0,0.0
2025-10-14 00:00:00-04:00,25.28,25.77,25.28,25.52,37300,0.0,0.0,0.0
2025-10-13 00:00:00-04:00,25.52,25.73,25.47,25.66,38500,0.0,0.0,0.0
2025-10-10 00:00:00-04:00,25.89,26.02,25.52,25.57,67800,0.0,0.0,0.0
2025-10-09 00:00:00-04:00,26.61,26.61,25.9,25.95,95700,0.0,0.0,0.0
2025-10-08 00:00:00-04:00,26.27,26.38,26.17,26.35,47500,0.0,0.0,0.0
2025-10-07 00:00:00-04:00,26.27,26.33,26.21,26.33,27900,0.0,0.0,0.0
2025-10-06 00:00:00-04:00,26.66,26.74,26.29,26.34,56500,0.0,0.0,0.0
2025-10-03 00:00:00-04:00,26.67,26.67,26.22,26.48,50600,0.0,0.0,0.0
2025-10-02 00:00:00-04:00,26.87,26.87,26.37,26.45,44300,0.0,0.0,0.0
2025-10-01 00:00:00-04:00,26.62,26.62,26.35,26.44,38700,0.0,0.0,0.0
2025-09-30 00:00:00-04:00,26.68,26.68,26.34,26.47,53600,0.0,0.0,0.0
2025-09-29 00:00:00-04:00,26.66,26.66,26.34,26.48,43500,0.22,0.0,0.0
2025-09-26 00:00:00-04:00,26.61,26.86,26.58,26.59,56200,0.0,0.0,0.0
2025-09-25 00:00:00-04:00,26.59,26.64,26.47,26.61,36000,0.0,0.0,0.0
2025-09-24 00:00:00-04:00,26.78,26.78,26.4,26.59,60100,0.0,0.0,0.0
2025-09-23 00:00:00-04:00,26.16,26.64,26.16,26.39,36300,0.0,0.0,0.0
2025-09-22 00:00:00-04:00,26.36,26.36,26.07,26.15,59800,0.0,0.0,0.0
2025-09-19 00:00:00-04:00,26.72,26.72,26.11,26.18,73000,0.0,0.0,0.0
2025-09-18 00:00:00-04:00,26.69,26.69,26.36,26.52,44900,0.0,0.0,0.0
2025-09-17 00:00:00-04:00,26.48,26.48,26.26,26.38,40600,0.0,0.0,0.0
2025-09-16 00:00:00-04:00,26.25,26.32,26.21,26.25,58500,0.0,0.0,0.0
2025-09-15 00:00:00-04:00,26.37,26.48,26.26,26.26,218500,0.0,0.0,0.0
2025-09-12 00:00:00-04:00,26.54,26.54,26.3,26.4,167300,0.0,0.0,0.0
2025-09-11 00:00:00-04:00,26.05,26.54,26.0,26.52,132800,0.0,0.0,0.0
2025-09-10 00:00:00-04:00,25.93,26.34,25.93,26.17,17200,0.0,0.0,0.0
2025-09-09 00:00:00-04:00,26.12,26.24,26.01,26.17,24800,0.0,0.0,0.0
2025-09-08 00:00:00-04:00,26.06,26.16,25.91,26.02,24600,0.0,0.0,0.0
2025-09-05 00:00:00-04:00,26.12,26.2,25.95,26.06,24800,0.0,0.0,0.0
2025-09-04 00:00:00-04:00,26.03,26.24,26.03,26.23,15000,0.0,0.0,0.0
2025-09-03 00:00:00-04:00,26.04,26.27,26.04,26.17,24100,0.0,0.0,0.0
2025-09-02 00:00:00-04:00,26.34,26.52,26.08,26.21,32300,0.0,0.0,0.0
2025-08-29 00:00:00-04:00,26.28,26.45,26.23,26.32,28000,0.0,0.0,0.0
2025-08-28 00:00:00-04:00,26.32,26.54,26.01,26.32,61600,0.22,0.0,0.0
2025-08-27 00:00:00-04:00,26.16,26.2,26.0,26.13,50700,0.0,0.0,0.0
2025-08-26 00:00:00-04:00,26.17,26.17,25.81,26.01,20700,0.0,0.0,0.0
2025-08-25 00:00:00-04:00,25.94,26.1,25.94,25.97,12000,0.0,0.0,0.0
2025-08-22 00:00:00-04:00,26.14,26.18,25.98,26.05,59000,0.0,0.0,0.0
2025-08-21 00:00:00-04:00,25.94,26.1,25.94,25.95,11900,0.0,0.0,0.0
2025-08-20 00:00:00-04:00,25.78,26.01,25.73,25.91,28200,0.0,0.0,0.0
