Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-11-24 00:00:00-05:00,81.82,82.74,81.63,82.54,138341,0.0,0.0,0.0
2025-11-21 00:00:00-05:00,80.0,82.23,80.0,81.77,201400,0.0,0.0,0.0
2025-11-20 00:00:00-05:00,81.55,81.94,79.64,79.64,71013,0.0,0.0,0.0
2025-11-19 00:00:00-05:00,80.84,81.28,80.28,80.72,65200,0.0,0.0,0.0
2025-11-18 00:00:00-05:00,79.85,81.02,79.85,80.73,108000,0.0,0.0,0.0
2025-11-17 00:00:00-05:00,81.81,81.87,80.12,80.33,65300,0.0,0.0,0.0
2025-11-14 00:00:00-05:00,81.35,82.24,81.35,81.92,38000,0.0,0.0,0.0
2025-11-13 00:00:00-05:00,82.89,83.21,81.96,82.19,41400,0.0,0.0,0.0
2025-11-12 00:00:00-05:00,83.29,83.71,83.22,83.32,88300,0.0,0.0,0.0
2025-11-11 00:00:00-05:00,82.74,83.27,82.7,83.0,60100,0.0,0.0,0.0
2025-11-10 00:00:00-05:00,83.09,83.14,82.31,82.77,35300,0.0,0.0,0.0
2025-11-07 00:00:00-05:00,80.95,82.45,80.95,82.45,59000,0.0,0.0,0.0
2025-11-06 00:00:00-05:00,82.31,82.55,81.34,81.49,64400,0.0,0.0,0.0
2025-11-05 00:00:00-05:00,81.74,82.75,81.71,82.27,78100,0.0,0.0,0.0
2025-11-04 00:00:00-05:00,81.31,81.98,81.31,81.67,49300,0.0,0.0,0.0
2025-11-03 00:00:00-05:00,82.19,82.31,81.32,82.31,75500,0.0,0.0,0.0
2025-10-31 00:00:00-04:00,81.84,82.39,81.56,82.2,41300,0.0,0.0,0.0
2025-10-30 00:00:00-04:00,82.11,82.86,81.81,81.84,83500,0.0,0.0,0.0
2025-10-29 00:00:00-04:00,82.97,83.66,82.33,82.65,140200,0.0,0.0,0.0
2025-10-28 00:00:00-04:00,84.09,84.09,83.29,83.39,87500,0.0,0.0,0.0
2025-10-27 00:00:00-04:00,84.59,84.59,83.95,84.1,48800,0.0,0.0,0.0
2025-10-24 00:00:00-04:00,84.53,84.53,84.04,84.04,49900,0.0,0.0,0.0
2025-10-23 00:00:00-04:00,83.22,83.89,83.1,83.72,66200,0.0,0.0,0.0
2025-10-22 00:00:00-04:00,83.7,83.7,82.62,82.85,60900,0.0,0.0,0.0
2025-10-21 00:00:00-04:00,83.49,84.05,83.27,83.72,794600,0.0,0.0,0.0
2025-10-20 00:00:00-04:00,83.1,83.65,83.1,83.58,39700,0.0,0.0,0.0
2025-10-17 00:00:00-04:00,82.03,82.59,81.91,82.42,41100,0.0,0.0,0.0
2025-10-16 00:00:00-04:00,83.54,83.54,81.89,82.18,46000,0.0,0.0,0.0
2025-10-15 00:00:00-04:00,83.78,84.1,82.8,83.22,61600,0.0,0.0,0.0
2025-10-14 00:00:00-04:00,81.35,83.54,81.35,83.2,62600,0.0,0.0,0.0
2025-10-13 00:00:00-04:00,81.63,82.41,81.57,82.15,60400,0.0,0.0,0.0
2025-10-10 00:00:00-04:00,83.27,83.42,80.55,80.59,67700,0.0,0.0,0.0
2025-10-09 00:00:00-04:00,84.01,84.18,82.91,83.11,65200,0.0,0.0,0.0
2025-10-08 00:00:00-04:00,83.78,84.18,83.73,83.97,50900,0.0,0.0,0.0
2025-10-07 00:00:00-04:00,84.53,84.53,83.26,83.4,91200,0.0,0.0,0.0
2025-10-06 00:00:00-04:00,84.81,84.81,84.04,84.32,66500,0.0,0.0,0.0
2025-10-03 00:00:00-04:00,84.08,84.73,84.08,84.32,48000,0.0,0.0,0.0
2025-10-02 00:00:00-04:00,83.79,84.07,83.24,83.89,62400,0.0,0.0,0.0
2025-10-01 00:00:00-04:00,83.16,83.85,83.16,83.78,55000,0.0,0.0,0.0
2025-09-30 00:00:00-04:00,83.06,83.43,82.58,83.41,70300,0.0,0.0,0.0
2025-09-29 00:00:00-04:00,83.88,83.88,82.9,83.17,71800,0.0,0.0,0.0
2025-09-26 00:00:00-04:00,82.76,83.49,82.76,83.42,62300,0.0,0.0,0.0
2025-09-25 00:00:00-04:00,82.61,82.75,82.24,82.62,64400,0.0,0.0,0.0
2025-09-24 00:00:00-04:00,83.78,83.9,83.1,83.14,104400,0.0,0.0,0.0
2025-09-23 00:00:00-04:00,83.73,84.4,83.33,83.51,85200,0.0,0.0,0.0
2025-09-22 00:00:00-04:00,83.41,83.62,83.11,83.43,106200,0.39,0.0,0.0
2025-09-19 00:00:00-04:00,84.48,84.48,83.49,83.58,89100,0.0,0.0,0.0
2025-09-18 00:00:00-04:00,83.93,84.58,83.63,84.43,71300,0.0,0.0,0.0
2025-09-17 00:00:00-04:00,83.77,84.97,82.96,83.43,64800,0.0,0.0,0.0
2025-09-16 00:00:00-04:00,83.79,83.85,83.16,83.53,54500,0.0,0.0,0.0
2025-09-15 00:00:00-04:00,84.08,84.3,83.62,83.68,76400,0.0,0.0,0.0
2025-09-12 00:00:00-04:00,84.55,84.71,83.84,83.84,66300,0.0,0.0,0.0
2025-09-11 00:00:00-04:00,83.78,84.8,83.78,84.8,64900,0.0,0.0,0.0
2025-09-10 00:00:00-04:00,83.64,84.05,83.23,83.54,93400,0.0,0.0,0.0
2025-09-09 00:00:00-04:00,84.1,84.1,83.39,83.56,42200,0.0,0.0,0.0
2025-09-08 00:00:00-04:00,84.51,84.51,83.66,84.26,48900,0.0,0.0,0.0
2025-09-05 00:00:00-04:00,84.25,85.04,83.81,84.42,59600,0.0,0.0,0.0
2025-09-04 00:00:00-04:00,83.16,84.05,82.98,83.99,64000,0.0,0.0,0.0
2025-09-03 00:00:00-04:00,82.88,83.4,82.49,82.93,55900,0.0,0.0,0.0
2025-09-02 00:00:00-04:00,82.68,83.1,82.42,83.09,63000,0.0,0.0,0.0
2025-08-29 00:00:00-04:00,83.64,84.03,83.23,83.52,48700,0.0,0.0,0.0
2025-08-28 00:00:00-04:00,84.12,84.12,83.19,83.69,74100,0.0,0.0,0.0
2025-08-27 00:00:00-04:00,83.18,84.0,83.18,83.86,54200,0.0,0.0,0.0
2025-08-26 00:00:00-04:00,83.18,83.55,83.16,83.24,85000,0.0,0.0,0.0
2025-08-25 00:00:00-04:00,83.49,83.49,83.06,83.06,83200,0.0,0.0,0.0
2025-08-22 00:00:00-04:00,81.4,83.79,81.4,83.62,59000,0.0,0.0,0.0
2025-08-21 00:00:00-04:00,80.77,81.23,80.51,81.09,81500,0.0,0.0,0.0
2025-08-20 00:00:00-04:00,81.37,81.67,80.98,81.25,43400,0.0,0.0,0.0
2025-08-19 00:00:00-04:00,81.1,82.16,81.1,81.48,57100,0.0,0.0,0.0
2025-08-18 00:00:00-04:00,80.87,81.11,80.76,81.01,69500,0.0,0.0,0.0
