Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-10-20 00:00:00-04:00,33.63,33.65,33.63,33.65,928,0.0,0.0,0.0
2025-10-17 00:00:00-04:00,33.25,33.25,33.25,33.25,181,0.0,0.0,0.0
2025-10-13 00:00:00-04:00,32.52,32.52,32.52,32.52,2099,0.0,0.0,0.0
2025-10-10 00:00:00-04:00,32.52,32.52,32.52,32.52,880,0.0,0.0,0.0
2025-10-03 00:00:00-04:00,32.51,32.54,32.51,32.54,2088,0.0,0.0,0.0
2025-10-02 00:00:00-04:00,32.3,32.3,32.16,32.16,8390,0.0,0.0,0.0
2025-10-01 00:00:00-04:00,32.15,32.15,32.15,32.15,3829,0.0,0.0,0.0
2025-09-29 00:00:00-04:00,31.94,31.94,31.91,31.91,6814,0.0,0.0,0.0
2025-07-22 00:00:00-04:00,30.01,30.01,30.01,30.01,34549,0.0,0.0,0.0
2025-07-18 00:00:00-04:00,30.06,30.06,30.06,30.06,1300,0.0,0.0,0.0
2025-06-20 00:00:00-04:00,28.73,28.73,28.73,28.73,728,0.0,0.0,0.0
2025-05-16 00:00:00-04:00,27.88,27.88,27.88,27.88,1550,0.0,0.0,0.0
2025-02-28 00:00:00-05:00,25.23,25.26,25.22,25.26,7890,0.0,0.0,0.0
2025-02-27 00:00:00-05:00,25.83,25.83,25.83,25.83,5909,0.0,0.0,0.0
