Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-11-25 00:00:00-05:00,51.26,51.31,51.25,51.31,770300,0.0,0.0,0.0
2025-11-24 00:00:00-05:00,51.27,51.27,51.23,51.26,386937,0.0,0.0,0.0
2025-11-21 00:00:00-05:00,51.24,51.25,51.21,51.25,430631,0.0,0.0,0.0
2025-11-20 00:00:00-05:00,51.2,51.2,51.17,51.2,520000,0.0,0.0,0.0
2025-11-19 00:00:00-05:00,51.19,51.19,51.15,51.17,329400,0.0,0.0,0.0
2025-11-18 00:00:00-05:00,51.13,51.19,51.13,51.16,812500,0.0,0.0,0.0
2025-11-17 00:00:00-05:00,51.16,51.16,51.13,51.14,298700,0.0,0.0,0.0
2025-11-14 00:00:00-05:00,51.18,51.18,51.13,51.14,507300,0.0,0.0,0.0
2025-11-13 00:00:00-05:00,51.16,51.16,51.12,51.13,921100,0.0,0.0,0.0
2025-11-12 00:00:00-05:00,51.19,51.19,51.16,51.17,330600,0.0,0.0,0.0
2025-11-11 00:00:00-05:00,51.15,51.19,51.14,51.18,214300,0.0,0.0,0.0
2025-11-10 00:00:00-05:00,51.15,51.16,51.11,51.15,431400,0.0,0.0,0.0
2025-11-07 00:00:00-05:00,51.15,51.18,51.12,51.17,482200,0.0,0.0,0.0
2025-11-06 00:00:00-05:00,51.11,51.15,51.11,51.15,713700,0.0,0.0,0.0
2025-11-05 00:00:00-05:00,51.12,51.12,51.07,51.08,381500,0.0,0.0,0.0
2025-11-04 00:00:00-05:00,51.12,51.14,51.11,51.13,538100,0.0,0.0,0.0
2025-11-03 00:00:00-05:00,51.12,51.12,51.07,51.1,1167600,0.18,0.0,0.0
2025-10-31 00:00:00-04:00,51.09,51.11,51.08,51.11,394900,0.0,0.0,0.0
2025-10-30 00:00:00-04:00,51.06,51.1,51.06,51.09,536600,0.0,0.0,0.0
2025-10-29 00:00:00-04:00,51.19,51.19,51.1,51.11,320800,0.0,0.0,0.0
2025-10-28 00:00:00-04:00,51.17,51.19,51.15,51.19,451100,0.0,0.0,0.0
2025-10-27 00:00:00-04:00,51.17,51.17,51.13,51.17,593200,0.0,0.0,0.0
2025-10-24 00:00:00-04:00,51.16,51.17,51.14,51.15,338200,0.0,0.0,0.0
2025-10-23 00:00:00-04:00,51.15,51.16,51.12,51.13,745300,0.0,0.0,0.0
2025-10-22 00:00:00-04:00,51.15,51.16,51.12,51.15,291200,0.0,0.0,0.0
2025-10-21 00:00:00-04:00,51.15,51.17,51.15,51.15,310800,0.0,0.0,0.0
2025-10-20 00:00:00-04:00,51.14,51.15,51.12,51.15,706000,0.0,0.0,0.0
2025-10-17 00:00:00-04:00,51.16,51.16,51.11,51.12,668600,0.0,0.0,0.0
2025-10-16 00:00:00-04:00,51.08,51.15,51.06,51.15,412400,0.0,0.0,0.0
2025-10-15 00:00:00-04:00,51.07,51.1,51.05,51.09,1397500,0.0,0.0,0.0
2025-10-14 00:00:00-04:00,51.02,51.09,51.01,51.07,353100,0.0,0.0,0.0
2025-10-13 00:00:00-04:00,51.03,51.05,50.98,51.0,314300,0.0,0.0,0.0
2025-10-10 00:00:00-04:00,51.01,51.02,50.97,51.0,272500,0.0,0.0,0.0
2025-10-09 00:00:00-04:00,50.99,50.99,50.94,50.95,473600,0.0,0.0,0.0
2025-10-08 00:00:00-04:00,51.02,51.02,50.98,50.99,276200,0.0,0.0,0.0
2025-10-07 00:00:00-04:00,50.99,51.01,50.97,51.0,789200,0.0,0.0,0.0
2025-10-06 00:00:00-04:00,50.99,50.99,50.98,50.98,396400,0.0,0.0,0.0
2025-10-03 00:00:00-04:00,51.01,51.02,50.98,50.99,803800,0.0,0.0,0.0
2025-10-02 00:00:00-04:00,50.98,51.01,50.96,51.0,676100,0.0,0.0,0.0
2025-10-01 00:00:00-04:00,50.99,51.01,50.95,51.01,454400,0.18,0.0,0.0
2025-09-30 00:00:00-04:00,50.93,50.95,50.89,50.93,545300,0.0,0.0,0.0
2025-09-29 00:00:00-04:00,50.9,50.92,50.89,50.92,545700,0.0,0.0,0.0
2025-09-26 00:00:00-04:00,50.88,50.88,50.85,50.88,280600,0.0,0.0,0.0
2025-09-25 00:00:00-04:00,50.89,50.89,50.85,50.86,409700,0.0,0.0,0.0
2025-09-24 00:00:00-04:00,50.93,50.93,50.9,50.92,590200,0.0,0.0,0.0
2025-09-23 00:00:00-04:00,50.94,50.94,50.91,50.93,333000,0.0,0.0,0.0
2025-09-22 00:00:00-04:00,50.93,50.98,50.9,50.93,699100,0.0,0.0,0.0
2025-09-19 00:00:00-04:00,50.93,50.94,50.91,50.92,388800,0.0,0.0,0.0
2025-09-18 00:00:00-04:00,50.93,50.94,50.91,50.93,367800,0.0,0.0,0.0
2025-09-17 00:00:00-04:00,50.95,51.0,50.92,50.94,378600,0.0,0.0,0.0
2025-09-16 00:00:00-04:00,50.94,50.97,50.94,50.97,464600,0.0,0.0,0.0
2025-09-15 00:00:00-04:00,50.94,50.94,50.89,50.92,360800,0.0,0.0,0.0
2025-09-12 00:00:00-04:00,50.87,50.9,50.87,50.9,368800,0.0,0.0,0.0
2025-09-11 00:00:00-04:00,50.89,50.93,50.89,50.91,445000,0.0,0.0,0.0
2025-09-10 00:00:00-04:00,50.88,50.91,50.86,50.9,381600,0.0,0.0,0.0
2025-09-09 00:00:00-04:00,50.91,50.92,50.86,50.87,310700,0.0,0.0,0.0
2025-09-08 00:00:00-04:00,50.9,50.92,50.88,50.89,415000,0.0,0.0,0.0
2025-09-05 00:00:00-04:00,50.91,50.91,50.86,50.87,387900,0.0,0.0,0.0
2025-09-04 00:00:00-04:00,50.75,50.81,50.75,50.81,453700,0.0,0.0,0.0
2025-09-03 00:00:00-04:00,50.72,50.76,50.7,50.76,607900,0.0,0.0,0.0
2025-09-02 00:00:00-04:00,50.65,50.73,50.65,50.7,638800,0.18,0.0,0.0
2025-08-29 00:00:00-04:00,50.72,50.75,50.71,50.73,775500,0.0,0.0,0.0
2025-08-28 00:00:00-04:00,50.72,50.72,50.7,50.72,262100,0.0,0.0,0.0
2025-08-27 00:00:00-04:00,50.7,50.72,50.66,50.72,268600,0.0,0.0,0.0
2025-08-26 00:00:00-04:00,50.64,50.69,50.64,50.69,669300,0.0,0.0,0.0
2025-08-25 00:00:00-04:00,50.63,50.64,50.61,50.63,190800,0.0,0.0,0.0
2025-08-22 00:00:00-04:00,50.55,50.65,50.53,50.65,259700,0.0,0.0,0.0
2025-08-21 00:00:00-04:00,50.57,50.57,50.5,50.52,250800,0.0,0.0,0.0
2025-08-20 00:00:00-04:00,50.54,50.58,50.53,50.57,549600,0.0,0.0,0.0
2025-08-19 00:00:00-04:00,50.55,50.55,50.52,50.53,449800,0.0,0.0,0.0
2025-08-18 00:00:00-04:00,50.52,50.52,50.49,50.51,353300,0.0,0.0,0.0
2025-08-15 00:00:00-04:00,50.52,50.53,50.5,50.51,351100,0.0,0.0,0.0
2025-08-14 00:00:00-04:00,50.54,50.57,50.5,50.5,434500,0.0,0.0,0.0
2025-08-13 00:00:00-04:00,50.56,50.57,50.55,50.57,294900,0.0,0.0,0.0
2025-08-12 00:00:00-04:00,50.5,50.52,50.48,50.51,506600,0.0,0.0,0.0
2025-08-11 00:00:00-04:00,50.48,50.48,50.43,50.46,570800,0.0,0.0,0.0
2025-08-08 00:00:00-04:00,50.5,50.51,50.46,50.46,225000,0.0,0.0,0.0
2025-08-07 00:00:00-04:00,50.52,50.52,50.48,50.5,282000,0.0,0.0,0.0
2025-08-06 00:00:00-04:00,50.51,50.52,50.46,50.52,263100,0.0,0.0,0.0
2025-08-05 00:00:00-04:00,50.49,50.49,50.45,50.47,271200,0.0,0.0,0.0
2025-08-04 00:00:00-04:00,50.47,50.6,50.45,50.58,238900,0.0,0.0,0.0
2025-08-01 00:00:00-04:00,50.36,50.47,50.36,50.44,346700,0.18,0.0,0.0
2025-07-31 00:00:00-04:00,50.24,50.4,50.24,50.35,1195800,0.0,0.0,0.0
2025-07-30 00:00:00-04:00,50.28,50.33,50.24,50.27,264700,0.0,0.0,0.0
2025-07-29 00:00:00-04:00,50.25,50.31,50.25,50.31,439900,0.0,0.0,0.0
2025-07-28 00:00:00-04:00,50.24,50.27,50.22,50.26,255300,0.0,0.0,0.0
2025-07-25 00:00:00-04:00,50.23,50.27,50.23,50.25,279100,0.0,0.0,0.0
2025-07-24 00:00:00-04:00,50.26,50.26,50.22,50.24,239400,0.0,0.0,0.0
2025-07-23 00:00:00-04:00,50.27,50.31,50.27,50.28,271400,0.0,0.0,0.0
2025-07-22 00:00:00-04:00,50.29,50.31,50.26,50.3,251400,0.0,0.0,0.0
2025-07-21 00:00:00-04:00,50.29,50.36,50.26,50.27,319500,0.0,0.0,0.0
2025-07-18 00:00:00-04:00,50.26,50.26,50.23,50.24,313900,0.0,0.0,0.0
2025-07-17 00:00:00-04:00,50.21,50.21,50.18,50.2,230300,0.0,0.0,0.0
2025-07-16 00:00:00-04:00,50.16,50.2,50.12,50.19,308200,0.0,0.0,0.0
2025-07-15 00:00:00-04:00,50.16,50.17,50.11,50.13,510100,0.0,0.0,0.0
2025-07-14 00:00:00-04:00,50.17,50.19,50.15,50.17,378800,0.0,0.0,0.0
2025-07-11 00:00:00-04:00,50.15,50.16,50.13,50.16,247100,0.0,0.0,0.0
2025-07-10 00:00:00-04:00,50.16,50.17,50.15,50.16,313700,0.0,0.0,0.0
2025-07-09 00:00:00-04:00,50.11,50.18,50.11,50.18,264700,0.0,0.0,0.0
2025-07-08 00:00:00-04:00,50.1,50.12,50.09,50.09,225800,0.0,0.0,0.0
2025-07-07 00:00:00-04:00,50.15,50.15,50.1,50.12,795600,0.0,0.0,0.0
2025-07-03 00:00:00-04:00,50.13,50.16,50.1,50.13,325300,0.0,0.0,0.0
2025-07-02 00:00:00-04:00,50.14,50.2,50.14,50.18,392400,0.0,0.0,0.0
2025-07-01 00:00:00-04:00,50.23,50.24,50.15,50.16,728600,0.18,0.0,0.0
2025-06-30 00:00:00-04:00,50.22,50.23,50.18,50.21,231300,0.0,0.0,0.0
2025-06-27 00:00:00-04:00,50.19,50.19,50.15,50.17,377800,0.0,0.0,0.0
2025-06-26 00:00:00-04:00,50.16,50.2,50.16,50.16,862100,0.0,0.0,0.0
2025-06-25 00:00:00-04:00,50.09,50.14,50.09,50.12,377500,0.0,0.0,0.0
2025-06-24 00:00:00-04:00,50.06,50.13,50.04,50.13,533300,0.0,0.0,0.0
2025-06-23 00:00:00-04:00,49.99,50.06,49.99,50.05,216400,0.0,0.0,0.0
