Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-11-21 00:00:00-05:00,42.75,43.26,43.02,43.02,10330,0.0,0.0,0.0
2025-11-20 00:00:00-05:00,43.49,43.49,42.72,42.72,4500,0.0,0.0,0.0
2025-11-19 00:00:00-05:00,43.27,43.27,43.05,43.22,5900,0.0,0.0,0.0
2025-11-18 00:00:00-05:00,43.13,43.29,43.12,43.13,282700,0.0,0.0,0.0
2025-11-17 00:00:00-05:00,43.65,43.65,43.23,43.35,1200,0.0,0.0,0.0
2025-11-14 00:00:00-05:00,43.65,43.65,43.65,43.65,100,0.0,0.0,0.0
2025-11-13 00:00:00-05:00,43.65,43.65,43.65,43.65,100,0.0,0.0,0.0
2025-11-12 00:00:00-05:00,44.24,44.24,44.24,44.24,100,0.0,0.0,0.0
2025-11-11 00:00:00-05:00,44.07,44.29,44.07,44.21,300,0.0,0.0,0.0
2025-11-10 00:00:00-05:00,44.15,44.15,44.15,44.15,300,0.0,0.0,0.0
2025-11-07 00:00:00-05:00,43.24,43.61,43.21,43.61,3900,0.0,0.0,0.0
2025-11-06 00:00:00-05:00,43.57,43.6,43.51,43.58,2600,0.0,0.0,0.0
2025-11-05 00:00:00-05:00,44.11,44.11,43.97,43.97,700,0.0,0.0,0.0
2025-11-04 00:00:00-05:00,43.9,43.92,43.78,43.83,3100,0.0,0.0,0.0
2025-11-03 00:00:00-05:00,44.2,44.37,44.18,44.3,9900,0.0,0.0,0.0
2025-10-31 00:00:00-04:00,44.25,44.25,44.2,44.2,3300,0.0,0.0,0.0
2025-10-30 00:00:00-04:00,44.08,44.08,44.08,44.08,100,0.0,0.0,0.0
2025-10-29 00:00:00-04:00,44.49,44.53,44.41,44.41,2200,0.0,0.0,0.0
2025-10-28 00:00:00-04:00,44.39,44.45,44.39,44.45,1300,0.0,0.0,0.0
2025-10-27 00:00:00-04:00,44.29,44.35,44.29,44.35,400,0.0,0.0,0.0
2025-10-24 00:00:00-04:00,43.94,43.94,43.94,43.94,100,0.0,0.0,0.0
2025-10-23 00:00:00-04:00,43.59,43.75,43.59,43.67,600,0.0,0.0,0.0
2025-10-22 00:00:00-04:00,43.47,43.49,43.3,43.49,17600,0.0,0.0,0.0
2025-10-21 00:00:00-04:00,43.66,43.72,43.66,43.72,2200,0.0,0.0,0.0
2025-10-20 00:00:00-04:00,43.67,43.7,43.64,43.69,600,0.0,0.0,0.0
2025-10-17 00:00:00-04:00,43.11,43.36,43.11,43.33,800,0.0,0.0,0.0
2025-10-16 00:00:00-04:00,43.48,43.49,43.09,43.11,800,0.0,0.0,0.0
2025-10-15 00:00:00-04:00,43.33,43.33,43.33,43.33,200,0.0,0.0,0.0
2025-10-14 00:00:00-04:00,43.09,43.22,43.09,43.22,700,0.0,0.0,0.0
2025-10-13 00:00:00-04:00,43.17,43.28,43.17,43.28,156600,0.0,0.0,0.0
2025-10-10 00:00:00-04:00,43.78,43.78,42.79,42.79,1100,0.0,0.0,0.0
2025-10-09 00:00:00-04:00,43.74,43.75,43.66,43.67,7100,0.0,0.0,0.0
2025-10-08 00:00:00-04:00,43.73,43.76,43.73,43.76,400,0.0,0.0,0.0
2025-10-07 00:00:00-04:00,43.66,43.66,43.53,43.58,60500,0.0,0.0,0.0
2025-10-06 00:00:00-04:00,43.71,43.71,43.71,43.71,100,0.0,0.0,0.0
2025-10-03 00:00:00-04:00,43.58,43.58,43.58,43.58,100,0.0,0.0,0.0
2025-10-02 00:00:00-04:00,43.51,43.52,43.51,43.52,200,0.0,0.0,0.0
2025-10-01 00:00:00-04:00,43.33,43.59,43.31,43.52,12500,0.0,0.0,0.0
2025-09-30 00:00:00-04:00,43.3,43.46,43.3,43.46,1300,0.0,0.0,0.0
2025-09-29 00:00:00-04:00,43.31,43.31,43.28,43.28,300,0.0,0.0,0.0
2025-09-26 00:00:00-04:00,43.19,43.19,43.19,43.19,100,0.0,0.0,0.0
