Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-11-25 00:00:00-05:00,25.97,26.07,25.86,26.04,36581,0.0,0.0,0.0
2025-11-24 00:00:00-05:00,25.55,25.77,25.59,25.74,36424,0.0,0.0,0.0
2025-11-21 00:00:00-05:00,25.32,25.83,25.32,25.7,83100,0.0,0.0,0.0
2025-11-20 00:00:00-05:00,25.68,25.61,25.23,25.26,24323,0.0,0.0,0.0
2025-11-19 00:00:00-05:00,25.41,25.43,25.23,25.35,32800,0.0,0.0,0.0
2025-11-18 00:00:00-05:00,25.17,25.57,25.17,25.53,179000,0.0,0.0,0.0
2025-11-17 00:00:00-05:00,25.66,25.76,25.42,25.46,84600,0.0,0.0,0.0
2025-11-14 00:00:00-05:00,26.01,26.01,25.63,25.79,34300,0.0,0.0,0.0
2025-11-13 00:00:00-05:00,26.0,26.02,25.81,25.83,45600,0.0,0.0,0.0
2025-11-12 00:00:00-05:00,25.93,26.0,25.91,25.93,31000,0.0,0.0,0.0
2025-11-11 00:00:00-05:00,25.62,25.92,25.62,25.85,33400,0.0,0.0,0.0
2025-11-10 00:00:00-05:00,25.68,25.68,25.42,25.64,51300,0.0,0.0,0.0
2025-11-07 00:00:00-05:00,25.31,25.54,25.31,25.52,40600,0.0,0.0,0.0
2025-11-06 00:00:00-05:00,25.32,25.52,25.31,25.37,74100,0.0,0.0,0.0
2025-11-05 00:00:00-05:00,25.32,25.46,25.24,25.36,70500,0.0,0.0,0.0
2025-11-04 00:00:00-05:00,25.23,25.28,25.09,25.24,48900,0.0,0.0,0.0
2025-11-03 00:00:00-05:00,25.14,25.25,25.0,25.24,44900,0.0,0.0,0.0
2025-10-31 00:00:00-04:00,25.36,25.36,25.0,25.31,58800,0.15,0.0,0.0
2025-10-30 00:00:00-04:00,25.31,25.4,25.27,25.28,34000,0.0,0.0,0.0
2025-10-29 00:00:00-04:00,25.63,25.63,25.12,25.13,67600,0.0,0.0,0.0
2025-10-28 00:00:00-04:00,25.74,25.74,25.45,25.52,37800,0.0,0.0,0.0
2025-10-27 00:00:00-04:00,25.85,25.85,25.55,25.59,82500,0.0,0.0,0.0
2025-10-24 00:00:00-04:00,25.94,25.96,25.78,25.86,65900,0.0,0.0,0.0
2025-10-23 00:00:00-04:00,25.81,25.93,25.75,25.9,56200,0.0,0.0,0.0
2025-10-22 00:00:00-04:00,25.89,25.96,25.77,25.81,41000,0.0,0.0,0.0
2025-10-21 00:00:00-04:00,25.75,25.92,25.75,25.81,40000,0.0,0.0,0.0
2025-10-20 00:00:00-04:00,25.75,25.77,25.68,25.76,45600,0.0,0.0,0.0
2025-10-17 00:00:00-04:00,25.41,25.62,25.41,25.58,58700,0.0,0.0,0.0
2025-10-16 00:00:00-04:00,25.67,25.69,25.4,25.49,25300,0.0,0.0,0.0
2025-10-15 00:00:00-04:00,25.55,25.87,25.55,25.63,23700,0.0,0.0,0.0
2025-10-14 00:00:00-04:00,25.57,25.75,25.35,25.71,74400,0.0,0.0,0.0
2025-10-13 00:00:00-04:00,25.53,25.53,25.12,25.44,192500,0.0,0.0,0.0
2025-10-10 00:00:00-04:00,25.74,25.74,25.22,25.22,44700,0.0,0.0,0.0
2025-10-09 00:00:00-04:00,26.0,26.0,25.58,25.67,49200,0.0,0.0,0.0
2025-10-08 00:00:00-04:00,25.69,25.93,25.69,25.85,29600,0.0,0.0,0.0
2025-10-07 00:00:00-04:00,26.09,26.09,25.8,25.89,65600,0.0,0.0,0.0
2025-10-06 00:00:00-04:00,26.03,26.06,25.88,25.96,35100,0.0,0.0,0.0
2025-10-03 00:00:00-04:00,25.96,26.08,25.94,25.97,21100,0.0,0.0,0.0
2025-10-02 00:00:00-04:00,25.86,25.87,25.73,25.81,48400,0.0,0.0,0.0
2025-10-01 00:00:00-04:00,25.7,26.03,25.7,25.87,99200,0.0,0.0,0.0
2025-09-30 00:00:00-04:00,25.64,25.93,25.64,25.9,32600,0.18,0.0,0.0
2025-09-29 00:00:00-04:00,25.98,25.98,25.64,25.77,20000,0.0,0.0,0.0
2025-09-26 00:00:00-04:00,25.67,25.76,25.57,25.73,44200,0.0,0.0,0.0
2025-09-25 00:00:00-04:00,25.58,25.58,25.41,25.43,45300,0.0,0.0,0.0
2025-09-24 00:00:00-04:00,25.59,25.71,25.59,25.63,45500,0.0,0.0,0.0
2025-09-23 00:00:00-04:00,25.53,25.63,25.49,25.49,51400,0.0,0.0,0.0
2025-09-22 00:00:00-04:00,25.43,25.43,25.33,25.4,28600,0.0,0.0,0.0
2025-09-19 00:00:00-04:00,25.74,25.74,25.42,25.43,21000,0.0,0.0,0.0
2025-09-18 00:00:00-04:00,25.8,25.8,25.55,25.72,44700,0.0,0.0,0.0
2025-09-17 00:00:00-04:00,25.68,25.83,25.56,25.64,37100,0.0,0.0,0.0
2025-09-16 00:00:00-04:00,25.51,25.67,25.48,25.55,57500,0.0,0.0,0.0
2025-09-15 00:00:00-04:00,25.84,25.84,25.52,25.52,47800,0.0,0.0,0.0
2025-09-12 00:00:00-04:00,25.93,25.94,25.73,25.78,22900,0.0,0.0,0.0
2025-09-11 00:00:00-04:00,25.7,26.0,25.7,25.98,66300,0.0,0.0,0.0
2025-09-10 00:00:00-04:00,25.71,25.83,25.53,25.65,81300,0.0,0.0,0.0
2025-09-09 00:00:00-04:00,25.75,25.86,25.7,25.73,43300,0.0,0.0,0.0
2025-09-08 00:00:00-04:00,25.92,25.92,25.65,25.86,28900,0.0,0.0,0.0
2025-09-05 00:00:00-04:00,26.04,26.04,25.78,25.96,31500,0.0,0.0,0.0
2025-09-04 00:00:00-04:00,25.66,25.89,25.66,25.89,47200,0.0,0.0,0.0
2025-09-03 00:00:00-04:00,25.79,25.79,25.58,25.71,66200,0.0,0.0,0.0
