Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-11-25 00:00:00-05:00,31.83,31.94,31.67,31.93,44560,0.0,0.0,0.0
2025-11-24 00:00:00-05:00,31.51,31.82,31.66,31.72,108286,0.0,0.0,0.0
2025-11-21 00:00:00-05:00,31.38,31.66,31.31,31.5,43378,0.0,0.0,0.0
2025-11-20 00:00:00-05:00,31.81,31.88,31.36,31.45,49100,0.0,0.0,0.0
2025-11-19 00:00:00-05:00,31.52,31.7,31.52,31.62,28800,0.0,0.0,0.0
2025-11-18 00:00:00-05:00,31.53,31.64,31.48,31.51,192200,0.0,0.0,0.0
2025-11-17 00:00:00-05:00,31.7,31.8,31.55,31.61,77600,0.0,0.0,0.0
2025-11-14 00:00:00-05:00,31.55,32.0,31.48,31.72,53400,0.0,0.0,0.0
2025-11-13 00:00:00-05:00,31.95,31.95,31.66,31.78,36200,0.0,0.0,0.0
2025-11-12 00:00:00-05:00,31.9,31.98,31.82,31.93,42300,0.0,0.0,0.0
2025-11-11 00:00:00-05:00,31.96,31.99,31.83,31.96,50500,0.0,0.0,0.0
2025-11-10 00:00:00-05:00,31.95,31.98,31.79,31.98,168100,0.0,0.0,0.0
2025-11-07 00:00:00-05:00,31.72,32.25,31.43,31.76,248200,0.0,0.0,0.0
2025-11-06 00:00:00-05:00,31.72,31.85,31.62,31.78,45000,0.0,0.0,0.0
2025-11-05 00:00:00-05:00,31.86,31.9,31.64,31.86,39000,0.0,0.0,0.0
2025-11-04 00:00:00-05:00,31.83,31.88,31.69,31.82,27000,0.0,0.0,0.0
2025-11-03 00:00:00-05:00,31.83,32.5,31.78,31.83,53900,0.0,0.0,0.0
2025-10-31 00:00:00-04:00,31.9,31.96,31.82,31.91,17700,0.0,0.0,0.0
2025-10-30 00:00:00-04:00,31.9,31.95,31.81,31.91,66700,0.0,0.0,0.0
2025-10-29 00:00:00-04:00,32.0,32.0,31.85,31.91,116400,0.0,0.0,0.0
2025-10-28 00:00:00-04:00,32.03,32.03,31.87,31.93,59200,0.0,0.0,0.0
2025-10-27 00:00:00-04:00,32.02,32.02,31.85,31.93,110600,0.0,0.0,0.0
2025-10-24 00:00:00-04:00,31.91,31.91,31.77,31.88,34100,0.0,0.0,0.0
2025-10-23 00:00:00-04:00,31.73,31.81,31.64,31.81,55600,0.0,0.0,0.0
2025-10-22 00:00:00-04:00,31.79,31.79,31.56,31.67,67100,0.0,0.0,0.0
2025-10-21 00:00:00-04:00,31.67,31.81,31.66,31.72,107300,0.0,0.0,0.0
2025-10-20 00:00:00-04:00,31.71,31.79,31.66,31.78,39600,0.0,0.0,0.0
2025-10-17 00:00:00-04:00,31.56,31.63,31.41,31.62,36700,0.0,0.0,0.0
2025-10-16 00:00:00-04:00,31.68,31.68,31.36,31.52,73000,0.0,0.0,0.0
2025-10-15 00:00:00-04:00,31.69,31.7,31.42,31.61,105600,0.0,0.0,0.0
2025-10-14 00:00:00-04:00,31.47,31.64,31.4,31.57,141400,0.0,0.0,0.0
2025-10-13 00:00:00-04:00,31.5,31.62,31.48,31.56,40200,0.0,0.0,0.0
2025-10-10 00:00:00-04:00,31.69,31.78,31.33,31.47,29100,0.0,0.0,0.0
2025-10-09 00:00:00-04:00,31.64,31.75,31.61,31.64,43000,0.0,0.0,0.0
2025-10-08 00:00:00-04:00,31.73,31.75,31.59,31.75,43300,0.0,0.0,0.0
2025-10-07 00:00:00-04:00,31.68,31.75,31.62,31.62,68600,0.0,0.0,0.0
2025-10-06 00:00:00-04:00,31.76,31.76,31.61,31.73,51100,0.0,0.0,0.0
2025-10-03 00:00:00-04:00,31.61,31.75,31.6,31.68,42000,0.0,0.0,0.0
2025-10-02 00:00:00-04:00,31.75,31.75,31.58,31.7,187200,0.0,0.0,0.0
2025-10-01 00:00:00-04:00,31.55,31.7,31.53,31.69,66600,0.0,0.0,0.0
2025-09-30 00:00:00-04:00,31.65,31.67,31.53,31.59,51100,0.0,0.0,0.0
2025-09-29 00:00:00-04:00,31.67,31.67,31.53,31.63,99900,0.0,0.0,0.0
2025-09-26 00:00:00-04:00,31.55,31.61,30.94,31.55,79500,0.0,0.0,0.0
2025-09-25 00:00:00-04:00,31.4,31.56,31.4,31.46,42000,0.0,0.0,0.0
2025-09-24 00:00:00-04:00,31.65,31.65,31.45,31.54,47300,0.0,0.0,0.0
2025-09-23 00:00:00-04:00,31.54,31.63,31.49,31.58,51200,0.0,0.0,0.0
2025-09-22 00:00:00-04:00,31.47,31.64,31.47,31.55,22500,0.0,0.0,0.0
2025-09-19 00:00:00-04:00,31.51,31.6,31.47,31.59,66300,0.0,0.0,0.0
2025-09-18 00:00:00-04:00,31.44,31.58,31.43,31.49,54700,0.0,0.0,0.0
2025-09-17 00:00:00-04:00,31.55,31.55,31.37,31.44,41200,0.0,0.0,0.0
2025-09-16 00:00:00-04:00,31.52,31.54,31.39,31.5,69200,0.0,0.0,0.0
2025-09-15 00:00:00-04:00,31.45,31.55,31.41,31.45,69500,0.0,0.0,0.0
2025-09-12 00:00:00-04:00,31.39,31.51,31.37,31.41,26600,0.0,0.0,0.0
2025-09-11 00:00:00-04:00,31.46,31.5,31.33,31.49,32800,0.0,0.0,0.0
2025-09-10 00:00:00-04:00,31.47,31.47,31.32,31.41,41700,0.0,0.0,0.0
2025-09-09 00:00:00-04:00,31.36,31.4,31.23,31.38,40300,0.0,0.0,0.0
2025-09-08 00:00:00-04:00,31.36,31.4,31.11,31.36,36400,0.0,0.0,0.0
2025-09-05 00:00:00-04:00,31.4,31.41,31.15,31.2,95100,0.0,0.0,0.0
2025-09-04 00:00:00-04:00,31.27,31.35,31.16,31.35,192700,0.0,0.0,0.0
2025-09-03 00:00:00-04:00,31.16,31.22,31.07,31.22,84000,0.0,0.0,0.0
2025-09-02 00:00:00-04:00,31.08,31.14,30.94,31.09,68000,0.0,0.0,0.0
2025-08-29 00:00:00-04:00,31.26,31.26,31.09,31.25,23700,0.0,0.0,0.0
2025-08-28 00:00:00-04:00,31.23,31.37,31.15,31.37,30600,0.0,0.0,0.0
2025-08-27 00:00:00-04:00,31.06,31.25,31.06,31.25,62600,0.0,0.0,0.0
2025-08-26 00:00:00-04:00,31.19,31.21,30.94,31.21,26500,0.0,0.0,0.0
2025-08-25 00:00:00-04:00,31.2,31.23,31.07,31.18,51200,0.0,0.0,0.0
2025-08-22 00:00:00-04:00,31.07,31.23,31.02,31.21,43400,0.0,0.0,0.0
2025-08-21 00:00:00-04:00,31.02,31.06,30.9,31.01,20400,0.0,0.0,0.0
2025-08-20 00:00:00-04:00,31.09,31.09,30.9,31.05,35800,0.0,0.0,0.0
2025-08-19 00:00:00-04:00,31.16,31.35,31.01,31.1,76700,0.0,0.0,0.0
2025-08-18 00:00:00-04:00,31.07,31.2,31.02,31.15,38200,0.0,0.0,0.0
2025-08-15 00:00:00-04:00,31.21,31.22,31.02,31.13,20000,0.0,0.0,0.0
2025-08-14 00:00:00-04:00,31.04,31.22,31.04,31.22,75000,0.0,0.0,0.0
2025-08-13 00:00:00-04:00,31.19,31.39,31.0,31.32,66600,0.0,0.0,0.0
2025-08-12 00:00:00-04:00,31.04,31.14,30.9,31.13,39500,0.0,0.0,0.0
2025-08-11 00:00:00-04:00,31.06,31.06,30.84,31.01,324200,0.0,0.0,0.0
2025-08-08 00:00:00-04:00,30.97,31.02,30.88,30.98,26100,0.0,0.0,0.0
2025-08-07 00:00:00-04:00,30.91,31.15,30.74,31.15,61600,0.0,0.0,0.0
2025-08-06 00:00:00-04:00,30.98,30.98,30.69,30.91,38100,0.0,0.0,0.0
2025-08-05 00:00:00-04:00,30.9,30.9,30.69,30.83,46300,0.0,0.0,0.0
2025-08-04 00:00:00-04:00,30.76,30.9,30.72,30.88,120200,0.0,0.0,0.0
2025-08-01 00:00:00-04:00,30.77,30.77,30.55,30.63,47000,0.0,0.0,0.0
2025-07-31 00:00:00-04:00,31.06,31.06,30.78,30.84,68300,0.0,0.0,0.0
2025-07-30 00:00:00-04:00,30.78,30.98,30.78,30.83,35700,0.0,0.0,0.0
2025-07-29 00:00:00-04:00,30.94,31.01,30.82,30.91,61200,0.0,0.0,0.0
2025-07-28 00:00:00-04:00,30.84,30.99,30.84,30.87,19200,0.0,0.0,0.0
2025-07-25 00:00:00-04:00,30.91,30.96,30.8,30.96,32600,0.0,0.0,0.0
2025-07-24 00:00:00-04:00,30.8,30.93,30.79,30.8,35300,0.0,0.0,0.0
2025-07-23 00:00:00-04:00,30.78,30.88,30.67,30.82,35700,0.0,0.0,0.0
2025-07-22 00:00:00-04:00,30.65,30.74,30.62,30.67,54100,0.0,0.0,0.0
2025-07-21 00:00:00-04:00,30.71,30.82,30.65,30.65,242800,0.0,0.0,0.0
2025-07-18 00:00:00-04:00,30.64,30.77,30.59,30.62,43000,0.0,0.0,0.0
2025-07-17 00:00:00-04:00,30.56,30.71,30.55,30.63,221200,0.0,0.0,0.0
2025-07-16 00:00:00-04:00,30.6,30.62,30.46,30.61,187500,0.0,0.0,0.0
2025-07-15 00:00:00-04:00,30.71,30.71,30.51,30.53,39100,0.0,0.0,0.0
2025-07-14 00:00:00-04:00,30.52,30.66,30.5,30.56,60800,0.0,0.0,0.0
2025-07-11 00:00:00-04:00,30.62,30.67,30.49,30.61,25900,0.0,0.0,0.0
2025-07-10 00:00:00-04:00,30.55,30.69,30.52,30.68,21900,0.0,0.0,0.0
2025-07-09 00:00:00-04:00,30.63,30.66,30.48,30.65,61100,0.0,0.0,0.0
2025-07-08 00:00:00-04:00,30.56,30.6,30.41,30.53,31400,0.0,0.0,0.0
2025-07-07 00:00:00-04:00,30.55,30.6,30.39,30.52,24600,0.0,0.0,0.0
2025-07-03 00:00:00-04:00,30.53,30.66,30.42,30.6,20100,0.0,0.0,0.0
2025-07-02 00:00:00-04:00,30.49,30.61,30.38,30.43,106800,0.0,0.0,0.0
2025-07-01 00:00:00-04:00,30.35,30.52,30.33,30.49,70000,0.0,0.0,0.0
2025-06-30 00:00:00-04:00,30.49,30.51,30.33,30.48,25100,0.0,0.0,0.0
