Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-11-21 00:00:00-05:00,55.74,56.38,55.61,56.12,17721,0.0,0.0,0.0
2025-11-20 00:00:00-05:00,57.16,57.16,55.39,55.41,16900,0.0,0.0,0.0
2025-11-19 00:00:00-05:00,56.51,56.66,56.13,56.32,22000,0.0,0.0,0.0
2025-11-18 00:00:00-05:00,56.36,56.62,56.04,56.33,21300,0.0,0.0,0.0
2025-11-17 00:00:00-05:00,57.17,57.27,56.28,56.47,22400,0.0,0.0,0.0
2025-11-14 00:00:00-05:00,56.84,57.44,56.72,57.12,19600,0.0,0.0,0.0
2025-11-13 00:00:00-05:00,58.14,58.14,57.15,57.25,31800,0.0,0.0,0.0
2025-11-12 00:00:00-05:00,58.18,58.36,58.1,58.1,21500,0.0,0.0,0.0
2025-11-11 00:00:00-05:00,57.86,58.07,57.77,57.98,12200,0.0,0.0,0.0
2025-11-10 00:00:00-05:00,57.85,57.98,57.46,57.86,15100,0.0,0.0,0.0
2025-11-07 00:00:00-05:00,57.0,57.33,56.76,57.31,13000,0.0,0.0,0.0
2025-11-06 00:00:00-05:00,57.54,57.54,56.95,57.07,19300,0.0,0.0,0.0
2025-11-05 00:00:00-05:00,57.15,57.71,57.15,57.53,13800,0.0,0.0,0.0
2025-11-04 00:00:00-05:00,57.02,57.25,56.93,56.99,18300,0.0,0.0,0.0
2025-11-03 00:00:00-05:00,57.55,57.55,56.97,57.43,21700,0.0,0.0,0.0
2025-10-31 00:00:00-04:00,57.59,57.59,57.02,57.38,49000,0.0,0.0,0.0
2025-10-30 00:00:00-04:00,57.38,57.91,57.35,57.35,17900,0.0,0.0,0.0
2025-10-29 00:00:00-04:00,57.8,57.95,57.58,57.58,18700,0.0,0.0,0.0
2025-10-28 00:00:00-04:00,58.11,58.11,57.7,57.75,17300,0.0,0.0,0.0
2025-10-27 00:00:00-04:00,58.22,58.22,57.97,58.15,13500,0.0,0.0,0.0
