Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-11-21 00:00:00-05:00,35.43,36.01,35.4,35.57,148767,0.0,0.0,0.0
2025-11-20 00:00:00-05:00,36.4,36.73,35.43,35.45,323300,0.0,0.0,0.0
2025-11-19 00:00:00-05:00,36.01,36.13,35.77,35.94,119400,0.0,0.0,0.0
2025-11-18 00:00:00-05:00,36.03,36.04,35.65,35.84,182600,0.0,0.0,0.0
2025-11-17 00:00:00-05:00,36.03,36.38,35.91,36.1,152600,0.0,0.0,0.0
2025-11-14 00:00:00-05:00,35.88,36.53,35.88,36.36,183800,0.0,0.0,0.0
2025-11-13 00:00:00-05:00,36.83,36.83,36.3,36.4,166300,0.0,0.0,0.0
2025-11-12 00:00:00-05:00,37.01,37.01,36.78,36.91,242100,0.0,0.0,0.0
2025-11-11 00:00:00-05:00,36.76,37.2,36.67,36.89,90600,0.0,0.0,0.0
2025-11-10 00:00:00-05:00,36.64,36.96,36.36,36.81,243200,0.0,0.0,0.0
2025-11-07 00:00:00-05:00,36.26,36.47,35.86,36.4,216500,0.0,0.0,0.0
2025-11-06 00:00:00-05:00,36.55,36.57,36.23,36.28,191700,0.0,0.0,0.0
2025-11-05 00:00:00-05:00,36.45,36.79,36.45,36.67,138200,0.0,0.0,0.0
2025-11-04 00:00:00-05:00,36.73,36.79,36.55,36.6,163800,0.0,0.0,0.0
2025-11-03 00:00:00-05:00,37.0,37.0,36.78,36.91,352500,0.0,0.0,0.0
2025-10-31 00:00:00-04:00,36.79,36.91,36.72,36.85,183400,0.0,0.0,0.0
2025-10-30 00:00:00-04:00,36.61,36.84,36.6,36.67,576800,0.0,0.0,0.0
2025-10-29 00:00:00-04:00,36.85,36.85,36.64,36.73,116900,0.0,0.0,0.0
2025-10-28 00:00:00-04:00,36.82,36.82,36.66,36.73,157200,0.0,0.0,0.0
2025-10-27 00:00:00-04:00,36.76,36.81,36.59,36.68,366700,0.0,0.0,0.0
2025-10-24 00:00:00-04:00,36.49,36.55,36.43,36.5,191100,0.0,0.0,0.0
2025-10-23 00:00:00-04:00,36.19,36.35,36.15,36.32,200100,0.0,0.0,0.0
2025-10-22 00:00:00-04:00,36.38,36.38,35.96,36.14,437200,0.0,0.0,0.0
2025-10-21 00:00:00-04:00,36.31,36.37,36.22,36.33,221900,0.0,0.0,0.0
2025-10-20 00:00:00-04:00,36.01,36.42,36.01,36.25,119800,0.0,0.0,0.0
2025-10-17 00:00:00-04:00,35.83,36.08,35.72,36.0,337200,0.0,0.0,0.0
2025-10-16 00:00:00-04:00,36.0,36.14,35.71,35.86,203800,0.0,0.0,0.0
2025-10-15 00:00:00-04:00,36.0,36.32,35.79,36.02,271900,0.0,0.0,0.0
2025-10-14 00:00:00-04:00,35.72,36.2,35.48,35.88,95800,0.0,0.0,0.0
2025-10-13 00:00:00-04:00,35.72,35.98,35.72,35.94,104200,0.0,0.0,0.0
2025-10-10 00:00:00-04:00,36.35,36.4,35.51,35.52,287800,0.0,0.0,0.0
2025-10-09 00:00:00-04:00,36.38,36.41,36.14,36.28,78100,0.0,0.0,0.0
2025-10-08 00:00:00-04:00,36.13,36.4,36.13,36.32,98800,0.0,0.0,0.0
2025-10-07 00:00:00-04:00,36.15,36.29,36.08,36.16,119000,0.0,0.0,0.0
2025-10-06 00:00:00-04:00,36.17,36.31,36.14,36.27,82200,0.0,0.0,0.0
2025-10-03 00:00:00-04:00,36.21,36.26,36.09,36.13,123300,0.0,0.0,0.0
2025-10-02 00:00:00-04:00,36.21,36.21,36.02,36.15,1883400,0.0,0.0,0.0
2025-10-01 00:00:00-04:00,35.94,36.22,35.85,36.1,84200,0.0,0.0,0.0
2025-09-30 00:00:00-04:00,35.94,36.08,35.78,36.03,105800,0.03,0.0,0.0
2025-09-29 00:00:00-04:00,35.87,36.0,35.81,35.84,227900,0.0,0.0,0.0
2025-09-26 00:00:00-04:00,35.79,35.99,35.64,35.82,139000,0.0,0.0,0.0
2025-09-25 00:00:00-04:00,35.5,35.73,35.41,35.65,126100,0.0,0.0,0.0
2025-09-24 00:00:00-04:00,36.04,36.04,35.74,35.8,137800,0.0,0.0,0.0
2025-09-23 00:00:00-04:00,36.05,36.05,35.8,35.83,421600,0.0,0.0,0.0
2025-09-22 00:00:00-04:00,35.91,35.99,35.8,35.97,102200,0.0,0.0,0.0
2025-09-19 00:00:00-04:00,35.67,35.86,35.67,35.82,66300,0.0,0.0,0.0
2025-09-18 00:00:00-04:00,35.8,35.8,35.64,35.77,269700,0.0,0.0,0.0
2025-09-17 00:00:00-04:00,35.69,35.69,35.46,35.63,1846900,0.0,0.0,0.0
2025-09-16 00:00:00-04:00,35.69,35.7,35.59,35.68,172800,0.0,0.0,0.0
2025-09-15 00:00:00-04:00,35.66,35.8,35.4,35.68,91600,0.0,0.0,0.0
2025-09-12 00:00:00-04:00,35.58,35.63,35.52,35.58,60800,0.0,0.0,0.0
2025-09-11 00:00:00-04:00,35.61,35.61,35.39,35.57,97000,0.0,0.0,0.0
2025-09-10 00:00:00-04:00,35.41,35.54,35.34,35.44,65200,0.0,0.0,0.0
2025-09-09 00:00:00-04:00,35.35,35.37,35.23,35.35,185900,0.0,0.0,0.0
2025-09-08 00:00:00-04:00,35.29,35.32,35.2,35.27,75700,0.0,0.0,0.0
2025-09-05 00:00:00-04:00,35.27,35.45,35.0,35.14,153100,0.0,0.0,0.0
2025-09-04 00:00:00-04:00,35.0,35.34,35.0,35.29,85400,0.0,0.0,0.0
2025-09-03 00:00:00-04:00,34.96,35.07,34.89,35.05,53800,0.0,0.0,0.0
