Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-11-25 00:00:00-05:00,6.65,7.0,6.46,6.51,2851385,0.0,0.0,0.0
2025-11-24 00:00:00-05:00,6.54,6.72,6.09,6.16,2876882,0.0,0.0,0.0
2025-11-21 00:00:00-05:00,6.76,7.24,6.57,6.72,4573300,0.0,0.0,0.0
2025-11-20 00:00:00-05:00,5.55,7.06,5.55,7.02,7312800,0.0,0.0,0.0
2025-11-19 00:00:00-05:00,5.92,6.39,5.82,6.23,3781900,0.0,0.0,0.0
2025-11-18 00:00:00-05:00,6.05,6.32,5.52,5.83,5184200,0.0,0.0,0.0
2025-11-17 00:00:00-05:00,5.69,6.28,5.63,6.14,7689800,0.0,0.0,0.0
2025-11-14 00:00:00-05:00,6.13,6.34,5.11,5.41,13651400,0.0,0.0,0.0
2025-11-13 00:00:00-05:00,5.18,5.99,5.18,5.9,8979000,0.0,0.0,0.0
2025-11-12 00:00:00-05:00,4.81,5.22,4.76,5.15,5992000,0.0,0.0,0.0
2025-11-11 00:00:00-05:00,4.66,4.98,4.66,4.92,5511500,0.0,0.0,0.0
2025-11-10 00:00:00-05:00,4.32,4.67,4.27,4.61,8083000,0.0,0.0,0.0
2025-11-07 00:00:00-05:00,4.71,5.08,4.64,4.7,8885600,0.0,0.0,0.0
2025-11-06 00:00:00-05:00,4.16,4.6,4.09,4.59,8289500,0.0,0.0,0.0
2025-11-05 00:00:00-05:00,3.82,4.25,3.62,4.24,14035900,0.0,0.0,0.0
2025-11-04 00:00:00-05:00,3.31,3.46,3.23,3.45,14342200,0.0,0.0,0.0
2025-11-03 00:00:00-05:00,2.85,3.08,2.81,3.07,8713900,0.0,0.0,0.0
2025-10-31 00:00:00-04:00,3.0,3.08,2.8,2.92,10198800,0.0,0.0,0.0
2025-10-30 00:00:00-04:00,2.97,3.13,2.92,3.13,8115700,0.0,0.0,0.0
2025-10-29 00:00:00-04:00,2.75,3.0,2.73,2.87,10348500,0.0,0.0,0.0
2025-10-28 00:00:00-04:00,3.01,3.02,2.72,2.91,9186200,0.0,0.0,0.0
2025-10-27 00:00:00-04:00,3.27,3.27,3.0,3.01,7729400,0.0,0.0,0.0
2025-10-24 00:00:00-04:00,3.39,3.49,3.28,3.48,8466000,0.0,0.0,0.0
2025-10-23 00:00:00-04:00,3.1,3.6,3.1,3.53,15883200,0.0,0.0,0.0
2025-10-22 00:00:00-04:00,2.83,3.26,2.83,3.02,12744400,0.0,0.0,0.0
2025-10-21 00:00:00-04:00,2.76,2.87,2.72,2.78,7605900,0.0,0.0,0.0
2025-10-20 00:00:00-04:00,2.75,2.8,2.58,2.76,11980000,0.0,0.0,0.0
2025-10-17 00:00:00-04:00,3.01,3.16,2.94,3.09,11837800,0.0,0.0,0.0
2025-10-16 00:00:00-04:00,2.9,2.98,2.66,2.92,13762400,0.0,0.0,0.0
2025-10-15 00:00:00-04:00,2.84,3.03,2.78,2.9,13221400,0.0,0.0,0.0
2025-10-14 00:00:00-04:00,2.9,3.02,2.78,3.0,10109900,0.0,0.0,0.0
2025-10-13 00:00:00-04:00,2.83,2.91,2.73,2.83,8909400,0.0,0.0,0.0
2025-10-10 00:00:00-04:00,2.58,3.08,2.55,3.06,16438800,0.0,0.0,0.0
2025-10-09 00:00:00-04:00,2.64,2.66,2.54,2.6,9151300,0.0,0.0,0.0
2025-10-08 00:00:00-04:00,2.9,2.96,2.56,2.57,12322600,0.0,0.0,0.0
2025-10-07 00:00:00-04:00,2.79,3.08,2.66,2.92,10758500,0.0,0.0,0.0
2025-10-06 00:00:00-04:00,3.03,3.05,2.79,2.97,12397600,0.0,0.0,0.0
2025-10-03 00:00:00-04:00,3.2,3.44,3.11,3.31,9738800,0.0,0.0,0.0
2025-10-02 00:00:00-04:00,3.25,3.41,3.2,3.24,7410100,0.0,0.0,0.0
2025-10-01 00:00:00-04:00,4.04,4.08,3.24,3.26,11867600,0.0,0.0,0.0
2025-09-30 00:00:00-04:00,4.3,4.3,3.94,3.99,11243000,0.0,0.0,0.0
2025-09-29 00:00:00-04:00,4.29,4.36,4.08,4.28,5818600,0.0,0.0,0.0
2025-09-26 00:00:00-04:00,4.42,4.65,4.36,4.38,10397400,0.0,0.0,0.0
2025-09-25 00:00:00-04:00,4.52,4.68,4.13,4.3,9231800,0.0,0.0,0.0
2025-09-24 00:00:00-04:00,4.13,4.32,3.97,4.31,7915200,0.0,0.0,0.0
2025-09-23 00:00:00-04:00,4.1,4.38,4.05,4.18,7474500,0.0,0.0,0.0
2025-09-22 00:00:00-04:00,4.47,4.52,3.88,4.2,9264300,0.0,0.0,0.0
2025-09-19 00:00:00-04:00,4.35,4.47,4.27,4.4,8091300,0.0,0.0,0.0
2025-09-18 00:00:00-04:00,4.46,4.66,4.3,4.38,9977100,0.0,0.0,0.0
2025-09-17 00:00:00-04:00,4.65,4.83,4.49,4.59,8380000,0.0,0.0,0.0
2025-09-16 00:00:00-04:00,4.44,4.67,4.41,4.58,5730500,0.0,0.0,0.0
2025-09-15 00:00:00-04:00,4.53,4.73,4.41,4.49,4817900,0.0,0.0,0.0
2025-09-12 00:00:00-04:00,4.23,4.66,4.15,4.57,10717700,0.0,0.0,0.0
2025-09-11 00:00:00-04:00,4.73,4.9,4.68,4.8,10465800,0.0,0.0,0.0
2025-09-10 00:00:00-04:00,4.78,4.95,4.43,4.81,14523000,0.0,0.0,0.0
2025-09-09 00:00:00-04:00,5.83,5.85,5.02,5.03,9670200,0.0,0.0,0.0
2025-09-08 00:00:00-04:00,5.62,5.93,5.59,5.89,7936800,0.0,0.0,0.0
2025-09-05 00:00:00-04:00,5.6,5.97,5.59,5.78,10668000,0.0,0.0,0.0
2025-09-04 00:00:00-04:00,5.82,5.98,5.68,5.71,8835100,0.0,0.0,0.0
2025-09-03 00:00:00-04:00,5.65,5.97,5.65,5.88,9940900,0.0,0.0,0.0
2025-09-02 00:00:00-04:00,5.91,6.01,5.68,5.68,10743500,0.0,0.0,0.0
2025-08-29 00:00:00-04:00,5.2,5.51,5.2,5.5,10670900,0.0,0.0,0.0
2025-08-28 00:00:00-04:00,4.75,4.96,4.66,4.94,10089800,0.0,0.0,0.0
2025-08-27 00:00:00-04:00,4.87,4.97,4.72,4.77,10370700,0.0,0.0,0.0
2025-08-26 00:00:00-04:00,4.96,5.03,4.86,4.86,5906400,0.0,0.0,0.0
2025-08-25 00:00:00-04:00,5.07,5.11,4.74,4.94,8708400,0.0,0.0,0.0
2025-08-22 00:00:00-04:00,5.51,5.54,4.92,4.98,8511600,0.0,0.0,0.0
2025-08-21 00:00:00-04:00,5.32,5.5,5.22,5.37,8887900,0.0,0.0,0.0
2025-08-20 00:00:00-04:00,5.15,5.61,5.1,5.31,13240900,0.0,0.0,0.0
2025-08-19 00:00:00-04:00,4.64,5.17,4.64,5.16,6173500,0.0,0.0,0.0
2025-08-18 00:00:00-04:00,4.75,4.76,4.47,4.62,3352700,0.0,0.0,0.0
2025-08-15 00:00:00-04:00,4.76,4.98,4.7,4.72,4444200,0.0,0.0,0.0
2025-08-14 00:00:00-04:00,4.74,4.87,4.68,4.7,4781500,0.0,0.0,0.0
2025-08-13 00:00:00-04:00,4.56,4.69,4.49,4.59,4847400,0.0,0.0,0.0
2025-08-12 00:00:00-04:00,4.67,4.87,4.49,4.52,4574000,0.0,0.0,0.0
2025-08-11 00:00:00-04:00,4.81,4.82,4.51,4.79,9425500,0.0,0.0,0.0
2025-08-08 00:00:00-04:00,4.47,4.93,4.38,4.92,7556400,0.0,0.0,0.0
2025-08-07 00:00:00-04:00,4.41,4.53,4.11,4.52,9776700,0.0,0.0,0.0
2025-08-06 00:00:00-04:00,4.46,4.72,4.34,4.5,14939700,0.0,0.0,0.0
2025-08-05 00:00:00-04:00,3.13,3.35,3.06,3.3,12920200,0.0,0.0,0.0
2025-08-04 00:00:00-04:00,3.2,3.26,3.08,3.18,6636700,0.0,0.0,0.0
2025-08-01 00:00:00-04:00,3.34,3.55,3.24,3.38,11293400,0.0,0.0,0.0
2025-07-31 00:00:00-04:00,2.83,3.19,2.81,3.14,9328800,0.0,0.0,0.0
2025-07-30 00:00:00-04:00,3.08,3.14,2.8,2.96,10032500,0.0,0.0,0.0
2025-07-29 00:00:00-04:00,3.07,3.24,2.91,3.19,11377300,0.0,0.0,0.0
2025-07-28 00:00:00-04:00,3.66,3.71,3.05,3.06,15460200,0.0,0.0,0.0
2025-07-25 00:00:00-04:00,4.2,4.29,3.83,3.85,6019700,0.0,0.0,0.0
2025-07-24 00:00:00-04:00,4.25,4.35,4.01,4.15,6131800,0.0,0.0,0.0
2025-07-23 00:00:00-04:00,4.47,4.47,4.2,4.28,5136600,0.0,0.0,0.0
2025-07-22 00:00:00-04:00,4.3,4.8,4.3,4.62,4618300,0.0,0.0,0.0
2025-07-21 00:00:00-04:00,4.15,4.37,3.94,4.35,4192500,0.0,0.0,0.0
2025-07-18 00:00:00-04:00,4.08,4.38,3.98,4.31,2918600,0.0,0.0,0.0
2025-07-17 00:00:00-04:00,4.02,4.18,3.94,4.16,2290500,0.0,0.0,0.0
2025-07-16 00:00:00-04:00,4.12,4.36,4.08,4.08,3352500,0.0,0.0,0.0
2025-07-15 00:00:00-04:00,4.33,4.39,3.9,4.1,9496100,0.0,0.0,0.0
2025-07-14 00:00:00-04:00,4.84,4.93,4.57,4.74,2955900,0.0,0.0,0.0
2025-07-11 00:00:00-04:00,4.74,4.87,4.66,4.85,2116600,0.0,0.0,0.0
2025-07-10 00:00:00-04:00,4.59,4.77,4.39,4.64,3056800,0.0,0.0,0.0
2025-07-09 00:00:00-04:00,4.97,5.02,4.67,4.71,3183400,0.0,0.0,0.0
2025-07-08 00:00:00-04:00,5.26,5.27,4.85,4.89,3100300,0.0,0.0,0.0
2025-07-07 00:00:00-04:00,5.13,5.52,5.13,5.34,2084300,0.0,0.0,0.0
2025-07-03 00:00:00-04:00,4.93,5.07,4.83,5.04,2090500,0.0,0.0,0.0
2025-07-02 00:00:00-04:00,5.38,5.38,4.98,5.01,2706700,0.0,0.0,0.0
2025-07-01 00:00:00-04:00,5.16,5.53,5.06,5.35,3432500,0.0,0.0,0.0
2025-06-30 00:00:00-04:00,5.08,5.16,4.66,4.99,5438900,0.0,0.0,0.0
2025-06-27 00:00:00-04:00,4.94,5.46,4.83,5.32,6210900,0.0,0.0,0.0
2025-06-26 00:00:00-04:00,5.47,5.74,4.94,4.99,8262400,0.0,0.0,0.0
2025-06-25 00:00:00-04:00,6.65,6.72,5.53,5.62,8951100,0.0,0.0,0.0
2025-06-24 00:00:00-04:00,7.36,7.46,6.72,6.82,3746700,0.0,0.0,0.0
2025-06-23 00:00:00-04:00,6.83,7.56,6.79,7.53,4681600,0.0,0.0,0.0
2025-06-20 00:00:00-04:00,6.21,6.65,6.09,6.31,3251400,0.0,0.0,0.0
2025-06-18 00:00:00-04:00,7.0,7.09,6.17,6.58,4653600,0.0,0.0,0.0
2025-06-17 00:00:00-04:00,6.99,7.06,6.66,7.01,2724100,0.0,0.0,0.0
2025-06-16 00:00:00-04:00,7.32,7.4,6.58,6.85,2752200,0.0,0.0,0.0
2025-06-13 00:00:00-04:00,7.44,7.86,7.32,7.6,2079100,0.0,0.0,0.0
