Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-11-21 00:00:00-05:00,32.12,33.25,32.22,33.08,8175,0.0,0.0,0.0
2025-11-20 00:00:00-05:00,32.7,32.84,31.96,31.96,6200,0.0,0.0,0.0
2025-11-19 00:00:00-05:00,32.4,32.4,32.23,32.3,16900,0.0,0.0,0.0
2025-11-18 00:00:00-05:00,32.25,32.52,32.23,32.44,11500,0.0,0.0,0.0
2025-11-17 00:00:00-05:00,32.9,32.98,32.32,32.37,8400,0.0,0.0,0.0
2025-11-14 00:00:00-05:00,32.82,33.12,32.75,33.09,14600,0.0,0.0,0.0
2025-11-13 00:00:00-05:00,33.5,33.67,33.09,33.09,10700,0.0,0.0,0.0
2025-11-12 00:00:00-05:00,33.68,33.93,33.58,33.58,18800,0.0,0.0,0.0
2025-11-11 00:00:00-05:00,33.5,33.56,33.43,33.54,14100,0.0,0.0,0.0
2025-11-10 00:00:00-05:00,33.41,33.52,33.13,33.41,8600,0.0,0.0,0.0
2025-11-07 00:00:00-05:00,32.72,33.1,32.72,33.03,5700,0.0,0.0,0.0
2025-11-06 00:00:00-05:00,33.09,33.09,32.84,32.84,5200,0.0,0.0,0.0
2025-11-05 00:00:00-05:00,33.04,33.42,33.03,33.32,8600,0.0,0.0,0.0
2025-11-04 00:00:00-05:00,32.81,33.1,32.81,32.97,8500,0.0,0.0,0.0
2025-11-03 00:00:00-05:00,33.01,33.2,32.79,33.2,10300,0.0,0.0,0.0
2025-10-31 00:00:00-04:00,33.06,33.06,32.83,33.01,13400,0.0,0.0,0.0
2025-10-30 00:00:00-04:00,33.14,33.37,33.0,33.07,29800,0.0,0.0,0.0
2025-10-29 00:00:00-04:00,33.71,33.88,33.06,33.25,44800,0.0,0.0,0.0
2025-10-28 00:00:00-04:00,33.77,33.79,33.51,33.74,20300,0.0,0.0,0.0
2025-10-27 00:00:00-04:00,34.3,34.3,33.79,33.82,20700,0.0,0.0,0.0
2025-10-24 00:00:00-04:00,34.12,34.12,33.94,33.94,15400,0.0,0.0,0.0
2025-10-23 00:00:00-04:00,33.56,33.78,33.47,33.69,92400,0.0,0.0,0.0
2025-10-22 00:00:00-04:00,33.44,33.53,33.08,33.34,2322700,0.0,0.0,0.0
2025-10-21 00:00:00-04:00,33.29,33.52,33.29,33.45,96100,0.0,0.0,0.0
2025-10-20 00:00:00-04:00,33.05,33.33,33.05,33.33,48300,0.0,0.0,0.0
2025-10-17 00:00:00-04:00,32.84,32.84,32.71,32.77,9600,0.0,0.0,0.0
2025-10-16 00:00:00-04:00,33.31,33.38,32.68,32.77,5400,0.0,0.0,0.0
2025-10-15 00:00:00-04:00,33.71,33.71,33.17,33.38,3700,0.0,0.0,0.0
2025-10-14 00:00:00-04:00,32.73,33.35,32.73,33.27,2700,0.0,0.0,0.0
2025-10-13 00:00:00-04:00,32.62,32.67,32.47,32.67,2500,0.0,0.0,0.0
2025-10-10 00:00:00-04:00,33.16,33.16,32.09,32.09,16700,0.0,0.0,0.0
2025-10-09 00:00:00-04:00,33.41,33.41,33.08,33.08,15800,0.0,0.0,0.0
2025-10-08 00:00:00-04:00,33.3,33.52,33.3,33.49,17200,0.0,0.0,0.0
2025-10-07 00:00:00-04:00,33.71,33.74,33.23,33.24,5600,0.0,0.0,0.0
2025-10-06 00:00:00-04:00,33.99,33.99,33.64,33.65,6000,0.0,0.0,0.0
2025-10-03 00:00:00-04:00,33.64,33.96,33.64,33.7,13100,0.0,0.0,0.0
2025-10-02 00:00:00-04:00,33.63,33.63,33.2,33.43,8300,0.0,0.0,0.0
2025-10-01 00:00:00-04:00,33.33,33.59,33.25,33.52,19500,0.0,0.0,0.0
2025-09-30 00:00:00-04:00,33.51,33.53,33.21,33.51,7900,0.0,0.0,0.0
2025-09-29 00:00:00-04:00,33.99,33.99,33.41,33.46,12400,0.0,0.0,0.0
2025-09-26 00:00:00-04:00,33.54,33.75,33.41,33.74,12400,0.0,0.0,0.0
2025-09-25 00:00:00-04:00,33.53,33.55,33.37,33.41,8600,0.0,0.0,0.0
2025-09-24 00:00:00-04:00,34.08,34.08,33.71,33.77,8800,0.0,0.0,0.0
2025-09-23 00:00:00-04:00,33.97,34.36,33.8,33.83,6800,0.0,0.0,0.0
2025-09-22 00:00:00-04:00,33.77,33.96,33.73,33.96,10600,0.0,0.0,0.0
2025-09-19 00:00:00-04:00,34.57,34.57,33.89,33.89,18000,0.0,0.0,0.0
2025-09-18 00:00:00-04:00,33.97,34.51,33.97,34.49,8500,0.0,0.0,0.0
2025-09-17 00:00:00-04:00,33.94,34.31,33.69,33.69,12400,0.0,0.0,0.0
2025-09-16 00:00:00-04:00,33.79,33.79,33.5,33.62,5800,0.19,0.0,0.0
2025-09-15 00:00:00-04:00,33.85,33.95,33.8,33.8,7300,0.0,0.0,0.0
2025-09-12 00:00:00-04:00,33.86,33.96,33.79,33.79,12400,0.0,0.0,0.0
2025-09-11 00:00:00-04:00,33.78,34.16,33.78,34.15,3600,0.0,0.0,0.0
2025-09-10 00:00:00-04:00,33.73,33.81,33.55,33.61,3300,0.0,0.0,0.0
2025-09-09 00:00:00-04:00,33.71,33.8,33.64,33.64,4800,0.0,0.0,0.0
2025-09-08 00:00:00-04:00,33.98,34.02,33.86,34.01,6300,0.0,0.0,0.0
2025-09-05 00:00:00-04:00,34.28,34.39,33.84,34.03,22100,0.0,0.0,0.0
2025-09-04 00:00:00-04:00,33.75,34.06,33.75,34.06,3000,0.0,0.0,0.0
2025-09-03 00:00:00-04:00,33.59,33.77,33.43,33.58,30400,0.0,0.0,0.0
2025-09-02 00:00:00-04:00,33.41,33.67,33.41,33.67,14500,0.0,0.0,0.0
2025-08-29 00:00:00-04:00,33.9,33.93,33.77,33.83,6100,0.0,0.0,0.0
2025-08-28 00:00:00-04:00,34.13,34.13,33.73,33.86,12200,0.0,0.0,0.0
2025-08-27 00:00:00-04:00,33.78,33.98,33.72,33.96,13400,0.0,0.0,0.0
2025-08-26 00:00:00-04:00,33.44,33.8,33.44,33.7,6100,0.0,0.0,0.0
2025-08-25 00:00:00-04:00,33.68,33.68,33.53,33.53,6600,0.0,0.0,0.0
2025-08-22 00:00:00-04:00,32.85,33.8,32.85,33.8,84400,0.0,0.0,0.0
2025-08-21 00:00:00-04:00,32.26,32.38,32.26,32.38,5400,0.0,0.0,0.0
2025-08-20 00:00:00-04:00,32.38,32.42,32.25,32.38,6100,0.0,0.0,0.0
2025-08-19 00:00:00-04:00,32.46,32.66,32.36,32.41,3800,0.0,0.0,0.0
2025-08-18 00:00:00-04:00,32.26,32.42,32.26,32.36,10900,0.0,0.0,0.0
2025-08-15 00:00:00-04:00,32.56,32.56,32.23,32.23,3000,0.0,0.0,0.0
2025-08-14 00:00:00-04:00,32.57,32.62,32.28,32.6,6200,0.0,0.0,0.0
2025-08-13 00:00:00-04:00,32.54,32.93,32.54,32.93,7300,0.0,0.0,0.0
2025-08-12 00:00:00-04:00,31.49,32.3,31.47,32.3,6300,0.0,0.0,0.0
2025-08-11 00:00:00-04:00,31.35,31.35,31.13,31.24,5300,0.0,0.0,0.0
2025-08-08 00:00:00-04:00,31.26,31.3,31.11,31.21,5800,0.0,0.0,0.0
2025-08-07 00:00:00-04:00,31.15,31.15,31.02,31.02,4800,0.0,0.0,0.0
2025-08-06 00:00:00-04:00,31.14,31.23,31.14,31.14,13000,0.0,0.0,0.0
2025-08-05 00:00:00-04:00,30.78,31.1,30.78,31.1,2400,0.0,0.0,0.0
2025-08-04 00:00:00-04:00,30.44,30.79,30.44,30.79,2800,0.0,0.0,0.0
2025-08-01 00:00:00-04:00,30.53,30.53,30.11,30.29,10000,0.0,0.0,0.0
2025-07-31 00:00:00-04:00,31.15,31.15,30.91,30.91,7500,0.0,0.0,0.0
2025-07-30 00:00:00-04:00,31.81,31.81,31.2,31.2,3100,0.0,0.0,0.0
2025-07-29 00:00:00-04:00,32.1,32.1,31.73,31.74,9200,0.0,0.0,0.0
2025-07-28 00:00:00-04:00,31.92,32.03,31.87,31.98,12800,0.0,0.0,0.0
2025-07-25 00:00:00-04:00,32.01,32.01,31.72,31.95,7600,0.0,0.0,0.0
2025-07-24 00:00:00-04:00,32.41,32.41,31.95,31.95,5700,0.0,0.0,0.0
2025-07-23 00:00:00-04:00,32.3,32.49,32.23,32.49,5400,0.0,0.0,0.0
2025-07-22 00:00:00-04:00,32.08,32.3,32.02,32.18,7000,0.0,0.0,0.0
2025-07-21 00:00:00-04:00,31.98,32.23,31.88,31.88,14700,0.0,0.0,0.0
2025-07-18 00:00:00-04:00,31.93,31.95,31.9,31.93,13200,0.0,0.0,0.0
2025-07-17 00:00:00-04:00,31.74,32.16,31.74,32.13,9800,0.0,0.0,0.0
2025-07-16 00:00:00-04:00,31.65,31.84,31.34,31.73,25200,0.0,0.0,0.0
2025-07-15 00:00:00-04:00,32.55,32.55,31.63,31.63,14800,0.0,0.0,0.0
2025-07-14 00:00:00-04:00,32.23,32.51,32.23,32.51,37400,0.0,0.0,0.0
2025-07-11 00:00:00-04:00,32.49,32.49,32.25,32.28,35600,0.0,0.0,0.0
2025-07-10 00:00:00-04:00,32.63,32.71,32.61,32.61,6900,0.0,0.0,0.0
2025-07-09 00:00:00-04:00,32.33,32.43,32.1,32.33,36200,0.0,0.0,0.0
2025-07-08 00:00:00-04:00,32.26,32.51,32.25,32.26,42800,0.0,0.0,0.0
2025-07-07 00:00:00-04:00,32.33,32.49,31.89,31.95,8200,0.0,0.0,0.0
2025-07-03 00:00:00-04:00,32.46,32.52,32.36,32.46,4500,0.0,0.0,0.0
2025-07-02 00:00:00-04:00,31.82,32.23,31.59,32.22,20200,0.0,0.0,0.0
2025-07-01 00:00:00-04:00,30.75,31.95,30.75,31.62,6700,0.0,0.0,0.0
2025-06-30 00:00:00-04:00,31.06,31.06,30.88,30.88,10200,0.0,0.0,0.0
2025-06-27 00:00:00-04:00,30.87,31.06,30.77,30.93,9600,0.0,0.0,0.0
2025-06-26 00:00:00-04:00,30.62,30.83,30.49,30.83,7400,0.0,0.0,0.0
2025-06-25 00:00:00-04:00,30.58,30.58,30.23,30.25,11400,0.0,0.0,0.0
2025-06-24 00:00:00-04:00,30.63,30.69,30.54,30.54,10600,0.0,0.0,0.0
2025-06-23 00:00:00-04:00,29.78,30.32,29.77,30.32,6700,0.0,0.0,0.0
2025-06-20 00:00:00-04:00,30.14,30.14,29.73,29.8,9500,0.0,0.0,0.0
2025-06-18 00:00:00-04:00,29.65,30.05,29.65,29.78,5900,0.0,0.0,0.0
2025-06-17 00:00:00-04:00,29.9,29.9,29.66,29.67,4900,0.0,0.0,0.0
2025-06-16 00:00:00-04:00,30.11,30.16,29.92,29.93,7500,0.17,0.0,0.0
2025-06-13 00:00:00-04:00,29.9,30.08,29.74,29.77,9700,0.0,0.0,0.0
2025-06-12 00:00:00-04:00,30.3,30.36,30.02,30.36,9100,0.0,0.0,0.0
2025-06-11 00:00:00-04:00,30.72,30.72,30.36,30.43,6300,0.0,0.0,0.0
2025-06-10 00:00:00-04:00,30.49,30.74,30.45,30.58,13800,0.0,0.0,0.0
2025-06-09 00:00:00-04:00,30.33,30.49,30.26,30.33,4800,0.0,0.0,0.0
2025-06-06 00:00:00-04:00,29.94,30.06,29.88,30.06,7200,0.0,0.0,0.0
2025-06-05 00:00:00-04:00,29.66,29.67,29.4,29.55,21200,0.0,0.0,0.0
2025-06-04 00:00:00-04:00,29.91,29.91,29.6,29.63,8000,0.0,0.0,0.0
