Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-21 00:00:00-05:00,50.26,50.26,50.06,50.09,8935,0.0,0.0
2025-11-20 00:00:00-05:00,50.06,50.1,50.06,50.06,759500,0.0,0.0
2025-11-19 00:00:00-05:00,50.06,50.06,50.03,50.04,5100,0.0,0.0
2025-11-18 00:00:00-05:00,50.03,50.04,50.03,50.04,10500,0.0,0.0
2025-11-17 00:00:00-05:00,50.03,50.03,50.03,50.03,0,0.0,0.0
2025-11-14 00:00:00-05:00,50.01,50.01,50.01,50.01,0,0.0,0.0
2025-11-13 00:00:00-05:00,50.0,50.01,50.0,50.01,1600,0.0,0.0
2025-11-12 00:00:00-05:00,49.99,50.01,49.99,50.01,100,0.0,0.0
2025-11-11 00:00:00-05:00,50.01,50.03,50.0,50.03,17200,0.0,0.0
2025-11-10 00:00:00-05:00,49.97,49.99,49.96,49.99,2100,0.0,0.0
2025-11-07 00:00:00-05:00,49.97,49.97,49.97,49.97,0,0.0,0.0
2025-11-06 00:00:00-05:00,49.97,49.99,49.97,49.97,10000,0.0,0.0
2025-11-05 00:00:00-05:00,49.95,49.99,49.93,49.97,16900,0.0,0.0
2025-11-04 00:00:00-05:00,50.0,50.0,50.0,50.0,10000,0.0,0.0
2025-11-03 00:00:00-05:00,49.98,49.98,49.98,49.98,0,0.1,0.0
2025-10-31 00:00:00-04:00,50.0,50.0,50.0,50.0,0,0.0,0.0
2025-10-30 00:00:00-04:00,49.97,49.98,49.97,49.98,1900,0.0,0.0
2025-10-29 00:00:00-04:00,49.98,49.98,49.97,49.98,2100,0.0,0.0
2025-10-28 00:00:00-04:00,49.97,50.0,49.97,50.0,100,0.0,0.0
2025-10-27 00:00:00-04:00,50.01,50.01,50.01,50.01,0,0.0,0.0
2025-10-24 00:00:00-04:00,50.0,50.0,50.0,50.0,100,0.0,0.0
2025-10-23 00:00:00-04:00,49.99,49.99,49.99,49.99,100,0.0,0.0
2025-10-22 00:00:00-04:00,49.97,50.01,49.97,50.01,200,0.0,0.0
2025-10-21 00:00:00-04:00,50.0,50.02,50.0,50.02,300,0.0,0.0
2025-10-20 00:00:00-04:00,49.99,50.02,49.99,50.02,100,0.0,0.0
2025-10-17 00:00:00-04:00,50.04,50.04,50.04,50.04,0,0.0,0.0
2025-10-16 00:00:00-04:00,50.02,50.02,50.02,50.02,0,0.0,0.0
2025-10-15 00:00:00-04:00,50.01,50.01,50.01,50.01,0,0.0,0.0
2025-10-14 00:00:00-04:00,50.0,50.0,50.0,50.0,100,0.0,0.0
2025-10-13 00:00:00-04:00,50.0,50.03,50.0,50.03,2700,0.0,0.0
2025-10-10 00:00:00-04:00,50.02,50.02,50.02,50.02,0,0.0,0.0
2025-10-09 00:00:00-04:00,50.01,50.01,50.01,50.01,100,0.0,0.0
2025-10-08 00:00:00-04:00,50.01,50.01,50.01,50.01,0,0.0,0.0
2025-10-07 00:00:00-04:00,50.01,50.01,50.01,50.01,0,0.0,0.0
2025-10-06 00:00:00-04:00,49.99,49.99,49.99,49.99,100,0.0,0.0
2025-10-03 00:00:00-04:00,50.01,50.01,50.01,50.01,0,0.0,0.0
2025-10-02 00:00:00-04:00,50.0,50.0,50.0,50.0,0,0.0,0.0
2025-10-01 00:00:00-04:00,50.01,50.01,50.01,50.01,0,0.1,0.0
2025-09-30 00:00:00-04:00,50.01,50.01,50.01,50.01,0,0.0,0.0
2025-09-29 00:00:00-04:00,50.01,50.01,50.01,50.01,0,0.0,0.0
2025-09-26 00:00:00-04:00,50.01,50.01,50.01,50.01,0,0.0,0.0
2025-09-25 00:00:00-04:00,50.07,50.07,50.07,50.07,0,0.0,0.0
2025-09-24 00:00:00-04:00,50.13,50.13,50.13,50.13,0,0.0,0.0
2025-09-23 00:00:00-04:00,50.17,50.17,50.17,50.17,100,0.0,0.0
2025-09-22 00:00:00-04:00,50.18,50.18,50.18,50.18,0,0.0,0.0
2025-09-19 00:00:00-04:00,50.18,50.18,50.18,50.18,0,0.0,0.0
2025-09-18 00:00:00-04:00,50.18,50.18,50.18,50.18,0,0.0,0.0
2025-09-17 00:00:00-04:00,50.21,50.21,50.21,50.21,0,0.0,0.0
2025-09-16 00:00:00-04:00,50.21,50.21,50.21,50.21,0,0.0,0.0
2025-09-15 00:00:00-04:00,50.2,50.2,50.2,50.2,0,0.0,0.0
