Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-11-24 00:00:00-05:00,23.4,23.47,23.39,23.45,1192085,0.0,0.0,0.0
2025-11-21 00:00:00-05:00,23.36,23.36,23.27,23.32,1470121,0.0,0.0,0.0
2025-11-20 00:00:00-05:00,23.21,23.32,23.21,23.28,1211700,0.0,0.0,0.0
2025-11-19 00:00:00-05:00,23.27,23.3,23.18,23.2,1276200,0.0,0.0,0.0
2025-11-18 00:00:00-05:00,23.3,23.32,23.16,23.22,931500,0.0,0.0,0.0
2025-11-17 00:00:00-05:00,23.23,23.29,23.2,23.25,1327000,0.0,0.0,0.0
2025-11-14 00:00:00-05:00,23.39,23.42,23.18,23.19,1833000,0.0,0.0,0.0
2025-11-13 00:00:00-05:00,23.42,23.45,23.31,23.32,1079500,0.0,0.0,0.0
2025-11-12 00:00:00-05:00,23.45,23.52,23.42,23.49,1005600,0.0,0.0,0.0
2025-11-11 00:00:00-05:00,23.43,23.46,23.39,23.44,652800,0.0,0.0,0.0
2025-11-10 00:00:00-05:00,23.32,23.38,23.3,23.35,2155400,0.0,0.0,0.0
2025-11-07 00:00:00-05:00,23.3,23.41,23.29,23.35,1259500,0.0,0.0,0.0
2025-11-06 00:00:00-05:00,23.34,23.4,23.32,23.39,1193100,0.0,0.0,0.0
2025-11-05 00:00:00-05:00,23.33,23.34,23.16,23.16,1382400,0.0,0.0,0.0
2025-11-04 00:00:00-05:00,23.39,23.44,23.37,23.41,1090800,0.38,0.0,0.0
2025-11-03 00:00:00-05:00,23.35,23.39,23.29,23.37,1443300,0.0,0.0,0.0
2025-10-31 00:00:00-04:00,23.44,23.47,23.39,23.42,1023800,0.0,0.0,0.0
2025-10-30 00:00:00-04:00,23.42,23.52,23.41,23.45,1121400,0.0,0.0,0.0
2025-10-29 00:00:00-04:00,23.68,23.68,23.52,23.55,1229500,0.0,0.0,0.0
2025-10-28 00:00:00-04:00,23.67,23.7,23.65,23.68,1628700,0.0,0.0,0.0
2025-10-27 00:00:00-04:00,23.56,23.65,23.53,23.65,1492700,0.0,0.0,0.0
2025-10-24 00:00:00-04:00,23.58,23.59,23.52,23.58,1533500,0.0,0.0,0.0
2025-10-23 00:00:00-04:00,23.57,23.59,23.51,23.55,855400,0.0,0.0,0.0
2025-10-22 00:00:00-04:00,23.61,23.63,23.57,23.63,763600,0.0,0.0,0.0
2025-10-21 00:00:00-04:00,23.58,23.62,23.57,23.59,847400,0.0,0.0,0.0
2025-10-20 00:00:00-04:00,23.51,23.53,23.49,23.53,1132400,0.0,0.0,0.0
2025-10-17 00:00:00-04:00,23.43,23.47,23.4,23.46,1018800,0.0,0.0,0.0
2025-10-16 00:00:00-04:00,23.25,23.48,23.23,23.46,915100,0.0,0.0,0.0
2025-10-15 00:00:00-04:00,23.34,23.43,23.24,23.3,778200,0.0,0.0,0.0
2025-10-14 00:00:00-04:00,23.29,23.33,23.21,23.33,694400,0.0,0.0,0.0
2025-10-13 00:00:00-04:00,23.15,23.24,23.06,23.23,993100,0.0,0.0,0.0
2025-10-10 00:00:00-04:00,23.09,23.24,23.08,23.22,1592000,0.0,0.0,0.0
2025-10-09 00:00:00-04:00,22.92,22.93,22.86,22.91,749800,0.0,0.0,0.0
2025-10-08 00:00:00-04:00,23.0,23.0,22.89,22.92,1011500,0.0,0.0,0.0
2025-10-07 00:00:00-04:00,22.84,22.95,22.8,22.89,1078300,0.0,0.0,0.0
2025-10-06 00:00:00-04:00,22.8,22.89,22.76,22.76,1142300,0.0,0.0,0.0
2025-10-03 00:00:00-04:00,22.99,22.99,22.92,22.92,826700,0.0,0.0,0.0
2025-10-02 00:00:00-04:00,22.93,23.02,22.9,22.99,1013900,0.14,0.0,0.0
2025-10-01 00:00:00-04:00,22.95,22.98,22.88,22.93,1613500,0.0,0.0,0.0
2025-09-30 00:00:00-04:00,22.93,22.99,22.82,22.87,1940600,0.0,0.0,0.0
2025-09-29 00:00:00-04:00,22.84,22.93,22.82,22.91,1167100,0.0,0.0,0.0
2025-09-26 00:00:00-04:00,22.75,22.86,22.69,22.75,1272000,0.0,0.0,0.0
2025-09-25 00:00:00-04:00,22.74,22.76,22.63,22.76,794000,0.0,0.0,0.0
2025-09-24 00:00:00-04:00,22.78,22.79,22.68,22.75,815900,0.0,0.0,0.0
2025-09-23 00:00:00-04:00,22.74,22.82,22.69,22.82,856100,0.0,0.0,0.0
2025-09-22 00:00:00-04:00,22.71,22.71,22.62,22.68,1049200,0.0,0.0,0.0
2025-09-19 00:00:00-04:00,22.76,22.79,22.68,22.74,1138600,0.0,0.0,0.0
2025-09-18 00:00:00-04:00,22.78,22.81,22.74,22.8,853400,0.0,0.0,0.0
2025-09-17 00:00:00-04:00,22.83,22.84,22.76,22.8,1265700,0.0,0.0,0.0
2025-09-16 00:00:00-04:00,22.8,22.81,22.78,22.8,689600,0.0,0.0,0.0
2025-09-15 00:00:00-04:00,22.77,22.8,22.77,22.79,896600,0.0,0.0,0.0
2025-09-12 00:00:00-04:00,22.74,22.77,22.71,22.77,673200,0.0,0.0,0.0
