Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-11-24 00:00:00-05:00,26.46,26.48,26.32,26.46,34620,0.0,0.0,0.0
2025-11-21 00:00:00-05:00,26.3,26.34,26.19,26.31,19298,0.0,0.0,0.0
2025-11-20 00:00:00-05:00,25.96,26.15,25.96,26.13,19600,0.0,0.0,0.0
2025-11-19 00:00:00-05:00,26.03,26.04,25.87,25.94,40800,0.0,0.0,0.0
2025-11-18 00:00:00-05:00,26.13,26.13,25.84,26.02,34400,0.0,0.0,0.0
2025-11-17 00:00:00-05:00,25.86,25.94,25.81,25.86,30400,0.0,0.0,0.0
2025-11-14 00:00:00-05:00,26.1,26.1,25.75,25.82,7700,0.0,0.0,0.0
2025-11-13 00:00:00-05:00,26.04,26.07,25.86,25.95,49200,0.0,0.0,0.0
2025-11-12 00:00:00-05:00,26.13,26.2,26.1,26.16,13300,0.0,0.0,0.0
2025-11-11 00:00:00-05:00,26.18,26.2,26.09,26.13,26400,0.0,0.0,0.0
2025-11-10 00:00:00-05:00,25.98,26.0,25.89,25.91,29400,0.0,0.0,0.0
2025-11-07 00:00:00-05:00,25.95,26.2,25.95,26.07,49500,0.0,0.0,0.0
2025-11-06 00:00:00-05:00,25.9,26.08,25.89,26.01,22500,0.0,0.0,0.0
2025-11-05 00:00:00-05:00,25.87,25.89,25.62,25.62,35400,0.0,0.0,0.0
2025-11-04 00:00:00-05:00,25.96,26.06,25.96,26.0,30100,0.0,0.0,0.0
2025-11-03 00:00:00-05:00,25.89,25.98,25.85,25.95,53500,0.0,0.0,0.0
2025-10-31 00:00:00-04:00,25.97,26.07,25.93,25.96,40000,0.0,0.0,0.0
2025-10-30 00:00:00-04:00,25.86,26.11,25.83,26.0,36600,0.0,0.0,0.0
2025-10-29 00:00:00-04:00,26.53,26.53,26.05,26.1,46000,0.0,0.0,0.0
2025-10-28 00:00:00-04:00,26.46,26.65,26.46,26.59,21900,0.0,0.0,0.0
2025-10-27 00:00:00-04:00,26.42,26.55,26.33,26.55,31700,0.0,0.0,0.0
2025-10-24 00:00:00-04:00,26.55,26.58,26.42,26.55,22500,0.0,0.0,0.0
2025-10-23 00:00:00-04:00,26.6,26.66,26.49,26.49,24500,0.0,0.0,0.0
2025-10-22 00:00:00-04:00,26.76,26.82,26.64,26.82,45000,0.0,0.0,0.0
2025-10-21 00:00:00-04:00,26.75,26.82,26.73,26.75,32400,0.0,0.0,0.0
2025-10-20 00:00:00-04:00,26.67,26.67,26.53,26.63,84200,0.0,0.0,0.0
2025-10-17 00:00:00-04:00,26.66,26.66,26.45,26.53,59300,0.0,0.0,0.0
2025-10-16 00:00:00-04:00,26.3,26.73,26.29,26.7,72200,0.0,0.0,0.0
2025-10-15 00:00:00-04:00,26.47,26.54,26.29,26.32,12200,0.0,0.0,0.0
2025-10-14 00:00:00-04:00,26.27,26.47,26.27,26.46,37500,0.0,0.0,0.0
