Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-11-20 00:00:00-05:00,26.01,26.14,23.32,23.45,281354,0.0,0.0,0.0
2025-11-19 00:00:00-05:00,24.65,25.87,24.62,25.46,232000,0.0,0.0,0.0
2025-11-18 00:00:00-05:00,23.85,25.04,23.8,24.64,254600,0.0,0.0,0.0
2025-11-17 00:00:00-05:00,24.66,25.44,24.34,24.58,205600,0.0,0.0,0.0
2025-11-14 00:00:00-05:00,24.44,25.77,24.05,25.19,217100,0.0,0.0,0.0
2025-11-13 00:00:00-05:00,25.9,26.54,24.89,25.16,347200,0.0,0.0,0.0
2025-11-12 00:00:00-05:00,26.63,26.72,25.77,26.36,191700,0.0,0.0,0.0
2025-11-11 00:00:00-05:00,26.95,26.95,25.81,26.45,189300,0.0,0.0,0.0
2025-11-10 00:00:00-05:00,26.99,27.49,26.69,27.35,206700,0.0,0.0,0.0
2025-11-07 00:00:00-05:00,24.5,25.96,24.3,25.89,403300,0.0,0.0,0.0
2025-11-06 00:00:00-05:00,26.68,26.68,25.06,25.41,375800,0.0,0.0,0.0
2025-11-05 00:00:00-05:00,27.05,27.48,26.43,26.71,445300,0.0,0.0,0.0
2025-11-04 00:00:00-05:00,27.5,28.5,27.22,27.32,372500,0.0,0.0,0.0
2025-11-03 00:00:00-05:00,31.11,31.17,28.68,28.74,247800,0.0,0.0,0.0
2025-10-31 00:00:00-04:00,32.2,32.23,30.82,31.32,157600,0.0,0.0,0.0
2025-10-30 00:00:00-04:00,31.24,32.32,30.75,32.32,367900,0.0,0.0,0.0
2025-10-29 00:00:00-04:00,30.78,32.1,30.21,31.28,265700,0.0,0.0,0.0
2025-10-28 00:00:00-04:00,29.21,31.09,29.02,30.76,461300,0.0,0.0,0.0
2025-10-27 00:00:00-04:00,28.61,28.74,27.0,27.86,298800,0.0,0.0,0.0
2025-10-24 00:00:00-04:00,28.3,29.4,28.1,28.95,350900,0.0,0.0,0.0
2025-10-23 00:00:00-04:00,28.9,29.5,28.04,28.16,911500,0.0,0.0,0.0
2025-10-22 00:00:00-04:00,26.96,29.22,26.82,28.92,494200,0.0,0.0,0.0
2025-10-21 00:00:00-04:00,29.66,29.85,27.6,27.83,570200,0.0,0.0,0.0
2025-10-20 00:00:00-04:00,30.68,30.68,28.66,30.21,777300,0.0,0.0,0.0
2025-10-17 00:00:00-04:00,30.14,31.33,29.07,29.9,1510600,0.0,0.0,0.0
2025-10-16 00:00:00-04:00,34.48,35.55,31.93,31.93,613700,0.0,0.0,0.0
2025-10-15 00:00:00-04:00,34.49,35.33,32.38,34.01,1114000,0.0,0.0,0.0
2025-10-14 00:00:00-04:00,32.25,34.97,31.0,33.77,620400,0.0,0.0,0.0
2025-10-13 00:00:00-04:00,32.33,33.57,31.8,32.29,412200,0.0,0.0,0.0
2025-10-10 00:00:00-04:00,30.55,32.99,30.45,30.69,674000,0.0,0.0,0.0
2025-10-09 00:00:00-04:00,30.33,31.37,29.9,30.45,227000,0.0,0.0,0.0
2025-10-08 00:00:00-04:00,30.46,31.38,29.88,30.31,262700,0.0,0.0,0.0
2025-10-07 00:00:00-04:00,29.7,31.25,29.47,30.25,793700,0.0,0.0,0.0
2025-10-06 00:00:00-04:00,29.37,30.59,29.37,29.67,419700,0.0,0.0,0.0
2025-10-03 00:00:00-04:00,29.95,29.97,28.75,29.12,215800,0.0,0.0,0.0
2025-10-02 00:00:00-04:00,29.45,29.88,28.58,29.75,191000,0.0,0.0,0.0
2025-10-01 00:00:00-04:00,28.88,29.07,28.42,28.7,155800,0.0,0.0,0.0
2025-09-30 00:00:00-04:00,29.23,29.6,28.87,29.15,269400,0.0,0.0,0.0
