Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-12-23 00:00:00-05:00,83.47,83.66,83.44,83.62,9336690,0.0,0.0,0.0
2025-12-22 00:00:00-05:00,83.62,83.63,83.55,83.62,9946800,0.0,0.0,0.0
2025-12-19 00:00:00-05:00,83.72,83.75,83.61,83.64,10094500,0.0,0.0,0.0
2025-12-18 00:00:00-05:00,83.8,83.83,83.64,83.78,10849200,0.336,0.0,0.0
2025-12-17 00:00:00-05:00,83.52,83.58,83.47,83.54,7604900,0.0,0.0,0.0
2025-12-16 00:00:00-05:00,83.5,83.61,83.36,83.57,6773500,0.0,0.0,0.0
2025-12-15 00:00:00-05:00,83.55,83.6,83.38,83.45,7426600,0.0,0.0,0.0
2025-12-12 00:00:00-05:00,83.45,83.47,83.32,83.35,11022700,0.0,0.0,0.0
2025-12-11 00:00:00-05:00,83.81,83.86,83.61,83.67,10898700,0.0,0.0,0.0
2025-12-10 00:00:00-05:00,83.33,83.71,83.29,83.67,13579000,0.0,0.0,0.0
2025-12-09 00:00:00-05:00,83.56,83.58,83.31,83.36,14346600,0.0,0.0,0.0
2025-12-08 00:00:00-05:00,83.6,83.61,83.35,83.48,11580300,0.0,0.0,0.0
2025-12-05 00:00:00-05:00,83.73,83.76,83.53,83.6,9622100,0.0,0.0,0.0
2025-12-04 00:00:00-05:00,83.75,83.75,83.63,83.68,10639800,0.0,0.0,0.0
2025-12-03 00:00:00-05:00,83.76,83.87,83.7,83.84,14275100,0.0,0.0,0.0
2025-12-02 00:00:00-05:00,83.6,83.7,83.54,83.66,10462600,0.0,0.0,0.0
2025-12-01 00:00:00-05:00,83.58,83.6,83.49,83.6,12396700,0.322,0.0,0.0
2025-11-28 00:00:00-05:00,83.96,83.99,83.79,83.89,5201900,0.0,0.0,0.0
2025-11-26 00:00:00-05:00,83.78,83.97,83.7,83.96,11107900,0.0,0.0,0.0
2025-11-25 00:00:00-05:00,83.59,83.91,83.58,83.8,13396700,0.0,0.0,0.0
2025-11-24 00:00:00-05:00,83.48,83.59,83.39,83.58,16992900,0.0,0.0,0.0
2025-11-21 00:00:00-05:00,83.34,83.37,83.18,83.37,6978800,0.0,0.0,0.0
2025-11-20 00:00:00-05:00,83.16,83.24,83.04,83.08,9955400,0.0,0.0,0.0
2025-11-19 00:00:00-05:00,83.13,83.14,82.96,82.98,8150400,0.0,0.0,0.0
2025-11-18 00:00:00-05:00,83.07,83.14,82.94,83.01,13416800,0.0,0.0,0.0
2025-11-17 00:00:00-05:00,82.96,83.05,82.88,82.91,10074100,0.0,0.0,0.0
2025-11-14 00:00:00-05:00,83.14,83.21,82.91,82.91,5799800,0.0,0.0,0.0
2025-11-13 00:00:00-05:00,83.08,83.22,83.04,83.05,9157000,0.0,0.0,0.0
2025-11-12 00:00:00-05:00,83.34,83.37,83.23,83.28,6998200,0.0,0.0,0.0
2025-11-11 00:00:00-05:00,83.27,83.41,83.19,83.39,3381300,0.0,0.0,0.0
2025-11-10 00:00:00-05:00,83.11,83.18,83.07,83.08,10066800,0.0,0.0,0.0
2025-11-07 00:00:00-05:00,83.07,83.18,83.02,83.1,11084400,0.0,0.0,0.0
2025-11-06 00:00:00-05:00,83.1,83.16,83.06,83.14,8744000,0.0,0.0,0.0
