Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-11-21 00:00:00-05:00,79.89,79.89,79.82,79.84,1074083,0.0,0.0,0.0
2025-11-20 00:00:00-05:00,79.77,79.8,79.72,79.74,4207400,0.0,0.0,0.0
2025-11-19 00:00:00-05:00,79.76,79.77,79.67,79.7,3818800,0.0,0.0,0.0
2025-11-18 00:00:00-05:00,79.72,79.77,79.66,79.68,6723600,0.0,0.0,0.0
2025-11-17 00:00:00-05:00,79.67,79.69,79.63,79.64,3987800,0.0,0.0,0.0
2025-11-14 00:00:00-05:00,79.73,79.73,79.62,79.62,3818000,0.0,0.0,0.0
2025-11-13 00:00:00-05:00,79.66,79.71,79.64,79.65,4414500,0.0,0.0,0.0
2025-11-12 00:00:00-05:00,79.77,79.79,79.7,79.75,5108500,0.0,0.0,0.0
2025-11-11 00:00:00-05:00,79.73,79.81,79.7,79.79,2004000,0.0,0.0,0.0
2025-11-10 00:00:00-05:00,79.7,79.72,79.65,79.65,6809600,0.0,0.0,0.0
2025-11-07 00:00:00-05:00,79.66,79.73,79.66,79.7,5362200,0.0,0.0,0.0
2025-11-06 00:00:00-05:00,79.64,79.67,79.63,79.65,6405500,0.0,0.0,0.0
2025-11-05 00:00:00-05:00,79.61,79.61,79.52,79.52,5777400,0.0,0.0,0.0
2025-11-04 00:00:00-05:00,79.59,79.68,79.58,79.61,6290200,0.0,0.0,0.0
2025-11-03 00:00:00-05:00,79.6,79.6,79.54,79.58,6740300,0.3,0.0,0.0
2025-10-31 00:00:00-04:00,79.63,79.66,79.58,79.6,8197500,0.0,0.0,0.0
2025-10-30 00:00:00-04:00,79.57,79.68,79.54,79.6,5882100,0.0,0.0,0.0
2025-10-29 00:00:00-04:00,79.83,79.86,79.63,79.65,2983800,0.0,0.0,0.0
2025-10-28 00:00:00-04:00,79.81,79.84,79.78,79.83,3970700,0.0,0.0,0.0
2025-10-27 00:00:00-04:00,79.8,79.83,79.76,79.82,4471900,0.0,0.0,0.0
2025-10-24 00:00:00-04:00,79.83,79.84,79.79,79.83,4695500,0.0,0.0,0.0
2025-10-23 00:00:00-04:00,79.78,79.8,79.73,79.73,8126900,0.0,0.0,0.0
2025-10-22 00:00:00-04:00,79.77,79.81,79.74,79.8,3736600,0.0,0.0,0.0
2025-10-21 00:00:00-04:00,79.82,79.84,79.78,79.78,3085900,0.0,0.0,0.0
2025-10-20 00:00:00-04:00,79.77,79.78,79.74,79.78,3672300,0.0,0.0,0.0
2025-10-17 00:00:00-04:00,79.77,79.77,79.7,79.71,6048600,0.0,0.0,0.0
2025-10-16 00:00:00-04:00,79.64,79.8,79.64,79.77,5489500,0.0,0.0,0.0
2025-10-15 00:00:00-04:00,79.69,79.72,79.61,79.66,7244900,0.0,0.0,0.0
2025-10-14 00:00:00-04:00,79.54,79.68,79.54,79.65,7043800,0.0,0.0,0.0
2025-10-13 00:00:00-04:00,79.45,79.6,79.45,79.6,1506600,0.0,0.0,0.0
2025-10-10 00:00:00-04:00,79.46,79.54,79.43,79.45,4554100,0.0,0.0,0.0
2025-10-09 00:00:00-04:00,79.41,79.43,79.38,79.4,3094400,0.0,0.0,0.0
2025-10-08 00:00:00-04:00,79.53,79.53,79.44,79.45,4000000,0.0,0.0,0.0
2025-10-07 00:00:00-04:00,79.44,79.5,79.42,79.48,4040700,0.0,0.0,0.0
2025-10-06 00:00:00-04:00,79.44,79.47,79.4,79.4,4212300,0.0,0.0,0.0
2025-10-03 00:00:00-04:00,79.51,79.54,79.45,79.46,3322900,0.0,0.0,0.0
2025-10-02 00:00:00-04:00,79.49,79.51,79.44,79.5,4441700,0.0,0.0,0.0
2025-10-01 00:00:00-04:00,79.42,79.51,79.4,79.5,6955500,0.29,0.0,0.0
2025-09-30 00:00:00-04:00,79.36,79.38,79.32,79.34,9117400,0.0,0.0,0.0
2025-09-29 00:00:00-04:00,79.28,79.33,79.27,79.29,8033400,0.0,0.0,0.0
2025-09-26 00:00:00-04:00,79.21,79.24,79.2,79.23,6283400,0.0,0.0,0.0
2025-09-25 00:00:00-04:00,79.2,79.21,79.13,79.19,6283000,0.0,0.0,0.0
2025-09-24 00:00:00-04:00,79.36,79.36,79.27,79.28,6401100,0.0,0.0,0.0
2025-09-23 00:00:00-04:00,79.36,79.4,79.34,79.36,6584700,0.0,0.0,0.0
2025-09-22 00:00:00-04:00,79.42,79.44,79.34,79.34,3089400,0.0,0.0,0.0
2025-09-19 00:00:00-04:00,79.36,79.41,79.34,79.4,3408400,0.0,0.0,0.0
2025-09-18 00:00:00-04:00,79.35,79.37,79.27,79.34,9558300,0.0,0.0,0.0
2025-09-17 00:00:00-04:00,79.45,79.55,79.33,79.37,6970300,0.0,0.0,0.0
2025-09-16 00:00:00-04:00,79.47,79.49,79.41,79.45,3554300,0.0,0.0,0.0
2025-09-15 00:00:00-04:00,79.39,79.44,79.39,79.42,2895700,0.0,0.0,0.0
2025-09-12 00:00:00-04:00,79.37,79.39,79.29,79.34,3634700,0.0,0.0,0.0
2025-09-11 00:00:00-04:00,79.35,79.43,79.33,79.36,8368600,0.0,0.0,0.0
2025-09-10 00:00:00-04:00,79.31,79.39,79.29,79.3,9387200,0.0,0.0,0.0
2025-09-09 00:00:00-04:00,79.34,79.37,79.25,79.26,6911100,0.0,0.0,0.0
2025-09-08 00:00:00-04:00,79.39,79.4,79.3,79.31,4638700,0.0,0.0,0.0
2025-09-05 00:00:00-04:00,79.38,79.41,79.28,79.29,2388000,0.0,0.0,0.0
2025-09-04 00:00:00-04:00,79.13,79.19,79.07,79.19,3594800,0.0,0.0,0.0
2025-09-03 00:00:00-04:00,78.99,79.06,78.95,79.04,3180600,0.0,0.0,0.0
2025-09-02 00:00:00-04:00,78.88,78.95,78.84,78.93,5244400,0.29,0.0,0.0
2025-08-29 00:00:00-04:00,78.98,79.0,78.95,79.0,2036800,0.0,0.0,0.0
2025-08-28 00:00:00-04:00,78.97,79.0,78.94,78.96,2879800,0.0,0.0,0.0
2025-08-27 00:00:00-04:00,78.93,78.99,78.89,78.99,9710900,0.0,0.0,0.0
2025-08-26 00:00:00-04:00,78.87,78.93,78.83,78.92,10210200,0.0,0.0,0.0
2025-08-25 00:00:00-04:00,78.86,78.86,78.82,78.82,6594100,0.0,0.0,0.0
2025-08-22 00:00:00-04:00,78.68,78.93,78.67,78.9,3949400,0.0,0.0,0.0
2025-08-21 00:00:00-04:00,78.69,78.71,78.6,78.63,4889400,0.0,0.0,0.0
2025-08-20 00:00:00-04:00,78.76,78.79,78.71,78.75,3712500,0.0,0.0,0.0
2025-08-19 00:00:00-04:00,78.7,78.76,78.7,78.72,3885700,0.0,0.0,0.0
2025-08-18 00:00:00-04:00,78.72,78.75,78.67,78.68,2781200,0.0,0.0,0.0
2025-08-15 00:00:00-04:00,78.74,78.8,78.69,78.71,3240400,0.0,0.0,0.0
2025-08-14 00:00:00-04:00,78.76,78.76,78.66,78.71,4467900,0.0,0.0,0.0
2025-08-13 00:00:00-04:00,78.79,78.81,78.75,78.8,5522900,0.0,0.0,0.0
2025-08-12 00:00:00-04:00,78.59,78.66,78.56,78.66,6345500,0.0,0.0,0.0
2025-08-11 00:00:00-04:00,78.56,78.59,78.52,78.56,3854800,0.0,0.0,0.0
2025-08-08 00:00:00-04:00,78.6,78.6,78.51,78.51,4646900,0.0,0.0,0.0
2025-08-07 00:00:00-04:00,78.65,78.66,78.57,78.59,20613000,0.0,0.0,0.0
2025-08-06 00:00:00-04:00,78.59,78.64,78.53,78.63,15528100,0.0,0.0,0.0
2025-08-05 00:00:00-04:00,78.58,78.63,78.54,78.58,17712000,0.0,0.0,0.0
2025-08-04 00:00:00-04:00,78.59,78.62,78.54,78.62,16595600,0.0,0.0,0.0
2025-08-01 00:00:00-04:00,78.42,78.58,78.39,78.55,8211000,0.3,0.0,0.0
2025-07-31 00:00:00-04:00,78.16,78.21,78.12,78.12,8830600,0.0,0.0,0.0
2025-07-30 00:00:00-04:00,78.19,78.29,78.12,78.15,2780700,0.0,0.0,0.0
2025-07-29 00:00:00-04:00,78.22,78.24,78.13,78.21,5621400,0.0,0.0,0.0
2025-07-28 00:00:00-04:00,78.14,78.17,78.11,78.12,1433300,0.0,0.0,0.0
