Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-11-25 00:00:00-05:00,62.83,63.57,63.03,63.41,20524,0.0,0.0,0.0
2025-11-24 00:00:00-05:00,62.69,62.88,62.59,62.62,21545,0.0,0.0,0.0
2025-11-21 00:00:00-05:00,62.14,63.16,62.3,62.84,61675,0.0,0.0,0.0
2025-11-20 00:00:00-05:00,62.34,62.6,61.99,62.07,25400,0.0,0.0,0.0
2025-11-19 00:00:00-05:00,62.51,62.51,61.93,62.08,13900,0.0,0.0,0.0
2025-11-18 00:00:00-05:00,62.13,62.56,62.12,62.44,20200,0.0,0.0,0.0
2025-11-17 00:00:00-05:00,62.84,62.96,62.13,62.13,17900,0.0,0.0,0.0
2025-11-14 00:00:00-05:00,62.78,63.06,62.63,62.84,21100,0.0,0.0,0.0
2025-11-13 00:00:00-05:00,63.24,63.37,62.95,62.95,13100,0.0,0.0,0.0
2025-11-12 00:00:00-05:00,63.34,63.46,63.26,63.34,11600,0.0,0.0,0.0
2025-11-11 00:00:00-05:00,63.03,63.43,62.99,63.36,21400,0.0,0.0,0.0
2025-11-10 00:00:00-05:00,62.91,63.17,62.67,62.91,36400,0.0,0.0,0.0
2025-11-07 00:00:00-05:00,61.97,62.87,61.97,62.87,8900,0.0,0.0,0.0
2025-11-06 00:00:00-05:00,62.23,62.35,62.03,62.12,22600,0.0,0.0,0.0
2025-11-05 00:00:00-05:00,62.2,62.42,62.1,62.34,9700,0.0,0.0,0.0
2025-11-04 00:00:00-05:00,61.74,62.1,61.55,62.01,17900,0.0,0.0,0.0
2025-11-03 00:00:00-05:00,61.46,61.82,60.96,61.81,18600,0.0,0.0,0.0
2025-10-31 00:00:00-04:00,61.39,61.83,61.18,61.83,26300,0.0,0.0,0.0
2025-10-30 00:00:00-04:00,61.46,62.04,61.46,61.61,19100,0.0,0.0,0.0
2025-10-29 00:00:00-04:00,62.31,62.31,61.35,61.61,42900,0.0,0.0,0.0
2025-10-28 00:00:00-04:00,63.06,63.06,62.4,62.46,19800,0.0,0.0,0.0
2025-10-27 00:00:00-04:00,63.14,63.26,63.0,63.17,21700,0.0,0.0,0.0
2025-10-24 00:00:00-04:00,63.41,63.41,63.08,63.08,42200,0.0,0.0,0.0
2025-10-23 00:00:00-04:00,63.42,63.42,62.84,63.1,24400,0.0,0.0,0.0
2025-10-22 00:00:00-04:00,63.33,63.51,63.19,63.25,16800,0.0,0.0,0.0
2025-10-21 00:00:00-04:00,63.35,63.56,63.26,63.34,16600,0.0,0.0,0.0
2025-10-20 00:00:00-04:00,63.1,63.51,62.98,63.32,31800,0.0,0.0,0.0
2025-10-17 00:00:00-04:00,62.45,62.89,62.45,62.89,25500,0.0,0.0,0.0
2025-10-16 00:00:00-04:00,62.9,62.9,62.26,62.41,30300,0.0,0.0,0.0
2025-10-15 00:00:00-04:00,62.93,63.32,62.71,62.87,17100,0.0,0.0,0.0
2025-10-14 00:00:00-04:00,62.17,62.98,62.17,62.9,38200,0.0,0.0,0.0
2025-10-13 00:00:00-04:00,62.31,62.36,62.0,62.25,23300,0.0,0.0,0.0
2025-10-10 00:00:00-04:00,62.69,62.82,61.97,61.98,33400,0.0,0.0,0.0
2025-10-09 00:00:00-04:00,63.16,63.16,62.43,62.56,28800,0.0,0.0,0.0
2025-10-08 00:00:00-04:00,63.17,63.21,62.96,63.17,35000,0.0,0.0,0.0
2025-10-07 00:00:00-04:00,63.18,63.21,62.9,63.03,27800,0.0,0.0,0.0
2025-10-06 00:00:00-04:00,63.43,63.45,63.06,63.13,74600,0.0,0.0,0.0
2025-10-03 00:00:00-04:00,63.27,63.61,63.27,63.43,122000,0.0,0.0,0.0
2025-10-02 00:00:00-04:00,63.26,63.38,62.84,63.15,170900,0.0,0.0,0.0
2025-10-01 00:00:00-04:00,63.56,63.61,63.38,63.45,18900,0.0,0.0,0.0
2025-09-30 00:00:00-04:00,63.15,63.64,63.15,63.56,28600,0.0,0.0,0.0
