Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-24 00:00:00-05:00,27.18,27.52,27.09,27.45,1863,0.0,0.0
2025-11-21 00:00:00-05:00,27.25,28.06,27.25,27.98,6235,0.0,0.0
2025-11-20 00:00:00-05:00,28.5,29.03,27.92,28.09,6600,0.0,0.0
2025-11-19 00:00:00-05:00,27.71,28.3,27.7,28.15,14300,0.0,0.0
2025-11-18 00:00:00-05:00,27.9,28.97,27.76,28.92,4500,0.0,0.0
2025-11-17 00:00:00-05:00,28.74,29.45,28.0,28.34,71500,0.0,0.0
2025-11-14 00:00:00-05:00,28.44,29.27,27.92,29.07,31200,0.0,0.0
2025-11-13 00:00:00-05:00,28.46,28.83,28.3,28.33,52700,0.0,0.0
2025-11-12 00:00:00-05:00,28.33,28.61,27.96,28.08,35400,0.0,0.0
2025-11-11 00:00:00-05:00,28.94,29.26,28.83,28.86,5300,0.0,0.0
2025-11-10 00:00:00-05:00,26.95,28.25,26.91,28.14,9500,0.0,0.0
2025-11-07 00:00:00-05:00,26.9,27.77,26.9,27.7,12400,0.0,0.0
2025-11-06 00:00:00-05:00,26.46,26.5,26.19,26.42,4000,0.0,0.0
2025-11-05 00:00:00-05:00,26.54,26.75,26.13,26.13,5800,0.0,0.0
2025-11-04 00:00:00-05:00,25.74,26.28,25.74,26.28,4000,0.0,0.0
2025-11-03 00:00:00-05:00,26.39,26.55,26.24,26.24,8400,0.0,0.0
2025-10-31 00:00:00-04:00,26.19,26.77,25.61,26.5,34300,0.0,0.0
2025-10-30 00:00:00-04:00,27.42,27.42,26.56,26.56,4800,0.0,0.0
2025-10-29 00:00:00-04:00,26.59,27.55,26.59,27.41,3900,0.0,0.0
2025-10-28 00:00:00-04:00,26.97,27.18,26.79,26.8,7300,0.0,0.0
2025-10-27 00:00:00-04:00,27.09,27.2,26.82,27.2,8300,0.0,0.0
2025-10-24 00:00:00-04:00,27.16,27.29,26.8,26.97,5500,0.0,0.0
2025-10-23 00:00:00-04:00,27.39,27.42,26.94,27.19,10600,0.0,0.0
2025-10-22 00:00:00-04:00,26.2,26.82,25.9,26.67,5700,0.0,0.0
2025-10-21 00:00:00-04:00,25.78,25.99,25.62,25.83,3300,0.0,0.0
2025-10-20 00:00:00-04:00,25.75,25.75,25.5,25.75,4800,0.0,0.0
2025-10-17 00:00:00-04:00,25.36,25.61,25.36,25.56,3100,0.0,0.0
2025-10-16 00:00:00-04:00,25.44,25.44,24.92,24.92,3000,0.0,0.0
2025-10-15 00:00:00-04:00,26.09,26.15,25.23,25.4,3600,0.0,0.0
2025-10-14 00:00:00-04:00,24.95,25.7,24.95,25.7,1300,0.0,0.0
