Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-25 00:00:00-05:00,6.22,6.47,6.17,6.25,40571,0.0,0.0
2025-11-24 00:00:00-05:00,6.38,6.49,6.1,6.26,37892,0.0,0.0
2025-11-21 00:00:00-05:00,6.08,6.11,5.99,6.11,29389,0.0,0.0
2025-11-20 00:00:00-05:00,5.88,6.25,5.61,6.09,208400,0.0,0.0
2025-11-19 00:00:00-05:00,5.95,6.26,5.78,5.85,19100,0.0,0.0
2025-11-18 00:00:00-05:00,5.83,6.15,5.8,6.1,18800,0.0,0.0
2025-11-17 00:00:00-05:00,5.83,6.16,5.75,5.92,64800,0.0,0.0
2025-11-14 00:00:00-05:00,5.91,6.18,5.66,5.91,14500,0.0,0.0
2025-11-13 00:00:00-05:00,6.25,6.25,5.7,5.88,35000,0.0,0.0
2025-11-12 00:00:00-05:00,6.01,6.38,5.95,6.3,46300,0.0,0.0
2025-11-11 00:00:00-05:00,5.83,6.26,5.69,6.19,58600,0.0,0.0
2025-11-10 00:00:00-05:00,6.12,6.14,5.72,5.9,51900,0.0,0.0
2025-11-07 00:00:00-05:00,6.2,6.28,6.01,6.14,35300,0.0,0.0
2025-11-06 00:00:00-05:00,6.42,6.42,6.23,6.23,18700,0.0,0.0
2025-11-05 00:00:00-05:00,6.42,6.58,6.16,6.46,26700,0.0,0.0
2025-11-04 00:00:00-05:00,6.5,6.66,6.39,6.42,27900,0.0,0.0
2025-11-03 00:00:00-05:00,6.67,7.01,6.54,6.7,13700,0.0,0.0
2025-10-31 00:00:00-04:00,6.57,6.81,6.5,6.66,31200,0.0,0.0
2025-10-30 00:00:00-04:00,6.84,6.84,6.3,6.58,17200,0.0,0.0
2025-10-29 00:00:00-04:00,6.84,7.29,6.45,6.45,58500,0.0,0.0
2025-10-28 00:00:00-04:00,7.17,7.2,6.71,6.78,65100,0.0,0.0
2025-10-27 00:00:00-04:00,7.2,7.34,7.14,7.27,32800,0.0,0.0
2025-10-24 00:00:00-04:00,7.29,7.42,7.03,7.2,68500,0.0,0.0
2025-10-23 00:00:00-04:00,7.2,7.39,7.07,7.25,45700,0.0,0.0
2025-10-22 00:00:00-04:00,7.29,7.34,7.01,7.19,30800,0.0,0.0
2025-10-21 00:00:00-04:00,7.33,7.46,7.21,7.34,22900,0.0,0.0
2025-10-20 00:00:00-04:00,7.47,7.62,7.27,7.39,37200,0.0,0.0
2025-10-17 00:00:00-04:00,7.78,8.01,7.27,7.48,193300,0.0,0.0
2025-10-16 00:00:00-04:00,7.9,8.2,7.31,7.8,196600,0.0,0.0
2025-10-15 00:00:00-04:00,8.15,8.2,7.6,7.83,82300,0.0,0.0
2025-10-14 00:00:00-04:00,8.09,8.27,7.58,8.09,57500,0.0,0.0
2025-10-13 00:00:00-04:00,7.78,8.3,7.78,8.09,53100,0.0,0.0
2025-10-10 00:00:00-04:00,8.12,8.49,7.66,7.79,138100,0.0,0.0
2025-10-09 00:00:00-04:00,7.11,8.13,7.09,8.09,169900,0.0,0.0
2025-10-08 00:00:00-04:00,7.07,7.38,7.0,7.01,54800,0.0,0.0
2025-10-07 00:00:00-04:00,7.08,7.1,6.87,7.04,27600,0.0,0.0
2025-10-06 00:00:00-04:00,6.97,7.12,6.82,7.02,28400,0.0,0.0
2025-10-03 00:00:00-04:00,6.76,7.03,6.75,6.98,43200,0.0,0.0
2025-10-02 00:00:00-04:00,6.93,6.93,6.69,6.69,50700,0.0,0.0
2025-10-01 00:00:00-04:00,6.7,7.12,6.7,6.93,74700,0.0,0.0
2025-09-30 00:00:00-04:00,6.8,6.93,6.64,6.69,29600,0.0,0.0
2025-09-29 00:00:00-04:00,6.9,7.02,6.68,6.77,48000,0.0,0.0
2025-09-26 00:00:00-04:00,6.63,6.9,6.54,6.89,36200,0.0,0.0
2025-09-25 00:00:00-04:00,6.92,7.1,6.53,6.65,37000,0.0,0.0
2025-09-24 00:00:00-04:00,6.84,7.04,6.84,7.02,25300,0.0,0.0
2025-09-23 00:00:00-04:00,7.19,7.25,6.85,6.88,29300,0.0,0.0
2025-09-22 00:00:00-04:00,6.7,7.17,6.7,7.09,94500,0.0,0.0
2025-09-19 00:00:00-04:00,6.9,6.99,6.6,6.64,236700,0.0,0.0
2025-09-18 00:00:00-04:00,6.97,7.19,6.73,6.86,63200,0.0,0.0
2025-09-17 00:00:00-04:00,7.05,7.17,6.89,6.92,43600,0.0,0.0
2025-09-16 00:00:00-04:00,6.97,7.14,6.89,7.04,24600,0.0,0.0
2025-09-15 00:00:00-04:00,6.74,7.13,6.6,7.0,110700,0.0,0.0
2025-09-12 00:00:00-04:00,6.98,6.98,6.6,6.67,66900,0.0,0.0
2025-09-11 00:00:00-04:00,6.98,7.09,6.8,6.96,103900,0.0,0.0
2025-09-10 00:00:00-04:00,6.4,7.0,6.31,6.88,482900,0.0,0.0
2025-09-09 00:00:00-04:00,7.99,8.55,7.64,8.51,44300,0.0,0.0
2025-09-08 00:00:00-04:00,8.24,8.3,7.55,7.94,91200,0.0,0.0
2025-09-05 00:00:00-04:00,8.59,8.8,8.14,8.24,76500,0.0,0.0
2025-09-04 00:00:00-04:00,8.66,9.22,8.55,8.72,86000,0.0,0.0
2025-09-03 00:00:00-04:00,8.75,9.15,8.3,8.61,78400,0.0,0.0
2025-09-02 00:00:00-04:00,8.46,9.06,8.46,8.7,90100,0.0,0.0
2025-08-29 00:00:00-04:00,8.22,8.55,8.02,8.44,41100,0.0,0.0
2025-08-28 00:00:00-04:00,7.87,8.3,7.74,8.22,41400,0.0,0.0
2025-08-27 00:00:00-04:00,8.1,8.31,8.03,8.05,30600,0.0,0.0
2025-08-26 00:00:00-04:00,8.36,8.4,8.15,8.19,45800,0.0,0.0
2025-08-25 00:00:00-04:00,8.15,8.45,7.97,7.98,40800,0.0,0.0
2025-08-22 00:00:00-04:00,7.71,8.36,7.49,8.36,58800,0.0,0.0
2025-08-21 00:00:00-04:00,7.6,7.66,7.46,7.66,16900,0.0,0.0
2025-08-20 00:00:00-04:00,8.25,8.25,7.6,7.68,26400,0.0,0.0
2025-08-19 00:00:00-04:00,8.26,8.45,7.89,7.97,35700,0.0,0.0
2025-08-18 00:00:00-04:00,8.12,8.57,8.03,8.25,36600,0.0,0.0
2025-08-15 00:00:00-04:00,7.98,8.23,7.76,8.12,43400,0.0,0.0
2025-08-14 00:00:00-04:00,8.99,8.99,8.1,8.22,26500,0.0,0.0
2025-08-13 00:00:00-04:00,8.62,8.7,8.36,8.53,173100,0.0,0.0
2025-08-12 00:00:00-04:00,8.11,8.67,7.79,8.67,68300,0.0,0.0
2025-08-11 00:00:00-04:00,7.95,8.28,7.76,8.01,24700,0.0,0.0
2025-08-08 00:00:00-04:00,8.06,8.33,7.76,8.02,115900,0.0,0.0
2025-08-07 00:00:00-04:00,8.2,8.41,7.76,8.07,39700,0.0,0.0
2025-08-06 00:00:00-04:00,7.6,8.43,7.5,8.17,174400,0.0,0.0
2025-08-05 00:00:00-04:00,7.04,7.33,6.81,7.31,43600,0.0,0.0
2025-08-04 00:00:00-04:00,7.26,7.32,6.93,7.07,17400,0.0,0.0
2025-08-01 00:00:00-04:00,7.25,7.33,6.77,7.26,58600,0.0,0.0
2025-07-31 00:00:00-04:00,7.27,7.33,6.77,7.25,71700,0.0,0.0
2025-07-30 00:00:00-04:00,6.9,7.3,6.7,7.27,105000,0.0,0.0
2025-07-29 00:00:00-04:00,6.87,6.97,6.59,6.77,43100,0.0,0.0
2025-07-28 00:00:00-04:00,7.19,7.22,6.58,6.86,68200,0.0,0.0
2025-07-25 00:00:00-04:00,7.01,7.28,6.49,7.26,100400,0.0,0.0
2025-07-24 00:00:00-04:00,6.6,7.1,6.45,6.99,123500,0.0,0.0
2025-07-23 00:00:00-04:00,6.32,6.7,6.22,6.6,153900,0.0,0.0
2025-07-22 00:00:00-04:00,5.61,6.29,5.58,6.26,92600,0.0,0.0
2025-07-21 00:00:00-04:00,5.7,5.98,5.47,5.66,77700,0.0,0.0
2025-07-18 00:00:00-04:00,6.18,6.2,5.76,5.76,87200,0.0,0.0
2025-07-17 00:00:00-04:00,7.27,7.33,6.0,6.26,622000,0.0,0.0
2025-07-16 00:00:00-04:00,6.0,6.32,5.92,6.23,46700,0.0,0.0
2025-07-15 00:00:00-04:00,6.2,6.26,5.97,5.97,45600,0.0,0.0
2025-07-14 00:00:00-04:00,6.16,6.3,6.03,6.2,65300,0.0,0.0
2025-07-11 00:00:00-04:00,6.18,6.29,6.02,6.14,24400,0.0,0.0
2025-07-10 00:00:00-04:00,6.62,6.64,6.16,6.18,34800,0.0,0.0
2025-07-09 00:00:00-04:00,6.24,6.61,6.03,6.61,68000,0.0,0.0
2025-07-08 00:00:00-04:00,6.07,6.53,5.7,6.24,128000,0.0,0.0
2025-07-07 00:00:00-04:00,6.59,6.75,6.01,6.01,71500,0.0,0.0
2025-07-03 00:00:00-04:00,6.76,6.79,6.26,6.59,54000,0.0,0.0
2025-07-02 00:00:00-04:00,6.1,6.87,6.03,6.74,131200,0.0,0.0
2025-07-01 00:00:00-04:00,6.38,6.39,5.8,6.13,260800,0.0,0.0
2025-06-30 00:00:00-04:00,5.88,6.75,5.6,6.11,248900,0.0,0.0
2025-06-27 00:00:00-04:00,6.5,6.5,5.5,5.96,967600,0.0,0.0
2025-06-26 00:00:00-04:00,6.74,6.74,5.69,5.82,77000,0.0,0.0
2025-06-25 00:00:00-04:00,6.51,6.72,6.22,6.44,53000,0.0,0.0
2025-06-24 00:00:00-04:00,7.29,7.29,6.65,6.75,97000,0.0,0.0
2025-06-23 00:00:00-04:00,7.35,7.37,6.86,7.05,84100,0.0,0.0
2025-06-20 00:00:00-04:00,8.04,8.9,7.27,7.47,507400,0.0,0.0
2025-06-18 00:00:00-04:00,7.82,8.1,7.31,7.49,59400,0.0,0.0
2025-06-17 00:00:00-04:00,8.01,8.65,7.64,7.77,57700,0.0,0.0
2025-06-16 00:00:00-04:00,8.75,8.88,8.37,8.37,20900,0.0,0.0
2025-06-13 00:00:00-04:00,8.63,9.01,8.6,8.65,26200,0.0,0.0
2025-06-12 00:00:00-04:00,8.54,9.25,8.24,8.61,59500,0.0,0.0
2025-06-11 00:00:00-04:00,8.66,8.82,8.32,8.67,19900,0.0,0.0
2025-06-10 00:00:00-04:00,8.92,9.01,8.6,8.6,18700,0.0,0.0
2025-06-09 00:00:00-04:00,9.1,9.35,8.65,8.71,35800,0.0,0.0
2025-06-06 00:00:00-04:00,9.2,9.35,8.87,8.96,36700,0.0,0.0
2025-06-05 00:00:00-04:00,9.13,9.33,8.37,9.09,59600,0.0,0.0
2025-06-04 00:00:00-04:00,9.98,9.98,9.08,9.11,63300,0.0,0.0
2025-06-03 00:00:00-04:00,10.9,10.9,9.75,9.75,88700,0.0,0.0
2025-06-02 00:00:00-04:00,11.7,11.7,9.36,10.59,172200,0.0,0.0
2025-05-30 00:00:00-04:00,10.69,11.99,10.59,11.9,276700,0.0,0.0
2025-05-29 00:00:00-04:00,10.94,11.05,10.55,10.57,33200,0.0,0.0
2025-05-28 00:00:00-04:00,10.45,11.07,10.45,10.79,55000,0.0,0.0
2025-05-27 00:00:00-04:00,10.46,10.61,10.31,10.31,18700,0.0,0.0
2025-05-23 00:00:00-04:00,9.94,10.4,9.79,10.33,46700,0.0,0.0
2025-05-22 00:00:00-04:00,10.99,11.0,9.74,10.1,106600,0.0,0.0
2025-05-21 00:00:00-04:00,10.52,11.32,10.52,10.98,131200,0.0,0.0
2025-05-20 00:00:00-04:00,10.25,10.68,10.25,10.6,65300,0.0,0.0
2025-05-19 00:00:00-04:00,10.25,10.66,10.25,10.26,16000,0.0,0.0
2025-05-16 00:00:00-04:00,9.79,10.7,9.79,10.55,63700,0.0,0.0
2025-05-15 00:00:00-04:00,9.78,10.0,9.61,9.76,10900,0.0,0.0
2025-05-14 00:00:00-04:00,9.67,10.01,9.27,9.65,30400,0.0,0.0
2025-05-13 00:00:00-04:00,10.15,10.44,9.41,9.64,49900,0.0,0.0
2025-05-12 00:00:00-04:00,10.48,10.74,10.01,10.45,51600,0.0,0.0
2025-05-09 00:00:00-04:00,9.85,10.41,9.85,10.35,23100,0.0,0.0
2025-05-08 00:00:00-04:00,9.25,10.07,9.05,9.9,93400,0.0,0.0
2025-05-07 00:00:00-04:00,8.6,9.31,8.6,9.3,19600,0.0,0.0
2025-05-06 00:00:00-04:00,10.08,10.28,8.07,9.21,192500,0.0,0.0
2025-05-05 00:00:00-04:00,10.33,10.62,9.61,9.89,40300,0.0,0.0
2025-05-02 00:00:00-04:00,9.63,10.53,9.5,10.53,43900,0.0,0.0
2025-05-01 00:00:00-04:00,9.1,9.6,9.07,9.5,39700,0.0,0.0
2025-04-30 00:00:00-04:00,8.95,9.46,8.88,9.2,25300,0.0,0.0
2025-04-29 00:00:00-04:00,9.08,9.23,8.82,9.16,33700,0.0,0.0
2025-04-28 00:00:00-04:00,8.98,9.11,8.9,9.05,23200,0.0,0.0
2025-04-25 00:00:00-04:00,9.0,9.0,8.54,8.95,130000,0.0,0.0
2025-04-24 00:00:00-04:00,8.82,9.12,8.68,9.04,48000,0.0,0.0
2025-04-23 00:00:00-04:00,8.52,9.4,8.21,9.0,96500,0.0,0.0
2025-04-22 00:00:00-04:00,8.37,8.74,7.99,8.52,290300,0.0,0.0
2025-04-21 00:00:00-04:00,8.0,8.4,7.59,8.37,79500,0.0,0.0
2025-04-17 00:00:00-04:00,8.07,8.23,7.92,8.0,52000,0.0,0.0
2025-04-16 00:00:00-04:00,8.04,8.26,7.89,8.23,68500,0.0,0.0
2025-04-15 00:00:00-04:00,7.88,8.1,7.74,7.95,51400,0.0,0.0
2025-04-14 00:00:00-04:00,8.15,8.15,7.31,8.0,31000,0.0,0.0
2025-04-11 00:00:00-04:00,6.89,7.94,6.85,7.66,49500,0.0,0.0
2025-04-10 00:00:00-04:00,7.4,7.41,6.42,7.11,100300,0.0,0.0
2025-04-09 00:00:00-04:00,6.76,7.47,6.51,7.39,21200,0.0,0.0
2025-04-08 00:00:00-04:00,7.06,7.17,6.83,6.97,18000,0.0,0.0
2025-04-07 00:00:00-04:00,6.79,7.14,6.5,6.82,11500,0.0,0.0
2025-04-04 00:00:00-04:00,7.25,7.25,6.64,6.89,24700,0.0,0.0
2025-04-03 00:00:00-04:00,6.59,7.31,6.35,7.22,59400,0.0,0.0
2025-04-02 00:00:00-04:00,6.1,7.18,6.1,6.91,15900,0.0,0.0
2025-04-01 00:00:00-04:00,7.3,7.3,6.7,6.7,8500,0.0,0.0
2025-03-31 00:00:00-04:00,7.49,7.97,6.77,6.77,28000,0.0,0.0
2025-03-28 00:00:00-04:00,7.35,7.92,6.99,7.9,35100,0.0,0.0
2025-03-27 00:00:00-04:00,7.8,7.99,7.29,7.58,19600,0.0,0.0
2025-03-26 00:00:00-04:00,7.62,8.37,7.11,8.0,92100,0.0,0.0
2025-03-25 00:00:00-04:00,7.27,8.37,7.09,7.62,78900,0.0,0.0
2025-03-24 00:00:00-04:00,6.76,7.43,6.67,7.2,57500,0.0,0.0
2025-03-21 00:00:00-04:00,6.62,6.88,6.6,6.75,17700,0.0,0.0
2025-03-20 00:00:00-04:00,7.3,7.34,6.79,6.99,118900,0.0,0.0
2025-03-19 00:00:00-04:00,7.27,7.49,7.26,7.35,26100,0.0,0.0
2025-03-18 00:00:00-04:00,7.38,7.47,7.28,7.46,13200,0.0,0.0
2025-03-17 00:00:00-04:00,7.48,7.49,7.29,7.4,10500,0.0,0.0
2025-03-14 00:00:00-04:00,7.33,7.5,7.25,7.25,16900,0.0,0.0
2025-03-13 00:00:00-04:00,7.31,7.5,7.25,7.45,34700,0.0,0.0
2025-03-12 00:00:00-04:00,7.25,7.75,7.05,7.51,26600,0.0,0.0
2025-03-11 00:00:00-04:00,7.25,7.25,6.91,7.09,18100,0.0,0.0
2025-03-10 00:00:00-04:00,7.01,7.49,7.01,7.28,35000,0.0,0.0
2025-03-07 00:00:00-05:00,6.9,7.03,6.1,6.95,44200,0.0,0.0
2025-03-06 00:00:00-05:00,7.01,7.02,6.55,6.94,19700,0.0,0.0
2025-03-05 00:00:00-05:00,7.28,7.37,6.88,7.05,15800,0.0,0.0
2025-03-04 00:00:00-05:00,6.32,7.45,6.02,7.02,27600,0.0,0.0
2025-03-03 00:00:00-05:00,7.24,7.34,6.23,6.51,38600,0.0,0.0
2025-02-28 00:00:00-05:00,7.12,7.26,6.83,7.24,24000,0.0,0.0
2025-02-27 00:00:00-05:00,7.25,7.68,6.6,6.93,48400,0.0,0.0
2025-02-26 00:00:00-05:00,7.23,7.63,7.0,7.03,15900,0.0,0.0
2025-02-25 00:00:00-05:00,7.99,7.99,6.9,7.06,39200,0.0,0.0
2025-02-24 00:00:00-05:00,7.29,7.46,7.15,7.34,9100,0.0,0.0
2025-02-21 00:00:00-05:00,7.75,7.8,6.72,7.69,20400,0.0,0.0
2025-02-20 00:00:00-05:00,7.79,7.99,7.6,7.83,12900,0.0,0.0
2025-02-19 00:00:00-05:00,7.44,7.96,7.36,7.96,13900,0.0,0.0
2025-02-18 00:00:00-05:00,7.5,7.83,7.5,7.55,14600,0.0,0.0
2025-02-14 00:00:00-05:00,7.66,7.89,7.13,7.76,52000,0.0,0.0
2025-02-13 00:00:00-05:00,7.89,8.04,7.65,7.73,21600,0.0,0.0
2025-02-12 00:00:00-05:00,8.2,8.61,7.75,7.99,24700,0.0,0.0
2025-02-11 00:00:00-05:00,8.47,8.6,7.82,8.04,26600,0.0,0.0
2025-02-10 00:00:00-05:00,8.8,9.01,8.28,8.75,32900,0.0,0.0
2025-02-07 00:00:00-05:00,8.81,8.92,8.39,8.81,15100,0.0,0.0
2025-02-06 00:00:00-05:00,9.45,9.5,8.82,8.82,10600,0.0,0.0
2025-02-05 00:00:00-05:00,9.09,9.51,8.85,9.44,21900,0.0,0.0
2025-02-04 00:00:00-05:00,9.01,9.71,9.01,9.26,9900,0.0,0.0
2025-02-03 00:00:00-05:00,8.86,9.95,8.86,9.36,10900,0.0,0.0
2025-01-31 00:00:00-05:00,9.03,9.79,8.75,9.03,18100,0.0,0.0
2025-01-30 00:00:00-05:00,8.58,9.17,8.57,8.83,9600,0.0,0.0
2025-01-29 00:00:00-05:00,9.61,9.61,8.44,8.79,13200,0.0,0.0
2025-01-28 00:00:00-05:00,9.92,10.07,9.28,9.29,16600,0.0,0.0
2025-01-27 00:00:00-05:00,10.06,10.8,9.68,10.18,30300,0.0,0.0
2025-01-24 00:00:00-05:00,11.0,11.0,9.69,10.11,40100,0.0,0.0
2025-01-23 00:00:00-05:00,10.0,11.73,9.66,11.0,148300,0.0,0.0
2025-01-22 00:00:00-05:00,9.55,11.13,9.22,10.0,57200,0.0,0.0
2025-01-21 00:00:00-05:00,8.87,9.5,8.7,9.45,27500,0.0,0.0
2025-01-17 00:00:00-05:00,8.29,9.14,8.26,8.62,28900,0.0,0.0
2025-01-16 00:00:00-05:00,8.67,8.9,8.29,8.55,33400,0.0,0.0
2025-01-15 00:00:00-05:00,7.65,8.75,7.65,8.48,88500,0.0,0.0
2025-01-14 00:00:00-05:00,8.27,8.27,7.65,7.65,28100,0.0,0.0
2025-01-13 00:00:00-05:00,7.99,8.27,7.87,8.08,14800,0.0,0.0
2025-01-10 00:00:00-05:00,7.77,8.45,7.77,8.3,46700,0.0,0.0
2025-01-08 00:00:00-05:00,7.95,8.48,7.69,8.0,10200,0.0,0.0
