Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-25 00:00:00-05:00,13.32,13.64,12.96,13.64,509101,0.0,0.0
2025-11-24 00:00:00-05:00,13.05,13.58,12.81,13.45,489400,0.0,0.0
2025-11-21 00:00:00-05:00,12.63,12.93,12.07,12.74,583616,0.0,0.0
2025-11-20 00:00:00-05:00,13.67,13.8,12.59,12.63,535400,0.0,0.0
2025-11-19 00:00:00-05:00,13.15,13.5,12.92,13.1,390100,0.0,0.0
2025-11-18 00:00:00-05:00,13.11,13.45,12.85,13.15,447700,0.0,0.0
2025-11-17 00:00:00-05:00,13.54,13.72,13.07,13.37,461200,0.0,0.0
2025-11-14 00:00:00-05:00,12.98,14.15,12.98,13.72,488900,0.0,0.0
2025-11-13 00:00:00-05:00,14.53,14.91,13.51,13.65,598200,0.0,0.0
2025-11-12 00:00:00-05:00,15.9,15.92,14.44,15.02,728500,0.0,0.0
2025-11-11 00:00:00-05:00,14.75,15.9,14.43,15.51,1056100,0.0,0.0
2025-11-10 00:00:00-05:00,14.5,14.99,14.19,14.94,736600,0.0,0.0
2025-11-07 00:00:00-05:00,14.25,14.5,13.26,14.48,961500,0.0,0.0
2025-11-06 00:00:00-05:00,15.4,15.68,14.54,14.89,785600,0.0,0.0
2025-11-05 00:00:00-05:00,14.35,15.92,14.02,15.53,2014300,0.0,0.0
2025-11-04 00:00:00-05:00,12.47,13.19,12.23,12.32,698200,0.0,0.0
2025-11-03 00:00:00-05:00,13.78,13.78,12.92,13.09,411200,0.0,0.0
2025-10-31 00:00:00-04:00,13.43,13.91,13.39,13.61,367000,0.0,0.0
2025-10-30 00:00:00-04:00,13.25,13.79,13.23,13.31,458800,0.0,0.0
2025-10-29 00:00:00-04:00,13.76,14.15,13.44,13.61,396800,0.0,0.0
2025-10-28 00:00:00-04:00,14.47,14.49,13.62,13.65,435600,0.0,0.0
2025-10-27 00:00:00-04:00,14.52,14.8,13.9,14.32,824500,0.0,0.0
2025-10-24 00:00:00-04:00,14.27,14.6,14.03,14.21,630700,0.0,0.0
2025-10-23 00:00:00-04:00,12.62,13.94,12.62,13.83,655000,0.0,0.0
2025-10-22 00:00:00-04:00,13.51,13.7,12.33,12.57,795400,0.0,0.0
2025-10-21 00:00:00-04:00,14.0,14.49,13.36,13.59,616000,0.0,0.0
2025-10-20 00:00:00-04:00,13.16,14.0,13.09,13.71,546300,0.0,0.0
2025-10-17 00:00:00-04:00,13.76,13.95,12.83,12.94,579000,0.0,0.0
2025-10-16 00:00:00-04:00,14.75,14.88,13.84,14.1,813700,0.0,0.0
2025-10-15 00:00:00-04:00,13.86,14.7,13.72,14.41,1459800,0.0,0.0
2025-10-14 00:00:00-04:00,13.12,13.68,12.85,13.4,585100,0.0,0.0
2025-10-13 00:00:00-04:00,12.81,13.49,12.5,13.35,503400,0.0,0.0
2025-10-10 00:00:00-04:00,13.31,13.96,12.35,12.39,915900,0.0,0.0
2025-10-09 00:00:00-04:00,13.51,13.66,12.91,13.11,800500,0.0,0.0
2025-10-08 00:00:00-04:00,13.03,13.53,12.7,13.49,820200,0.0,0.0
2025-10-07 00:00:00-04:00,13.52,14.1,12.82,12.95,1306500,0.0,0.0
2025-10-06 00:00:00-04:00,12.81,14.58,12.15,13.58,4403300,0.0,0.0
2025-10-03 00:00:00-04:00,11.38,11.38,10.8,10.98,394900,0.0,0.0
2025-10-02 00:00:00-04:00,10.78,11.37,10.62,11.26,863500,0.0,0.0
2025-10-01 00:00:00-04:00,10.1,10.52,10.1,10.5,406800,0.0,0.0
2025-09-30 00:00:00-04:00,9.88,10.14,9.67,10.1,493200,0.0,0.0
2025-09-29 00:00:00-04:00,9.78,10.07,9.68,9.87,360400,0.0,0.0
2025-09-26 00:00:00-04:00,9.81,9.96,9.46,9.68,459500,0.0,0.0
2025-09-25 00:00:00-04:00,9.78,9.96,9.51,9.84,314400,0.0,0.0
2025-09-24 00:00:00-04:00,10.29,10.35,9.93,10.05,305200,0.0,0.0
2025-09-23 00:00:00-04:00,10.65,10.75,10.21,10.25,424100,0.0,0.0
2025-09-22 00:00:00-04:00,9.78,10.59,9.64,10.44,702100,0.0,0.0
2025-09-19 00:00:00-04:00,10.35,10.41,9.85,9.87,727400,0.0,0.0
2025-09-18 00:00:00-04:00,9.5,10.32,9.45,10.29,787500,0.0,0.0
2025-09-17 00:00:00-04:00,9.09,9.4,9.06,9.23,437000,0.0,0.0
2025-09-16 00:00:00-04:00,8.95,9.21,8.75,9.13,490600,0.0,0.0
2025-09-15 00:00:00-04:00,8.75,8.99,8.7,8.93,408000,0.0,0.0
2025-09-12 00:00:00-04:00,9.0,9.0,8.69,8.75,352600,0.0,0.0
2025-09-11 00:00:00-04:00,8.64,8.98,8.64,8.93,363800,0.0,0.0
2025-09-10 00:00:00-04:00,8.8,8.88,8.42,8.66,663900,0.0,0.0
2025-09-09 00:00:00-04:00,8.61,8.84,8.48,8.72,507300,0.0,0.0
2025-09-08 00:00:00-04:00,8.98,9.0,8.53,8.59,789800,0.0,0.0
2025-09-05 00:00:00-04:00,8.84,8.96,8.68,8.86,482200,0.0,0.0
2025-09-04 00:00:00-04:00,8.76,8.9,8.51,8.84,735300,0.0,0.0
2025-09-03 00:00:00-04:00,8.95,9.06,8.8,8.83,593800,0.0,0.0
2025-09-02 00:00:00-04:00,9.0,9.2,8.76,9.05,790800,0.0,0.0
2025-08-29 00:00:00-04:00,9.77,9.8,9.3,9.42,342400,0.0,0.0
2025-08-28 00:00:00-04:00,9.8,9.89,9.67,9.79,153900,0.0,0.0
2025-08-27 00:00:00-04:00,9.79,9.81,9.49,9.7,342700,0.0,0.0
2025-08-26 00:00:00-04:00,9.82,10.19,9.63,9.79,473200,0.0,0.0
2025-08-25 00:00:00-04:00,9.94,10.0,9.76,9.78,442000,0.0,0.0
2025-08-22 00:00:00-04:00,9.11,10.23,9.01,9.97,826200,0.0,0.0
2025-08-21 00:00:00-04:00,8.91,9.49,8.91,9.18,764400,0.0,0.0
2025-08-20 00:00:00-04:00,9.0,9.13,8.57,8.98,631000,0.0,0.0
2025-08-19 00:00:00-04:00,9.63,9.66,9.05,9.08,545100,0.0,0.0
2025-08-18 00:00:00-04:00,9.34,9.56,9.22,9.52,411700,0.0,0.0
2025-08-15 00:00:00-04:00,9.55,9.55,9.25,9.39,445200,0.0,0.0
2025-08-14 00:00:00-04:00,9.95,10.06,9.38,9.48,676900,0.0,0.0
2025-08-13 00:00:00-04:00,10.0,10.46,9.86,10.12,769300,0.0,0.0
2025-08-12 00:00:00-04:00,9.11,10.0,8.98,9.96,1011900,0.0,0.0
2025-08-11 00:00:00-04:00,9.24,9.46,9.04,9.1,1069700,0.0,0.0
2025-08-08 00:00:00-04:00,9.28,9.89,9.13,9.3,1477900,0.0,0.0
2025-08-07 00:00:00-04:00,10.01,10.12,9.2,9.31,2295000,0.0,0.0
2025-08-06 00:00:00-04:00,10.82,10.98,9.81,9.89,4918000,0.0,0.0
2025-08-05 00:00:00-04:00,14.28,14.29,12.3,13.0,21920200,0.0,0.0
2025-08-04 00:00:00-04:00,9.26,9.49,9.1,9.45,3393100,0.0,0.0
2025-08-01 00:00:00-04:00,9.63,9.63,8.76,9.05,487300,0.0,0.0
2025-07-31 00:00:00-04:00,10.5,10.5,9.82,9.86,430000,0.0,0.0
2025-07-30 00:00:00-04:00,10.7,10.92,10.2,10.45,737400,0.0,0.0
2025-07-29 00:00:00-04:00,9.57,10.98,9.4,10.6,1285400,0.0,0.0
2025-07-28 00:00:00-04:00,8.91,9.73,8.85,9.45,606000,0.0,0.0
2025-07-25 00:00:00-04:00,9.3,9.31,8.84,8.86,281500,0.0,0.0
2025-07-24 00:00:00-04:00,9.64,9.74,9.3,9.32,258400,0.0,0.0
2025-07-23 00:00:00-04:00,9.46,9.57,9.28,9.57,237800,0.0,0.0
2025-07-22 00:00:00-04:00,9.69,9.71,9.15,9.44,248400,0.0,0.0
2025-07-21 00:00:00-04:00,9.99,9.99,9.69,9.75,270400,0.0,0.0
2025-07-18 00:00:00-04:00,10.0,10.01,9.65,9.82,269800,0.0,0.0
2025-07-17 00:00:00-04:00,9.69,9.95,9.67,9.84,326100,0.0,0.0
2025-07-16 00:00:00-04:00,9.49,9.79,9.14,9.71,419100,0.0,0.0
2025-07-15 00:00:00-04:00,9.49,9.65,9.28,9.41,391100,0.0,0.0
2025-07-14 00:00:00-04:00,9.0,9.51,8.8,9.28,503800,0.0,0.0
2025-07-11 00:00:00-04:00,9.29,9.33,9.02,9.09,187400,0.0,0.0
2025-07-10 00:00:00-04:00,9.49,9.56,9.07,9.22,393800,0.0,0.0
2025-07-09 00:00:00-04:00,9.53,9.69,9.28,9.43,268200,0.0,0.0
2025-07-08 00:00:00-04:00,9.35,9.76,9.06,9.55,561900,0.0,0.0
2025-07-07 00:00:00-04:00,9.2,9.52,9.0,9.29,539700,0.0,0.0
2025-07-03 00:00:00-04:00,9.16,9.45,9.08,9.23,212400,0.0,0.0
2025-07-02 00:00:00-04:00,8.94,9.22,8.86,9.09,435800,0.0,0.0
2025-07-01 00:00:00-04:00,9.39,9.39,8.66,9.02,477100,0.0,0.0
2025-06-30 00:00:00-04:00,9.85,9.98,9.53,9.53,657300,0.0,0.0
2025-06-27 00:00:00-04:00,9.85,10.11,9.44,9.69,1658100,0.0,0.0
2025-06-26 00:00:00-04:00,9.54,9.99,9.4,9.58,694900,0.0,0.0
2025-06-25 00:00:00-04:00,9.17,9.71,8.77,9.37,998500,0.0,0.0
2025-06-24 00:00:00-04:00,8.87,9.23,8.69,9.02,649400,0.0,0.0
2025-06-23 00:00:00-04:00,8.23,9.02,8.1,8.69,911600,0.0,0.0
2025-06-20 00:00:00-04:00,9.04,9.17,8.22,8.28,651200,0.0,0.0
2025-06-18 00:00:00-04:00,8.77,9.46,8.46,8.9,974500,0.0,0.0
2025-06-17 00:00:00-04:00,8.19,9.43,8.19,8.67,2355800,0.0,0.0
2025-06-16 00:00:00-04:00,8.02,8.43,8.01,8.22,233500,0.0,0.0
2025-06-13 00:00:00-04:00,8.15,8.36,7.92,7.94,252800,0.0,0.0
2025-06-12 00:00:00-04:00,8.45,8.56,8.27,8.47,184000,0.0,0.0
2025-06-11 00:00:00-04:00,8.5,8.96,8.36,8.52,690200,0.0,0.0
2025-06-10 00:00:00-04:00,8.03,8.35,7.97,8.29,329300,0.0,0.0
2025-06-09 00:00:00-04:00,8.11,8.35,7.93,8.01,285400,0.0,0.0
2025-06-06 00:00:00-04:00,7.71,7.97,7.65,7.93,184200,0.0,0.0
2025-06-05 00:00:00-04:00,7.78,7.78,7.56,7.65,173200,0.0,0.0
2025-06-04 00:00:00-04:00,7.96,8.09,7.74,7.75,178600,0.0,0.0
2025-06-03 00:00:00-04:00,7.64,7.99,7.58,7.94,192700,0.0,0.0
2025-06-02 00:00:00-04:00,7.7,7.93,7.62,7.65,235100,0.0,0.0
2025-05-30 00:00:00-04:00,7.72,7.84,7.53,7.77,198800,0.0,0.0
2025-05-29 00:00:00-04:00,7.77,7.91,7.59,7.83,268900,0.0,0.0
2025-05-28 00:00:00-04:00,7.57,8.1,7.4,7.63,511200,0.0,0.0
2025-05-27 00:00:00-04:00,7.21,7.67,7.14,7.61,257100,0.0,0.0
2025-05-23 00:00:00-04:00,7.02,7.22,6.88,7.13,135300,0.0,0.0
2025-05-22 00:00:00-04:00,7.06,7.39,7.04,7.2,145200,0.0,0.0
2025-05-21 00:00:00-04:00,7.22,7.46,7.08,7.1,210400,0.0,0.0
2025-05-20 00:00:00-04:00,7.43,7.5,7.2,7.37,111400,0.0,0.0
2025-05-19 00:00:00-04:00,7.35,7.57,7.02,7.51,239500,0.0,0.0
2025-05-16 00:00:00-04:00,7.59,7.6,7.28,7.5,319200,0.0,0.0
2025-05-15 00:00:00-04:00,7.51,7.61,7.31,7.61,239300,0.0,0.0
2025-05-14 00:00:00-04:00,7.91,8.28,7.02,7.51,514000,0.0,0.0
2025-05-13 00:00:00-04:00,7.96,8.46,7.77,8.35,421000,0.0,0.0
2025-05-12 00:00:00-04:00,7.74,7.99,7.55,7.87,316600,0.0,0.0
2025-05-09 00:00:00-04:00,7.42,7.52,7.22,7.25,136600,0.0,0.0
2025-05-08 00:00:00-04:00,7.43,7.74,7.3,7.42,402500,0.0,0.0
2025-05-07 00:00:00-04:00,6.75,7.49,6.74,7.24,620800,0.0,0.0
2025-05-06 00:00:00-04:00,6.67,6.85,6.64,6.67,77700,0.0,0.0
2025-05-05 00:00:00-04:00,6.67,6.92,6.67,6.82,101000,0.0,0.0
2025-05-02 00:00:00-04:00,6.73,6.89,6.61,6.72,147700,0.0,0.0
2025-05-01 00:00:00-04:00,6.73,6.85,6.59,6.62,153700,0.0,0.0
2025-04-30 00:00:00-04:00,6.58,6.7,6.45,6.66,183900,0.0,0.0
2025-04-29 00:00:00-04:00,6.65,6.9,6.57,6.81,142100,0.0,0.0
2025-04-28 00:00:00-04:00,6.76,6.96,6.54,6.71,171400,0.0,0.0
2025-04-25 00:00:00-04:00,6.54,6.79,6.26,6.79,204000,0.0,0.0
2025-04-24 00:00:00-04:00,6.23,6.64,6.23,6.61,160300,0.0,0.0
2025-04-23 00:00:00-04:00,6.03,6.41,6.03,6.19,215400,0.0,0.0
2025-04-22 00:00:00-04:00,5.92,5.99,5.72,5.85,172800,0.0,0.0
2025-04-21 00:00:00-04:00,5.64,5.9,5.64,5.84,143100,0.0,0.0
2025-04-17 00:00:00-04:00,5.95,6.03,5.74,5.82,147400,0.0,0.0
2025-04-16 00:00:00-04:00,5.91,6.05,5.8,5.94,133300,0.0,0.0
2025-04-15 00:00:00-04:00,5.95,6.11,5.95,6.01,156900,0.0,0.0
2025-04-14 00:00:00-04:00,6.17,6.26,5.92,5.97,155300,0.0,0.0
2025-04-11 00:00:00-04:00,6.03,6.25,5.8,5.96,107600,0.0,0.0
2025-04-10 00:00:00-04:00,6.26,6.45,5.93,6.04,159000,0.0,0.0
2025-04-09 00:00:00-04:00,5.59,6.8,5.59,6.56,253300,0.0,0.0
2025-04-08 00:00:00-04:00,6.21,6.29,5.46,5.59,249600,0.0,0.0
2025-04-07 00:00:00-04:00,5.81,6.43,5.69,5.9,280600,0.0,0.0
2025-04-04 00:00:00-04:00,6.15,6.32,5.82,5.99,225200,0.0,0.0
2025-04-03 00:00:00-04:00,6.38,6.71,6.38,6.6,217600,0.0,0.0
2025-04-02 00:00:00-04:00,6.9,7.28,6.83,7.22,132700,0.0,0.0
