Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-25 00:00:00-05:00,5.4,5.37,5.17,5.24,461445,0.0,0.0
2025-11-24 00:00:00-05:00,5.33,5.43,5.21,5.43,586853,0.0,0.0
2025-11-21 00:00:00-05:00,5.22,5.39,5.03,5.32,683886,0.0,0.0
2025-11-20 00:00:00-05:00,5.33,5.6,5.26,5.29,838100,0.0,0.0
2025-11-19 00:00:00-05:00,5.31,5.31,5.17,5.3,544200,0.0,0.0
2025-11-18 00:00:00-05:00,5.26,5.58,5.21,5.5,786500,0.0,0.0
2025-11-17 00:00:00-05:00,5.65,5.65,5.26,5.29,789100,0.0,0.0
2025-11-14 00:00:00-05:00,5.56,5.79,5.4,5.77,1053100,0.0,0.0
2025-11-13 00:00:00-05:00,5.79,5.89,5.55,5.63,896200,0.0,0.0
2025-11-12 00:00:00-05:00,5.78,5.86,5.65,5.78,1020900,0.0,0.0
2025-11-11 00:00:00-05:00,5.72,5.9,5.64,5.86,1267800,0.0,0.0
2025-11-10 00:00:00-05:00,5.43,5.72,5.16,5.69,2264200,0.0,0.0
2025-11-07 00:00:00-05:00,4.9,5.43,4.87,5.36,2760600,0.0,0.0
2025-11-06 00:00:00-05:00,4.52,5.2,4.5,4.9,2502200,0.0,0.0
2025-11-05 00:00:00-05:00,4.52,4.66,4.5,4.57,1045500,0.0,0.0
2025-11-04 00:00:00-05:00,4.52,4.6,4.39,4.5,779500,0.0,0.0
2025-11-03 00:00:00-05:00,4.5,4.72,4.44,4.68,620300,0.0,0.0
2025-10-31 00:00:00-04:00,4.51,4.65,4.37,4.54,787300,0.0,0.0
2025-10-30 00:00:00-04:00,4.41,4.5,4.28,4.43,695900,0.0,0.0
2025-10-29 00:00:00-04:00,4.62,4.62,4.36,4.42,1347400,0.0,0.0
2025-10-28 00:00:00-04:00,4.55,4.55,4.25,4.33,1073300,0.0,0.0
2025-10-27 00:00:00-04:00,4.69,4.74,4.52,4.54,881800,0.0,0.0
2025-10-24 00:00:00-04:00,4.81,4.88,4.67,4.76,786100,0.0,0.0
2025-10-23 00:00:00-04:00,4.62,4.76,4.57,4.75,927500,0.0,0.0
2025-10-22 00:00:00-04:00,4.27,4.45,4.22,4.39,1002900,0.0,0.0
2025-10-21 00:00:00-04:00,4.21,4.28,4.13,4.21,668800,0.0,0.0
2025-10-20 00:00:00-04:00,4.2,4.33,4.17,4.23,906500,0.0,0.0
2025-10-17 00:00:00-04:00,4.55,4.58,4.14,4.2,2062900,0.0,0.0
2025-10-16 00:00:00-04:00,4.72,4.8,4.54,4.61,1514100,0.0,0.0
2025-10-15 00:00:00-04:00,4.5,4.74,4.35,4.65,2683600,0.0,0.0
2025-10-14 00:00:00-04:00,4.42,4.55,4.26,4.38,1579200,0.0,0.0
2025-10-13 00:00:00-04:00,4.76,4.8,4.54,4.6,2272400,0.0,0.0
2025-10-10 00:00:00-04:00,5.1,5.15,4.64,4.7,2320000,0.0,0.0
2025-10-09 00:00:00-04:00,5.19,5.44,5.07,5.2,1318900,0.0,0.0
2025-10-08 00:00:00-04:00,5.14,5.28,5.04,5.17,1713000,0.0,0.0
2025-10-07 00:00:00-04:00,5.05,5.12,4.86,5.1,1421300,0.0,0.0
2025-10-06 00:00:00-04:00,5.19,5.24,4.96,5.1,1874800,0.0,0.0
2025-10-03 00:00:00-04:00,4.92,5.06,4.82,5.02,1947200,0.0,0.0
2025-10-02 00:00:00-04:00,5.22,5.27,4.81,4.85,2486600,0.0,0.0
2025-10-01 00:00:00-04:00,5.13,5.3,5.04,5.23,1507900,0.0,0.0
2025-09-30 00:00:00-04:00,5.4,5.44,5.2,5.25,1613300,0.0,0.0
2025-09-29 00:00:00-04:00,6.0,6.1,5.2,5.49,3436600,0.0,0.0
2025-09-26 00:00:00-04:00,6.55,6.55,5.94,6.07,7478400,0.0,0.0
2025-09-25 00:00:00-04:00,5.38,6.22,5.17,5.84,14034100,0.0,0.0
2025-09-24 00:00:00-04:00,4.74,4.83,4.73,4.8,543600,0.0,0.0
2025-09-23 00:00:00-04:00,4.44,4.74,4.4,4.63,673100,0.0,0.0
2025-09-22 00:00:00-04:00,4.43,4.45,4.19,4.43,497500,0.0,0.0
2025-09-19 00:00:00-04:00,4.44,4.49,4.35,4.47,575200,0.0,0.0
2025-09-18 00:00:00-04:00,4.45,4.49,4.27,4.48,523700,0.0,0.0
2025-09-17 00:00:00-04:00,4.35,4.49,4.3,4.4,571500,0.0,0.0
2025-09-16 00:00:00-04:00,4.02,4.46,3.98,4.38,879000,0.0,0.0
2025-09-15 00:00:00-04:00,3.99,4.07,3.91,4.05,251600,0.0,0.0
2025-09-12 00:00:00-04:00,3.97,4.09,3.92,3.96,370900,0.0,0.0
2025-09-11 00:00:00-04:00,3.92,3.99,3.87,3.98,237400,0.0,0.0
2025-09-10 00:00:00-04:00,3.87,3.99,3.83,3.97,292100,0.0,0.0
2025-09-09 00:00:00-04:00,3.75,3.99,3.75,3.83,584700,0.0,0.0
2025-09-08 00:00:00-04:00,3.87,3.88,3.72,3.73,312400,0.0,0.0
2025-09-05 00:00:00-04:00,3.93,4.01,3.8,3.84,230700,0.0,0.0
2025-09-04 00:00:00-04:00,3.94,3.99,3.86,3.99,248100,0.0,0.0
2025-09-03 00:00:00-04:00,4.12,4.19,3.92,3.93,511600,0.0,0.0
2025-09-02 00:00:00-04:00,4.07,4.21,4.0,4.17,341800,0.0,0.0
2025-08-29 00:00:00-04:00,4.06,4.12,4.03,4.07,333600,0.0,0.0
2025-08-28 00:00:00-04:00,4.1,4.1,3.93,4.07,383600,0.0,0.0
