Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-12-11 00:00:00-05:00,25.93,26.34,25.72,25.95,4435256,0.0,0.0
2025-12-10 00:00:00-05:00,26.29,26.66,25.96,26.32,5682400,0.0,0.0
2025-12-09 00:00:00-05:00,25.99,26.55,25.86,26.39,4371800,0.0,0.0
2025-12-08 00:00:00-05:00,26.51,26.93,26.1,26.14,6698900,0.0,0.0
2025-12-05 00:00:00-05:00,26.81,27.72,26.75,27.1,6263200,0.0,0.0
2025-12-04 00:00:00-05:00,27.0,27.19,26.61,26.71,6751000,0.0,0.0
2025-12-03 00:00:00-05:00,25.7,26.98,25.66,26.95,7797200,0.0,0.0
2025-12-02 00:00:00-05:00,25.28,25.6,24.78,25.45,4831500,0.0,0.0
2025-12-01 00:00:00-05:00,24.89,25.82,24.77,25.28,6865000,0.0,0.0
2025-11-28 00:00:00-05:00,24.68,25.17,24.5,24.97,2355200,0.0,0.0
2025-11-26 00:00:00-05:00,24.17,25.05,24.12,24.67,5179300,0.0,0.0
2025-11-25 00:00:00-05:00,24.2,24.2,23.51,24.08,5281600,0.0,0.0
2025-11-24 00:00:00-05:00,23.76,24.5,23.47,24.41,6879900,0.0,0.0
2025-11-21 00:00:00-05:00,23.25,24.23,23.06,23.95,5760900,0.0,0.0
2025-11-20 00:00:00-05:00,24.16,25.23,23.27,23.38,7397200,0.0,0.0
2025-11-19 00:00:00-05:00,23.97,24.27,23.33,24.05,7162900,0.0,0.0
2025-11-18 00:00:00-05:00,24.35,25.14,23.95,24.92,6062200,0.0,0.0
2025-11-17 00:00:00-05:00,24.71,24.97,24.07,24.38,6063600,0.0,0.0
2025-11-14 00:00:00-05:00,24.7,24.87,24.16,24.79,6335400,0.0,0.0
2025-11-13 00:00:00-05:00,24.0,25.8,24.0,24.69,20362600,0.0,0.0
2025-11-12 00:00:00-05:00,24.37,24.71,23.84,23.89,6634100,0.0,0.0
2025-11-11 00:00:00-05:00,24.64,25.11,24.51,24.59,7741400,0.0,0.0
2025-11-10 00:00:00-05:00,24.19,24.4,23.57,24.35,6500800,0.0,0.0
2025-11-07 00:00:00-05:00,23.77,24.18,23.28,23.83,6707900,0.0,0.0
2025-11-06 00:00:00-05:00,23.09,23.76,22.81,23.64,16429700,0.0,0.0
2025-11-05 00:00:00-05:00,21.95,22.35,21.63,21.66,8854300,0.0,0.0
2025-11-04 00:00:00-05:00,22.04,22.2,21.76,22.09,6114800,0.0,0.0
2025-11-03 00:00:00-05:00,22.51,22.62,22.1,22.49,5804000,0.0,0.0
2025-10-31 00:00:00-04:00,22.62,22.96,22.46,22.65,9866800,0.0,0.0
2025-10-30 00:00:00-04:00,22.37,22.96,22.31,22.4,6413700,0.0,0.0
