Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-20 00:00:00-05:00,0.07,0.07,0.04,0.04,111236,0.0,0.0
2025-11-19 00:00:00-05:00,0.07,0.07,0.06,0.07,20090,0.0,0.0
2025-11-18 00:00:00-05:00,0.04,0.04,0.04,0.04,9644,0.0,0.0
2025-11-17 00:00:00-05:00,0.08,0.08,0.06,0.08,2139,0.0,0.0
2025-11-14 00:00:00-05:00,0.04,0.06,0.04,0.06,3139,0.0,0.0
2025-11-13 00:00:00-05:00,0.05,0.06,0.05,0.06,9543,0.0,0.0
2025-11-12 00:00:00-05:00,0.05,0.05,0.05,0.05,991,0.0,0.0
2025-11-11 00:00:00-05:00,0.06,0.06,0.05,0.06,102884,0.0,0.0
2025-11-10 00:00:00-05:00,0.07,0.08,0.07,0.07,16924,0.0,0.0
2025-11-07 00:00:00-05:00,0.08,0.08,0.04,0.08,70668,0.0,0.0
2025-11-06 00:00:00-05:00,0.09,0.09,0.07,0.07,52035,0.0,0.0
2025-11-05 00:00:00-05:00,0.09,0.09,0.07,0.07,24888,0.0,0.0
2025-11-04 00:00:00-05:00,0.09,0.1,0.06,0.07,116595,0.0,0.0
2025-11-03 00:00:00-05:00,0.08,0.09,0.07,0.08,50219,0.0,0.0
2025-10-31 00:00:00-04:00,0.09,0.09,0.08,0.08,28006,0.0,0.0
2025-10-30 00:00:00-04:00,0.08,0.09,0.08,0.09,3343,0.0,0.0
2025-10-29 00:00:00-04:00,0.09,0.09,0.09,0.09,2524,0.0,0.0
2025-10-28 00:00:00-04:00,0.1,0.11,0.1,0.1,138122,0.0,0.0
2025-10-27 00:00:00-04:00,0.09,0.1,0.09,0.09,34097,0.0,0.0
2025-10-24 00:00:00-04:00,0.07,0.07,0.07,0.07,541,0.0,0.0
2025-10-23 00:00:00-04:00,0.07,0.07,0.07,0.07,0,0.0,0.0
2025-10-22 00:00:00-04:00,0.08,0.08,0.07,0.07,12096,0.0,0.0
2025-10-21 00:00:00-04:00,0.08,0.09,0.05,0.06,100792,0.0,0.0
2025-10-20 00:00:00-04:00,0.07,0.08,0.07,0.07,2153,0.0,0.0
2025-10-17 00:00:00-04:00,0.06,0.06,0.06,0.06,0,0.0,0.0
2025-10-16 00:00:00-04:00,0.05,0.08,0.04,0.06,14268,0.0,0.0
2025-10-15 00:00:00-04:00,0.09,0.09,0.07,0.07,13481,0.0,0.0
2025-10-14 00:00:00-04:00,0.1,0.1,0.06,0.07,5693,0.0,0.0
2025-10-13 00:00:00-04:00,0.07,0.08,0.04,0.08,1944,0.0,0.0
2025-10-10 00:00:00-04:00,0.07,0.08,0.07,0.08,128815,0.0,0.0
2025-10-09 00:00:00-04:00,0.06,0.06,0.04,0.06,128497,0.0,0.0
2025-10-08 00:00:00-04:00,0.07,0.09,0.06,0.08,21551,0.0,0.0
2025-10-07 00:00:00-04:00,0.07,0.07,0.06,0.07,1433,0.0,0.0
2025-10-06 00:00:00-04:00,0.08,0.08,0.08,0.08,1413,0.0,0.0
2025-10-03 00:00:00-04:00,0.06,0.08,0.06,0.08,5224,0.0,0.0
2025-10-02 00:00:00-04:00,0.08,0.08,0.06,0.07,12277,0.0,0.0
2025-10-01 00:00:00-04:00,0.07,0.07,0.07,0.07,3415,0.0,0.0
2025-09-30 00:00:00-04:00,0.07,0.07,0.07,0.07,0,0.0,0.0
2025-09-29 00:00:00-04:00,0.1,0.1,0.07,0.07,15712,0.0,0.0
2025-09-26 00:00:00-04:00,0.08,0.08,0.08,0.08,4349,0.0,0.0
2025-09-25 00:00:00-04:00,0.09,0.09,0.08,0.09,12544,0.0,0.0
2025-09-24 00:00:00-04:00,0.08,0.09,0.08,0.09,23304,0.0,0.0
2025-09-23 00:00:00-04:00,0.09,0.11,0.08,0.08,180300,0.0,0.0
2025-09-22 00:00:00-04:00,0.04,0.09,0.04,0.09,7051,0.0,0.0
2025-09-19 00:00:00-04:00,0.07,0.08,0.07,0.08,45970,0.0,0.0
2025-09-18 00:00:00-04:00,0.09,0.09,0.06,0.08,19010,0.0,0.0
2025-09-17 00:00:00-04:00,0.06,0.08,0.06,0.07,9465,0.0,0.0
2025-09-16 00:00:00-04:00,0.07,0.07,0.07,0.07,310,0.0,0.0
2025-09-15 00:00:00-04:00,0.06,0.07,0.06,0.07,703,0.0,0.0
2025-09-12 00:00:00-04:00,0.06,0.07,0.05,0.07,27699,0.0,0.0
2025-09-11 00:00:00-04:00,0.04,0.07,0.04,0.06,3582,0.0,0.0
2025-09-10 00:00:00-04:00,0.07,0.08,0.06,0.07,80206,0.0,0.0
2025-09-09 00:00:00-04:00,0.06,0.06,0.05,0.06,1473,0.0,0.0
2025-09-08 00:00:00-04:00,0.05,0.08,0.05,0.06,9307,0.0,0.0
2025-09-05 00:00:00-04:00,0.06,0.07,0.05,0.05,19198,0.0,0.0
2025-09-04 00:00:00-04:00,0.04,0.06,0.04,0.06,1456,0.0,0.0
2025-09-03 00:00:00-04:00,0.05,0.05,0.04,0.04,3151,0.0,0.0
2025-09-02 00:00:00-04:00,0.06,0.06,0.06,0.06,111,0.0,0.0
2025-08-29 00:00:00-04:00,0.06,0.07,0.06,0.06,2429,0.0,0.0
2025-08-28 00:00:00-04:00,0.06,0.07,0.06,0.07,52710,0.0,0.0
2025-08-27 00:00:00-04:00,0.08,0.09,0.07,0.07,60369,0.0,0.0
2025-08-26 00:00:00-04:00,0.08,0.08,0.07,0.07,6727,0.0,0.0
2025-08-25 00:00:00-04:00,0.06,0.09,0.06,0.08,15842,0.0,0.0
2025-08-22 00:00:00-04:00,0.08,0.08,0.06,0.06,18426,0.0,0.0
2025-08-21 00:00:00-04:00,0.06,0.06,0.06,0.06,62281,0.0,0.0
2025-08-20 00:00:00-04:00,0.06,0.06,0.05,0.05,112220,0.0,0.0
2025-08-19 00:00:00-04:00,0.09,0.09,0.06,0.06,42289,0.0,0.0
2025-08-18 00:00:00-04:00,0.05,0.07,0.04,0.07,290034,0.0,0.0
2025-08-15 00:00:00-04:00,0.04,0.06,0.03,0.03,611709,0.0,0.0
2025-08-14 00:00:00-04:00,0.03,0.03,0.03,0.03,1788,0.0,0.0
2025-08-13 00:00:00-04:00,0.04,0.04,0.04,0.04,20655,0.0,0.0
2025-08-12 00:00:00-04:00,0.04,0.04,0.03,0.03,13508,0.0,0.0
2025-08-11 00:00:00-04:00,0.03,0.03,0.03,0.03,27391,0.0,0.0
