Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-24 00:00:00-05:00,24.6,25.83,24.6,24.77,35024,0.0,0.0
2025-11-21 00:00:00-05:00,24.3,24.84,24.3,24.6,13947,0.0,0.0
2025-11-20 00:00:00-05:00,24.54,24.69,24.03,24.37,10000,0.0,0.0
2025-11-19 00:00:00-05:00,24.58,24.9,24.3,24.39,7500,0.0,0.0
2025-11-18 00:00:00-05:00,25.24,25.24,24.4,24.58,25300,0.0,0.0
2025-11-17 00:00:00-05:00,25.59,25.61,24.51,24.67,12100,0.0,0.0
2025-11-14 00:00:00-05:00,25.0,25.31,24.9,25.03,8000,0.0,0.0
2025-11-13 00:00:00-05:00,25.06,25.75,25.0,25.05,11400,0.0,0.0
2025-11-12 00:00:00-05:00,25.95,25.95,25.07,25.07,25200,0.0,0.0
2025-11-11 00:00:00-05:00,26.4,26.4,25.3,25.3,20600,0.0,0.0
2025-11-10 00:00:00-05:00,25.66,26.5,25.4,25.4,12500,0.0,0.0
2025-11-07 00:00:00-05:00,26.38,26.38,25.36,25.43,11900,0.0,0.0
2025-11-06 00:00:00-05:00,25.93,26.2,25.32,25.51,30500,0.0,0.0
2025-11-05 00:00:00-05:00,26.04,26.95,25.92,25.99,22100,0.0,0.0
2025-11-04 00:00:00-05:00,26.1,26.25,25.96,26.04,27900,0.0,0.0
2025-11-03 00:00:00-05:00,26.13,26.25,26.0,26.25,14900,0.0,0.0
2025-10-31 00:00:00-04:00,26.37,26.37,25.82,26.13,17300,0.0,0.0
2025-10-30 00:00:00-04:00,25.8,25.99,25.71,25.81,11800,0.0,0.0
2025-10-29 00:00:00-04:00,25.85,25.99,25.75,25.89,10400,0.0,0.0
2025-10-28 00:00:00-04:00,25.99,26.0,25.75,25.9,12900,0.0,0.0
2025-10-27 00:00:00-04:00,26.33,26.43,25.72,25.76,27800,0.0,0.0
2025-10-24 00:00:00-04:00,25.61,26.47,25.61,26.18,30600,0.0,0.0
2025-10-23 00:00:00-04:00,26.08,26.08,25.56,25.69,12700,0.0,0.0
2025-10-22 00:00:00-04:00,25.45,25.81,25.38,25.75,20900,0.0,0.0
2025-10-21 00:00:00-04:00,25.23,25.63,25.23,25.52,22700,0.0,0.0
2025-10-20 00:00:00-04:00,25.08,25.36,25.0,25.34,23500,0.0,0.0
2025-10-17 00:00:00-04:00,24.75,25.1,24.75,24.96,23100,0.0,0.0
2025-10-16 00:00:00-04:00,25.35,25.49,24.84,24.86,23000,0.0,0.0
2025-10-15 00:00:00-04:00,25.52,25.71,25.41,25.48,10600,0.0,0.0
2025-10-14 00:00:00-04:00,25.39,25.75,25.32,25.51,43700,0.0,0.0
2025-10-13 00:00:00-04:00,25.75,25.75,25.18,25.39,34300,0.0,0.0
2025-10-10 00:00:00-04:00,25.65,25.73,25.4,25.6,19800,0.0,0.0
2025-10-09 00:00:00-04:00,25.66,25.8,25.63,25.7,10600,0.0,0.0
2025-10-08 00:00:00-04:00,25.6,25.99,25.55,25.68,15300,0.0,0.0
2025-10-07 00:00:00-04:00,25.75,26.12,25.71,25.91,15000,0.0,0.0
2025-10-06 00:00:00-04:00,25.75,26.21,25.44,25.8,100300,0.0,0.0
2025-10-03 00:00:00-04:00,25.39,25.86,25.36,25.55,13700,0.0,0.0
2025-10-02 00:00:00-04:00,25.51,26.17,25.25,25.42,17700,0.0,0.0
2025-10-01 00:00:00-04:00,25.4,25.75,25.33,25.45,57900,0.0,0.0
2025-09-30 00:00:00-04:00,25.45,26.0,25.13,25.5,41600,0.0,0.0
2025-09-29 00:00:00-04:00,25.27,25.63,25.17,25.39,10400,0.0,0.0
2025-09-26 00:00:00-04:00,24.9,25.78,24.9,25.2,29600,0.0,0.0
2025-09-25 00:00:00-04:00,25.22,26.02,25.21,25.37,25000,0.0,0.0
2025-09-24 00:00:00-04:00,26.37,26.37,25.24,25.31,37100,0.0,0.0
2025-09-23 00:00:00-04:00,25.95,26.16,25.71,25.8,45300,0.0,0.0
2025-09-22 00:00:00-04:00,26.0,26.3,25.9,25.91,48700,0.0,0.0
2025-09-19 00:00:00-04:00,26.25,26.3,25.37,26.23,427900,0.0,0.0
2025-09-18 00:00:00-04:00,26.11,26.42,26.11,26.23,39800,0.0,0.0
2025-09-17 00:00:00-04:00,25.98,26.58,25.9,25.9,37600,0.0,0.0
2025-09-16 00:00:00-04:00,25.87,26.04,25.82,26.0,27000,0.0,0.0
2025-09-15 00:00:00-04:00,26.0,26.05,25.78,25.79,21900,0.0,0.0
2025-09-12 00:00:00-04:00,25.8,25.99,25.72,25.99,16200,0.0,0.0
2025-09-11 00:00:00-04:00,25.9,25.97,25.78,25.89,18100,0.0,0.0
2025-09-10 00:00:00-04:00,25.83,25.91,25.6,25.61,25700,0.0,0.0
2025-09-09 00:00:00-04:00,25.71,25.81,25.5,25.62,20400,0.0,0.0
