Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-24 00:00:00-05:00,0.38,0.41,0.38,0.41,72825,0.0,0.0
2025-11-21 00:00:00-05:00,0.38,0.38,0.37,0.37,58000,0.0,0.0
2025-11-20 00:00:00-05:00,0.4,0.4,0.37,0.37,146294,0.0,0.0
2025-11-19 00:00:00-05:00,0.38,0.41,0.38,0.41,116793,0.0,0.0
2025-11-18 00:00:00-05:00,0.39,0.4,0.38,0.38,100101,0.0,0.0
2025-11-17 00:00:00-05:00,0.42,0.42,0.38,0.39,256848,0.0,0.0
2025-11-14 00:00:00-05:00,0.39,0.41,0.39,0.4,221548,0.0,0.0
2025-11-13 00:00:00-05:00,0.42,0.43,0.4,0.4,216850,0.0,0.0
2025-11-12 00:00:00-05:00,0.42,0.43,0.41,0.42,161730,0.0,0.0
2025-11-11 00:00:00-05:00,0.43,0.44,0.41,0.42,52192,0.0,0.0
2025-11-10 00:00:00-05:00,0.4,0.42,0.39,0.42,319670,0.0,0.0
2025-11-07 00:00:00-05:00,0.39,0.4,0.39,0.4,128461,0.0,0.0
2025-11-06 00:00:00-05:00,0.4,0.4,0.39,0.4,159917,0.0,0.0
2025-11-05 00:00:00-05:00,0.41,0.41,0.4,0.4,92467,0.0,0.0
2025-11-04 00:00:00-05:00,0.43,0.43,0.41,0.41,65723,0.0,0.0
2025-11-03 00:00:00-05:00,0.42,0.45,0.41,0.43,404763,0.0,0.0
2025-10-31 00:00:00-04:00,0.44,0.44,0.42,0.42,141379,0.0,0.0
2025-10-30 00:00:00-04:00,0.44,0.45,0.41,0.44,96292,0.0,0.0
2025-10-29 00:00:00-04:00,0.44,0.45,0.43,0.44,60635,0.0,0.0
2025-10-28 00:00:00-04:00,0.4,0.46,0.4,0.46,187955,0.0,0.0
2025-10-27 00:00:00-04:00,0.44,0.44,0.41,0.41,567194,0.0,0.0
2025-10-24 00:00:00-04:00,0.41,0.45,0.4,0.43,257877,0.0,0.0
2025-10-23 00:00:00-04:00,0.4,0.45,0.4,0.43,295060,0.0,0.0
2025-10-22 00:00:00-04:00,0.44,0.45,0.42,0.44,644043,0.0,0.0
2025-10-21 00:00:00-04:00,0.45,0.46,0.42,0.43,325096,0.0,0.0
2025-10-20 00:00:00-04:00,0.47,0.47,0.45,0.46,271862,0.0,0.0
2025-10-17 00:00:00-04:00,0.48,0.48,0.46,0.47,590818,0.0,0.0
2025-10-16 00:00:00-04:00,0.48,0.49,0.48,0.48,522833,0.0,0.0
2025-10-15 00:00:00-04:00,0.5,0.5,0.48,0.48,487890,0.0,0.0
2025-10-14 00:00:00-04:00,0.51,0.51,0.49,0.49,436364,0.0,0.0
2025-10-13 00:00:00-04:00,0.52,0.52,0.45,0.52,769575,0.0,0.0
2025-10-10 00:00:00-04:00,0.53,0.53,0.49,0.51,829353,0.0,0.0
2025-10-09 00:00:00-04:00,0.57,0.57,0.51,0.52,524916,0.0,0.0
2025-10-08 00:00:00-04:00,0.52,0.55,0.52,0.54,287028,0.0,0.0
2025-10-07 00:00:00-04:00,0.53,0.54,0.52,0.52,339008,0.0,0.0
2025-10-06 00:00:00-04:00,0.55,0.56,0.54,0.54,361262,0.0,0.0
2025-10-03 00:00:00-04:00,0.54,0.56,0.54,0.56,205344,0.0,0.0
2025-10-02 00:00:00-04:00,0.57,0.57,0.53,0.54,451580,0.0,0.0
2025-10-01 00:00:00-04:00,0.61,0.61,0.57,0.57,353898,0.0,0.0
2025-09-30 00:00:00-04:00,0.6,0.6,0.57,0.58,134806,0.0,0.0
2025-09-29 00:00:00-04:00,0.62,0.63,0.59,0.59,243691,0.0,0.0
2025-09-26 00:00:00-04:00,0.62,0.62,0.6,0.62,230997,0.0,0.0
2025-09-25 00:00:00-04:00,0.6,0.63,0.56,0.62,574301,0.0,0.0
2025-09-24 00:00:00-04:00,0.55,0.58,0.55,0.57,131926,0.0,0.0
2025-09-23 00:00:00-04:00,0.57,0.6,0.57,0.57,356957,0.0,0.0
2025-09-22 00:00:00-04:00,0.61,0.61,0.56,0.57,277052,0.0,0.0
2025-09-19 00:00:00-04:00,0.6,0.6,0.57,0.59,484269,0.0,0.0
2025-09-18 00:00:00-04:00,0.58,0.6,0.57,0.57,237093,0.0,0.0
2025-09-17 00:00:00-04:00,0.57,0.61,0.57,0.59,737818,0.0,0.0
2025-09-16 00:00:00-04:00,0.54,0.54,0.52,0.54,420808,0.0,0.0
2025-09-15 00:00:00-04:00,0.55,0.55,0.53,0.54,333458,0.0,0.0
2025-09-12 00:00:00-04:00,0.53,0.55,0.52,0.53,305936,0.0,0.0
2025-09-11 00:00:00-04:00,0.52,0.54,0.52,0.53,182250,0.0,0.0
2025-09-10 00:00:00-04:00,0.54,0.54,0.51,0.53,151740,0.0,0.0
2025-09-09 00:00:00-04:00,0.57,0.57,0.52,0.54,450507,0.0,0.0
2025-09-08 00:00:00-04:00,0.57,0.57,0.55,0.56,299449,0.0,0.0
2025-09-05 00:00:00-04:00,0.59,0.59,0.55,0.55,117575,0.0,0.0
2025-09-04 00:00:00-04:00,0.57,0.59,0.56,0.56,188883,0.0,0.0
2025-09-03 00:00:00-04:00,0.6,0.6,0.57,0.59,421423,0.0,0.0
2025-09-02 00:00:00-04:00,0.61,0.64,0.6,0.61,318816,0.0,0.0
2025-08-29 00:00:00-04:00,0.58,0.61,0.58,0.6,135022,0.0,0.0
2025-08-28 00:00:00-04:00,0.57,0.6,0.55,0.59,695621,0.0,0.0
2025-08-27 00:00:00-04:00,0.55,0.55,0.53,0.54,316490,0.0,0.0
2025-08-26 00:00:00-04:00,0.51,0.54,0.5,0.53,516562,0.0,0.0
2025-08-25 00:00:00-04:00,0.54,0.56,0.53,0.54,167929,0.0,0.0
2025-08-22 00:00:00-04:00,0.56,0.56,0.54,0.54,513638,0.0,0.0
2025-08-21 00:00:00-04:00,0.55,0.56,0.52,0.55,426965,0.0,0.0
2025-08-20 00:00:00-04:00,0.54,0.54,0.5,0.51,1149859,0.0,0.0
2025-08-19 00:00:00-04:00,0.56,0.56,0.53,0.53,163332,0.0,0.0
2025-08-18 00:00:00-04:00,0.53,0.56,0.53,0.55,380063,0.0,0.0
2025-08-15 00:00:00-04:00,0.52,0.53,0.52,0.53,95006,0.0,0.0
2025-08-14 00:00:00-04:00,0.52,0.53,0.52,0.52,91034,0.0,0.0
2025-08-13 00:00:00-04:00,0.55,0.55,0.53,0.53,132467,0.0,0.0
2025-08-12 00:00:00-04:00,0.55,0.56,0.54,0.55,199015,0.0,0.0
2025-08-11 00:00:00-04:00,0.55,0.57,0.55,0.56,304288,0.0,0.0
2025-08-08 00:00:00-04:00,0.55,0.55,0.54,0.55,132538,0.0,0.0
2025-08-07 00:00:00-04:00,0.53,0.57,0.53,0.55,86526,0.0,0.0
2025-08-06 00:00:00-04:00,0.53,0.54,0.52,0.54,161406,0.0,0.0
2025-08-05 00:00:00-04:00,0.55,0.55,0.51,0.53,300979,0.0,0.0
2025-08-04 00:00:00-04:00,0.51,0.53,0.51,0.53,178627,0.0,0.0
2025-08-01 00:00:00-04:00,0.52,0.53,0.51,0.52,131669,0.0,0.0
2025-07-31 00:00:00-04:00,0.52,0.53,0.51,0.52,328897,0.0,0.0
2025-07-30 00:00:00-04:00,0.53,0.53,0.51,0.51,623919,0.0,0.0
2025-07-29 00:00:00-04:00,0.58,0.58,0.5,0.53,1977447,0.0,0.0
2025-07-28 00:00:00-04:00,0.64,0.64,0.55,0.6,988274,0.0,0.0
2025-07-25 00:00:00-04:00,0.64,0.66,0.6,0.64,457442,0.0,0.0
2025-07-24 00:00:00-04:00,0.68,0.68,0.65,0.66,185519,0.0,0.0
2025-07-23 00:00:00-04:00,0.64,0.67,0.63,0.67,667435,0.0,0.0
2025-07-22 00:00:00-04:00,0.66,0.68,0.62,0.63,415708,0.0,0.0
2025-07-21 00:00:00-04:00,0.65,0.7,0.65,0.65,397026,0.0,0.0
2025-07-18 00:00:00-04:00,0.67,0.68,0.62,0.65,529891,0.0,0.0
2025-07-17 00:00:00-04:00,0.55,0.67,0.55,0.65,663905,0.0,0.0
2025-07-16 00:00:00-04:00,0.52,0.55,0.49,0.54,636660,0.0,0.0
2025-07-15 00:00:00-04:00,0.49,0.49,0.48,0.49,128986,0.0,0.0
2025-07-14 00:00:00-04:00,0.5,0.51,0.49,0.49,208020,0.0,0.0
2025-07-11 00:00:00-04:00,0.5,0.51,0.48,0.51,163596,0.0,0.0
2025-07-10 00:00:00-04:00,0.47,0.51,0.47,0.49,144375,0.0,0.0
2025-07-09 00:00:00-04:00,0.47,0.48,0.47,0.47,27129,0.0,0.0
2025-07-08 00:00:00-04:00,0.47,0.48,0.45,0.48,288658,0.0,0.0
2025-07-07 00:00:00-04:00,0.5,0.5,0.46,0.47,93337,0.0,0.0
2025-07-03 00:00:00-04:00,0.5,0.5,0.46,0.47,7615,0.0,0.0
2025-07-02 00:00:00-04:00,0.47,0.48,0.46,0.46,125461,0.0,0.0
2025-07-01 00:00:00-04:00,0.5,0.5,0.46,0.47,33921,0.0,0.0
2025-06-30 00:00:00-04:00,0.46,0.47,0.46,0.47,33749,0.0,0.0
2025-06-27 00:00:00-04:00,0.46,0.48,0.46,0.48,18165,0.0,0.0
2025-06-26 00:00:00-04:00,0.48,0.48,0.46,0.47,87200,0.0,0.0
2025-06-25 00:00:00-04:00,0.48,0.48,0.46,0.47,20312,0.0,0.0
2025-06-24 00:00:00-04:00,0.44,0.47,0.44,0.47,112779,0.0,0.0
2025-06-23 00:00:00-04:00,0.45,0.47,0.45,0.46,213840,0.0,0.0
2025-06-20 00:00:00-04:00,0.49,0.49,0.4,0.4,250202,0.0,0.0
2025-06-18 00:00:00-04:00,0.5,0.5,0.48,0.49,93343,0.0,0.0
2025-06-17 00:00:00-04:00,0.5,0.5,0.48,0.49,77527,0.0,0.0
2025-06-16 00:00:00-04:00,0.48,0.51,0.48,0.5,111331,0.0,0.0
2025-06-13 00:00:00-04:00,0.52,0.52,0.49,0.5,105050,0.0,0.0
2025-06-12 00:00:00-04:00,0.53,0.53,0.51,0.51,120198,0.0,0.0
2025-06-11 00:00:00-04:00,0.49,0.54,0.49,0.54,142788,0.0,0.0
2025-06-10 00:00:00-04:00,0.5,0.5,0.49,0.5,113980,0.0,0.0
2025-06-09 00:00:00-04:00,0.48,0.5,0.46,0.49,214967,0.0,0.0
2025-06-06 00:00:00-04:00,0.48,0.49,0.48,0.48,170575,0.0,0.0
2025-06-05 00:00:00-04:00,0.49,0.5,0.48,0.48,188675,0.0,0.0
2025-06-04 00:00:00-04:00,0.47,0.48,0.45,0.48,98807,0.0,0.0
2025-06-03 00:00:00-04:00,0.47,0.48,0.47,0.47,59827,0.0,0.0
2025-06-02 00:00:00-04:00,0.47,0.49,0.45,0.48,183809,0.0,0.0
