Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-20 00:00:00-05:00,21.09,21.09,21.09,20.82,1,0.0,0.0
2025-11-19 00:00:00-05:00,20.59,20.6,20.59,20.6,3800,0.0,0.0
2025-11-18 00:00:00-05:00,20.43,21.2,19.74,20.47,12800,0.0,0.0
2025-11-17 00:00:00-05:00,20.99,21.06,20.98,21.06,7400,0.0,0.0
2025-11-14 00:00:00-05:00,21.27,22.05,21.27,22.05,2200,0.0,0.0
2025-11-13 00:00:00-05:00,22.07,22.09,21.4,22.09,4000,0.0,0.0
2025-11-12 00:00:00-05:00,21.8,22.05,21.8,22.05,34300,0.0,0.0
2025-11-11 00:00:00-05:00,21.4,21.44,21.4,21.44,3900,0.0,0.0
2025-11-10 00:00:00-05:00,20.94,21.63,20.36,20.99,4200,0.0,0.0
2025-11-07 00:00:00-05:00,20.27,20.94,20.27,20.32,2100,0.0,0.0
2025-11-06 00:00:00-05:00,21.36,21.36,20.72,20.72,1100,0.0,0.0
2025-11-05 00:00:00-05:00,19.66,20.22,19.66,20.22,2100,0.0,0.0
2025-11-04 00:00:00-05:00,20.12,20.76,20.12,20.15,4600,0.0,0.0
2025-11-03 00:00:00-05:00,20.06,20.71,19.4,20.06,3600,0.0,0.0
2025-10-31 00:00:00-04:00,20.74,20.74,20.74,20.74,1100,0.0,0.0
2025-10-30 00:00:00-04:00,19.92,20.6,19.92,20.6,3300,0.0,0.0
2025-10-29 00:00:00-04:00,20.26,20.36,20.26,20.36,4400,0.0,0.0
2025-10-28 00:00:00-04:00,19.63,20.21,19.63,20.21,6100,0.0,0.0
2025-10-27 00:00:00-04:00,19.94,20.01,19.91,19.91,5200,0.0,0.0
2025-10-24 00:00:00-04:00,19.57,19.77,19.57,19.77,34900,0.0,0.0
2025-10-23 00:00:00-04:00,19.88,19.88,19.21,19.21,2100,0.0,0.0
2025-10-22 00:00:00-04:00,19.84,19.86,19.75,19.82,1300,0.0,0.0
2025-10-21 00:00:00-04:00,19.67,19.94,19.67,19.8,3600,0.0,0.0
2025-10-20 00:00:00-04:00,20.1,20.1,20.01,20.01,2200,0.0,0.0
2025-10-17 00:00:00-04:00,19.7,19.7,18.95,19.7,2900,0.0,0.0
2025-10-16 00:00:00-04:00,18.08,20.0,18.08,20.0,2900,0.0,0.0
2025-10-15 00:00:00-04:00,18.51,18.52,17.88,17.88,1400,0.0,0.0
2025-10-14 00:00:00-04:00,18.41,18.45,18.41,18.45,1000,0.0,0.0
2025-10-13 00:00:00-04:00,18.21,18.3,18.21,18.25,3300,0.0,0.0
2025-10-10 00:00:00-04:00,18.55,19.12,18.01,18.26,3700,0.0,0.0
2025-10-09 00:00:00-04:00,18.65,18.65,18.02,18.02,2000,0.0,0.0
2025-10-08 00:00:00-04:00,18.89,19.08,18.89,19.08,2600,0.0,0.0
2025-10-07 00:00:00-04:00,18.85,18.86,18.81,18.86,2800,0.0,0.0
2025-10-06 00:00:00-04:00,19.0,19.14,18.61,19.14,1500,0.0,0.0
2025-10-03 00:00:00-04:00,20.25,20.25,19.5,19.5,131100,0.0,0.0
2025-10-02 00:00:00-04:00,19.31,19.31,19.25,19.25,900,0.0,0.0
2025-10-01 00:00:00-04:00,19.35,19.65,19.22,19.35,9300,0.0,0.0
2025-09-30 00:00:00-04:00,19.5,19.5,19.5,19.5,25900,0.0,0.0
2025-09-29 00:00:00-04:00,19.43,19.95,18.93,18.93,2100,0.0,0.0
2025-09-26 00:00:00-04:00,18.45,19.22,18.45,19.22,3300,0.0,0.0
2025-09-25 00:00:00-04:00,19.0,19.0,18.62,19.0,32500,0.0,0.0
2025-09-24 00:00:00-04:00,19.1,19.1,19.1,19.1,2100,0.0,0.0
2025-09-23 00:00:00-04:00,19.4,19.4,18.9,19.4,3300,0.0,0.0
2025-09-22 00:00:00-04:00,18.65,19.18,18.65,19.18,2100,0.0,0.0
2025-09-19 00:00:00-04:00,20.14,20.15,19.58,19.58,111500,0.0,0.0
2025-09-18 00:00:00-04:00,19.02,19.75,19.02,19.33,4900,0.0,0.0
2025-09-17 00:00:00-04:00,19.23,19.23,19.23,19.23,1900,0.0,0.0
2025-09-16 00:00:00-04:00,19.18,19.18,19.18,19.18,5200,0.0,0.0
2025-09-15 00:00:00-04:00,19.5,19.5,19.5,19.5,97100,0.0,0.0
2025-09-12 00:00:00-04:00,19.6,19.6,18.15,18.88,2700,0.0,0.0
2025-09-11 00:00:00-04:00,19.05,19.05,19.05,19.05,1700,0.0,0.0
2025-09-10 00:00:00-04:00,19.25,19.27,19.05,19.27,124400,0.0,0.0
2025-09-09 00:00:00-04:00,18.58,18.58,18.58,18.58,1000,0.0,0.0
2025-09-08 00:00:00-04:00,18.93,19.2,18.65,19.2,4300,0.0,0.0
2025-09-05 00:00:00-04:00,18.82,18.82,18.26,18.26,11400,0.0,0.0
2025-09-04 00:00:00-04:00,18.4,18.55,18.0,18.0,1500,0.0,0.0
2025-09-03 00:00:00-04:00,17.85,17.85,17.15,17.85,2200,0.0,0.0
2025-09-02 00:00:00-04:00,18.65,18.65,17.93,17.93,2500,0.0,0.0
2025-08-29 00:00:00-04:00,18.08,18.77,18.08,18.09,1400,0.0,0.0
2025-08-28 00:00:00-04:00,18.15,18.85,17.45,18.15,205100,0.0,0.0
2025-08-27 00:00:00-04:00,18.1,18.8,18.1,18.16,2200,0.0,0.0
2025-08-26 00:00:00-04:00,18.6,19.3,18.6,18.65,2700,0.0,0.0
2025-08-25 00:00:00-04:00,19.0,19.0,19.0,19.0,900,0.0,0.0
2025-08-22 00:00:00-04:00,19.15,19.45,19.15,19.45,1500,0.0,0.0
2025-08-21 00:00:00-04:00,19.8,19.8,18.84,19.3,5600,0.0,0.0
2025-08-20 00:00:00-04:00,19.8,19.8,19.05,19.05,201800,0.0,0.0
2025-08-19 00:00:00-04:00,19.38,19.38,18.8,19.38,2300,0.0,0.0
2025-08-18 00:00:00-04:00,19.8,19.8,19.05,19.13,2900,0.0,0.0
2025-08-15 00:00:00-04:00,19.45,19.45,18.7,19.45,53600,0.0,0.0
2025-08-14 00:00:00-04:00,18.95,18.95,18.95,18.95,1300,0.0,0.0
2025-08-13 00:00:00-04:00,18.77,18.85,18.77,18.77,2700,0.0,0.0
2025-08-12 00:00:00-04:00,18.5,18.57,17.82,18.5,3300,0.0,0.0
2025-08-11 00:00:00-04:00,18.72,18.72,18.58,18.58,1300,0.0,0.0
2025-08-08 00:00:00-04:00,18.99,19.45,18.5,18.79,501900,0.0,0.0
2025-08-07 00:00:00-04:00,18.46,18.9,17.15,17.59,7400,0.0,0.0
2025-08-06 00:00:00-04:00,16.8,18.6,16.8,18.6,3200,0.0,0.0
2025-08-05 00:00:00-04:00,17.66,17.66,17.66,17.66,172300,0.0,0.0
2025-08-04 00:00:00-04:00,17.44,17.85,16.63,17.1,5300,0.0,0.0
2025-08-01 00:00:00-04:00,16.75,17.45,16.75,17.45,6100,0.0,0.0
2025-07-31 00:00:00-04:00,16.66,17.29,16.15,16.75,11500,0.0,0.0
2025-07-30 00:00:00-04:00,15.45,15.45,15.45,15.45,900,0.0,0.0
2025-07-29 00:00:00-04:00,15.55,16.2,15.49,15.55,5300,0.0,0.0
2025-07-28 00:00:00-04:00,15.45,15.45,15.45,15.45,97700,0.0,0.0
2025-07-25 00:00:00-04:00,15.3,15.3,14.65,15.3,2600,0.0,0.0
2025-07-24 00:00:00-04:00,15.3,15.95,15.3,15.33,7700,0.0,0.0
2025-07-23 00:00:00-04:00,15.03,15.03,14.35,15.03,2200,0.0,0.0
2025-07-22 00:00:00-04:00,15.45,15.45,14.15,14.15,54100,0.0,0.0
2025-07-21 00:00:00-04:00,14.78,14.9,14.78,14.9,57000,0.0,0.0
2025-07-18 00:00:00-04:00,14.93,15.6,14.93,14.93,800,0.0,0.0
2025-07-17 00:00:00-04:00,14.8,15.45,14.15,15.45,1900,0.0,0.0
2025-07-16 00:00:00-04:00,14.83,14.83,14.83,14.83,1900,0.0,0.0
2025-07-15 00:00:00-04:00,15.0,15.0,15.0,15.0,600,0.0,0.0
2025-07-14 00:00:00-04:00,15.2,15.43,15.2,15.43,1100,0.0,0.0
2025-07-11 00:00:00-04:00,15.2,15.3,15.2,15.2,1400,0.0,0.0
2025-07-10 00:00:00-04:00,15.88,15.98,15.88,15.98,1400,0.0,0.0
2025-07-09 00:00:00-04:00,16.02,16.02,16.0,16.0,9300,0.0,0.0
2025-07-08 00:00:00-04:00,15.73,15.73,15.73,15.73,501000,0.0,0.0
2025-07-07 00:00:00-04:00,15.35,15.4,15.05,15.21,2200,0.0,0.0
2025-07-03 00:00:00-04:00,15.65,16.3,15.0,15.0,3500,0.0,0.0
2025-07-02 00:00:00-04:00,15.38,15.43,14.7,15.43,2400,0.0,0.0
2025-07-01 00:00:00-04:00,15.2,15.2,15.14,15.2,3600,0.0,0.0
2025-06-30 00:00:00-04:00,15.28,15.35,15.28,15.35,1800,0.0,0.0
2025-06-27 00:00:00-04:00,15.2,15.46,14.55,14.55,6400,0.0,0.0
2025-06-26 00:00:00-04:00,15.0,15.0,15.0,15.0,1700,0.0,0.0
2025-06-25 00:00:00-04:00,15.5,15.5,15.05,15.05,2300,0.0,0.0
2025-06-24 00:00:00-04:00,15.33,15.5,15.33,15.5,1600,0.0,0.0
2025-06-23 00:00:00-04:00,14.73,15.31,14.2,14.76,8100,0.0,0.0
2025-06-20 00:00:00-04:00,14.91,15.65,14.55,14.98,6000,0.0,0.0
2025-06-18 00:00:00-04:00,15.01,15.58,14.99,15.26,57400,0.0,0.0
2025-06-17 00:00:00-04:00,15.7,15.7,15.28,15.7,110000,0.0,0.0
2025-06-16 00:00:00-04:00,15.3,15.58,15.3,15.58,2441400,0.0,0.0
2025-06-13 00:00:00-04:00,14.88,14.88,14.88,14.88,3800,0.0,0.0
2025-06-12 00:00:00-04:00,14.35,14.35,14.35,14.35,0,0.0,0.0
2025-06-11 00:00:00-04:00,14.35,14.35,14.35,14.35,400,0.0,0.0
2025-06-10 00:00:00-04:00,15.2,15.2,15.2,15.2,102100,0.0,0.0
2025-06-09 00:00:00-04:00,15.5,15.5,15.5,15.5,7800,0.0,0.0
2025-06-06 00:00:00-04:00,14.76,15.15,14.5,15.15,5900,0.0,0.0
2025-06-05 00:00:00-04:00,14.95,15.6,14.95,15.6,400,0.0,0.0
2025-06-04 00:00:00-04:00,15.15,15.15,15.15,15.15,0,0.0,0.0
2025-06-03 00:00:00-04:00,15.15,15.15,15.15,15.15,0,0.0,0.0
2025-06-02 00:00:00-04:00,15.15,15.15,15.15,15.15,0,0.0,0.0
2025-05-30 00:00:00-04:00,15.15,15.15,15.15,15.15,0,0.0,0.0
2025-05-29 00:00:00-04:00,15.15,15.15,15.15,15.15,27800,0.0,0.0
2025-05-28 00:00:00-04:00,15.48,15.48,15.48,15.48,0,0.0,0.0
2025-05-27 00:00:00-04:00,15.48,15.48,15.48,15.48,0,0.0,0.0
2025-05-23 00:00:00-04:00,15.48,15.48,15.48,15.48,0,0.0,0.0
2025-05-22 00:00:00-04:00,15.48,15.48,15.48,15.48,200,0.0,0.0
2025-05-21 00:00:00-04:00,15.63,15.63,15.63,15.63,200,0.0,0.0
2025-05-20 00:00:00-04:00,15.53,15.53,15.53,15.53,100,0.0,0.0
2025-05-19 00:00:00-04:00,15.05,15.05,15.05,15.05,0,0.0,0.0
2025-05-16 00:00:00-04:00,15.05,15.05,15.05,15.05,2200,0.0,0.0
2025-05-15 00:00:00-04:00,14.5,14.5,14.5,14.5,0,0.0,0.0
2025-05-14 00:00:00-04:00,14.5,14.5,14.5,14.5,0,0.0,0.0
2025-05-13 00:00:00-04:00,14.5,14.5,14.5,14.5,0,0.0,0.0
2025-05-12 00:00:00-04:00,14.5,14.5,14.5,14.5,0,0.0,0.0
2025-05-09 00:00:00-04:00,14.5,14.5,14.5,14.5,500,0.0,0.0
2025-05-08 00:00:00-04:00,13.65,13.65,13.65,13.65,0,0.0,0.0
2025-05-07 00:00:00-04:00,13.65,13.65,13.65,13.65,0,0.0,0.0
2025-05-06 00:00:00-04:00,13.65,13.65,13.65,13.65,0,0.0,0.0
2025-05-05 00:00:00-04:00,13.65,13.65,13.65,13.65,0,0.0,0.0
2025-05-02 00:00:00-04:00,13.65,13.65,13.65,13.65,0,0.0,0.0
2025-05-01 00:00:00-04:00,13.65,13.65,13.65,13.65,200,0.0,0.0
2025-04-30 00:00:00-04:00,13.6,13.6,13.6,13.6,2300,0.0,0.0
2025-04-29 00:00:00-04:00,14.8,14.8,14.8,14.8,300,0.0,0.0
2025-04-28 00:00:00-04:00,14.05,14.05,14.05,14.05,0,0.0,0.0
2025-04-25 00:00:00-04:00,14.05,14.05,14.05,14.05,0,0.0,0.0
2025-04-24 00:00:00-04:00,14.05,14.05,14.05,14.05,0,0.0,0.0
2025-04-23 00:00:00-04:00,14.05,14.05,14.05,14.05,4600,0.0,0.0
2025-04-22 00:00:00-04:00,12.99,12.99,12.99,12.99,0,0.0,0.0
2025-04-21 00:00:00-04:00,12.99,12.99,12.99,12.99,200,0.0,0.0
2025-04-17 00:00:00-04:00,13.18,13.18,13.18,13.18,0,0.0,0.0
2025-04-16 00:00:00-04:00,13.18,13.18,13.18,13.18,0,0.0,0.0
2025-04-15 00:00:00-04:00,13.18,13.18,13.18,13.18,0,0.0,0.0
2025-04-14 00:00:00-04:00,13.18,13.18,13.18,13.18,600,0.0,0.0
2025-04-11 00:00:00-04:00,12.8,12.8,12.8,12.8,400,0.0,0.0
2025-04-10 00:00:00-04:00,11.1,11.1,11.1,11.1,0,0.0,0.0
2025-04-09 00:00:00-04:00,11.1,11.1,11.1,11.1,8100,0.0,0.0
2025-04-08 00:00:00-04:00,11.59,11.59,11.59,11.59,26000,0.45,0.0
2025-04-07 00:00:00-04:00,12.34,12.34,11.0,11.89,1700,0.0,0.0
2025-04-04 00:00:00-04:00,13.93,13.93,13.93,13.93,0,0.0,0.0
2025-04-03 00:00:00-04:00,13.93,13.93,13.93,13.93,0,0.0,0.0
2025-04-02 00:00:00-04:00,13.93,13.93,13.93,13.93,0,0.0,0.0
2025-04-01 00:00:00-04:00,13.93,13.93,13.93,13.93,0,0.0,0.0
2025-03-31 00:00:00-04:00,13.93,13.93,13.93,13.93,0,0.0,0.0
2025-03-28 00:00:00-04:00,13.93,13.93,13.93,13.93,0,0.0,0.0
2025-03-27 00:00:00-04:00,13.93,13.93,13.93,13.93,0,0.0,0.0
2025-03-26 00:00:00-04:00,13.93,13.93,13.93,13.93,0,0.0,0.0
2025-03-25 00:00:00-04:00,13.93,13.93,13.93,13.93,600,0.0,0.0
2025-03-24 00:00:00-04:00,14.05,14.05,14.05,14.05,0,0.0,0.0
2025-03-21 00:00:00-04:00,14.05,14.05,14.05,14.05,0,0.0,0.0
2025-03-20 00:00:00-04:00,14.05,14.05,14.05,14.05,0,0.0,0.0
2025-03-19 00:00:00-04:00,14.05,14.05,14.05,14.05,0,0.0,0.0
2025-03-18 00:00:00-04:00,14.05,14.05,14.05,14.05,0,0.0,0.0
2025-03-17 00:00:00-04:00,14.05,14.05,14.05,14.05,1700,0.0,0.0
2025-03-14 00:00:00-04:00,13.15,13.15,13.15,13.15,100,0.0,0.0
2025-03-13 00:00:00-04:00,13.52,13.52,13.52,13.52,200,0.0,0.0
2025-03-12 00:00:00-04:00,13.57,13.57,13.57,13.57,1000,0.0,0.0
2025-03-11 00:00:00-04:00,13.11,13.39,13.11,13.39,300,0.0,0.0
2025-03-10 00:00:00-04:00,13.64,13.64,13.64,13.64,500,0.0,0.0
2025-03-07 00:00:00-05:00,12.6,12.6,12.6,12.6,0,0.0,0.0
2025-03-06 00:00:00-05:00,12.6,12.6,12.6,12.6,0,0.0,0.0
2025-03-05 00:00:00-05:00,12.6,12.6,12.6,12.6,0,0.0,0.0
2025-03-04 00:00:00-05:00,12.6,12.6,12.6,12.6,200,0.0,0.0
2025-03-03 00:00:00-05:00,12.82,12.82,12.82,12.82,0,0.0,0.0
2025-02-28 00:00:00-05:00,12.82,12.82,12.82,12.82,0,0.0,0.0
2025-02-27 00:00:00-05:00,12.82,12.82,12.82,12.82,0,0.0,0.0
2025-02-26 00:00:00-05:00,12.82,12.82,12.82,12.82,0,0.0,0.0
2025-02-25 00:00:00-05:00,12.82,12.82,12.82,12.82,300,0.0,0.0
2025-02-24 00:00:00-05:00,12.46,12.46,12.46,12.46,1100,0.0,0.0
2025-02-21 00:00:00-05:00,12.5,12.5,12.5,12.5,300,0.0,0.0
2025-02-20 00:00:00-05:00,12.77,12.77,12.41,12.41,1600,0.0,0.0
2025-02-19 00:00:00-05:00,12.22,12.22,12.22,12.22,228700,0.0,0.0
2025-02-18 00:00:00-05:00,11.85,11.85,11.85,11.85,400,0.0,0.0
2025-02-14 00:00:00-05:00,11.66,11.66,11.66,11.66,0,0.0,0.0
2025-02-13 00:00:00-05:00,11.66,11.66,11.66,11.66,0,0.0,0.0
2025-02-12 00:00:00-05:00,11.66,11.66,11.66,11.66,0,0.0,0.0
2025-02-11 00:00:00-05:00,11.66,11.66,11.66,11.66,145600,0.0,0.0
2025-02-10 00:00:00-05:00,11.02,11.02,11.02,11.02,0,0.0,0.0
2025-02-07 00:00:00-05:00,11.02,11.02,11.02,11.02,0,0.0,0.0
2025-02-06 00:00:00-05:00,11.55,11.55,11.02,11.02,229800,0.0,0.0
2025-02-05 00:00:00-05:00,11.22,11.22,11.22,11.22,200,0.0,0.0
2025-02-04 00:00:00-05:00,10.59,10.59,10.59,10.59,200,0.0,0.0
2025-02-03 00:00:00-05:00,10.94,10.94,10.94,10.94,2000,0.0,0.0
2025-01-31 00:00:00-05:00,11.49,11.49,11.49,11.49,27300,0.0,0.0
2025-01-30 00:00:00-05:00,11.07,11.07,11.07,11.07,400,0.0,0.0
2025-01-29 00:00:00-05:00,10.0,10.0,10.0,10.0,0,0.0,0.0
2025-01-28 00:00:00-05:00,10.0,10.0,10.0,10.0,0,0.0,0.0
2025-01-27 00:00:00-05:00,10.0,10.0,10.0,10.0,0,0.0,0.0
2025-01-24 00:00:00-05:00,10.0,10.0,10.0,10.0,0,0.0,0.0
2025-01-23 00:00:00-05:00,10.0,10.0,10.0,10.0,0,0.0,0.0
2025-01-22 00:00:00-05:00,10.0,10.0,10.0,10.0,0,0.0,0.0
2025-01-21 00:00:00-05:00,10.0,10.0,10.0,10.0,0,0.0,0.0
2025-01-17 00:00:00-05:00,10.0,10.0,10.0,10.0,0,0.0,0.0
2025-01-16 00:00:00-05:00,10.0,10.0,10.0,10.0,100,0.0,0.0
2025-01-15 00:00:00-05:00,10.34,10.34,10.34,10.34,0,0.0,0.0
2025-01-14 00:00:00-05:00,10.34,10.34,10.34,10.34,0,0.0,0.0
2025-01-13 00:00:00-05:00,10.36,10.36,10.09,10.34,4700,0.0,0.0
2025-01-10 00:00:00-05:00,10.28,10.5,9.95,10.5,160900,0.0,0.0
2025-01-08 00:00:00-05:00,9.79,9.79,9.79,9.79,0,0.0,0.0
2025-01-07 00:00:00-05:00,10.17,10.17,9.79,9.79,3000,0.0,0.0
2025-01-06 00:00:00-05:00,9.42,9.42,9.42,9.42,0,0.0,0.0
2025-01-03 00:00:00-05:00,9.42,9.42,9.42,9.42,0,0.0,0.0
2025-01-02 00:00:00-05:00,9.42,9.42,9.42,9.42,0,0.0,0.0
2024-12-31 00:00:00-05:00,9.42,9.42,9.42,9.42,0,0.0,0.0
2024-12-30 00:00:00-05:00,9.42,9.42,9.42,9.42,0,0.0,0.0
2024-12-27 00:00:00-05:00,9.42,9.42,9.42,9.42,0,0.0,0.0
2024-12-26 00:00:00-05:00,9.42,9.42,9.42,9.42,0,0.0,0.0
2024-12-24 00:00:00-05:00,9.42,9.42,9.42,9.42,0,0.0,0.0
2024-12-23 00:00:00-05:00,9.42,9.42,9.42,9.42,0,0.0,0.0
2024-12-20 00:00:00-05:00,9.42,9.42,9.42,9.42,0,0.0,0.0
2024-12-19 00:00:00-05:00,9.41,9.42,9.41,9.42,280000,0.0,0.0
2024-12-18 00:00:00-05:00,8.81,8.81,8.81,8.81,0,0.0,0.0
2024-12-17 00:00:00-05:00,8.81,8.81,8.81,8.81,0,0.0,0.0
2024-12-16 00:00:00-05:00,8.81,8.81,8.81,8.81,0,0.0,0.0
2024-12-13 00:00:00-05:00,8.81,8.81,8.81,8.81,0,0.0,0.0
2024-12-12 00:00:00-05:00,8.81,8.81,8.81,8.81,0,0.0,0.0
2024-12-11 00:00:00-05:00,8.81,8.81,8.81,8.81,0,0.0,0.0
2024-12-10 00:00:00-05:00,8.81,8.81,8.81,8.81,0,0.0,0.0
2024-12-09 00:00:00-05:00,8.81,8.81,8.81,8.81,0,0.0,0.0
2024-12-06 00:00:00-05:00,8.81,8.81,8.81,8.81,0,0.0,0.0
2024-12-05 00:00:00-05:00,8.81,8.81,8.81,8.81,0,0.0,0.0
2024-12-04 00:00:00-05:00,8.81,8.81,8.81,8.81,0,0.0,0.0
2024-12-03 00:00:00-05:00,8.81,8.81,8.81,8.81,0,0.0,0.0
2024-12-02 00:00:00-05:00,8.81,8.81,8.81,8.81,0,0.0,0.0
2024-11-29 00:00:00-05:00,8.81,8.81,8.81,8.81,0,0.0,0.0
2024-11-27 00:00:00-05:00,8.81,8.81,8.81,8.81,0,0.0,0.0
2024-11-26 00:00:00-05:00,8.81,8.81,8.81,8.81,0,0.0,0.0
2024-11-25 00:00:00-05:00,8.81,8.81,8.81,8.81,0,0.0,0.0
2024-11-22 00:00:00-05:00,9.27,9.27,8.81,8.81,51600,0.0,0.0
2024-11-21 00:00:00-05:00,10.6,10.6,10.6,10.6,0,0.0,0.0
2024-11-20 00:00:00-05:00,10.6,10.6,10.6,10.6,0,0.0,0.0
2024-11-19 00:00:00-05:00,10.6,10.6,10.6,10.6,0,0.0,0.0
2024-11-18 00:00:00-05:00,10.6,10.6,10.6,10.6,0,0.0,0.0
2024-11-15 00:00:00-05:00,10.6,10.6,10.6,10.6,0,0.0,0.0
2024-11-14 00:00:00-05:00,10.6,10.6,10.6,10.6,0,0.0,0.0
2024-11-13 00:00:00-05:00,10.6,10.6,10.6,10.6,0,0.0,0.0
2024-11-12 00:00:00-05:00,10.6,10.6,10.6,10.6,0,0.0,0.0
2024-11-11 00:00:00-05:00,10.6,10.6,10.6,10.6,0,0.0,0.0
2024-11-08 00:00:00-05:00,10.6,10.6,10.6,10.6,0,0.0,0.0
2024-11-07 00:00:00-05:00,10.6,10.6,10.6,10.6,0,0.0,0.0
2024-11-06 00:00:00-05:00,10.6,10.6,10.6,10.6,0,0.0,0.0
2024-11-05 00:00:00-05:00,10.6,10.6,10.6,10.6,0,0.0,0.0
2024-11-04 00:00:00-05:00,10.6,10.6,10.6,10.6,0,0.0,0.0
2024-11-01 00:00:00-04:00,10.6,10.6,10.6,10.6,0,0.0,0.0
2024-10-31 00:00:00-04:00,10.6,10.6,10.6,10.6,0,0.0,0.0
2024-10-30 00:00:00-04:00,10.6,10.6,10.6,10.6,0,0.0,0.0
2024-10-29 00:00:00-04:00,10.6,10.6,10.6,10.6,0,0.0,0.0
2024-10-28 00:00:00-04:00,10.6,10.6,10.6,10.6,0,0.0,0.0
2024-10-25 00:00:00-04:00,10.6,10.6,10.6,10.6,0,0.0,0.0
2024-10-24 00:00:00-04:00,10.6,10.6,10.6,10.6,0,0.0,0.0
2024-10-23 00:00:00-04:00,10.6,10.6,10.6,10.6,0,0.0,0.0
2024-10-22 00:00:00-04:00,10.6,10.6,10.6,10.6,0,0.0,0.0
2024-10-21 00:00:00-04:00,10.6,10.6,10.6,10.6,0,0.0,0.0
2024-10-18 00:00:00-04:00,10.6,10.6,10.6,10.6,0,0.0,0.0
