Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-25 00:00:00-05:00,0.04,0.06,0.04,0.06,21820,0.0,0.0
2025-11-24 00:00:00-05:00,0.06,0.06,0.06,0.06,6000,0.0,0.0
2025-11-21 00:00:00-05:00,0.05,0.05,0.05,0.05,84399,0.0,0.0
2025-11-20 00:00:00-05:00,0.05,0.05,0.04,0.04,106765,0.0,0.0
2025-11-19 00:00:00-05:00,0.03,0.05,0.03,0.05,73548,0.0,0.0
2025-11-18 00:00:00-05:00,0.03,0.04,0.03,0.04,91190,0.0,0.0
2025-11-17 00:00:00-05:00,0.03,0.04,0.03,0.03,18542,0.0,0.0
2025-11-14 00:00:00-05:00,0.03,0.04,0.03,0.03,2564,0.0,0.0
2025-11-13 00:00:00-05:00,0.04,0.04,0.03,0.03,128531,0.0,0.0
2025-11-12 00:00:00-05:00,0.04,0.04,0.04,0.04,5806,0.0,0.0
2025-11-11 00:00:00-05:00,0.04,0.04,0.04,0.04,32944,0.0,0.0
2025-11-10 00:00:00-05:00,0.05,0.05,0.04,0.04,42176,0.0,0.0
2025-11-07 00:00:00-05:00,0.03,0.05,0.03,0.05,40360,0.0,0.0
2025-11-06 00:00:00-05:00,0.04,0.04,0.04,0.04,54632,0.0,0.0
2025-11-05 00:00:00-05:00,0.05,0.05,0.04,0.05,14203,0.0,0.0
2025-11-04 00:00:00-05:00,0.05,0.05,0.04,0.04,20270,0.0,0.0
2025-11-03 00:00:00-05:00,0.04,0.05,0.04,0.04,4065,0.0,0.0
2025-10-31 00:00:00-04:00,0.05,0.05,0.04,0.05,47058,0.0,0.0
2025-10-30 00:00:00-04:00,0.06,0.06,0.04,0.04,36597,0.0,0.0
2025-10-29 00:00:00-04:00,0.04,0.05,0.04,0.04,21650,0.0,0.0
2025-10-28 00:00:00-04:00,0.04,0.05,0.04,0.04,21380,0.0,0.0
2025-10-27 00:00:00-04:00,0.03,0.05,0.03,0.04,37213,0.0,0.0
2025-10-24 00:00:00-04:00,0.04,0.05,0.04,0.04,26893,0.0,0.0
2025-10-23 00:00:00-04:00,0.04,0.06,0.04,0.05,2490,0.0,0.0
2025-10-22 00:00:00-04:00,0.06,0.06,0.05,0.05,1450,0.0,0.0
2025-10-21 00:00:00-04:00,0.04,0.04,0.04,0.04,860,0.0,0.0
2025-10-20 00:00:00-04:00,0.05,0.06,0.04,0.04,71127,0.0,0.0
2025-10-17 00:00:00-04:00,0.04,0.05,0.04,0.05,57866,0.0,0.0
2025-10-16 00:00:00-04:00,0.04,0.05,0.04,0.04,23680,0.0,0.0
2025-10-15 00:00:00-04:00,0.04,0.06,0.04,0.04,205645,0.0,0.0
2025-10-14 00:00:00-04:00,0.04,0.05,0.04,0.05,42116,0.0,0.0
2025-10-13 00:00:00-04:00,0.05,0.05,0.04,0.04,264260,0.0,0.0
2025-10-10 00:00:00-04:00,0.05,0.07,0.04,0.04,9568,0.0,0.0
2025-10-09 00:00:00-04:00,0.05,0.05,0.05,0.05,97500,0.0,0.0
2025-10-08 00:00:00-04:00,0.01,0.06,0.01,0.06,26732,0.0,0.0
2025-10-07 00:00:00-04:00,0.06,0.06,0.06,0.06,2530,0.0,0.0
2025-10-06 00:00:00-04:00,0.05,0.06,0.05,0.06,16711,0.0,0.0
2025-10-03 00:00:00-04:00,0.08,0.08,0.05,0.05,67852,0.0,0.0
2025-10-02 00:00:00-04:00,0.05,0.08,0.05,0.08,40333,0.0,0.0
2025-10-01 00:00:00-04:00,0.09,0.09,0.04,0.05,56617,0.0,0.0
2025-09-30 00:00:00-04:00,0.06,0.06,0.05,0.05,27466,0.0,0.0
2025-09-29 00:00:00-04:00,0.07,0.07,0.04,0.05,44562,0.0,0.0
2025-09-26 00:00:00-04:00,0.04,0.07,0.04,0.05,137189,0.0,0.0
2025-09-25 00:00:00-04:00,0.07,0.07,0.05,0.05,3331,0.0,0.0
2025-09-24 00:00:00-04:00,0.06,0.07,0.05,0.07,106083,0.0,0.0
2025-09-23 00:00:00-04:00,0.06,0.06,0.05,0.06,54581,0.0,0.0
2025-09-22 00:00:00-04:00,0.07,0.08,0.06,0.06,66542,0.0,0.0
2025-09-19 00:00:00-04:00,0.06,0.07,0.06,0.06,11200,0.0,0.0
2025-09-18 00:00:00-04:00,0.07,0.08,0.05,0.08,39502,0.0,0.0
2025-09-17 00:00:00-04:00,0.07,0.08,0.06,0.06,57200,0.0,0.0
2025-09-16 00:00:00-04:00,0.08,0.08,0.06,0.06,7373,0.0,0.0
2025-09-15 00:00:00-04:00,0.09,0.09,0.06,0.06,35346,0.0,0.0
2025-09-12 00:00:00-04:00,0.07,0.08,0.06,0.06,44338,0.0,0.0
2025-09-11 00:00:00-04:00,0.07,0.09,0.06,0.07,90602,0.0,0.0
2025-09-10 00:00:00-04:00,0.01,0.1,0.01,0.09,22518,0.0,0.0
2025-09-09 00:00:00-04:00,0.08,0.08,0.07,0.07,144249,0.0,0.0
2025-09-08 00:00:00-04:00,0.08,0.09,0.07,0.08,29812,0.0,0.0
2025-09-05 00:00:00-04:00,0.07,0.08,0.07,0.08,20801,0.0,0.0
2025-09-04 00:00:00-04:00,0.06,0.07,0.06,0.07,17223,0.0,0.0
2025-09-03 00:00:00-04:00,0.06,0.08,0.06,0.06,85463,0.0,0.0
2025-09-02 00:00:00-04:00,0.09,0.1,0.06,0.07,125950,0.0,0.0
2025-08-29 00:00:00-04:00,0.09,0.09,0.06,0.08,83171,0.0,0.0
2025-08-28 00:00:00-04:00,0.07,0.08,0.07,0.08,72446,0.0,0.0
2025-08-27 00:00:00-04:00,0.06,0.08,0.06,0.06,36913,0.0,0.0
2025-08-26 00:00:00-04:00,0.07,0.07,0.06,0.06,15341,0.0,0.0
2025-08-25 00:00:00-04:00,0.06,0.07,0.06,0.07,17901,0.0,0.0
2025-08-22 00:00:00-04:00,0.06,0.06,0.06,0.06,19304,0.0,0.0
2025-08-21 00:00:00-04:00,0.06,0.06,0.06,0.06,676,0.0,0.0
2025-08-20 00:00:00-04:00,0.06,0.06,0.06,0.06,8832,0.0,0.0
2025-08-19 00:00:00-04:00,0.08,0.08,0.06,0.06,33088,0.0,0.0
2025-08-18 00:00:00-04:00,0.06,0.09,0.06,0.06,16958,0.0,0.0
2025-08-15 00:00:00-04:00,0.06,0.06,0.06,0.06,35375,0.0,0.0
2025-08-14 00:00:00-04:00,0.05,0.06,0.05,0.06,6300,0.0,0.0
2025-08-13 00:00:00-04:00,0.07,0.07,0.05,0.07,29080,0.0,0.0
2025-08-12 00:00:00-04:00,0.1,0.1,0.04,0.06,303199,0.0,0.0
2025-08-11 00:00:00-04:00,0.09,0.09,0.06,0.09,96336,0.0,0.0
2025-08-08 00:00:00-04:00,0.06,0.06,0.05,0.05,85256,0.0,0.0
2025-08-07 00:00:00-04:00,0.06,0.06,0.06,0.06,5300,0.0,0.0
2025-08-06 00:00:00-04:00,0.06,0.08,0.05,0.06,28976,0.0,0.0
2025-08-05 00:00:00-04:00,0.06,0.08,0.05,0.05,17583,0.0,0.0
2025-08-04 00:00:00-04:00,0.08,0.08,0.05,0.06,18195,0.0,0.0
2025-08-01 00:00:00-04:00,0.07,0.07,0.07,0.07,0,0.0,0.0
2025-07-31 00:00:00-04:00,0.06,0.08,0.06,0.07,37094,0.0,0.0
2025-07-30 00:00:00-04:00,0.06,0.1,0.06,0.06,33264,0.0,0.0
2025-07-29 00:00:00-04:00,0.04,0.06,0.04,0.06,17729,0.0,0.0
2025-07-28 00:00:00-04:00,0.05,0.06,0.05,0.06,82069,0.0,0.0
2025-07-25 00:00:00-04:00,0.04,0.06,0.04,0.06,5182,0.0,0.0
2025-07-24 00:00:00-04:00,0.06,0.06,0.04,0.05,805642,0.0,0.0
2025-07-23 00:00:00-04:00,0.05,0.06,0.05,0.06,68611,0.0,0.0
2025-07-22 00:00:00-04:00,0.04,0.06,0.04,0.05,15104,0.0,0.0
2025-07-21 00:00:00-04:00,0.04,0.06,0.04,0.05,42122,0.0,0.0
2025-07-18 00:00:00-04:00,0.05,0.06,0.04,0.04,47492,0.0,0.0
2025-07-17 00:00:00-04:00,0.05,0.06,0.03,0.05,59738,0.0,0.0
2025-07-16 00:00:00-04:00,0.05,0.05,0.05,0.05,66222,0.0,0.0
2025-07-15 00:00:00-04:00,0.05,0.05,0.05,0.05,20927,0.0,0.0
2025-07-14 00:00:00-04:00,0.05,0.05,0.05,0.05,27046,0.0,0.0
2025-07-11 00:00:00-04:00,0.04,0.05,0.04,0.05,102608,0.0,0.0
2025-07-10 00:00:00-04:00,0.05,0.05,0.05,0.05,26704,0.0,0.0
2025-07-09 00:00:00-04:00,0.05,0.05,0.04,0.04,14446,0.0,0.0
2025-07-08 00:00:00-04:00,0.04,0.05,0.04,0.04,136165,0.0,0.0
2025-07-07 00:00:00-04:00,0.05,0.06,0.05,0.05,46204,0.0,0.0
2025-07-03 00:00:00-04:00,0.05,0.05,0.05,0.05,35201,0.0,0.0
2025-07-02 00:00:00-04:00,0.05,0.05,0.05,0.05,8544,0.0,0.0
2025-07-01 00:00:00-04:00,0.06,0.06,0.05,0.06,31285,0.0,0.0
2025-06-30 00:00:00-04:00,0.06,0.06,0.05,0.06,87110,0.0,0.0
2025-06-27 00:00:00-04:00,0.05,0.06,0.05,0.05,24482,0.0,0.0
2025-06-26 00:00:00-04:00,0.02,0.06,0.02,0.05,6296,0.0,0.0
2025-06-25 00:00:00-04:00,0.01,0.06,0.01,0.05,44202,0.0,0.0
2025-06-24 00:00:00-04:00,0.05,0.05,0.05,0.05,7730,0.0,0.0
2025-06-23 00:00:00-04:00,0.05,0.06,0.05,0.05,3266,0.0,0.0
2025-06-20 00:00:00-04:00,0.05,0.05,0.05,0.05,353,0.0,0.0
2025-06-18 00:00:00-04:00,0.04,0.06,0.04,0.06,26796,0.0,0.0
2025-06-17 00:00:00-04:00,0.06,0.06,0.05,0.06,18988,0.0,0.0
2025-06-16 00:00:00-04:00,0.05,0.06,0.05,0.06,40939,0.0,0.0
2025-06-13 00:00:00-04:00,0.06,0.06,0.05,0.06,18459,0.0,0.0
2025-06-12 00:00:00-04:00,0.06,0.06,0.06,0.06,5168,0.0,0.0
