Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-21 00:00:00-05:00,20.51,22.48,20.39,22.21,1946900,0.0,0.0
2025-11-20 00:00:00-05:00,21.4,22.27,20.23,20.6,1620300,0.0,0.0
2025-11-19 00:00:00-05:00,22.0,22.47,20.96,20.98,1652600,0.0,0.0
2025-11-18 00:00:00-05:00,21.76,22.56,21.26,21.92,1596100,0.0,0.0
2025-11-17 00:00:00-05:00,21.15,22.72,20.8,22.02,2029300,0.0,0.0
2025-11-14 00:00:00-05:00,20.98,22.14,20.76,21.72,2202800,0.0,0.0
2025-11-13 00:00:00-05:00,21.61,24.08,21.16,21.66,3650800,0.0,0.0
2025-11-12 00:00:00-05:00,22.19,22.66,21.55,21.87,1794300,0.0,0.0
2025-11-11 00:00:00-05:00,21.65,22.94,21.33,22.48,1736700,0.0,0.0
2025-11-10 00:00:00-05:00,23.23,23.36,21.47,21.65,1763500,0.0,0.0
2025-11-07 00:00:00-05:00,22.12,22.55,21.16,22.21,2277200,0.0,0.0
2025-11-06 00:00:00-05:00,23.05,23.4,22.17,23.15,2353200,0.0,0.0
2025-11-05 00:00:00-05:00,22.96,23.57,22.32,23.07,2165800,0.0,0.0
2025-11-04 00:00:00-05:00,23.12,23.95,22.58,22.74,3241100,0.0,0.0
2025-11-03 00:00:00-05:00,24.67,25.19,23.04,24.25,2901300,0.0,0.0
2025-10-31 00:00:00-04:00,23.8,26.17,23.5,25.01,3593600,0.0,0.0
2025-10-30 00:00:00-04:00,24.38,24.95,23.72,23.8,1733700,0.0,0.0
2025-10-29 00:00:00-04:00,26.4,26.4,24.42,24.77,2121100,0.0,0.0
2025-10-28 00:00:00-04:00,26.67,26.67,25.8,26.43,1272100,0.0,0.0
2025-10-27 00:00:00-04:00,26.58,27.57,25.98,26.73,3043000,0.0,0.0
2025-10-24 00:00:00-04:00,28.69,28.71,27.42,27.96,1549900,0.0,0.0
2025-10-23 00:00:00-04:00,27.53,28.57,27.24,28.2,1435700,0.0,0.0
2025-10-22 00:00:00-04:00,29.5,29.71,26.9,27.68,4227000,0.0,0.0
2025-10-21 00:00:00-04:00,30.62,31.54,29.38,29.89,3471900,0.0,0.0
2025-10-20 00:00:00-04:00,26.88,30.8,26.82,30.62,4810400,0.0,0.0
2025-10-17 00:00:00-04:00,25.47,26.38,25.29,25.98,1988600,0.0,0.0
2025-10-16 00:00:00-04:00,27.41,28.48,25.61,25.79,2380000,0.0,0.0
2025-10-15 00:00:00-04:00,25.66,27.4,25.66,27.19,2567800,0.0,0.0
2025-10-14 00:00:00-04:00,24.69,26.04,23.53,25.42,2028300,0.0,0.0
2025-10-13 00:00:00-04:00,26.6,26.89,24.95,25.39,2812400,0.0,0.0
2025-10-10 00:00:00-04:00,28.48,28.62,25.62,26.32,4701300,0.0,0.0
2025-10-09 00:00:00-04:00,27.15,28.75,27.09,27.87,2627500,0.0,0.0
2025-10-08 00:00:00-04:00,25.27,27.56,25.08,27.0,2459000,0.0,0.0
2025-10-07 00:00:00-04:00,26.0,26.09,24.67,25.13,1434600,0.0,0.0
2025-10-06 00:00:00-04:00,26.02,26.48,25.77,25.89,2090300,0.0,0.0
2025-10-03 00:00:00-04:00,25.9,26.17,25.06,25.75,2254600,0.0,0.0
2025-10-02 00:00:00-04:00,24.54,25.89,24.22,25.59,2116200,0.0,0.0
2025-10-01 00:00:00-04:00,24.16,24.96,23.91,24.13,1946700,0.0,0.0
2025-09-30 00:00:00-04:00,23.94,24.45,23.33,24.27,2085600,0.0,0.0
2025-09-29 00:00:00-04:00,23.15,24.24,22.76,23.91,1975700,0.0,0.0
2025-09-26 00:00:00-04:00,23.17,23.43,22.53,22.97,1984000,0.0,0.0
2025-09-25 00:00:00-04:00,22.69,23.54,22.5,23.09,1697300,0.0,0.0
2025-09-24 00:00:00-04:00,23.96,25.09,23.53,23.59,1685600,0.0,0.0
2025-09-23 00:00:00-04:00,24.42,24.71,23.58,23.73,1845600,0.0,0.0
2025-09-22 00:00:00-04:00,24.35,25.11,23.35,24.41,1867800,0.0,0.0
2025-09-19 00:00:00-04:00,25.39,25.69,24.11,24.32,4271000,0.0,0.0
2025-09-18 00:00:00-04:00,23.22,25.12,23.0,25.1,3826700,0.0,0.0
2025-09-17 00:00:00-04:00,23.0,23.57,21.92,22.45,3426200,0.0,0.0
2025-09-16 00:00:00-04:00,21.31,23.19,20.81,22.91,3251900,0.0,0.0
2025-09-15 00:00:00-04:00,20.88,21.5,20.78,21.28,2196700,0.0,0.0
2025-09-12 00:00:00-04:00,21.27,21.43,20.52,20.6,2444900,0.0,0.0
2025-09-11 00:00:00-04:00,19.57,21.59,19.57,21.55,3275700,0.0,0.0
2025-09-10 00:00:00-04:00,20.4,20.66,19.69,19.88,2158900,0.0,0.0
2025-09-09 00:00:00-04:00,20.07,20.37,19.35,20.36,1959800,0.0,0.0
2025-09-08 00:00:00-04:00,20.79,21.19,19.74,19.94,4790800,0.0,0.0
2025-09-05 00:00:00-04:00,18.82,20.92,18.72,20.88,4723500,0.0,0.0
2025-09-04 00:00:00-04:00,18.64,18.69,17.74,18.54,3295300,0.0,0.0
2025-09-03 00:00:00-04:00,16.75,20.22,16.52,18.76,8602400,0.0,0.0
2025-09-02 00:00:00-04:00,16.19,17.08,16.02,16.31,1647400,0.0,0.0
2025-08-29 00:00:00-04:00,16.87,17.01,16.26,16.36,1898500,0.0,0.0
2025-08-28 00:00:00-04:00,17.0,17.64,16.84,16.85,1743100,0.0,0.0
2025-08-27 00:00:00-04:00,16.51,16.92,16.51,16.86,1525400,0.0,0.0
2025-08-26 00:00:00-04:00,16.46,16.7,16.28,16.64,1708900,0.0,0.0
2025-08-25 00:00:00-04:00,16.81,16.97,16.38,16.44,2055600,0.0,0.0
2025-08-22 00:00:00-04:00,16.12,17.12,16.04,16.64,2393900,0.0,0.0
2025-08-21 00:00:00-04:00,16.07,16.1,15.6,16.01,2485800,0.0,0.0
2025-08-20 00:00:00-04:00,16.16,16.41,15.61,16.06,2740600,0.0,0.0
2025-08-19 00:00:00-04:00,17.04,17.06,16.34,16.35,3107000,0.0,0.0
2025-08-18 00:00:00-04:00,17.89,18.17,17.07,17.1,2723600,0.0,0.0
2025-08-15 00:00:00-04:00,17.73,18.13,17.4,17.82,2148400,0.0,0.0
2025-08-14 00:00:00-04:00,17.88,18.23,17.03,17.63,3673400,0.0,0.0
2025-08-13 00:00:00-04:00,16.9,17.9,16.8,17.52,3613800,0.0,0.0
2025-08-12 00:00:00-04:00,17.35,17.63,16.65,16.86,2791600,0.0,0.0
2025-08-11 00:00:00-04:00,17.57,17.7,16.94,17.17,1938700,0.0,0.0
2025-08-08 00:00:00-04:00,17.97,18.14,17.36,17.62,1795400,0.0,0.0
2025-08-07 00:00:00-04:00,18.38,18.42,17.58,17.86,1799000,0.0,0.0
2025-08-06 00:00:00-04:00,18.31,18.59,17.73,18.3,2373900,0.0,0.0
2025-08-05 00:00:00-04:00,19.04,19.08,17.56,18.7,3753600,0.0,0.0
2025-08-04 00:00:00-04:00,19.02,19.42,18.53,19.12,1589200,0.0,0.0
2025-08-01 00:00:00-04:00,19.07,19.49,18.64,18.83,2714200,0.0,0.0
2025-07-31 00:00:00-04:00,19.93,20.14,19.48,19.71,2395500,0.0,0.0
2025-07-30 00:00:00-04:00,20.5,21.4,20.0,20.15,2780800,0.0,0.0
2025-07-29 00:00:00-04:00,20.88,21.08,19.89,19.93,1895600,0.0,0.0
2025-07-28 00:00:00-04:00,21.9,22.05,20.78,20.83,1770700,0.0,0.0
2025-07-25 00:00:00-04:00,21.0,21.95,20.55,21.72,1623400,0.0,0.0
2025-07-24 00:00:00-04:00,22.02,22.35,20.83,20.95,2881300,0.0,0.0
2025-07-23 00:00:00-04:00,21.88,22.76,21.44,22.16,2411500,0.0,0.0
2025-07-22 00:00:00-04:00,21.41,21.75,20.86,21.54,1938800,0.0,0.0
2025-07-21 00:00:00-04:00,21.11,22.8,20.85,21.03,2933200,0.0,0.0
2025-07-18 00:00:00-04:00,20.95,21.72,20.41,20.75,2182100,0.0,0.0
2025-07-17 00:00:00-04:00,20.12,21.02,20.09,20.45,2004400,0.0,0.0
2025-07-16 00:00:00-04:00,19.76,20.51,19.66,20.07,2140300,0.0,0.0
2025-07-15 00:00:00-04:00,21.34,21.68,19.4,19.58,3010500,0.0,0.0
2025-07-14 00:00:00-04:00,21.12,21.75,20.75,21.17,2002800,0.0,0.0
2025-07-11 00:00:00-04:00,21.73,22.19,20.95,21.16,2299000,0.0,0.0
2025-07-10 00:00:00-04:00,22.51,22.51,21.04,22.03,3303300,0.0,0.0
2025-07-09 00:00:00-04:00,21.76,22.39,20.86,21.46,3984200,0.0,0.0
2025-07-08 00:00:00-04:00,19.37,20.71,19.28,20.3,3089300,0.0,0.0
2025-07-07 00:00:00-04:00,19.85,20.05,19.02,19.18,2832700,0.0,0.0
2025-07-03 00:00:00-04:00,20.2,20.46,19.57,20.01,1364700,0.0,0.0
2025-07-02 00:00:00-04:00,17.66,20.15,17.66,19.88,4004900,0.0,0.0
2025-07-01 00:00:00-04:00,16.85,18.23,16.59,17.53,1584900,0.0,0.0
2025-06-30 00:00:00-04:00,17.0,17.73,16.86,17.01,1531700,0.0,0.0
2025-06-27 00:00:00-04:00,17.32,17.51,16.75,16.8,4494800,0.0,0.0
2025-06-26 00:00:00-04:00,16.8,17.23,16.49,17.14,1295400,0.0,0.0
2025-06-25 00:00:00-04:00,17.16,17.33,16.63,16.76,1497100,0.0,0.0
2025-06-24 00:00:00-04:00,17.15,17.38,16.83,17.15,1314500,0.0,0.0
2025-06-23 00:00:00-04:00,16.67,16.93,16.11,16.71,1346300,0.0,0.0
2025-06-20 00:00:00-04:00,17.16,17.3,16.35,16.76,2188000,0.0,0.0
2025-06-18 00:00:00-04:00,16.61,17.53,16.18,16.99,1839000,0.0,0.0
2025-06-17 00:00:00-04:00,17.47,18.33,16.54,16.67,3324100,0.0,0.0
2025-06-16 00:00:00-04:00,17.55,17.55,16.38,16.62,1639400,0.0,0.0
2025-06-13 00:00:00-04:00,16.9,17.39,16.7,17.06,1424900,0.0,0.0
2025-06-12 00:00:00-04:00,17.56,17.74,17.0,17.44,1401800,0.0,0.0
2025-06-11 00:00:00-04:00,18.4,18.45,17.75,17.89,1768600,0.0,0.0
2025-06-10 00:00:00-04:00,18.27,19.05,18.07,18.08,1263100,0.0,0.0
2025-06-09 00:00:00-04:00,19.45,19.45,17.92,18.17,1568500,0.0,0.0
2025-06-06 00:00:00-04:00,17.62,18.97,17.33,18.58,3902800,0.0,0.0
2025-06-05 00:00:00-04:00,17.13,17.63,16.7,17.0,2030300,0.0,0.0
2025-06-04 00:00:00-04:00,16.89,17.49,16.84,17.15,1363000,0.0,0.0
2025-06-03 00:00:00-04:00,16.52,16.95,15.8,16.88,1480400,0.0,0.0
2025-06-02 00:00:00-04:00,16.0,16.82,15.68,16.19,1993800,0.0,0.0
2025-05-30 00:00:00-04:00,16.15,16.39,15.35,15.83,2294600,0.0,0.0
2025-05-29 00:00:00-04:00,16.79,16.79,15.36,16.32,2313600,0.0,0.0
2025-05-28 00:00:00-04:00,17.06,17.27,16.73,16.88,1403400,0.0,0.0
2025-05-27 00:00:00-04:00,17.3,17.47,16.92,17.03,1333800,0.0,0.0
2025-05-23 00:00:00-04:00,16.7,17.11,16.61,16.83,962000,0.0,0.0
2025-05-22 00:00:00-04:00,17.14,17.48,16.71,17.24,1332500,0.0,0.0
2025-05-21 00:00:00-04:00,17.42,17.78,16.93,17.22,1856700,0.0,0.0
2025-05-20 00:00:00-04:00,17.62,18.31,17.26,17.75,1434900,0.0,0.0
2025-05-19 00:00:00-04:00,17.48,18.0,17.21,17.66,1072000,0.0,0.0
2025-05-16 00:00:00-04:00,17.48,17.96,17.18,17.89,1656600,0.0,0.0
2025-05-15 00:00:00-04:00,17.2,17.32,16.65,17.25,1207000,0.0,0.0
2025-05-14 00:00:00-04:00,18.0,18.42,16.87,17.24,1664300,0.0,0.0
2025-05-13 00:00:00-04:00,18.5,18.75,17.78,18.05,1733200,0.0,0.0
2025-05-12 00:00:00-04:00,18.43,19.15,17.84,18.24,2233500,0.0,0.0
2025-05-09 00:00:00-04:00,17.4,18.75,17.37,17.41,2383300,0.0,0.0
2025-05-08 00:00:00-04:00,16.26,17.75,15.64,17.25,3148900,0.0,0.0
2025-05-07 00:00:00-04:00,16.2,16.24,15.51,16.23,2638200,0.0,0.0
