Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-25 00:00:00-05:00,22.08,22.32,21.98,22.26,3173582,0.0,0.0
2025-11-24 00:00:00-05:00,21.69,22.1,21.6,22.03,4449878,0.0,0.0
2025-11-21 00:00:00-05:00,21.31,21.73,21.13,21.68,6033100,0.0,0.0
2025-11-20 00:00:00-05:00,21.81,22.01,21.11,21.18,4646700,0.0,0.0
2025-11-19 00:00:00-05:00,21.44,21.52,21.19,21.44,4866700,0.0,0.0
2025-11-18 00:00:00-05:00,21.33,21.58,21.19,21.44,6250600,0.0,0.0
2025-11-17 00:00:00-05:00,22.04,22.15,21.4,21.56,7515800,0.0,0.0
2025-11-14 00:00:00-05:00,22.23,22.35,21.95,22.17,2644100,0.0,0.0
2025-11-13 00:00:00-05:00,22.9,23.06,22.26,22.29,3224200,0.0,0.0
2025-11-12 00:00:00-05:00,22.92,23.13,22.8,23.05,4349900,0.0,0.0
2025-11-11 00:00:00-05:00,22.56,22.96,22.52,22.82,4054300,0.0,0.0
2025-11-10 00:00:00-05:00,22.1,22.66,21.83,22.52,5396100,0.0,0.0
2025-11-07 00:00:00-05:00,22.81,23.35,21.64,22.23,8809800,0.0,0.0
2025-11-06 00:00:00-05:00,22.85,23.39,22.8,23.25,8667300,0.0,0.0
2025-11-05 00:00:00-05:00,22.62,22.87,22.52,22.76,3915000,0.0,0.0
2025-11-04 00:00:00-05:00,22.75,22.78,22.53,22.59,3772100,0.0,0.0
2025-11-03 00:00:00-05:00,22.53,22.88,22.46,22.84,4630400,0.0,0.0
2025-10-31 00:00:00-04:00,22.63,22.86,22.45,22.61,5334300,0.0,0.0
2025-10-30 00:00:00-04:00,22.81,23.0,22.63,22.77,3160000,0.0,0.0
2025-10-29 00:00:00-04:00,23.14,23.3,22.84,22.94,2386700,0.0,0.0
2025-10-28 00:00:00-04:00,23.46,23.47,23.18,23.32,2583200,0.0,0.0
2025-10-27 00:00:00-04:00,23.16,23.64,23.15,23.38,3621500,0.0,0.0
2025-10-24 00:00:00-04:00,22.82,23.02,22.48,22.84,3966000,0.0,0.0
2025-10-23 00:00:00-04:00,22.63,22.75,22.44,22.67,2844400,0.0,0.0
2025-10-22 00:00:00-04:00,22.57,22.74,22.41,22.59,2282300,0.0,0.0
2025-10-21 00:00:00-04:00,22.43,22.78,22.43,22.65,2138800,0.0,0.0
2025-10-20 00:00:00-04:00,22.37,22.73,22.33,22.65,4365500,0.0,0.0
2025-10-17 00:00:00-04:00,22.22,22.29,21.96,22.28,5137000,0.0,0.0
2025-10-16 00:00:00-04:00,22.87,22.97,22.09,22.1,3357200,0.0,0.0
2025-10-15 00:00:00-04:00,23.11,23.32,22.61,22.79,6270200,0.0,0.0
2025-10-14 00:00:00-04:00,22.57,23.22,22.52,22.92,4804500,0.0,0.0
2025-10-13 00:00:00-04:00,22.94,23.12,22.78,22.84,6177800,0.0,0.0
2025-10-10 00:00:00-04:00,23.74,23.91,22.6,22.67,12014100,0.0,0.0
2025-10-09 00:00:00-04:00,23.5,23.67,23.32,23.63,5224400,0.0,0.0
2025-10-08 00:00:00-04:00,23.45,23.79,23.21,23.59,4622000,0.0,0.0
2025-10-07 00:00:00-04:00,23.22,23.56,23.17,23.4,3345800,0.0,0.0
2025-10-06 00:00:00-04:00,23.77,23.84,22.69,23.18,5384400,0.0,0.0
2025-10-03 00:00:00-04:00,23.12,23.89,23.07,23.8,6544400,0.0,0.0
2025-10-02 00:00:00-04:00,22.63,23.0,22.56,22.91,3066300,0.0,0.0
2025-10-01 00:00:00-04:00,23.22,23.22,22.51,22.54,5559700,0.0,0.0
2025-09-30 00:00:00-04:00,23.09,23.27,22.76,23.13,7720700,0.32,0.0
2025-09-29 00:00:00-04:00,23.13,23.13,22.82,23.05,4406400,0.0,0.0
2025-09-26 00:00:00-04:00,23.14,23.26,22.92,22.95,3393700,0.0,0.0
2025-09-25 00:00:00-04:00,23.12,23.25,23.02,23.08,3567000,0.0,0.0
2025-09-24 00:00:00-04:00,23.75,23.78,23.22,23.26,3734100,0.0,0.0
2025-09-23 00:00:00-04:00,23.95,24.18,23.61,23.7,3190000,0.0,0.0
2025-09-22 00:00:00-04:00,23.9,24.01,23.75,23.91,4707200,0.0,0.0
2025-09-19 00:00:00-04:00,24.13,24.16,23.89,24.09,4873300,0.0,0.0
2025-09-18 00:00:00-04:00,24.0,24.19,23.94,24.07,3328100,0.0,0.0
2025-09-17 00:00:00-04:00,23.93,24.3,23.65,23.88,3025500,0.0,0.0
2025-09-16 00:00:00-04:00,24.09,24.11,23.82,23.91,1880000,0.0,0.0
2025-09-15 00:00:00-04:00,24.28,24.47,23.96,24.03,2601200,0.0,0.0
2025-09-12 00:00:00-04:00,24.41,24.46,24.23,24.3,3034100,0.0,0.0
2025-09-11 00:00:00-04:00,24.06,24.52,24.01,24.52,4880700,0.0,0.0
2025-09-10 00:00:00-04:00,24.35,24.43,23.85,23.98,5029500,0.0,0.0
2025-09-09 00:00:00-04:00,24.39,24.47,24.15,24.22,4806600,0.0,0.0
2025-09-08 00:00:00-04:00,24.7,24.76,24.4,24.54,4057700,0.0,0.0
2025-09-05 00:00:00-04:00,25.5,25.5,24.38,24.63,4708300,0.0,0.0
2025-09-04 00:00:00-04:00,25.31,25.56,25.16,25.39,3691900,0.0,0.0
2025-09-03 00:00:00-04:00,24.96,25.3,24.87,25.18,2685200,0.0,0.0
2025-09-02 00:00:00-04:00,24.96,25.13,24.68,25.07,3499200,0.0,0.0
2025-08-29 00:00:00-04:00,25.19,25.39,25.18,25.31,4192100,0.0,0.0
2025-08-28 00:00:00-04:00,25.42,25.42,25.01,25.19,2302800,0.0,0.0
2025-08-27 00:00:00-04:00,24.84,25.43,24.83,25.29,3442100,0.0,0.0
2025-08-26 00:00:00-04:00,24.94,25.0,24.83,24.94,4015900,0.0,0.0
2025-08-25 00:00:00-04:00,24.97,25.09,24.85,25.01,3121700,0.0,0.0
2025-08-22 00:00:00-04:00,24.24,25.04,24.24,25.04,3951200,0.0,0.0
2025-08-21 00:00:00-04:00,24.18,24.28,24.06,24.18,2490600,0.0,0.0
2025-08-20 00:00:00-04:00,24.45,24.49,24.01,24.22,2736900,0.0,0.0
2025-08-19 00:00:00-04:00,24.69,24.84,24.45,24.48,2538800,0.0,0.0
2025-08-18 00:00:00-04:00,24.95,24.98,24.71,24.72,1889100,0.0,0.0
2025-08-15 00:00:00-04:00,25.37,25.37,24.93,24.98,4280700,0.0,0.0
2025-08-14 00:00:00-04:00,25.4,25.61,25.17,25.28,3099100,0.0,0.0
2025-08-13 00:00:00-04:00,25.46,25.72,25.17,25.67,3507600,0.0,0.0
2025-08-12 00:00:00-04:00,25.05,25.44,25.01,25.34,2710500,0.0,0.0
2025-08-11 00:00:00-04:00,24.76,25.05,24.7,24.94,2524100,0.0,0.0
2025-08-08 00:00:00-04:00,24.71,24.84,24.54,24.65,2460400,0.0,0.0
2025-08-07 00:00:00-04:00,24.32,24.96,24.2,24.52,5694500,0.0,0.0
2025-08-06 00:00:00-04:00,24.99,25.07,24.75,24.85,3343100,0.0,0.0
2025-08-05 00:00:00-04:00,24.9,25.03,24.55,24.9,3654100,0.0,0.0
2025-08-04 00:00:00-04:00,23.93,24.91,23.8,24.79,4947900,0.0,0.0
2025-08-01 00:00:00-04:00,22.96,24.04,22.53,23.62,8425900,0.0,0.0
2025-07-31 00:00:00-04:00,23.9,24.1,23.51,23.67,11790000,0.0,0.0
2025-07-30 00:00:00-04:00,24.25,24.34,23.84,23.98,3914300,0.0,0.0
2025-07-29 00:00:00-04:00,24.5,24.5,24.09,24.24,2662900,0.0,0.0
2025-07-28 00:00:00-04:00,24.39,24.46,24.22,24.33,4146500,0.0,0.0
2025-07-25 00:00:00-04:00,24.4,24.55,24.14,24.48,3633800,0.0,0.0
2025-07-24 00:00:00-04:00,24.4,24.53,24.26,24.38,3389800,0.0,0.0
2025-07-23 00:00:00-04:00,24.32,24.48,24.26,24.41,2769200,0.0,0.0
2025-07-22 00:00:00-04:00,23.92,24.29,23.92,24.22,3135200,0.0,0.0
2025-07-21 00:00:00-04:00,24.46,24.49,23.94,23.95,3363700,0.0,0.0
2025-07-18 00:00:00-04:00,24.34,24.51,24.18,24.26,3943300,0.0,0.0
2025-07-17 00:00:00-04:00,23.96,24.32,23.9,24.18,4245900,0.0,0.0
2025-07-16 00:00:00-04:00,23.85,24.06,23.49,24.02,3373500,0.0,0.0
2025-07-15 00:00:00-04:00,24.47,24.6,23.77,23.81,3935900,0.0,0.0
2025-07-14 00:00:00-04:00,24.51,24.58,24.34,24.51,3393300,0.0,0.0
2025-07-11 00:00:00-04:00,24.57,24.63,24.33,24.53,3108300,0.0,0.0
2025-07-10 00:00:00-04:00,24.57,25.01,24.44,24.8,3196200,0.0,0.0
2025-07-09 00:00:00-04:00,24.51,24.56,24.27,24.56,3700300,0.0,0.0
2025-07-08 00:00:00-04:00,24.23,24.44,24.13,24.16,4414700,0.0,0.0
2025-07-07 00:00:00-04:00,24.36,24.64,24.12,24.21,3908800,0.0,0.0
2025-07-03 00:00:00-04:00,24.36,24.6,24.3,24.54,2467100,0.0,0.0
2025-07-02 00:00:00-04:00,24.0,24.5,23.99,24.45,3597100,0.0,0.0
2025-07-01 00:00:00-04:00,23.46,24.19,23.43,24.01,4055500,0.0,0.0
2025-06-30 00:00:00-04:00,23.5,23.7,23.42,23.52,3791800,0.0,0.0
2025-06-27 00:00:00-04:00,23.63,23.81,23.21,23.49,9929500,0.32,0.0
2025-06-26 00:00:00-04:00,22.67,22.88,22.62,22.84,2797700,0.0,0.0
2025-06-25 00:00:00-04:00,22.54,22.6,22.41,22.58,2647600,0.0,0.0
2025-06-24 00:00:00-04:00,22.49,22.78,22.47,22.6,5569200,0.0,0.0
2025-06-23 00:00:00-04:00,22.07,22.32,21.8,22.27,2843000,0.0,0.0
2025-06-20 00:00:00-04:00,22.09,22.22,22.02,22.17,7125000,0.0,0.0
2025-06-18 00:00:00-04:00,21.7,22.24,21.67,21.98,3041500,0.0,0.0
2025-06-17 00:00:00-04:00,21.99,22.11,21.69,21.74,2820700,0.0,0.0
2025-06-16 00:00:00-04:00,22.06,22.33,21.77,22.16,3738900,0.0,0.0
2025-06-13 00:00:00-04:00,21.59,21.82,21.49,21.57,2203300,0.0,0.0
2025-06-12 00:00:00-04:00,21.82,22.12,21.66,21.99,4274000,0.0,0.0
2025-06-11 00:00:00-04:00,21.33,21.99,21.33,21.93,7022600,0.0,0.0
2025-06-10 00:00:00-04:00,21.27,21.48,21.15,21.27,3044300,0.0,0.0
2025-06-09 00:00:00-04:00,21.37,21.52,21.25,21.29,2837300,0.0,0.0
2025-06-06 00:00:00-04:00,21.4,21.52,21.19,21.28,2949400,0.0,0.0
2025-06-05 00:00:00-04:00,21.16,21.62,21.05,21.16,4666100,0.0,0.0
2025-06-04 00:00:00-04:00,20.82,20.94,20.67,20.78,3673500,0.0,0.0
2025-06-03 00:00:00-04:00,20.62,20.95,20.49,20.8,4325900,0.0,0.0
2025-06-02 00:00:00-04:00,20.89,20.94,20.62,20.72,3986700,0.0,0.0
2025-05-30 00:00:00-04:00,21.07,21.13,20.82,21.05,23398900,0.0,0.0
2025-05-29 00:00:00-04:00,21.23,21.29,21.05,21.21,4681800,0.0,0.0
2025-05-28 00:00:00-04:00,21.66,21.7,21.0,21.06,6813600,0.0,0.0
2025-05-27 00:00:00-04:00,21.19,21.64,21.04,21.61,4907000,0.0,0.0
2025-05-23 00:00:00-04:00,20.66,21.02,20.57,20.93,3288700,0.0,0.0
2025-05-22 00:00:00-04:00,20.92,21.16,20.83,21.02,5210200,0.0,0.0
2025-05-21 00:00:00-04:00,21.36,21.45,21.0,21.02,3630100,0.0,0.0
2025-05-20 00:00:00-04:00,21.53,21.6,21.45,21.57,2911800,0.0,0.0
2025-05-19 00:00:00-04:00,21.55,21.66,21.44,21.61,3458100,0.0,0.0
2025-05-16 00:00:00-04:00,21.56,21.81,21.55,21.77,5060300,0.0,0.0
2025-05-15 00:00:00-04:00,21.38,21.6,21.32,21.58,3624400,0.0,0.0
2025-05-14 00:00:00-04:00,21.32,21.48,20.93,21.41,8293500,0.0,0.0
2025-05-13 00:00:00-04:00,21.13,21.37,20.98,20.99,5353300,0.0,0.0
2025-05-12 00:00:00-04:00,21.21,21.49,20.97,21.1,5871700,0.0,0.0
2025-05-09 00:00:00-04:00,20.43,20.54,20.3,20.37,4693000,0.0,0.0
2025-05-08 00:00:00-04:00,20.09,20.64,20.03,20.27,6730800,0.0,0.0
2025-05-07 00:00:00-04:00,19.56,20.07,19.54,19.9,6426700,0.0,0.0
2025-05-06 00:00:00-04:00,19.25,19.68,19.25,19.53,5169700,0.0,0.0
2025-05-05 00:00:00-04:00,19.46,19.76,19.38,19.47,5284900,0.0,0.0
2025-05-02 00:00:00-04:00,18.67,19.58,18.29,19.52,8990800,0.0,0.0
2025-05-01 00:00:00-04:00,18.4,18.5,18.14,18.23,4898500,0.0,0.0
2025-04-30 00:00:00-04:00,17.93,18.32,17.68,18.25,5809500,0.0,0.0
2025-04-29 00:00:00-04:00,18.14,18.27,18.05,18.24,2965300,0.0,0.0
2025-04-28 00:00:00-04:00,18.16,18.42,18.08,18.22,3351600,0.0,0.0
2025-04-25 00:00:00-04:00,18.14,18.31,18.02,18.21,3536200,0.0,0.0
2025-04-24 00:00:00-04:00,17.93,18.36,17.82,18.24,2549500,0.0,0.0
2025-04-23 00:00:00-04:00,18.1,18.5,17.75,17.89,3836600,0.0,0.0
2025-04-22 00:00:00-04:00,17.14,17.61,17.14,17.56,3403900,0.0,0.0
2025-04-21 00:00:00-04:00,16.94,17.07,16.7,16.88,4107400,0.0,0.0
2025-04-17 00:00:00-04:00,17.12,17.39,17.03,17.13,4102900,0.0,0.0
2025-04-16 00:00:00-04:00,17.38,17.61,16.95,17.07,3504900,0.0,0.0
2025-04-15 00:00:00-04:00,17.73,17.91,17.44,17.48,3386400,0.0,0.0
2025-04-14 00:00:00-04:00,17.65,17.77,17.34,17.57,3745600,0.0,0.0
2025-04-11 00:00:00-04:00,17.03,17.54,16.79,17.41,5794800,0.0,0.0
2025-04-10 00:00:00-04:00,17.79,17.84,16.71,17.24,5617100,0.0,0.0
2025-04-09 00:00:00-04:00,15.81,18.26,15.81,18.08,10625700,0.0,0.0
2025-04-08 00:00:00-04:00,16.89,17.2,15.98,16.21,8021100,0.0,0.0
2025-04-07 00:00:00-04:00,16.31,17.32,15.92,16.41,10424400,0.0,0.0
2025-04-04 00:00:00-04:00,17.2,17.75,16.72,17.03,11448300,0.0,0.0
2025-04-03 00:00:00-04:00,18.17,18.23,17.44,17.46,10242300,0.0,0.0
2025-04-02 00:00:00-04:00,18.56,18.99,18.54,18.9,2574500,0.0,0.0
2025-04-01 00:00:00-04:00,18.67,18.91,18.54,18.79,4068100,0.0,0.0
2025-03-31 00:00:00-04:00,18.27,18.83,18.23,18.73,4407100,0.32,0.0
2025-03-28 00:00:00-04:00,18.87,18.97,18.41,18.45,3509100,0.0,0.0
2025-03-27 00:00:00-04:00,18.9,19.16,18.77,18.99,2496300,0.0,0.0
2025-03-26 00:00:00-04:00,19.13,19.32,18.9,19.0,2292000,0.0,0.0
2025-03-25 00:00:00-04:00,19.27,19.34,19.07,19.16,2098300,0.0,0.0
2025-03-24 00:00:00-04:00,19.12,19.27,18.95,19.2,3187600,0.0,0.0
2025-03-21 00:00:00-04:00,18.95,19.12,18.77,19.01,12327300,0.0,0.0
2025-03-20 00:00:00-04:00,19.09,19.35,19.03,19.14,2607100,0.0,0.0
2025-03-19 00:00:00-04:00,19.13,19.35,18.96,19.21,2872400,0.0,0.0
2025-03-18 00:00:00-04:00,19.0,19.05,18.83,19.0,2265700,0.0,0.0
2025-03-17 00:00:00-04:00,18.6,19.12,18.55,18.94,4329000,0.0,0.0
2025-03-14 00:00:00-04:00,18.45,18.73,18.2,18.68,3424300,0.0,0.0
2025-03-13 00:00:00-04:00,18.45,18.57,18.08,18.1,4000200,0.0,0.0
2025-03-12 00:00:00-04:00,18.8,18.9,18.25,18.38,4927500,0.0,0.0
2025-03-11 00:00:00-04:00,19.12,19.22,18.59,18.77,4246200,0.0,0.0
2025-03-10 00:00:00-04:00,19.06,19.52,18.85,19.16,4174900,0.0,0.0
2025-03-07 00:00:00-05:00,19.11,19.52,18.96,19.44,3823500,0.0,0.0
2025-03-06 00:00:00-05:00,19.16,19.47,18.91,19.19,3588400,0.0,0.0
2025-03-05 00:00:00-05:00,18.81,19.41,18.69,19.28,6395300,0.0,0.0
2025-03-04 00:00:00-05:00,18.93,19.07,18.24,18.71,5316200,0.0,0.0
2025-03-03 00:00:00-05:00,19.52,19.71,18.84,18.99,2951500,0.0,0.0
2025-02-28 00:00:00-05:00,19.01,19.44,19.01,19.37,4121100,0.0,0.0
2025-02-27 00:00:00-05:00,19.09,19.24,18.93,18.98,2407500,0.0,0.0
2025-02-26 00:00:00-05:00,19.43,19.5,18.99,19.07,3121600,0.0,0.0
2025-02-25 00:00:00-05:00,19.55,19.58,19.12,19.35,2886600,0.0,0.0
2025-02-24 00:00:00-05:00,19.65,19.73,19.3,19.48,3828900,0.0,0.0
2025-02-21 00:00:00-05:00,19.9,20.0,19.46,19.64,3688100,0.0,0.0
2025-02-20 00:00:00-05:00,20.02,20.08,19.7,19.83,3572000,0.0,0.0
2025-02-19 00:00:00-05:00,19.78,20.07,19.54,19.98,2661600,0.0,0.0
2025-02-18 00:00:00-05:00,19.66,20.47,19.6,20.03,4184700,0.0,0.0
2025-02-14 00:00:00-05:00,19.52,19.79,19.48,19.64,4091600,0.0,0.0
2025-02-13 00:00:00-05:00,19.27,19.44,19.04,19.36,2308900,0.0,0.0
2025-02-12 00:00:00-05:00,19.04,19.19,18.76,19.15,3446300,0.0,0.0
2025-02-11 00:00:00-05:00,19.27,19.39,19.11,19.32,3348500,0.0,0.0
2025-02-10 00:00:00-05:00,19.61,19.68,19.34,19.39,2941700,0.0,0.0
2025-02-07 00:00:00-05:00,19.78,19.98,19.47,19.55,3544000,0.0,0.0
2025-02-06 00:00:00-05:00,20.04,20.11,19.7,19.7,2755800,0.0,0.0
2025-02-05 00:00:00-05:00,19.87,19.93,19.53,19.76,3839700,0.0,0.0
2025-02-04 00:00:00-05:00,19.57,20.11,19.39,19.91,5523700,0.0,0.0
2025-02-03 00:00:00-05:00,21.05,21.15,19.76,19.82,10596200,0.0,0.0
2025-01-31 00:00:00-05:00,19.9,21.61,18.73,21.28,22382300,0.0,0.0
2025-01-30 00:00:00-05:00,19.5,19.61,19.1,19.28,3690100,0.0,0.0
2025-01-29 00:00:00-05:00,19.34,19.5,19.16,19.18,2749800,0.0,0.0
2025-01-28 00:00:00-05:00,19.46,19.8,19.11,19.4,3729400,0.0,0.0
2025-01-27 00:00:00-05:00,19.14,19.45,19.12,19.43,4352400,0.0,0.0
2025-01-24 00:00:00-05:00,19.1,19.43,19.1,19.22,2324200,0.0,0.0
2025-01-23 00:00:00-05:00,19.02,19.16,18.85,19.12,2945600,0.0,0.0
2025-01-22 00:00:00-05:00,18.79,19.12,18.73,19.01,3274200,0.0,0.0
2025-01-21 00:00:00-05:00,18.84,19.1,18.8,18.96,3628700,0.0,0.0
2025-01-17 00:00:00-05:00,18.71,18.97,18.62,18.71,3811500,0.0,0.0
2025-01-16 00:00:00-05:00,18.67,18.76,18.45,18.56,2681300,0.0,0.0
2025-01-15 00:00:00-05:00,19.04,19.12,18.58,18.78,3828100,0.0,0.0
2025-01-14 00:00:00-05:00,18.23,18.63,18.18,18.57,4294300,0.0,0.0
2025-01-13 00:00:00-05:00,18.18,18.55,18.02,18.17,6380600,0.0,0.0
2025-01-10 00:00:00-05:00,18.63,18.81,18.22,18.29,5529500,0.0,0.0
2025-01-08 00:00:00-05:00,18.6,18.95,18.56,18.94,3175300,0.0,0.0
2025-01-07 00:00:00-05:00,19.27,19.34,18.76,18.89,2914900,0.0,0.0
2025-01-06 00:00:00-05:00,19.5,20.0,19.04,19.13,5230500,0.0,0.0
2025-01-03 00:00:00-05:00,19.26,19.55,19.1,19.53,2949900,0.0,0.0
2025-01-02 00:00:00-05:00,19.52,19.65,19.16,19.27,2949600,0.0,0.0
2024-12-31 00:00:00-05:00,19.39,19.62,19.21,19.41,4187500,0.0,0.0
2024-12-30 00:00:00-05:00,19.25,19.44,19.12,19.24,3626600,0.32,0.0
2024-12-27 00:00:00-05:00,19.63,19.8,19.42,19.46,2362500,0.0,0.0
2024-12-26 00:00:00-05:00,19.5,19.85,19.49,19.74,2262400,0.0,0.0
2024-12-24 00:00:00-05:00,19.35,19.7,19.23,19.67,1350900,0.0,0.0
2024-12-23 00:00:00-05:00,19.23,19.42,19.09,19.27,3446200,0.0,0.0
2024-12-20 00:00:00-05:00,18.82,19.7,18.78,19.3,9415800,0.0,0.0
2024-12-19 00:00:00-05:00,19.13,19.48,18.8,18.81,4590600,0.0,0.0
2024-12-18 00:00:00-05:00,20.14,20.26,18.95,18.97,4782800,0.0,0.0
2024-12-17 00:00:00-05:00,20.44,20.5,20.02,20.1,2836000,0.0,0.0
2024-12-16 00:00:00-05:00,20.67,20.75,20.46,20.63,2820700,0.0,0.0
2024-12-13 00:00:00-05:00,20.91,20.97,20.53,20.69,2497000,0.0,0.0
2024-12-12 00:00:00-05:00,21.16,21.34,20.81,20.82,3403100,0.0,0.0
2024-12-11 00:00:00-05:00,21.26,21.49,21.0,21.09,7179300,0.0,0.0
2024-12-10 00:00:00-05:00,21.04,21.19,20.64,21.05,3091900,0.0,0.0
