Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-12-11 00:00:00-05:00,9.85,9.94,9.69,9.73,11883220,0.0,0.0
2025-12-10 00:00:00-05:00,10.15,10.32,9.94,10.03,12688900,0.0,0.0
2025-12-09 00:00:00-05:00,9.62,10.37,9.5,10.25,21419000,0.0,0.0
2025-12-08 00:00:00-05:00,9.55,9.84,9.45,9.71,11931700,0.0,0.0
2025-12-05 00:00:00-05:00,9.58,9.62,9.36,9.47,12475400,0.0,0.0
2025-12-04 00:00:00-05:00,9.24,9.68,9.22,9.62,17520500,0.0,0.0
2025-12-03 00:00:00-05:00,8.98,9.27,8.85,9.26,13139000,0.0,0.0
2025-12-02 00:00:00-05:00,9.21,9.42,8.97,9.0,14489300,0.0,0.0
2025-12-01 00:00:00-05:00,8.97,9.28,8.82,9.2,13696700,0.0,0.0
2025-11-28 00:00:00-05:00,9.32,9.5,9.2,9.33,10098500,0.0,0.0
2025-11-26 00:00:00-05:00,9.35,9.4,9.07,9.26,29877000,0.0,0.0
2025-11-25 00:00:00-05:00,8.62,8.73,8.38,8.7,15382600,0.0,0.0
2025-11-24 00:00:00-05:00,8.29,8.74,8.12,8.67,23656800,0.0,0.0
2025-11-21 00:00:00-05:00,8.26,8.48,7.57,8.29,35184400,0.0,0.0
2025-11-20 00:00:00-05:00,8.55,8.66,8.18,8.25,34907800,0.0,0.0
2025-11-19 00:00:00-05:00,8.45,8.48,8.02,8.22,20999100,0.0,0.0
2025-11-18 00:00:00-05:00,8.06,8.51,8.0,8.39,18839700,0.0,0.0
2025-11-17 00:00:00-05:00,8.51,8.55,7.99,8.15,20314000,0.0,0.0
2025-11-14 00:00:00-05:00,8.77,9.03,8.6,8.63,20782000,0.0,0.0
2025-11-13 00:00:00-05:00,9.67,9.7,9.0,9.01,19577000,0.0,0.0
2025-11-12 00:00:00-05:00,9.54,9.85,9.52,9.77,9564200,0.0,0.0
2025-11-11 00:00:00-05:00,9.64,9.69,9.46,9.52,9629400,0.0,0.0
2025-11-10 00:00:00-05:00,9.9,9.95,9.57,9.71,11432200,0.0,0.0
2025-11-07 00:00:00-05:00,9.39,9.65,9.18,9.64,17475000,0.0,0.0
2025-11-06 00:00:00-05:00,10.1,10.1,9.56,9.63,16595100,0.0,0.0
2025-11-05 00:00:00-05:00,9.71,9.97,9.62,9.94,15677700,0.0,0.0
2025-11-04 00:00:00-05:00,9.99,10.18,9.55,9.71,24629900,0.0,0.0
2025-11-03 00:00:00-05:00,10.82,10.83,10.29,10.35,18804100,0.0,0.0
2025-10-31 00:00:00-04:00,10.89,11.05,10.7,10.82,13120900,0.0,0.0
2025-10-30 00:00:00-04:00,10.83,10.95,10.7,10.79,12757200,0.0,0.0
2025-10-29 00:00:00-04:00,11.23,11.3,10.83,10.96,13040900,0.0,0.0
2025-10-28 00:00:00-04:00,11.57,11.57,11.18,11.29,14060300,0.0,0.0
2025-10-27 00:00:00-04:00,11.74,11.97,11.54,11.57,18430900,0.0,0.0
2025-10-24 00:00:00-04:00,11.27,11.63,11.19,11.51,19093500,0.0,0.0
2025-10-23 00:00:00-04:00,10.89,11.27,10.75,11.08,20399400,0.0,0.0
2025-10-22 00:00:00-04:00,11.0,11.08,10.54,10.83,26441200,0.0,0.0
2025-10-21 00:00:00-04:00,11.39,11.62,11.07,11.14,26235200,0.0,0.0
2025-10-20 00:00:00-04:00,11.05,11.5,10.87,11.48,22338800,0.0,0.0
2025-10-17 00:00:00-04:00,11.4,11.52,11.0,11.01,28136000,0.0,0.0
2025-10-16 00:00:00-04:00,11.73,11.97,11.25,11.75,31361700,0.0,0.0
2025-10-15 00:00:00-04:00,11.84,11.98,11.43,11.61,27412700,0.0,0.0
2025-10-14 00:00:00-04:00,11.48,11.93,11.05,11.73,30903300,0.0,0.0
2025-10-13 00:00:00-04:00,11.55,11.75,11.15,11.74,38748900,0.0,0.0
2025-10-10 00:00:00-04:00,12.59,12.83,11.35,11.4,66756000,0.0,0.0
