Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-12-05 00:00:00-05:00,1.25,1.42,1.21,1.22,98636595,0.0,0.0
2025-12-04 00:00:00-05:00,1.25,1.37,1.24,1.24,59989700,0.0,0.0
2025-12-03 00:00:00-05:00,1.23,1.27,1.15,1.25,77682500,0.0,0.0
2025-12-02 00:00:00-05:00,1.39,1.42,1.23,1.29,233171400,0.0,0.0
2025-12-01 00:00:00-05:00,0.95,1.48,0.93,1.34,270280300,0.0,0.0
2025-11-28 00:00:00-05:00,1.02,1.07,0.96,0.98,68571400,0.0,0.0
2025-11-26 00:00:00-05:00,0.87,1.05,0.86,1.02,172661300,0.0,0.0
2025-11-25 00:00:00-05:00,0.87,0.88,0.82,0.86,53104800,0.0,0.0
2025-11-24 00:00:00-05:00,0.88,0.94,0.82,0.86,89057800,0.0,0.0
2025-11-21 00:00:00-05:00,0.88,0.9,0.81,0.86,74410400,0.0,0.0
2025-11-20 00:00:00-05:00,1.01,1.02,0.88,0.88,102902500,0.0,0.0
2025-11-19 00:00:00-05:00,1.0,1.03,0.95,0.98,56581200,0.0,0.0
2025-11-18 00:00:00-05:00,1.03,1.07,1.0,1.0,42674000,0.0,0.0
2025-11-17 00:00:00-05:00,1.12,1.13,1.0,1.04,61645200,0.0,0.0
2025-11-14 00:00:00-05:00,0.94,1.23,0.94,1.08,129603600,0.0,0.0
2025-11-13 00:00:00-05:00,1.11,1.11,1.0,1.01,85509200,0.0,0.0
2025-11-12 00:00:00-05:00,1.21,1.29,1.11,1.12,84409000,0.0,0.0
2025-11-11 00:00:00-05:00,1.25,1.34,1.18,1.22,82885200,0.0,0.0
2025-11-10 00:00:00-05:00,1.41,1.46,1.29,1.34,125430400,0.0,0.0
2025-11-07 00:00:00-05:00,1.18,1.42,1.13,1.39,143987700,0.0,0.0
2025-11-06 00:00:00-05:00,1.29,1.56,1.19,1.19,190986500,0.0,0.0
2025-11-05 00:00:00-05:00,1.37,1.38,1.23,1.27,94676900,0.0,0.0
2025-11-04 00:00:00-05:00,1.27,1.52,1.27,1.33,166175300,0.0,0.0
2025-11-03 00:00:00-05:00,1.5,1.54,1.35,1.39,156997900,0.0,0.0
2025-10-31 00:00:00-04:00,1.65,1.71,1.55,1.65,103373900,0.0,0.0
2025-10-30 00:00:00-04:00,1.75,1.77,1.6,1.65,147658000,0.0,0.0
2025-10-29 00:00:00-04:00,2.07,2.08,1.77,1.85,227981500,0.0,0.0
2025-10-28 00:00:00-04:00,1.92,2.36,1.82,1.98,478425600,0.0,0.0
2025-10-27 00:00:00-04:00,2.0,2.23,1.8,1.81,364020700,0.0,0.0
2025-10-24 00:00:00-04:00,3.32,3.35,2.08,2.18,803375300,0.0,0.0
2025-10-23 00:00:00-04:00,2.95,3.73,2.77,2.84,802209200,0.0,0.0
2025-10-22 00:00:00-04:00,6.17,7.69,2.62,3.58,2227938200,0.0,0.0
2025-10-21 00:00:00-04:00,2.31,3.86,1.93,3.62,2071569300,0.0,0.0
2025-10-20 00:00:00-04:00,1.02,1.53,0.88,1.47,1202828700,0.0,0.0
2025-10-17 00:00:00-04:00,0.61,0.75,0.55,0.65,438222600,0.0,0.0
2025-10-16 00:00:00-04:00,0.69,0.69,0.5,0.52,174262400,0.0,0.0
2025-10-15 00:00:00-04:00,0.79,0.82,0.65,0.67,120425700,0.0,0.0
2025-10-14 00:00:00-04:00,0.92,0.93,0.77,0.78,113067200,0.0,0.0
2025-10-13 00:00:00-04:00,0.85,1.12,0.85,1.03,128357700,0.0,0.0
2025-10-10 00:00:00-04:00,2.01,2.28,2.0,2.01,14533500,0.0,0.0
