Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-24 00:00:00-05:00,0.09,0.09,0.09,0.1,38000,0.0,0.0
2025-11-21 00:00:00-05:00,0.09,0.09,0.09,0.09,38000,0.0,0.0
2025-11-20 00:00:00-05:00,0.1,0.1,0.1,0.1,84500,0.0,0.0
2025-11-19 00:00:00-05:00,0.11,0.11,0.1,0.1,133800,0.0,0.0
2025-11-18 00:00:00-05:00,0.1,0.11,0.1,0.1,100200,0.0,0.0
2025-11-17 00:00:00-05:00,0.1,0.11,0.1,0.11,14200,0.0,0.0
2025-11-14 00:00:00-05:00,0.11,0.11,0.1,0.1,75400,0.0,0.0
2025-11-13 00:00:00-05:00,0.12,0.12,0.1,0.11,100200,0.0,0.0
2025-11-12 00:00:00-05:00,0.11,0.12,0.11,0.11,40900,0.0,0.0
2025-11-11 00:00:00-05:00,0.11,0.11,0.11,0.11,10700,0.0,0.0
2025-11-10 00:00:00-05:00,0.12,0.12,0.1,0.11,11000,0.0,0.0
2025-11-07 00:00:00-05:00,0.11,0.11,0.1,0.11,5800,0.0,0.0
2025-11-06 00:00:00-05:00,0.1,0.11,0.1,0.11,19100,0.0,0.0
2025-11-05 00:00:00-05:00,0.11,0.11,0.1,0.11,27100,0.0,0.0
2025-11-04 00:00:00-05:00,0.11,0.11,0.11,0.11,11400,0.0,0.0
2025-11-03 00:00:00-05:00,0.11,0.12,0.11,0.12,12500,0.0,0.0
2025-10-31 00:00:00-04:00,0.11,0.11,0.1,0.11,4300,0.0,0.0
2025-10-30 00:00:00-04:00,0.12,0.12,0.12,0.12,0,0.0,0.0
2025-10-29 00:00:00-04:00,0.12,0.12,0.12,0.12,3500,0.0,0.0
2025-10-28 00:00:00-04:00,0.12,0.13,0.11,0.11,4000,0.0,0.0
2025-10-27 00:00:00-04:00,0.12,0.13,0.12,0.12,118200,0.0,0.0
2025-10-24 00:00:00-04:00,0.12,0.12,0.12,0.12,77400,0.0,0.0
2025-10-23 00:00:00-04:00,0.1,0.13,0.1,0.12,21800,0.0,0.0
2025-10-22 00:00:00-04:00,0.12,0.12,0.11,0.12,32700,0.0,0.0
2025-10-21 00:00:00-04:00,0.12,0.12,0.11,0.12,9800,0.0,0.0
2025-10-20 00:00:00-04:00,0.12,0.13,0.11,0.13,11800,0.0,0.0
2025-10-17 00:00:00-04:00,0.12,0.12,0.1,0.12,137000,0.0,0.0
2025-10-16 00:00:00-04:00,0.12,0.12,0.11,0.11,26100,0.0,0.0
2025-10-15 00:00:00-04:00,0.11,0.11,0.11,0.11,14900,0.0,0.0
2025-10-14 00:00:00-04:00,0.11,0.11,0.1,0.1,51900,0.0,0.0
2025-10-13 00:00:00-04:00,0.1,0.12,0.1,0.11,33800,0.0,0.0
2025-10-10 00:00:00-04:00,0.11,0.12,0.1,0.11,209800,0.0,0.0
2025-10-09 00:00:00-04:00,0.11,0.11,0.1,0.11,14600,0.0,0.0
2025-10-08 00:00:00-04:00,0.1,0.11,0.1,0.11,50400,0.0,0.0
2025-10-07 00:00:00-04:00,0.1,0.11,0.1,0.11,17200,0.0,0.0
2025-10-06 00:00:00-04:00,0.11,0.11,0.1,0.11,9800,0.0,0.0
2025-10-03 00:00:00-04:00,0.11,0.11,0.1,0.11,10300,0.0,0.0
2025-10-02 00:00:00-04:00,0.09,0.11,0.09,0.11,39700,0.0,0.0
2025-10-01 00:00:00-04:00,0.11,0.11,0.1,0.1,40800,0.0,0.0
2025-09-30 00:00:00-04:00,0.11,0.11,0.11,0.11,14100,0.0,0.0
2025-09-29 00:00:00-04:00,0.11,0.12,0.11,0.11,26400,0.0,0.0
2025-09-26 00:00:00-04:00,0.12,0.12,0.11,0.11,11000,0.0,0.0
2025-09-25 00:00:00-04:00,0.11,0.11,0.11,0.11,8100,0.0,0.0
2025-09-24 00:00:00-04:00,0.11,0.12,0.11,0.12,10400,0.0,0.0
2025-09-23 00:00:00-04:00,0.12,0.12,0.11,0.11,3600,0.0,0.0
2025-09-22 00:00:00-04:00,0.12,0.12,0.11,0.11,5800,0.0,0.0
2025-09-19 00:00:00-04:00,0.12,0.12,0.11,0.11,26300,0.0,0.0
2025-09-18 00:00:00-04:00,0.13,0.13,0.12,0.12,49400,0.0,0.0
2025-09-17 00:00:00-04:00,0.13,0.13,0.12,0.12,47100,0.0,0.0
2025-09-16 00:00:00-04:00,0.1,0.13,0.1,0.11,42700,0.0,0.0
2025-09-15 00:00:00-04:00,0.12,0.12,0.11,0.11,12800,0.0,0.0
2025-09-12 00:00:00-04:00,0.12,0.13,0.12,0.12,12100,0.0,0.0
2025-09-11 00:00:00-04:00,0.13,0.13,0.12,0.12,9500,0.0,0.0
2025-09-10 00:00:00-04:00,0.13,0.13,0.12,0.13,59000,0.0,0.0
2025-09-09 00:00:00-04:00,0.12,0.13,0.12,0.13,77700,0.0,0.0
2025-09-08 00:00:00-04:00,0.11,0.12,0.11,0.12,95900,0.0,0.0
2025-09-05 00:00:00-04:00,0.11,0.11,0.1,0.11,50200,0.0,0.0
2025-09-04 00:00:00-04:00,0.11,0.11,0.11,0.11,62500,0.0,0.0
2025-09-03 00:00:00-04:00,0.11,0.11,0.11,0.11,41400,0.0,0.0
2025-09-02 00:00:00-04:00,0.1,0.11,0.1,0.1,126200,0.0,0.0
2025-08-29 00:00:00-04:00,0.11,0.11,0.1,0.1,58900,0.0,0.0
2025-08-28 00:00:00-04:00,0.1,0.11,0.1,0.1,20900,0.0,0.0
2025-08-27 00:00:00-04:00,0.1,0.1,0.1,0.1,7300,0.0,0.0
2025-08-26 00:00:00-04:00,0.1,0.11,0.1,0.1,13400,0.0,0.0
2025-08-25 00:00:00-04:00,0.11,0.11,0.11,0.11,1100,0.0,0.0
2025-08-22 00:00:00-04:00,0.1,0.11,0.1,0.1,69000,0.0,0.0
2025-08-21 00:00:00-04:00,0.09,0.11,0.09,0.1,113400,0.0,0.0
2025-08-20 00:00:00-04:00,0.11,0.11,0.09,0.1,9500,0.0,0.0
