Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-25 00:00:00-05:00,17.94,18.52,17.82,18.46,197435,0.0,0.0
2025-11-24 00:00:00-05:00,17.68,17.98,17.56,17.82,200337,0.0,0.0
2025-11-21 00:00:00-05:00,17.0,17.93,16.96,17.74,341368,0.0,0.0
2025-11-20 00:00:00-05:00,17.33,17.53,16.76,17.02,336400,0.0,0.0
2025-11-19 00:00:00-05:00,17.3,17.56,16.97,17.17,223400,0.0,0.0
2025-11-18 00:00:00-05:00,17.01,17.26,16.81,17.09,266300,0.0,0.0
2025-11-17 00:00:00-05:00,17.8,17.95,17.06,17.17,330000,0.0,0.0
2025-11-14 00:00:00-05:00,17.47,17.96,17.34,17.78,342900,0.0,0.0
2025-11-13 00:00:00-05:00,18.33,18.84,17.69,17.76,902900,0.0,0.0
2025-11-12 00:00:00-05:00,18.0,18.43,17.93,18.31,387000,0.0,0.0
2025-11-11 00:00:00-05:00,17.64,17.94,17.55,17.92,237300,0.0,0.0
2025-11-10 00:00:00-05:00,17.37,17.77,17.18,17.61,299000,0.0,0.0
2025-11-07 00:00:00-05:00,16.43,17.2,16.4,17.17,316600,0.0,0.0
2025-11-06 00:00:00-05:00,17.05,17.06,16.43,16.54,395500,0.0,0.0
2025-11-05 00:00:00-05:00,17.0,17.22,16.94,17.1,334400,0.0,0.0
2025-11-04 00:00:00-05:00,16.81,17.32,16.78,16.91,430100,0.0,0.0
2025-11-03 00:00:00-05:00,17.16,17.43,16.67,17.25,405400,0.0,0.0
2025-10-31 00:00:00-04:00,17.09,17.4,16.68,17.34,302700,0.0,0.0
2025-10-30 00:00:00-04:00,16.93,17.58,16.93,17.19,296100,0.0,0.0
2025-10-29 00:00:00-04:00,17.83,17.87,16.91,17.22,409400,0.0,0.0
2025-10-28 00:00:00-04:00,17.29,17.85,17.09,17.69,386300,0.0,0.0
2025-10-27 00:00:00-04:00,18.37,18.37,17.31,17.38,413300,0.0,0.0
2025-10-24 00:00:00-04:00,18.15,18.91,17.89,18.57,365900,0.0,0.0
2025-10-23 00:00:00-04:00,18.17,18.17,17.84,18.13,294000,0.0,0.0
2025-10-22 00:00:00-04:00,17.83,18.2,17.54,18.04,424200,0.0,0.0
2025-10-21 00:00:00-04:00,18.12,18.33,17.69,18.12,367000,0.0,0.0
2025-10-20 00:00:00-04:00,18.52,18.69,17.8,18.63,288100,0.0,0.0
2025-10-17 00:00:00-04:00,17.98,18.43,17.76,18.23,346100,0.0,0.0
2025-10-16 00:00:00-04:00,19.52,19.82,18.21,18.3,332800,0.0,0.0
2025-10-15 00:00:00-04:00,20.05,20.3,19.23,19.53,279500,0.0,0.0
2025-10-14 00:00:00-04:00,18.91,20.05,18.75,19.91,435400,0.0,0.0
2025-10-13 00:00:00-04:00,18.69,19.3,18.69,19.18,372000,0.0,0.0
2025-10-10 00:00:00-04:00,19.56,19.73,18.21,18.31,508500,0.0,0.0
2025-10-09 00:00:00-04:00,19.56,19.77,19.13,19.59,415200,0.0,0.0
2025-10-08 00:00:00-04:00,19.26,19.37,18.78,19.37,334600,0.0,0.0
2025-10-07 00:00:00-04:00,18.75,19.13,18.48,19.02,331300,0.0,0.0
2025-10-06 00:00:00-04:00,18.87,19.13,18.27,18.62,365500,0.0,0.0
2025-10-03 00:00:00-04:00,19.6,19.82,18.73,18.8,208300,0.0,0.0
2025-10-02 00:00:00-04:00,20.01,20.05,19.23,19.36,439200,0.0,0.0
2025-10-01 00:00:00-04:00,19.18,20.39,19.15,19.83,588500,0.0,0.0
2025-09-30 00:00:00-04:00,19.18,19.59,18.92,19.2,632000,0.0,0.0
2025-09-29 00:00:00-04:00,19.59,19.59,19.0,19.33,335600,0.0,0.0
2025-09-26 00:00:00-04:00,18.85,19.49,18.62,19.44,381400,0.0,0.0
2025-09-25 00:00:00-04:00,19.06,19.61,18.68,18.87,457300,0.0,0.0
2025-09-24 00:00:00-04:00,18.44,19.72,18.42,19.06,415600,0.0,0.0
2025-09-23 00:00:00-04:00,18.22,18.62,18.22,18.58,294300,0.0,0.0
