Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-25 00:00:00-05:00,0.71,0.72,0.62,0.63,610173,0.0,0.0
2025-11-24 00:00:00-05:00,0.68,0.71,0.66,0.69,183826,0.0,0.0
2025-11-21 00:00:00-05:00,0.63,0.66,0.63,0.66,73280,0.0,0.0
2025-11-20 00:00:00-05:00,0.65,0.68,0.62,0.62,526300,0.0,0.0
2025-11-19 00:00:00-05:00,0.69,0.7,0.64,0.65,191500,0.0,0.0
2025-11-18 00:00:00-05:00,0.71,0.74,0.66,0.7,394200,0.0,0.0
2025-11-17 00:00:00-05:00,0.73,0.77,0.68,0.7,452300,0.0,0.0
2025-11-14 00:00:00-05:00,0.7,0.77,0.7,0.72,202100,0.0,0.0
2025-11-13 00:00:00-05:00,0.76,0.77,0.71,0.73,145600,0.0,0.0
2025-11-12 00:00:00-05:00,0.72,0.76,0.71,0.73,76300,0.0,0.0
2025-11-11 00:00:00-05:00,0.73,0.74,0.7,0.73,92800,0.0,0.0
2025-11-10 00:00:00-05:00,0.74,0.82,0.72,0.73,272300,0.0,0.0
2025-11-07 00:00:00-05:00,0.66,0.69,0.64,0.69,144700,0.0,0.0
2025-11-06 00:00:00-05:00,0.73,0.73,0.66,0.67,219700,0.0,0.0
2025-11-05 00:00:00-05:00,0.68,0.76,0.68,0.72,200800,0.0,0.0
2025-11-04 00:00:00-05:00,0.75,0.77,0.66,0.68,547000,0.0,0.0
2025-11-03 00:00:00-05:00,0.81,0.83,0.77,0.78,362900,0.0,0.0
2025-10-31 00:00:00-04:00,0.95,0.95,0.77,0.81,1184000,0.0,0.0
2025-10-30 00:00:00-04:00,0.97,1.04,0.89,0.9,1548600,0.0,0.0
2025-10-29 00:00:00-04:00,0.95,0.95,0.9,0.93,268400,0.0,0.0
2025-10-28 00:00:00-04:00,0.93,0.98,0.91,0.94,447200,0.0,0.0
2025-10-27 00:00:00-04:00,1.02,1.05,0.91,0.92,671900,0.0,0.0
2025-10-24 00:00:00-04:00,1.04,1.07,1.01,1.02,658900,0.0,0.0
2025-10-23 00:00:00-04:00,1.01,1.06,1.0,1.03,255800,0.0,0.0
2025-10-22 00:00:00-04:00,1.07,1.07,0.98,1.02,640300,0.0,0.0
2025-10-21 00:00:00-04:00,1.04,1.14,1.02,1.05,730700,0.0,0.0
2025-10-20 00:00:00-04:00,1.06,1.11,1.04,1.04,577500,0.0,0.0
2025-10-17 00:00:00-04:00,1.06,1.09,1.02,1.03,291300,0.0,0.0
2025-10-16 00:00:00-04:00,1.22,1.24,1.08,1.09,1034900,0.0,0.0
2025-10-15 00:00:00-04:00,1.12,1.25,1.11,1.25,1224800,0.0,0.0
2025-10-14 00:00:00-04:00,1.02,1.13,1.0,1.1,739800,0.0,0.0
2025-10-13 00:00:00-04:00,1.07,1.15,0.96,1.02,1257100,0.0,0.0
2025-10-10 00:00:00-04:00,1.16,1.32,1.05,1.07,3431800,0.0,0.0
2025-10-09 00:00:00-04:00,1.03,1.12,1.01,1.1,792200,0.0,0.0
2025-10-08 00:00:00-04:00,1.03,1.08,1.0,1.06,746100,0.0,0.0
2025-10-07 00:00:00-04:00,1.04,1.09,1.02,1.03,878700,0.0,0.0
2025-10-06 00:00:00-04:00,0.92,1.09,0.92,1.02,2068100,0.0,0.0
2025-10-03 00:00:00-04:00,1.12,1.27,1.03,1.08,7346400,0.0,0.0
2025-10-02 00:00:00-04:00,1.15,1.19,1.08,1.11,1276900,0.0,0.0
2025-10-01 00:00:00-04:00,1.13,1.16,1.08,1.1,554500,0.0,0.0
2025-09-30 00:00:00-04:00,1.08,1.2,1.08,1.11,969700,0.0,0.0
2025-09-29 00:00:00-04:00,1.1,1.1,1.02,1.07,594300,0.0,0.0
2025-09-26 00:00:00-04:00,1.12,1.13,1.05,1.08,334100,0.0,0.0
2025-09-25 00:00:00-04:00,1.02,1.13,1.0,1.09,490700,0.0,0.0
2025-09-24 00:00:00-04:00,1.08,1.13,1.08,1.09,349900,0.0,0.0
2025-09-23 00:00:00-04:00,1.13,1.16,1.07,1.08,750800,0.0,0.0
2025-09-22 00:00:00-04:00,0.98,1.19,0.96,1.1,2293700,0.0,0.0
2025-09-19 00:00:00-04:00,0.91,0.95,0.87,0.95,381400,0.0,0.0
2025-09-18 00:00:00-04:00,0.93,0.98,0.92,0.93,320200,0.0,0.0
2025-09-17 00:00:00-04:00,0.91,0.95,0.89,0.93,281800,0.0,0.0
2025-09-16 00:00:00-04:00,0.91,0.95,0.86,0.95,320900,0.0,0.0
2025-09-15 00:00:00-04:00,0.97,1.03,0.88,0.9,517100,0.0,0.0
2025-09-12 00:00:00-04:00,0.83,1.07,0.83,0.94,2461400,0.0,0.0
2025-09-11 00:00:00-04:00,0.76,0.88,0.71,0.84,1775900,0.0,0.0
2025-09-10 00:00:00-04:00,0.72,0.79,0.67,0.76,890600,0.0,0.0
2025-09-09 00:00:00-04:00,0.61,0.69,0.56,0.67,830500,0.0,0.0
2025-09-08 00:00:00-04:00,0.63,0.66,0.6,0.61,297800,0.0,0.0
2025-09-05 00:00:00-04:00,0.64,0.68,0.61,0.65,244000,0.0,0.0
2025-09-04 00:00:00-04:00,0.77,0.78,0.62,0.64,517700,0.0,0.0
2025-09-03 00:00:00-04:00,0.77,0.8,0.76,0.78,141400,0.0,0.0
2025-09-02 00:00:00-04:00,0.77,0.8,0.76,0.79,82500,0.0,0.0
2025-08-29 00:00:00-04:00,0.8,0.83,0.79,0.79,91000,0.0,0.0
2025-08-28 00:00:00-04:00,0.79,0.85,0.79,0.83,106300,0.0,0.0
2025-08-27 00:00:00-04:00,0.83,0.85,0.79,0.8,103400,0.0,0.0
2025-08-26 00:00:00-04:00,0.79,0.84,0.79,0.83,157300,0.0,0.0
2025-08-25 00:00:00-04:00,0.81,0.85,0.8,0.82,147600,0.0,0.0
2025-08-22 00:00:00-04:00,0.77,0.85,0.75,0.84,282700,0.0,0.0
2025-08-21 00:00:00-04:00,0.76,0.78,0.74,0.76,192200,0.0,0.0
2025-08-20 00:00:00-04:00,0.8,0.83,0.76,0.77,256700,0.0,0.0
2025-08-19 00:00:00-04:00,0.83,0.88,0.8,0.83,173000,0.0,0.0
2025-08-18 00:00:00-04:00,0.9,0.92,0.85,0.85,370200,0.0,0.0
2025-08-15 00:00:00-04:00,0.85,0.93,0.85,0.89,502300,0.0,0.0
2025-08-14 00:00:00-04:00,0.81,0.89,0.78,0.88,817200,0.0,0.0
2025-08-13 00:00:00-04:00,0.87,0.89,0.79,0.81,1827400,0.0,0.0
2025-08-12 00:00:00-04:00,0.78,0.94,0.74,0.8,1347200,0.0,0.0
2025-08-11 00:00:00-04:00,0.84,1.0,0.77,0.78,1232700,0.0,0.0
2025-08-08 00:00:00-04:00,1.07,1.1,0.75,0.8,1561900,0.0,0.0
2025-08-07 00:00:00-04:00,1.11,1.14,1.02,1.05,1803100,0.0,0.0
2025-08-06 00:00:00-04:00,0.76,1.28,0.73,1.15,11592100,0.0,0.0
2025-08-05 00:00:00-04:00,0.9,0.9,0.81,0.88,499500,0.0,0.0
2025-08-04 00:00:00-04:00,0.9,0.92,0.86,0.9,284700,0.0,0.0
2025-08-01 00:00:00-04:00,0.91,0.91,0.83,0.86,306200,0.0,0.0
2025-07-31 00:00:00-04:00,0.9,0.94,0.85,0.93,641900,0.0,0.0
2025-07-30 00:00:00-04:00,0.93,0.96,0.71,0.9,2484000,0.0,0.0
2025-07-29 00:00:00-04:00,0.7,0.86,0.7,0.84,2065300,0.0,0.0
2025-07-28 00:00:00-04:00,0.72,0.72,0.62,0.7,400000,0.0,0.0
2025-07-25 00:00:00-04:00,0.56,0.72,0.56,0.7,1494800,0.0,0.0
2025-07-24 00:00:00-04:00,0.48,0.64,0.48,0.59,2665000,0.0,0.0
2025-07-23 00:00:00-04:00,0.49,0.5,0.47,0.49,126000,0.0,0.0
2025-07-22 00:00:00-04:00,0.47,0.49,0.47,0.48,204300,0.0,0.0
2025-07-21 00:00:00-04:00,0.45,0.48,0.45,0.48,241800,0.0,0.0
2025-07-18 00:00:00-04:00,0.45,0.46,0.43,0.44,99500,0.0,0.0
2025-07-17 00:00:00-04:00,0.45,0.47,0.44,0.46,88900,0.0,0.0
2025-07-16 00:00:00-04:00,0.45,0.48,0.44,0.45,166700,0.0,0.0
2025-07-15 00:00:00-04:00,0.47,0.49,0.43,0.45,199600,0.0,0.0
2025-07-14 00:00:00-04:00,0.48,0.5,0.48,0.49,258100,0.0,0.0
2025-07-11 00:00:00-04:00,0.47,0.48,0.46,0.48,66700,0.0,0.0
2025-07-10 00:00:00-04:00,0.47,0.48,0.46,0.46,107300,0.0,0.0
2025-07-09 00:00:00-04:00,0.45,0.48,0.45,0.47,149000,0.0,0.0
2025-07-08 00:00:00-04:00,0.44,0.47,0.43,0.46,288500,0.0,0.0
2025-07-07 00:00:00-04:00,0.43,0.45,0.43,0.45,221700,0.0,0.0
2025-07-03 00:00:00-04:00,0.42,0.44,0.42,0.42,175800,0.0,0.0
2025-07-02 00:00:00-04:00,0.4,0.42,0.4,0.42,123900,0.0,0.0
2025-07-01 00:00:00-04:00,0.41,0.42,0.39,0.39,279100,0.0,0.0
2025-06-30 00:00:00-04:00,0.43,0.43,0.41,0.42,161100,0.0,0.0
2025-06-27 00:00:00-04:00,0.44,0.44,0.42,0.43,56200,0.0,0.0
2025-06-26 00:00:00-04:00,0.43,0.44,0.42,0.44,52900,0.0,0.0
2025-06-25 00:00:00-04:00,0.43,0.45,0.42,0.44,170900,0.0,0.0
2025-06-24 00:00:00-04:00,0.44,0.47,0.42,0.44,403200,0.0,0.0
2025-06-23 00:00:00-04:00,0.42,0.43,0.41,0.42,120900,0.0,0.0
2025-06-20 00:00:00-04:00,0.42,0.44,0.42,0.43,61900,0.0,0.0
2025-06-18 00:00:00-04:00,0.45,0.45,0.42,0.43,56200,0.0,0.0
2025-06-17 00:00:00-04:00,0.43,0.44,0.42,0.42,87300,0.0,0.0
2025-06-16 00:00:00-04:00,0.44,0.45,0.41,0.44,368500,0.0,0.0
2025-06-13 00:00:00-04:00,0.46,0.47,0.44,0.45,98200,0.0,0.0
2025-06-12 00:00:00-04:00,0.48,0.48,0.47,0.48,132200,0.0,0.0
2025-06-11 00:00:00-04:00,0.47,0.5,0.47,0.49,243800,0.0,0.0
2025-06-10 00:00:00-04:00,0.49,0.49,0.47,0.49,210400,0.0,0.0
2025-06-09 00:00:00-04:00,0.48,0.5,0.46,0.48,692700,0.0,0.0
2025-06-06 00:00:00-04:00,0.46,0.48,0.45,0.47,298500,0.0,0.0
2025-06-05 00:00:00-04:00,0.46,0.46,0.44,0.46,109600,0.0,0.0
2025-06-04 00:00:00-04:00,0.44,0.46,0.44,0.46,161600,0.0,0.0
2025-06-03 00:00:00-04:00,0.46,0.46,0.44,0.46,183500,0.0,0.0
2025-06-02 00:00:00-04:00,0.44,0.46,0.44,0.46,110600,0.0,0.0
2025-05-30 00:00:00-04:00,0.46,0.47,0.43,0.44,224300,0.0,0.0
2025-05-29 00:00:00-04:00,0.46,0.47,0.43,0.44,311200,0.0,0.0
2025-05-28 00:00:00-04:00,0.46,0.5,0.46,0.47,456500,0.0,0.0
2025-05-27 00:00:00-04:00,0.44,0.47,0.42,0.47,457500,0.0,0.0
2025-05-23 00:00:00-04:00,0.44,0.46,0.42,0.45,192500,0.0,0.0
2025-05-22 00:00:00-04:00,0.46,0.48,0.43,0.44,465900,0.0,0.0
2025-05-21 00:00:00-04:00,0.44,0.48,0.42,0.47,935400,0.0,0.0
2025-05-20 00:00:00-04:00,0.42,0.48,0.42,0.45,455300,0.0,0.0
2025-05-19 00:00:00-04:00,0.42,0.44,0.41,0.43,190100,0.0,0.0
2025-05-16 00:00:00-04:00,0.44,0.45,0.42,0.43,186500,0.0,0.0
2025-05-15 00:00:00-04:00,0.42,0.47,0.42,0.45,299000,0.0,0.0
2025-05-14 00:00:00-04:00,0.49,0.5,0.44,0.45,642700,0.0,0.0
2025-05-13 00:00:00-04:00,0.43,0.49,0.41,0.49,945700,0.0,0.0
2025-05-12 00:00:00-04:00,0.42,0.43,0.4,0.43,288000,0.0,0.0
2025-05-09 00:00:00-04:00,0.42,0.44,0.41,0.42,253400,0.0,0.0
2025-05-08 00:00:00-04:00,0.41,0.44,0.4,0.43,536300,0.0,0.0
2025-05-07 00:00:00-04:00,0.43,0.44,0.41,0.42,867400,0.0,0.0
2025-05-06 00:00:00-04:00,0.46,0.47,0.4,0.44,1455600,0.0,0.0
2025-05-05 00:00:00-04:00,0.46,0.55,0.42,0.46,2002300,0.0,0.0
2025-05-02 00:00:00-04:00,0.46,0.48,0.41,0.45,729300,0.0,0.0
2025-05-01 00:00:00-04:00,0.43,0.49,0.43,0.46,2760600,0.0,0.0
2025-04-30 00:00:00-04:00,0.42,0.44,0.35,0.42,1605200,0.0,0.0
2025-04-29 00:00:00-04:00,0.41,0.44,0.41,0.41,180800,0.0,0.0
2025-04-28 00:00:00-04:00,0.41,0.45,0.41,0.42,520500,0.0,0.0
2025-04-25 00:00:00-04:00,0.41,0.43,0.4,0.42,484100,0.0,0.0
2025-04-24 00:00:00-04:00,0.38,0.45,0.38,0.4,919000,0.0,0.0
2025-04-23 00:00:00-04:00,0.36,0.43,0.33,0.4,1288000,0.0,0.0
2025-04-22 00:00:00-04:00,0.33,0.38,0.31,0.36,530500,0.0,0.0
2025-04-21 00:00:00-04:00,0.35,0.35,0.28,0.32,193100,0.0,0.0
2025-04-17 00:00:00-04:00,0.34,0.36,0.33,0.34,43700,0.0,0.0
2025-04-16 00:00:00-04:00,0.36,0.39,0.33,0.34,404900,0.0,0.0
