Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-11-21 00:00:00-05:00,11.11,11.13,11.11,11.13,1502,0.0,0.0,0.0
2025-11-18 00:00:00-05:00,11.2,11.2,11.2,11.2,3432,0.0,0.0,0.0
2025-11-14 00:00:00-05:00,12.5,12.5,12.5,12.5,1371,0.0,0.0,0.0
2025-11-13 00:00:00-05:00,11.26,11.26,11.26,11.26,2751,0.0,0.0,0.0
2025-11-11 00:00:00-05:00,11.11,11.11,11.11,11.11,539,0.0,0.0,0.0
2025-11-10 00:00:00-05:00,11.25,11.25,11.25,11.25,702,0.0,0.0,0.0
2025-11-06 00:00:00-05:00,10.94,10.95,10.94,10.95,680,0.0,0.0,0.0
2025-11-05 00:00:00-05:00,11.5,11.5,11.5,11.5,10139,0.0,0.0,0.0
2025-11-04 00:00:00-05:00,11.44,11.44,11.44,11.44,3510,0.0,0.0,0.0
2025-10-30 00:00:00-04:00,12.0,12.0,12.0,12.0,19777,0.0,0.0,0.0
2025-10-29 00:00:00-04:00,11.85,11.86,11.85,11.86,4660,0.0,0.0,0.0
2025-10-28 00:00:00-04:00,11.81,11.81,11.81,11.81,7457,0.0,0.0,0.0
2025-10-24 00:00:00-04:00,12.11,12.11,12.11,12.11,19560,0.0,0.0,0.0
2025-10-23 00:00:00-04:00,12.11,12.11,12.11,12.11,238,0.0,0.0,0.0
2025-10-21 00:00:00-04:00,11.58,11.66,11.5,11.66,10625,0.0,0.0,0.0
2025-10-20 00:00:00-04:00,11.45,11.54,11.45,11.54,11253,0.0,0.0,0.0
2025-10-17 00:00:00-04:00,11.0,11.6,11.0,11.4,7029,0.0,0.0,0.0
2025-10-15 00:00:00-04:00,10.06,10.06,10.03,10.04,4450,0.0,0.0,0.0
2025-10-14 00:00:00-04:00,10.13,10.13,10.13,10.13,16120,0.0,0.0,0.0
2025-10-07 00:00:00-04:00,14.8,14.91,14.35,14.38,10831,0.0,0.0,0.0
2025-10-06 00:00:00-04:00,15.9,15.9,14.41,14.47,618751,0.0,0.0,0.0
