Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-12-15 00:00:00-05:00,3.41,3.42,3.02,3.05,7728014,0.0,0.0
2025-12-11 00:00:00-05:00,2.81,2.88,2.75,2.85,3202700,0.0,0.0
2025-12-10 00:00:00-05:00,2.7,2.91,2.59,2.79,6076400,0.0,0.0
2025-12-09 00:00:00-05:00,2.53,2.91,2.4,2.69,10740900,0.0,0.0
2025-12-08 00:00:00-05:00,2.48,2.51,2.47,2.47,784700,0.0,0.0
2025-12-05 00:00:00-05:00,2.48,2.53,2.48,2.49,1299000,0.0,0.0
2025-12-04 00:00:00-05:00,2.52,2.54,2.49,2.49,790700,0.0,0.0
2025-12-03 00:00:00-05:00,2.46,2.55,2.46,2.51,1052400,0.0,0.0
2025-12-02 00:00:00-05:00,2.49,2.55,2.46,2.46,1019700,0.0,0.0
2025-12-01 00:00:00-05:00,2.45,2.51,2.44,2.49,950800,0.0,0.0
2025-11-28 00:00:00-05:00,2.48,2.51,2.47,2.47,301800,0.0,0.0
2025-11-26 00:00:00-05:00,2.45,2.51,2.45,2.48,1295100,0.0,0.0
2025-11-25 00:00:00-05:00,2.43,2.48,2.42,2.46,1211300,0.0,0.0
2025-11-24 00:00:00-05:00,2.35,2.5,2.35,2.44,1530300,0.0,0.0
2025-11-21 00:00:00-05:00,2.3,2.38,2.28,2.37,1907100,0.0,0.0
2025-11-20 00:00:00-05:00,2.37,2.42,2.28,2.3,1650200,0.0,0.0
2025-11-19 00:00:00-05:00,2.43,2.44,2.36,2.36,882400,0.0,0.0
2025-11-18 00:00:00-05:00,2.41,2.46,2.4,2.44,848600,0.0,0.0
2025-11-17 00:00:00-05:00,2.43,2.47,2.41,2.42,970300,0.0,0.0
2025-11-14 00:00:00-05:00,2.45,2.48,2.43,2.45,1299000,0.0,0.0
2025-11-13 00:00:00-05:00,2.5,2.53,2.47,2.48,1455900,0.0,0.0
2025-11-12 00:00:00-05:00,2.51,2.57,2.51,2.54,1253900,0.0,0.0
2025-11-11 00:00:00-05:00,2.55,2.57,2.49,2.52,746500,0.0,0.0
2025-11-10 00:00:00-05:00,2.5,2.58,2.48,2.56,1601000,0.0,0.0
2025-11-07 00:00:00-05:00,2.45,2.5,2.42,2.48,1386900,0.0,0.0
2025-11-06 00:00:00-05:00,2.5,2.6,2.45,2.47,1805700,0.0,0.0
2025-11-05 00:00:00-05:00,2.44,2.49,2.43,2.45,1245500,0.0,0.0
2025-11-04 00:00:00-05:00,2.48,2.52,2.43,2.45,1327000,0.0,0.0
2025-11-03 00:00:00-05:00,2.51,2.57,2.48,2.54,1413400,0.0,0.0
2025-10-31 00:00:00-04:00,2.46,2.52,2.45,2.51,1022500,0.0,0.0
2025-10-30 00:00:00-04:00,2.45,2.51,2.44,2.44,1165700,0.0,0.0
2025-10-29 00:00:00-04:00,2.49,2.53,2.45,2.46,1356400,0.0,0.0
2025-10-28 00:00:00-04:00,2.46,2.5,2.41,2.49,1619200,0.0,0.0
2025-10-27 00:00:00-04:00,2.53,2.55,2.47,2.47,643000,0.0,0.0
2025-10-24 00:00:00-04:00,2.49,2.57,2.48,2.52,1205100,0.0,0.0
2025-10-23 00:00:00-04:00,2.41,2.52,2.41,2.48,1878600,0.0,0.0
2025-10-22 00:00:00-04:00,2.49,2.51,2.41,2.41,1118100,0.0,0.0
2025-10-21 00:00:00-04:00,2.51,2.54,2.49,2.5,1089500,0.0,0.0
2025-10-20 00:00:00-04:00,2.49,2.54,2.47,2.52,1014800,0.0,0.0
2025-10-17 00:00:00-04:00,2.45,2.53,2.44,2.49,1628300,0.0,0.0
2025-10-16 00:00:00-04:00,2.59,2.6,2.47,2.48,1547900,0.0,0.0
2025-10-15 00:00:00-04:00,2.55,2.68,2.52,2.58,2138600,0.0,0.0
2025-10-14 00:00:00-04:00,2.5,2.59,2.48,2.53,1146100,0.0,0.0
2025-10-13 00:00:00-04:00,2.53,2.56,2.48,2.55,1315900,0.0,0.0
2025-10-10 00:00:00-04:00,2.71,2.71,2.51,2.51,2146100,0.0,0.0
2025-10-09 00:00:00-04:00,2.71,2.8,2.66,2.71,3967400,0.0,0.0
2025-10-08 00:00:00-04:00,2.62,2.69,2.59,2.68,1630700,0.0,0.0
2025-10-07 00:00:00-04:00,2.54,2.65,2.52,2.62,2366000,0.0,0.0
2025-10-06 00:00:00-04:00,2.58,2.61,2.54,2.55,1687100,0.0,0.0
2025-10-03 00:00:00-04:00,2.6,2.65,2.57,2.58,2577800,0.0,0.0
2025-10-02 00:00:00-04:00,2.67,2.74,2.56,2.59,2952200,0.0,0.0
2025-10-01 00:00:00-04:00,2.75,2.78,2.66,2.66,3460600,0.0,0.0
2025-09-30 00:00:00-04:00,2.91,2.94,2.73,2.78,5230200,0.0,0.0
2025-09-29 00:00:00-04:00,2.96,3.16,2.89,2.97,18358200,0.0,0.0
2025-09-26 00:00:00-04:00,2.65,2.66,2.61,2.63,904200,0.0,0.0
2025-09-25 00:00:00-04:00,2.67,2.69,2.61,2.64,1389200,0.0,0.0
2025-09-24 00:00:00-04:00,2.64,2.76,2.63,2.71,2892300,0.0,0.0
2025-09-23 00:00:00-04:00,2.61,2.67,2.59,2.64,2137800,0.0,0.0
2025-09-22 00:00:00-04:00,2.6,2.64,2.58,2.59,1616800,0.0,0.0
2025-09-19 00:00:00-04:00,2.69,2.71,2.62,2.62,2214500,0.0,0.0
2025-09-18 00:00:00-04:00,2.58,2.71,2.56,2.67,1997300,0.0,0.0
2025-09-17 00:00:00-04:00,2.6,2.69,2.56,2.58,1139400,0.0,0.0
2025-09-16 00:00:00-04:00,2.55,2.61,2.53,2.59,1566000,0.0,0.0
