Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-25 00:00:00-05:00,67.98,69.36,67.17,69.2,3634660,0.0,0.0
2025-11-24 00:00:00-05:00,67.42,68.27,66.94,67.55,9956895,0.0,0.0
2025-11-21 00:00:00-05:00,65.98,67.59,65.9,67.25,5769900,0.0,0.0
2025-11-20 00:00:00-05:00,66.73,66.81,64.72,65.52,5403100,0.0,0.0
2025-11-19 00:00:00-05:00,66.43,66.52,65.45,66.02,3902900,0.0,0.0
2025-11-18 00:00:00-05:00,67.0,67.42,66.23,66.81,3961800,0.0,0.0
2025-11-17 00:00:00-05:00,68.05,69.02,66.63,67.0,3346100,0.0,0.0
2025-11-14 00:00:00-05:00,68.34,69.06,67.86,68.05,3648700,0.0,0.0
2025-11-13 00:00:00-05:00,68.5,69.13,68.26,68.53,4616900,0.0,0.0
2025-11-12 00:00:00-05:00,68.27,69.29,67.42,69.02,4608800,0.0,0.0
2025-11-11 00:00:00-05:00,67.51,68.68,66.97,68.41,3683700,0.0,0.0
2025-11-10 00:00:00-05:00,67.52,67.55,66.27,67.23,3887900,0.0,0.0
2025-11-07 00:00:00-05:00,67.38,68.34,66.59,67.52,4196300,0.0,0.0
2025-11-06 00:00:00-05:00,70.05,70.56,67.14,67.36,4763700,0.0,0.0
2025-11-05 00:00:00-05:00,69.46,70.63,69.21,70.44,3897900,0.0,0.0
2025-11-04 00:00:00-05:00,69.65,70.09,68.57,69.79,4498500,0.0,0.0
2025-11-03 00:00:00-05:00,67.85,70.24,67.79,69.38,7955600,0.0,0.0
2025-10-31 00:00:00-04:00,68.76,69.14,66.41,68.81,7020100,0.0,0.0
2025-10-30 00:00:00-04:00,70.66,70.76,68.4,69.64,5184600,0.0,0.0
2025-10-29 00:00:00-04:00,72.34,72.5,63.82,70.51,15475600,0.0,0.0
2025-10-28 00:00:00-04:00,77.88,78.95,77.4,78.23,3543900,0.0,0.0
2025-10-27 00:00:00-04:00,77.89,79.08,77.4,78.12,2804500,0.0,0.0
2025-10-24 00:00:00-04:00,78.14,78.72,77.58,77.89,2142500,0.0,0.0
2025-10-23 00:00:00-04:00,77.14,77.84,76.43,77.66,1823300,0.0,0.0
2025-10-22 00:00:00-04:00,77.0,78.13,76.46,77.19,2287200,0.0,0.0
2025-10-21 00:00:00-04:00,74.64,76.98,74.13,76.85,2897300,0.0,0.0
2025-10-20 00:00:00-04:00,74.02,75.03,73.92,74.96,1984600,0.0,0.0
2025-10-17 00:00:00-04:00,74.18,74.89,73.58,73.99,2916000,0.0,0.0
2025-10-16 00:00:00-04:00,75.63,76.32,73.97,74.35,2427600,0.0,0.0
2025-10-15 00:00:00-04:00,75.65,75.97,74.26,75.19,2913300,0.0,0.0
2025-10-14 00:00:00-04:00,74.56,76.09,74.5,75.73,3307600,0.0,0.0
2025-10-13 00:00:00-04:00,76.42,76.42,75.11,75.18,3160200,0.0,0.0
2025-10-10 00:00:00-04:00,77.43,77.82,75.39,75.58,3028500,0.0,0.0
2025-10-09 00:00:00-04:00,79.01,79.21,77.4,77.53,2609600,0.0,0.0
2025-10-08 00:00:00-04:00,80.45,80.55,78.6,79.0,4221100,0.0,0.0
2025-10-07 00:00:00-04:00,81.22,81.45,79.8,80.6,2364900,0.0,0.0
2025-10-06 00:00:00-04:00,85.11,85.24,80.58,81.15,4225100,0.0,0.0
2025-10-03 00:00:00-04:00,84.2,85.08,84.11,84.8,2671900,0.0,0.0
2025-10-02 00:00:00-04:00,83.2,84.52,82.58,83.9,2863300,0.0,0.0
2025-10-01 00:00:00-04:00,84.22,84.76,82.9,83.48,2856300,0.0,0.0
2025-09-30 00:00:00-04:00,84.22,84.86,83.15,84.37,3583300,0.0,0.0
2025-09-29 00:00:00-04:00,84.73,84.73,83.66,84.23,2394300,0.0,0.0
2025-09-26 00:00:00-04:00,83.09,84.41,82.79,83.99,3091200,0.0,0.0
2025-09-25 00:00:00-04:00,84.05,84.42,82.91,83.09,3275500,0.0,0.0
2025-09-24 00:00:00-04:00,85.56,85.6,83.86,84.05,2703800,0.0,0.0
