Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-25 00:00:00-05:00,69.0,69.13,69.0,69.07,2100835,0.0,0.0
2025-11-24 00:00:00-05:00,68.87,69.05,68.87,68.95,2160400,0.0,0.0
2025-11-21 00:00:00-05:00,68.98,68.98,68.81,68.85,2365600,0.0,0.0
2025-11-20 00:00:00-05:00,69.1,69.12,68.84,68.87,3561700,0.0,0.0
2025-11-19 00:00:00-05:00,68.87,69.08,68.87,68.97,2886600,0.0,0.0
2025-11-18 00:00:00-05:00,68.8,69.02,68.8,68.97,3030900,0.0,0.0
2025-11-17 00:00:00-05:00,69.0,69.06,68.79,68.83,2167400,0.0,0.0
2025-11-14 00:00:00-05:00,68.87,69.07,68.84,69.0,1842300,0.0,0.0
2025-11-13 00:00:00-05:00,68.95,68.99,68.86,68.91,2130800,0.0,0.0
2025-11-12 00:00:00-05:00,68.8,69.17,68.71,68.99,5529200,0.0,0.0
2025-11-11 00:00:00-05:00,68.65,68.8,68.6,68.8,2896100,0.0,0.0
2025-11-10 00:00:00-05:00,68.55,68.69,68.44,68.6,4264700,0.0,0.0
2025-11-07 00:00:00-05:00,68.41,68.6,68.33,68.35,3595300,0.0,0.0
2025-11-06 00:00:00-05:00,68.56,68.69,68.39,68.52,5372000,0.0,0.0
2025-11-05 00:00:00-05:00,68.75,68.8,68.53,68.54,7780600,0.0,0.0
2025-11-04 00:00:00-05:00,68.7,68.84,68.61,68.61,2995600,0.0,0.0
2025-11-03 00:00:00-05:00,68.42,68.81,68.42,68.69,2116800,0.0,0.0
2025-10-31 00:00:00-04:00,68.8,68.98,68.68,68.74,8343400,0.0,0.0
2025-10-30 00:00:00-04:00,68.4,68.58,68.3,68.45,3162500,0.0,0.0
2025-10-29 00:00:00-04:00,68.31,68.45,68.31,68.36,3701500,0.0,0.0
2025-10-28 00:00:00-04:00,68.5,68.5,68.39,68.4,2195300,0.0,0.0
2025-10-27 00:00:00-04:00,68.54,68.58,68.41,68.45,2123200,0.0,0.0
2025-10-24 00:00:00-04:00,68.55,68.59,68.47,68.48,1175900,0.0,0.0
2025-10-23 00:00:00-04:00,68.5,68.55,68.45,68.5,2890200,0.0,0.0
2025-10-22 00:00:00-04:00,68.35,68.55,68.33,68.5,2490800,0.0,0.0
2025-10-21 00:00:00-04:00,68.38,68.49,68.25,68.34,3785900,0.0,0.0
2025-10-20 00:00:00-04:00,68.3,68.43,68.19,68.28,1531800,0.0,0.0
2025-10-17 00:00:00-04:00,68.2,68.34,68.2,68.26,2002100,0.0,0.0
2025-10-16 00:00:00-04:00,68.34,68.35,68.11,68.32,2392300,0.0,0.0
2025-10-15 00:00:00-04:00,68.25,68.35,68.17,68.28,1329100,0.0,0.0
2025-10-14 00:00:00-04:00,68.22,68.4,68.15,68.2,2008200,0.0,0.0
2025-10-13 00:00:00-04:00,68.3,68.41,68.15,68.38,1481200,0.0,0.0
2025-10-10 00:00:00-04:00,68.45,68.46,68.0,68.11,2475500,0.0,0.0
2025-10-09 00:00:00-04:00,68.5,68.57,68.14,68.52,2895400,0.0,0.0
2025-10-08 00:00:00-04:00,69.1,69.1,68.39,68.61,3210200,0.0,0.0
2025-10-07 00:00:00-04:00,69.02,69.1,68.97,68.99,3873400,0.0,0.0
2025-10-06 00:00:00-04:00,69.15,69.22,69.0,69.01,1240900,0.0,0.0
2025-10-03 00:00:00-04:00,68.97,69.05,68.92,68.96,975200,0.0,0.0
2025-10-02 00:00:00-04:00,68.93,69.01,68.88,68.99,804600,0.0,0.0
2025-10-01 00:00:00-04:00,68.87,69.0,68.87,68.95,979600,0.0,0.0
2025-09-30 00:00:00-04:00,68.88,68.94,68.85,68.89,1109500,0.0,0.0
2025-09-29 00:00:00-04:00,68.95,68.95,68.81,68.83,2101100,0.0,0.0
2025-09-26 00:00:00-04:00,68.87,68.94,68.85,68.86,733300,0.0,0.0
2025-09-25 00:00:00-04:00,68.78,68.9,68.78,68.85,1276800,0.0,0.0
2025-09-24 00:00:00-04:00,68.89,68.89,68.75,68.83,4025000,0.0,0.0
2025-09-23 00:00:00-04:00,68.82,68.87,68.75,68.82,6395400,0.0,0.0
2025-09-22 00:00:00-04:00,68.83,69.02,68.71,68.75,7705900,0.0,0.0
2025-09-19 00:00:00-04:00,68.88,68.93,68.76,68.8,2993800,0.0,0.0
2025-09-18 00:00:00-04:00,68.95,69.14,68.81,68.95,1367000,0.0,0.0
2025-09-17 00:00:00-04:00,69.08,69.27,68.41,68.41,3668700,0.0,0.0
2025-09-16 00:00:00-04:00,68.93,69.1,68.91,69.07,883900,0.0,0.0
2025-09-15 00:00:00-04:00,68.95,69.2,68.9,68.91,1264700,0.0,0.0
2025-09-12 00:00:00-04:00,69.09,69.15,68.88,68.99,1302400,0.0,0.0
2025-09-11 00:00:00-04:00,69.08,69.13,68.87,69.02,1885900,0.0,0.0
2025-09-10 00:00:00-04:00,68.87,69.17,68.84,68.89,1929700,0.0,0.0
2025-09-09 00:00:00-04:00,69.2,69.26,68.87,68.9,1642100,0.0,0.0
2025-09-08 00:00:00-04:00,69.1,69.37,68.87,69.34,2477100,0.0,0.0
2025-09-05 00:00:00-04:00,69.6,69.68,68.77,69.0,2868000,0.0,0.0
2025-09-04 00:00:00-04:00,69.41,69.69,69.36,69.55,1409000,0.0,0.0
2025-09-03 00:00:00-04:00,69.57,69.7,69.26,69.54,1344000,0.0,0.0
2025-09-02 00:00:00-04:00,69.47,69.81,69.22,69.5,1927500,0.0,0.0
2025-08-29 00:00:00-04:00,69.65,69.82,69.48,69.77,1637500,0.0,0.0
2025-08-28 00:00:00-04:00,69.55,69.85,69.53,69.7,2971600,0.0,0.0
2025-08-27 00:00:00-04:00,69.5,69.68,69.49,69.55,1601600,0.0,0.0
2025-08-26 00:00:00-04:00,69.55,69.81,69.35,69.57,1721100,0.0,0.0
2025-08-25 00:00:00-04:00,68.83,69.6,68.83,69.49,2490100,0.0,0.0
2025-08-22 00:00:00-04:00,69.0,69.4,68.85,69.2,5247500,0.0,0.0
2025-08-21 00:00:00-04:00,68.5,69.03,68.41,69.0,13085000,0.0,0.0
2025-08-20 00:00:00-04:00,67.58,68.0,66.97,67.4,5528100,0.0,0.0
2025-08-19 00:00:00-04:00,66.3,66.57,65.11,65.47,4030500,0.0,0.0
2025-08-18 00:00:00-04:00,65.95,68.29,64.73,66.62,11383300,0.0,0.0
2025-08-15 00:00:00-04:00,53.61,53.66,52.29,52.88,2161200,0.0,0.0
2025-08-14 00:00:00-04:00,52.85,54.12,52.39,53.41,2619200,0.0,0.0
2025-08-13 00:00:00-04:00,51.87,53.44,51.5,53.43,1964500,0.0,0.0
2025-08-12 00:00:00-04:00,50.19,51.83,49.98,51.56,2009500,0.0,0.0
2025-08-11 00:00:00-04:00,51.59,51.95,49.65,49.92,1438500,0.0,0.0
2025-08-08 00:00:00-04:00,52.62,52.75,50.92,51.17,1994400,0.0,0.0
2025-08-07 00:00:00-04:00,54.78,55.51,51.34,52.8,2287900,0.0,0.0
2025-08-06 00:00:00-04:00,52.97,54.05,50.74,53.4,5072900,0.0,0.0
2025-08-05 00:00:00-04:00,55.41,55.47,53.01,53.21,3373400,0.0,0.0
2025-08-04 00:00:00-04:00,55.64,55.84,54.76,55.14,1456900,0.0,0.0
2025-08-01 00:00:00-04:00,57.34,57.8,54.42,55.27,1804900,0.0,0.0
2025-07-31 00:00:00-04:00,58.87,59.41,57.47,57.67,1450100,0.0,0.0
2025-07-30 00:00:00-04:00,57.1,59.57,56.81,59.0,1761400,0.0,0.0
2025-07-29 00:00:00-04:00,59.42,59.58,58.44,59.49,1009500,0.0,0.0
