Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-25 00:00:00-05:00,1.4,1.49,1.4,1.48,35484,0.0,0.0
2025-11-24 00:00:00-05:00,1.16,1.27,1.16,1.21,68850,0.0,0.0
2025-11-21 00:00:00-05:00,1.06,1.13,1.03,1.11,76155,0.0,0.0
2025-11-20 00:00:00-05:00,1.21,1.48,1.06,1.06,833200,0.0,0.0
2025-11-19 00:00:00-05:00,1.34,1.4,1.07,1.25,1305300,0.0,0.0
2025-11-18 00:00:00-05:00,1.93,1.93,1.5,1.54,834600,0.0,0.0
2025-11-17 00:00:00-05:00,1.76,1.83,1.73,1.74,292400,0.0,0.0
2025-11-14 00:00:00-05:00,1.55,1.69,1.4,1.65,597000,0.0,0.0
2025-11-13 00:00:00-05:00,1.48,1.6,1.47,1.52,1461500,0.0,0.0
2025-11-12 00:00:00-05:00,2.07,2.2,2.07,2.12,333800,0.0,0.0
2025-11-11 00:00:00-05:00,2.5,2.54,2.17,2.2,240700,0.0,0.0
2025-11-10 00:00:00-05:00,2.24,2.54,2.08,2.25,453000,0.0,0.0
2025-11-07 00:00:00-05:00,2.25,2.38,1.94,2.24,290800,0.0,0.0
2025-11-06 00:00:00-05:00,2.82,2.82,2.16,2.22,601200,0.0,0.0
2025-11-05 00:00:00-05:00,2.8,2.88,2.55,2.57,243900,0.0,0.0
2025-11-04 00:00:00-05:00,2.72,2.95,2.5,2.76,163600,0.0,0.0
2025-11-03 00:00:00-05:00,2.75,2.75,2.5,2.63,599300,0.0,0.0
2025-10-31 00:00:00-04:00,2.97,2.97,2.52,2.55,621500,0.0,0.0
2025-10-30 00:00:00-04:00,2.85,2.85,2.68,2.73,807000,0.0,0.0
2025-10-29 00:00:00-04:00,3.0,3.0,2.88,2.9,947500,0.0,0.0
2025-10-28 00:00:00-04:00,3.4,3.4,3.1,3.21,345000,0.0,0.0
2025-10-27 00:00:00-04:00,3.39,3.39,3.14,3.14,1122000,0.0,0.0
2025-10-24 00:00:00-04:00,3.45,3.45,3.05,3.09,864900,0.0,0.0
2025-10-23 00:00:00-04:00,3.0,3.2,3.0,3.15,88000,0.0,0.0
2025-10-22 00:00:00-04:00,3.25,3.42,3.01,3.12,155500,0.0,0.0
2025-10-21 00:00:00-04:00,3.51,3.51,3.08,3.13,130000,0.0,0.0
2025-10-20 00:00:00-04:00,3.46,3.46,3.23,3.25,443500,0.0,0.0
2025-10-17 00:00:00-04:00,3.3,3.3,2.75,3.03,518200,0.0,0.0
2025-10-16 00:00:00-04:00,3.1,3.29,3.1,3.11,389900,0.0,0.0
2025-10-15 00:00:00-04:00,3.35,3.43,3.25,3.3,428600,0.0,0.0
2025-10-14 00:00:00-04:00,3.38,4.11,3.35,3.64,680500,0.0,0.0
2025-10-13 00:00:00-04:00,3.91,4.25,3.7,3.7,361500,0.0,0.0
2025-10-10 00:00:00-04:00,4.0,4.0,3.8,3.91,246100,0.0,0.0
2025-10-09 00:00:00-04:00,4.35,4.35,4.1,4.13,185800,0.0,0.0
2025-10-08 00:00:00-04:00,4.3,4.3,4.2,4.22,1061000,0.0,0.0
2025-10-07 00:00:00-04:00,4.39,4.39,4.0,4.04,235700,0.0,0.0
2025-10-06 00:00:00-04:00,3.81,4.31,3.81,4.24,498000,0.0,0.0
2025-10-03 00:00:00-04:00,3.5,3.91,3.5,3.76,329500,0.0,0.0
2025-10-02 00:00:00-04:00,3.99,4.15,3.27,3.45,833100,0.0,0.0
2025-10-01 00:00:00-04:00,3.89,4.2,3.75,4.17,1007000,0.0,0.0
2025-09-30 00:00:00-04:00,3.1,3.5,3.08,3.36,831900,0.0,0.0
2025-09-29 00:00:00-04:00,2.75,3.0,2.7,2.93,615500,0.0,0.0
2025-09-26 00:00:00-04:00,2.8,2.8,2.4,2.51,88800,0.0,0.0
2025-09-25 00:00:00-04:00,2.65,2.65,2.37,2.4,304800,0.0,0.0
2025-09-24 00:00:00-04:00,2.65,2.65,2.43,2.53,468100,0.0,0.0
2025-09-23 00:00:00-04:00,2.27,2.36,2.27,2.35,268000,0.0,0.0
2025-09-22 00:00:00-04:00,2.25,2.33,2.17,2.25,543900,0.0,0.0
2025-09-19 00:00:00-04:00,2.18,2.59,2.12,2.17,874500,0.0,0.0
2025-09-18 00:00:00-04:00,2.19,2.2,2.0,2.16,223000,0.0,0.0
2025-09-17 00:00:00-04:00,2.38,2.39,2.12,2.16,147400,0.0,0.0
2025-09-16 00:00:00-04:00,2.17,2.17,2.12,2.13,340200,0.0,0.0
2025-09-15 00:00:00-04:00,2.17,2.2,2.13,2.16,124000,0.0,0.0
2025-09-12 00:00:00-04:00,2.05,2.18,2.05,2.12,99200,0.0,0.0
2025-09-11 00:00:00-04:00,2.1,2.11,2.05,2.11,81700,0.0,0.0
2025-09-10 00:00:00-04:00,2.07,2.21,2.07,2.09,259200,0.0,0.0
2025-09-09 00:00:00-04:00,2.05,2.14,2.02,2.04,187800,0.0,0.0
2025-09-08 00:00:00-04:00,2.01,2.18,2.0,2.17,822900,0.0,0.0
2025-09-05 00:00:00-04:00,2.01,2.03,1.95,1.98,250300,0.0,0.0
2025-09-04 00:00:00-04:00,2.19,2.3,2.02,2.05,47200,0.0,0.0
2025-09-03 00:00:00-04:00,1.98,2.16,1.98,2.08,221400,0.0,0.0
2025-09-02 00:00:00-04:00,2.16,2.2,1.96,1.98,244800,0.0,0.0
2025-08-29 00:00:00-04:00,2.19,2.2,2.14,2.16,113600,0.0,0.0
2025-08-28 00:00:00-04:00,2.35,2.35,2.11,2.2,390000,0.0,0.0
2025-08-27 00:00:00-04:00,2.49,2.49,2.06,2.16,158800,0.0,0.0
2025-08-26 00:00:00-04:00,2.42,2.47,2.27,2.36,71200,0.0,0.0
2025-08-25 00:00:00-04:00,2.41,2.48,2.33,2.36,96500,0.0,0.0
2025-08-22 00:00:00-04:00,2.39,2.43,2.31,2.4,168500,0.0,0.0
2025-08-21 00:00:00-04:00,2.41,2.41,2.1,2.25,594500,0.0,0.0
2025-08-20 00:00:00-04:00,2.14,2.24,2.09,2.16,266200,0.0,0.0
