Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-24 00:00:00-05:00,120.5,122.26,119.04,119.49,1045561,0.0,0.0
2025-11-21 00:00:00-05:00,116.02,121.5,115.78,120.25,1095691,0.0,0.0
2025-11-20 00:00:00-05:00,115.3,116.77,114.11,115.35,773700,0.0,0.0
2025-11-19 00:00:00-05:00,116.89,116.89,113.97,115.2,767200,0.0,0.0
2025-11-18 00:00:00-05:00,116.75,117.72,115.69,116.56,788400,0.0,0.0
2025-11-17 00:00:00-05:00,121.55,121.8,116.72,117.27,939100,0.0,0.0
2025-11-14 00:00:00-05:00,123.4,123.4,121.51,121.55,684300,0.0,0.0
2025-11-13 00:00:00-05:00,122.67,124.86,122.62,123.05,728900,0.0,0.0
2025-11-12 00:00:00-05:00,121.99,125.68,121.97,123.6,919600,0.0,0.0
2025-11-11 00:00:00-05:00,120.61,124.1,120.37,122.27,947800,0.0,0.0
2025-11-10 00:00:00-05:00,121.5,121.78,118.75,120.17,1044600,0.0,0.0
2025-11-07 00:00:00-05:00,121.43,123.79,120.92,123.69,956300,0.0,0.0
2025-11-06 00:00:00-05:00,120.99,122.19,120.48,121.53,963100,0.0,0.0
2025-11-05 00:00:00-05:00,119.69,121.87,119.25,121.16,936600,0.0,0.0
2025-11-04 00:00:00-05:00,118.81,120.78,118.32,119.97,1339600,0.0,0.0
2025-11-03 00:00:00-05:00,118.0,119.06,115.64,119.05,1364000,0.0,0.0
2025-10-31 00:00:00-04:00,118.34,119.54,115.39,119.02,1373200,0.0,0.0
2025-10-30 00:00:00-04:00,124.87,128.4,117.73,118.75,2541100,0.0,0.0
2025-10-29 00:00:00-04:00,129.07,130.82,126.04,126.56,1567500,0.0,0.0
2025-10-28 00:00:00-04:00,129.55,130.75,128.28,129.61,544300,0.0,0.0
2025-10-27 00:00:00-04:00,129.17,129.77,128.69,129.55,542000,0.0,0.0
2025-10-24 00:00:00-04:00,129.29,130.47,128.48,129.19,699200,0.0,0.0
2025-10-23 00:00:00-04:00,128.21,128.36,126.57,128.02,537200,0.0,0.0
2025-10-22 00:00:00-04:00,128.45,130.25,128.16,129.08,606900,0.0,0.0
2025-10-21 00:00:00-04:00,128.09,129.11,127.28,128.41,372500,0.0,0.0
2025-10-20 00:00:00-04:00,126.43,128.48,125.66,128.05,489400,0.0,0.0
2025-10-17 00:00:00-04:00,125.37,126.27,124.6,125.88,391300,0.0,0.0
2025-10-16 00:00:00-04:00,126.0,126.94,124.76,125.25,542200,0.0,0.0
2025-10-15 00:00:00-04:00,125.49,127.92,124.87,126.0,814700,0.0,0.0
2025-10-14 00:00:00-04:00,123.46,126.95,123.1,126.62,738800,0.0,0.0
2025-10-13 00:00:00-04:00,124.1,124.6,122.93,123.91,455100,0.0,0.0
2025-10-10 00:00:00-04:00,126.88,126.94,123.13,123.99,595300,0.0,0.0
2025-10-09 00:00:00-04:00,128.59,128.89,126.31,126.38,686700,0.0,0.0
2025-10-08 00:00:00-04:00,131.26,131.26,127.43,127.89,660700,0.0,0.0
2025-10-07 00:00:00-04:00,129.41,131.84,129.18,131.04,659300,0.0,0.0
2025-10-06 00:00:00-04:00,130.66,131.16,127.88,128.14,753800,0.0,0.0
2025-10-03 00:00:00-04:00,132.6,133.22,130.86,131.16,777400,0.0,0.0
2025-10-02 00:00:00-04:00,132.51,133.5,131.1,132.1,681200,0.0,0.0
2025-10-01 00:00:00-04:00,132.74,134.59,132.07,132.87,738800,0.0,0.0
2025-09-30 00:00:00-04:00,130.64,133.55,130.09,132.87,642400,0.0,0.0
2025-09-29 00:00:00-04:00,130.65,131.8,129.2,130.59,516600,0.0,0.0
2025-09-26 00:00:00-04:00,131.06,131.74,130.48,130.8,454500,0.0,0.0
2025-09-25 00:00:00-04:00,133.42,133.8,129.73,130.27,591500,0.0,0.0
2025-09-24 00:00:00-04:00,132.06,134.34,131.32,133.62,530900,0.0,0.0
2025-09-23 00:00:00-04:00,131.22,134.01,131.22,132.83,677700,0.0,0.0
2025-09-22 00:00:00-04:00,130.06,131.68,129.44,131.15,773800,0.0,0.0
2025-09-19 00:00:00-04:00,130.22,131.17,129.78,130.16,3137200,0.0,0.0
2025-09-18 00:00:00-04:00,127.95,130.75,126.95,130.23,704800,0.0,0.0
2025-09-17 00:00:00-04:00,130.7,131.34,127.55,128.0,1387400,0.0,0.0
2025-09-16 00:00:00-04:00,131.31,131.31,129.66,130.11,738100,0.0,0.0
2025-09-15 00:00:00-04:00,133.17,133.54,130.45,130.95,633300,0.0,0.0
2025-09-12 00:00:00-04:00,133.0,133.94,132.08,133.17,481700,0.0,0.0
2025-09-11 00:00:00-04:00,133.17,134.48,132.76,133.24,728900,0.0,0.0
2025-09-10 00:00:00-04:00,135.81,136.4,131.77,132.26,605100,0.0,0.0
2025-09-09 00:00:00-04:00,134.52,137.58,133.74,136.71,715000,0.0,0.0
2025-09-08 00:00:00-04:00,136.99,136.99,133.57,134.51,882300,0.0,0.0
2025-09-05 00:00:00-04:00,135.5,138.37,135.5,137.87,660000,0.0,0.0
2025-09-04 00:00:00-04:00,136.14,137.06,135.04,135.56,797900,0.0,0.0
2025-09-03 00:00:00-04:00,136.66,137.29,135.33,135.97,583900,0.0,0.0
2025-09-02 00:00:00-04:00,136.46,137.0,135.01,136.95,1039400,0.0,0.0
2025-08-29 00:00:00-04:00,136.08,137.77,135.74,137.76,531300,0.0,0.0
2025-08-28 00:00:00-04:00,137.97,138.05,134.71,136.03,990200,0.0,0.0
2025-08-27 00:00:00-04:00,138.93,139.65,137.51,137.56,506700,0.0,0.0
2025-08-26 00:00:00-04:00,137.34,138.97,136.33,138.68,951900,0.0,0.0
2025-08-25 00:00:00-04:00,139.77,141.0,137.28,137.33,561100,0.0,0.0
2025-08-22 00:00:00-04:00,137.37,141.77,137.12,140.36,714600,0.0,0.0
2025-08-21 00:00:00-04:00,139.19,140.59,137.36,137.58,564900,0.0,0.0
2025-08-20 00:00:00-04:00,137.19,138.31,136.64,137.42,467000,0.0,0.0
2025-08-19 00:00:00-04:00,133.95,137.43,133.26,136.68,746800,0.0,0.0
2025-08-18 00:00:00-04:00,135.78,137.0,133.12,133.25,692200,0.0,0.0
2025-08-15 00:00:00-04:00,135.05,136.18,134.04,135.38,721000,0.0,0.0
2025-08-14 00:00:00-04:00,133.84,134.86,132.86,134.39,691300,0.0,0.0
2025-08-13 00:00:00-04:00,132.75,135.58,132.69,134.69,614900,0.0,0.0
2025-08-12 00:00:00-04:00,128.45,132.56,128.28,132.08,755800,0.0,0.0
2025-08-11 00:00:00-04:00,129.5,130.66,128.87,129.05,850200,0.0,0.0
2025-08-08 00:00:00-04:00,128.33,130.51,127.32,129.5,949600,0.0,0.0
2025-08-07 00:00:00-04:00,129.01,129.64,126.44,127.69,1121500,0.0,0.0
2025-08-06 00:00:00-04:00,136.3,137.13,126.07,127.81,3368300,0.0,0.0
2025-08-05 00:00:00-04:00,139.31,141.52,138.29,140.52,1227400,0.0,0.0
2025-08-04 00:00:00-04:00,137.61,141.23,137.5,139.52,897100,0.0,0.0
2025-08-01 00:00:00-04:00,140.2,141.97,136.79,138.48,686300,0.0,0.0
2025-07-31 00:00:00-04:00,143.56,144.59,140.11,140.37,663200,0.0,0.0
2025-07-30 00:00:00-04:00,145.59,146.66,143.59,144.57,628000,0.0,0.0
2025-07-29 00:00:00-04:00,145.2,147.3,144.88,145.98,488800,0.0,0.0
2025-07-28 00:00:00-04:00,145.0,146.2,144.32,145.31,440200,0.0,0.0
2025-07-25 00:00:00-04:00,144.68,145.21,142.89,145.17,524500,0.0,0.0
2025-07-24 00:00:00-04:00,151.2,151.59,143.8,144.77,1033000,0.0,0.0
2025-07-23 00:00:00-04:00,147.37,151.85,146.78,151.32,1205600,0.0,0.0
2025-07-22 00:00:00-04:00,140.9,146.86,140.5,146.05,970700,0.0,0.0
2025-07-21 00:00:00-04:00,140.99,141.37,138.65,139.43,676200,0.0,0.0
2025-07-18 00:00:00-04:00,143.82,144.07,140.81,141.16,708800,0.0,0.0
2025-07-17 00:00:00-04:00,139.96,143.56,139.76,143.38,578700,0.0,0.0
2025-07-16 00:00:00-04:00,140.35,141.09,139.04,140.22,655500,0.0,0.0
2025-07-15 00:00:00-04:00,142.93,143.98,139.82,140.53,672900,0.0,0.0
2025-07-14 00:00:00-04:00,142.55,144.25,142.07,143.41,582800,0.0,0.0
2025-07-11 00:00:00-04:00,142.39,143.32,141.77,142.55,537600,0.0,0.0
2025-07-10 00:00:00-04:00,141.17,144.19,140.81,143.46,734800,0.0,0.0
2025-07-09 00:00:00-04:00,145.08,145.08,139.55,141.84,810100,0.0,0.0
2025-07-08 00:00:00-04:00,142.2,145.88,141.89,143.8,826700,0.0,0.0
2025-07-07 00:00:00-04:00,142.73,143.89,141.6,142.81,718400,0.0,0.0
2025-07-03 00:00:00-04:00,142.86,144.06,141.84,142.56,600100,0.0,0.0
2025-07-02 00:00:00-04:00,145.66,145.99,142.56,142.56,831000,0.0,0.0
2025-07-01 00:00:00-04:00,142.43,147.45,142.32,146.71,1234900,0.0,0.0
2025-06-30 00:00:00-04:00,141.69,143.05,140.71,142.45,984600,0.0,0.0
2025-06-27 00:00:00-04:00,141.42,143.64,140.3,141.67,1155000,0.0,0.0
2025-06-26 00:00:00-04:00,141.26,143.01,139.82,141.09,949300,0.0,0.0
2025-06-25 00:00:00-04:00,140.54,141.33,139.63,140.36,607100,0.0,0.0
2025-06-24 00:00:00-04:00,137.28,141.79,136.04,140.95,733900,0.0,0.0
2025-06-23 00:00:00-04:00,136.22,137.83,135.13,136.34,1017100,0.0,0.0
2025-06-20 00:00:00-04:00,136.04,136.98,135.07,136.94,1711200,0.0,0.0
2025-06-18 00:00:00-04:00,136.27,138.26,135.26,135.79,833500,0.0,0.0
2025-06-17 00:00:00-04:00,136.58,137.5,135.79,136.51,848800,0.0,0.0
2025-06-16 00:00:00-04:00,136.51,137.89,134.95,137.84,646700,0.0,0.0
2025-06-13 00:00:00-04:00,136.12,137.99,134.64,136.12,826100,0.0,0.0
2025-06-12 00:00:00-04:00,138.14,138.29,135.84,137.35,852700,0.0,0.0
2025-06-11 00:00:00-04:00,139.07,140.6,137.24,138.17,634900,0.0,0.0
2025-06-10 00:00:00-04:00,138.15,140.02,137.27,139.11,576000,0.0,0.0
2025-06-09 00:00:00-04:00,138.01,138.48,135.16,137.78,566200,0.0,0.0
2025-06-06 00:00:00-04:00,138.11,139.78,137.46,137.9,590300,0.0,0.0
2025-06-05 00:00:00-04:00,136.9,139.39,136.67,137.74,948400,0.0,0.0
2025-06-04 00:00:00-04:00,136.31,138.17,136.04,136.75,721400,0.0,0.0
2025-06-03 00:00:00-04:00,134.0,136.03,132.57,135.99,995700,0.0,0.0
2025-06-02 00:00:00-04:00,135.67,136.49,133.9,134.41,775600,0.0,0.0
2025-05-30 00:00:00-04:00,135.94,136.92,134.56,136.26,1163900,0.0,0.0
2025-05-29 00:00:00-04:00,137.0,137.02,134.81,136.33,724000,0.0,0.0
2025-05-28 00:00:00-04:00,139.24,139.29,136.5,136.66,609200,0.0,0.0
2025-05-27 00:00:00-04:00,138.59,140.42,137.81,139.89,795000,0.0,0.0
2025-05-23 00:00:00-04:00,137.99,138.63,136.5,138.19,605500,0.0,0.0
2025-05-22 00:00:00-04:00,140.0,140.54,138.1,138.52,627400,0.0,0.0
2025-05-21 00:00:00-04:00,144.42,144.9,140.68,140.85,665200,0.0,0.0
2025-05-20 00:00:00-04:00,145.29,147.68,144.64,145.77,701800,0.0,0.0
2025-05-19 00:00:00-04:00,144.41,145.05,140.49,144.96,940300,0.0,0.0
2025-05-16 00:00:00-04:00,143.96,145.45,143.16,145.41,738900,0.0,0.0
2025-05-15 00:00:00-04:00,140.2,143.63,139.16,143.6,688100,0.0,0.0
2025-05-14 00:00:00-04:00,144.18,144.43,139.56,139.9,1131000,0.0,0.0
2025-05-13 00:00:00-04:00,142.56,145.18,136.43,143.98,2167800,0.0,0.0
2025-05-12 00:00:00-04:00,146.5,147.1,142.5,144.43,1279600,0.0,0.0
2025-05-09 00:00:00-04:00,143.59,144.42,142.76,143.76,664500,0.0,0.0
2025-05-08 00:00:00-04:00,144.0,145.8,142.8,143.63,569500,0.0,0.0
2025-05-07 00:00:00-04:00,142.74,144.23,142.54,143.96,674100,0.0,0.0
2025-05-06 00:00:00-04:00,141.22,144.28,140.66,142.62,828100,0.0,0.0
2025-05-05 00:00:00-04:00,141.07,142.91,140.15,141.57,420700,0.0,0.0
2025-05-02 00:00:00-04:00,142.5,142.5,139.35,141.13,575000,0.0,0.0
2025-05-01 00:00:00-04:00,140.64,142.43,138.67,140.44,643200,0.0,0.0
2025-04-30 00:00:00-04:00,141.18,141.87,139.15,141.55,744000,0.0,0.0
2025-04-29 00:00:00-04:00,140.55,142.57,139.05,141.54,611800,0.0,0.0
2025-04-28 00:00:00-04:00,140.73,142.36,138.93,140.5,587700,0.0,0.0
2025-04-25 00:00:00-04:00,139.98,139.98,137.46,139.56,600700,0.0,0.0
2025-04-24 00:00:00-04:00,139.14,140.73,137.98,139.56,648300,0.0,0.0
2025-04-23 00:00:00-04:00,136.66,140.28,136.66,138.93,917700,0.0,0.0
2025-04-22 00:00:00-04:00,134.63,135.13,132.63,134.97,948200,0.0,0.0
2025-04-21 00:00:00-04:00,140.18,140.45,133.02,133.5,1184600,0.0,0.0
2025-04-17 00:00:00-04:00,140.36,141.59,136.54,140.03,995000,0.0,0.0
2025-04-16 00:00:00-04:00,147.04,147.47,141.35,141.5,1121800,0.0,0.0
2025-04-15 00:00:00-04:00,151.1,151.71,145.64,146.28,1126000,0.0,0.0
2025-04-14 00:00:00-04:00,154.91,154.91,147.81,150.88,1304700,0.0,0.0
2025-04-11 00:00:00-04:00,153.0,157.12,151.84,155.51,581000,0.0,0.0
2025-04-10 00:00:00-04:00,152.03,154.52,148.04,153.36,683300,0.0,0.0
2025-04-09 00:00:00-04:00,142.56,155.32,142.4,152.86,1171700,0.0,0.0
2025-04-08 00:00:00-04:00,150.81,151.68,141.91,143.92,904700,0.0,0.0
2025-04-07 00:00:00-04:00,146.02,151.83,143.68,146.61,1237100,0.0,0.0
2025-04-04 00:00:00-04:00,151.18,154.72,148.2,149.49,1009500,0.0,0.0
2025-04-03 00:00:00-04:00,152.35,156.01,151.74,153.73,882400,0.0,0.0
2025-04-02 00:00:00-04:00,150.17,155.0,150.17,154.29,710700,0.0,0.0
2025-04-01 00:00:00-04:00,152.97,153.5,150.53,151.91,718500,0.0,0.0
2025-03-31 00:00:00-04:00,149.85,153.94,149.37,152.97,661300,0.0,0.0
2025-03-28 00:00:00-04:00,152.57,152.85,149.87,150.22,614900,0.0,0.0
2025-03-27 00:00:00-04:00,151.82,153.31,150.3,152.5,410700,0.0,0.0
2025-03-26 00:00:00-04:00,151.3,153.42,149.95,151.37,574000,0.0,0.0
2025-03-25 00:00:00-04:00,150.72,152.01,149.09,150.78,662300,0.0,0.0
2025-03-24 00:00:00-04:00,149.32,150.93,148.41,150.41,704900,0.0,0.0
2025-03-21 00:00:00-04:00,148.24,149.76,147.19,148.15,1037200,0.0,0.0
2025-03-20 00:00:00-04:00,149.77,151.15,148.62,149.01,882400,0.0,0.0
2025-03-19 00:00:00-04:00,148.95,150.53,148.95,149.83,961100,0.0,0.0
2025-03-18 00:00:00-04:00,149.35,150.46,148.29,149.37,673900,0.0,0.0
2025-03-17 00:00:00-04:00,143.0,150.86,143.0,149.24,1121900,0.0,0.0
2025-03-14 00:00:00-04:00,141.98,145.12,140.35,143.45,759400,0.0,0.0
2025-03-13 00:00:00-04:00,142.8,143.21,140.71,141.12,816600,0.0,0.0
2025-03-12 00:00:00-04:00,145.9,146.89,140.2,142.63,1157300,0.0,0.0
2025-03-11 00:00:00-04:00,151.8,153.44,146.41,146.63,1216700,0.0,0.0
2025-03-10 00:00:00-04:00,146.44,154.08,146.01,151.9,1484600,0.0,0.0
2025-03-07 00:00:00-05:00,139.72,147.95,139.06,147.02,1099300,0.0,0.0
2025-03-06 00:00:00-05:00,138.9,142.05,138.64,140.36,963200,0.0,0.0
2025-03-05 00:00:00-05:00,141.38,142.79,139.44,140.0,1067800,0.0,0.0
2025-03-04 00:00:00-05:00,141.86,144.43,139.17,141.61,1318400,0.0,0.0
2025-03-03 00:00:00-05:00,148.19,149.06,142.75,143.1,1306700,0.0,0.0
2025-02-28 00:00:00-05:00,145.98,148.26,144.36,147.88,1257400,0.0,0.0
2025-02-27 00:00:00-05:00,146.62,147.99,145.41,146.74,744900,0.0,0.0
2025-02-26 00:00:00-05:00,142.53,146.9,142.53,145.95,1148700,0.0,0.0
2025-02-25 00:00:00-05:00,142.5,143.8,140.56,142.98,1203200,0.0,0.0
2025-02-24 00:00:00-05:00,143.2,143.2,140.48,142.04,1069100,0.0,0.0
2025-02-21 00:00:00-05:00,144.38,144.76,141.0,142.4,1605100,0.0,0.0
2025-02-20 00:00:00-05:00,153.8,154.54,144.0,145.92,2301500,0.0,0.0
2025-02-19 00:00:00-05:00,153.84,155.64,152.47,154.96,1235200,0.0,0.0
2025-02-18 00:00:00-05:00,158.01,158.21,153.0,155.05,1737000,0.0,0.0
2025-02-14 00:00:00-05:00,154.0,159.27,150.11,157.42,5110800,0.0,0.0
2025-02-13 00:00:00-05:00,172.79,178.38,172.52,177.06,1013400,0.0,0.0
2025-02-12 00:00:00-05:00,171.89,172.91,170.85,172.0,574700,0.0,0.0
2025-02-11 00:00:00-05:00,173.4,174.26,172.11,173.75,451200,0.0,0.0
2025-02-10 00:00:00-05:00,173.58,174.49,170.12,173.52,597500,0.0,0.0
2025-02-07 00:00:00-05:00,171.14,174.6,170.81,173.58,593000,0.0,0.0
2025-02-06 00:00:00-05:00,176.41,177.64,169.36,172.07,824800,0.0,0.0
2025-02-05 00:00:00-05:00,178.47,178.47,176.26,176.86,508100,0.0,0.0
2025-02-04 00:00:00-05:00,175.25,178.32,175.25,177.35,493800,0.0,0.0
2025-02-03 00:00:00-05:00,174.1,178.18,173.4,177.06,817500,0.0,0.0
2025-01-31 00:00:00-05:00,176.64,179.6,176.09,176.2,508400,0.0,0.0
2025-01-30 00:00:00-05:00,173.93,177.94,173.93,176.5,551500,0.0,0.0
2025-01-29 00:00:00-05:00,173.34,176.82,173.07,173.77,578900,0.0,0.0
2025-01-28 00:00:00-05:00,175.33,178.75,172.33,173.21,658800,0.0,0.0
2025-01-27 00:00:00-05:00,170.0,176.48,170.0,175.53,639400,0.0,0.0
2025-01-24 00:00:00-05:00,169.45,170.31,168.82,170.28,467400,0.0,0.0
2025-01-23 00:00:00-05:00,169.49,170.07,167.57,169.9,411500,0.0,0.0
2025-01-22 00:00:00-05:00,170.47,170.8,167.99,168.45,462400,0.0,0.0
2025-01-21 00:00:00-05:00,167.33,170.29,167.0,169.97,495000,0.0,0.0
2025-01-17 00:00:00-05:00,164.9,166.5,164.02,166.24,429800,0.0,0.0
2025-01-16 00:00:00-05:00,163.0,165.43,161.76,164.85,381000,0.0,0.0
