Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-25 00:00:00-05:00,3.82,3.85,3.77,3.8,259863,0.0,0.0
2025-11-24 00:00:00-05:00,3.83,3.86,3.78,3.81,338607,0.0,0.0
2025-11-21 00:00:00-05:00,3.72,3.84,3.71,3.82,498080,0.0,0.0
2025-11-20 00:00:00-05:00,3.88,3.91,3.71,3.72,768500,0.0,0.0
2025-11-19 00:00:00-05:00,4.02,4.05,3.85,3.86,597400,0.0,0.0
2025-11-18 00:00:00-05:00,4.06,4.11,4.02,4.06,552000,0.0,0.0
2025-11-17 00:00:00-05:00,4.25,4.3,4.06,4.07,478700,0.0,0.0
2025-11-14 00:00:00-05:00,4.32,4.32,4.23,4.26,632200,0.0,0.0
2025-11-13 00:00:00-05:00,4.41,4.45,4.32,4.34,711900,0.0,0.0
2025-11-12 00:00:00-05:00,4.5,4.55,4.38,4.39,507800,0.0,0.0
2025-11-11 00:00:00-05:00,4.48,4.6,4.48,4.59,249200,0.0,0.0
2025-11-10 00:00:00-05:00,4.48,4.49,4.43,4.45,260000,0.0,0.0
2025-11-07 00:00:00-05:00,4.39,4.47,4.38,4.45,271700,0.0,0.0
2025-11-06 00:00:00-05:00,4.38,4.42,4.35,4.36,231500,0.0,0.0
2025-11-05 00:00:00-05:00,4.42,4.42,4.35,4.38,188300,0.0,0.0
2025-11-04 00:00:00-05:00,4.38,4.41,4.33,4.38,289200,0.0,0.0
2025-11-03 00:00:00-05:00,4.37,4.44,4.31,4.42,364800,0.0,0.0
2025-10-31 00:00:00-04:00,4.4,4.44,4.37,4.38,333900,0.0,0.0
2025-10-30 00:00:00-04:00,4.4,4.46,4.39,4.41,338100,0.0,0.0
2025-10-29 00:00:00-04:00,4.44,4.51,4.4,4.41,309000,0.0,0.0
2025-10-28 00:00:00-04:00,4.52,4.54,4.41,4.43,244500,0.0,0.0
2025-10-27 00:00:00-04:00,4.56,4.58,4.51,4.51,291900,0.0,0.0
2025-10-24 00:00:00-04:00,4.6,4.67,4.51,4.55,179400,0.0,0.0
2025-10-23 00:00:00-04:00,4.58,4.62,4.56,4.57,194800,0.0,0.0
2025-10-22 00:00:00-04:00,4.49,4.54,4.47,4.51,329000,0.0,0.0
2025-10-21 00:00:00-04:00,4.53,4.55,4.47,4.47,284700,0.0,0.0
2025-10-20 00:00:00-04:00,4.54,4.6,4.46,4.51,278300,0.0,0.0
2025-10-17 00:00:00-04:00,4.53,4.56,4.46,4.53,329600,0.0,0.0
2025-10-16 00:00:00-04:00,4.72,4.73,4.5,4.54,513700,0.0,0.0
2025-10-15 00:00:00-04:00,4.73,4.74,4.64,4.71,408500,0.0,0.0
2025-10-14 00:00:00-04:00,4.74,4.74,4.63,4.66,213700,0.0,0.0
2025-10-13 00:00:00-04:00,4.73,4.8,4.66,4.79,222400,0.0,0.0
2025-10-10 00:00:00-04:00,4.86,4.94,4.65,4.66,706300,0.0,0.0
2025-10-09 00:00:00-04:00,4.86,4.93,4.8,4.93,221300,0.0,0.0
2025-10-08 00:00:00-04:00,4.84,4.88,4.82,4.85,224400,0.0,0.0
2025-10-07 00:00:00-04:00,4.84,4.88,4.8,4.83,250000,0.0,0.0
2025-10-06 00:00:00-04:00,4.99,5.03,4.78,4.81,508900,0.0,0.0
2025-10-03 00:00:00-04:00,4.89,4.95,4.85,4.91,284200,0.0,0.0
2025-10-02 00:00:00-04:00,4.88,4.9,4.79,4.84,251300,0.0,0.0
2025-10-01 00:00:00-04:00,4.81,4.93,4.77,4.88,219600,0.0,0.0
2025-09-30 00:00:00-04:00,4.9,4.94,4.78,4.82,319700,0.0,0.0
2025-09-29 00:00:00-04:00,4.98,4.98,4.85,4.88,247900,0.0,0.0
2025-09-26 00:00:00-04:00,4.96,5.06,4.9,4.98,200800,0.0,0.0
2025-09-25 00:00:00-04:00,5.08,5.1,4.89,4.94,224700,0.0,0.0
2025-09-24 00:00:00-04:00,4.91,5.09,4.91,5.08,286800,0.0,0.0
2025-09-23 00:00:00-04:00,4.88,5.02,4.85,4.9,253100,0.0,0.0
2025-09-22 00:00:00-04:00,5.05,5.13,4.88,4.88,359200,0.12,0.0
2025-09-19 00:00:00-04:00,5.35,5.37,5.16,5.18,403400,0.0,0.0
2025-09-18 00:00:00-04:00,5.38,5.4,5.32,5.35,226400,0.0,0.0
2025-09-17 00:00:00-04:00,5.42,5.57,5.28,5.35,576800,0.0,0.0
2025-09-16 00:00:00-04:00,5.22,5.39,5.22,5.38,878700,0.0,0.0
2025-09-15 00:00:00-04:00,5.15,5.23,5.13,5.15,220800,0.0,0.0
2025-09-12 00:00:00-04:00,5.13,5.16,5.08,5.1,103600,0.0,0.0
2025-09-11 00:00:00-04:00,5.06,5.12,5.04,5.12,113300,0.0,0.0
2025-09-10 00:00:00-04:00,5.01,5.12,5.01,5.11,92900,0.0,0.0
2025-09-09 00:00:00-04:00,5.03,5.11,5.0,5.0,108400,0.0,0.0
2025-09-08 00:00:00-04:00,4.91,5.09,4.91,5.05,202500,0.0,0.0
2025-09-05 00:00:00-04:00,4.93,4.98,4.89,4.96,115800,0.0,0.0
2025-09-04 00:00:00-04:00,4.89,4.97,4.87,4.97,133200,0.0,0.0
2025-09-03 00:00:00-04:00,5.01,5.02,4.85,4.87,185000,0.0,0.0
2025-09-02 00:00:00-04:00,5.05,5.09,5.02,5.06,107000,0.0,0.0
2025-08-29 00:00:00-04:00,5.03,5.11,5.03,5.04,207300,0.0,0.0
2025-08-28 00:00:00-04:00,4.98,5.01,4.95,5.01,107100,0.0,0.0
2025-08-27 00:00:00-04:00,4.99,5.03,4.98,4.98,101200,0.0,0.0
2025-08-26 00:00:00-04:00,4.98,4.99,4.93,4.97,107300,0.0,0.0
2025-08-25 00:00:00-04:00,4.93,5.01,4.93,4.99,142100,0.0,0.0
2025-08-22 00:00:00-04:00,4.89,5.0,4.85,4.96,261300,0.0,0.0
2025-08-21 00:00:00-04:00,4.76,4.89,4.75,4.88,136900,0.0,0.0
2025-08-20 00:00:00-04:00,4.74,4.82,4.74,4.78,116100,0.0,0.0
2025-08-19 00:00:00-04:00,4.91,4.96,4.73,4.74,226900,0.0,0.0
2025-08-18 00:00:00-04:00,4.87,4.99,4.86,4.93,158000,0.0,0.0
2025-08-15 00:00:00-04:00,4.92,4.94,4.87,4.9,140500,0.0,0.0
2025-08-14 00:00:00-04:00,4.92,4.92,4.83,4.91,100000,0.0,0.0
2025-08-13 00:00:00-04:00,4.94,4.97,4.9,4.96,136700,0.0,0.0
2025-08-12 00:00:00-04:00,4.81,4.96,4.81,4.93,196000,0.0,0.0
2025-08-11 00:00:00-04:00,4.69,4.82,4.65,4.82,153300,0.0,0.0
2025-08-08 00:00:00-04:00,4.65,4.71,4.6,4.69,116700,0.0,0.0
2025-08-07 00:00:00-04:00,4.78,4.83,4.6,4.6,128100,0.0,0.0
2025-08-06 00:00:00-04:00,4.69,4.83,4.69,4.72,180100,0.0,0.0
2025-08-05 00:00:00-04:00,4.56,4.67,4.53,4.67,204200,0.0,0.0
2025-08-04 00:00:00-04:00,4.53,4.58,4.49,4.54,148900,0.0,0.0
2025-08-01 00:00:00-04:00,4.74,4.74,4.53,4.54,175800,0.0,0.0
2025-07-31 00:00:00-04:00,4.72,4.81,4.69,4.72,122800,0.0,0.0
2025-07-30 00:00:00-04:00,4.91,4.91,4.75,4.77,89500,0.0,0.0
2025-07-29 00:00:00-04:00,4.98,4.98,4.86,4.9,177600,0.0,0.0
2025-07-28 00:00:00-04:00,4.97,5.02,4.93,4.96,163000,0.0,0.0
2025-07-25 00:00:00-04:00,4.92,4.96,4.86,4.95,156200,0.0,0.0
2025-07-24 00:00:00-04:00,4.81,4.92,4.8,4.92,286500,0.0,0.0
2025-07-23 00:00:00-04:00,4.78,4.83,4.77,4.8,199600,0.0,0.0
2025-07-22 00:00:00-04:00,4.65,4.83,4.65,4.76,248200,0.0,0.0
2025-07-21 00:00:00-04:00,4.68,4.71,4.58,4.63,248300,0.0,0.0
2025-07-18 00:00:00-04:00,4.74,4.74,4.66,4.66,150200,0.0,0.0
2025-07-17 00:00:00-04:00,4.66,4.74,4.64,4.7,126300,0.0,0.0
2025-07-16 00:00:00-04:00,4.68,4.73,4.62,4.66,163400,0.0,0.0
2025-07-15 00:00:00-04:00,4.74,4.74,4.66,4.66,125600,0.0,0.0
2025-07-14 00:00:00-04:00,4.71,4.74,4.67,4.73,116000,0.0,0.0
2025-07-11 00:00:00-04:00,4.67,4.74,4.64,4.71,74500,0.0,0.0
2025-07-10 00:00:00-04:00,4.71,4.74,4.67,4.7,141700,0.0,0.0
2025-07-09 00:00:00-04:00,4.81,4.83,4.68,4.72,157400,0.0,0.0
2025-07-08 00:00:00-04:00,4.67,4.91,4.65,4.8,248400,0.0,0.0
