Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-21 00:00:00-05:00,6.75,6.95,6.04,6.11,1754400,0.0,0.0
2025-11-20 00:00:00-05:00,7.35,7.77,6.86,6.87,887800,0.0,0.0
2025-11-19 00:00:00-05:00,7.41,7.65,7.04,7.07,731400,0.0,0.0
2025-11-18 00:00:00-05:00,7.26,7.75,7.25,7.34,766500,0.0,0.0
2025-11-17 00:00:00-05:00,7.33,7.53,7.19,7.4,646900,0.0,0.0
2025-11-14 00:00:00-05:00,7.0,7.6,6.72,7.53,1463800,0.0,0.0
2025-11-13 00:00:00-05:00,8.24,8.24,7.36,7.51,1511100,0.0,0.0
2025-11-12 00:00:00-05:00,8.08,8.45,7.86,8.36,1177700,0.0,0.0
2025-11-11 00:00:00-05:00,8.35,8.35,7.84,7.99,1115200,0.0,0.0
2025-11-10 00:00:00-05:00,8.82,8.84,8.04,8.32,1263000,0.0,0.0
2025-11-07 00:00:00-05:00,8.06,8.63,7.9,8.63,1270000,0.0,0.0
2025-11-06 00:00:00-05:00,9.01,9.15,8.08,8.39,1608900,0.0,0.0
2025-11-05 00:00:00-05:00,8.8,9.02,8.03,8.98,1692600,0.0,0.0
2025-11-04 00:00:00-05:00,9.1,9.39,8.73,8.76,2265700,0.0,0.0
2025-11-03 00:00:00-05:00,8.95,9.73,8.28,9.7,3482700,0.0,0.0
2025-10-31 00:00:00-04:00,10.0,10.53,8.96,9.09,6022100,0.0,0.0
2025-10-30 00:00:00-04:00,11.37,12.63,10.4,11.06,8078400,0.0,0.0
2025-10-29 00:00:00-04:00,11.76,13.3,10.7,11.6,9443500,0.0,0.0
2025-10-28 00:00:00-04:00,11.65,12.2,11.01,11.43,6121400,0.0,0.0
2025-10-27 00:00:00-04:00,10.0,13.13,9.9,12.05,21303500,0.0,0.0
2025-10-24 00:00:00-04:00,10.79,11.68,9.15,9.23,7805000,0.0,0.0
2025-10-23 00:00:00-04:00,12.13,12.13,10.62,11.42,9050200,0.0,0.0
2025-10-22 00:00:00-04:00,10.19,13.7,10.11,12.89,27602300,0.0,0.0
2025-10-21 00:00:00-04:00,15.68,17.14,10.59,10.86,61718900,0.0,0.0
2025-10-20 00:00:00-04:00,7.5,18.15,7.34,12.97,115841100,0.0,0.0
2025-10-17 00:00:00-04:00,4.82,5.1,4.8,5.08,421300,0.0,0.0
2025-10-16 00:00:00-04:00,5.41,5.5,4.81,4.95,453500,0.0,0.0
2025-10-15 00:00:00-04:00,4.67,5.36,4.6,5.31,608800,0.0,0.0
2025-10-14 00:00:00-04:00,4.62,4.8,4.51,4.65,208200,0.0,0.0
2025-10-13 00:00:00-04:00,4.73,4.83,4.56,4.83,131200,0.0,0.0
2025-10-10 00:00:00-04:00,4.91,5.03,4.54,4.56,169300,0.0,0.0
2025-10-09 00:00:00-04:00,5.01,5.01,4.71,4.91,192300,0.0,0.0
2025-10-08 00:00:00-04:00,4.69,5.05,4.54,5.01,391900,0.0,0.0
2025-10-07 00:00:00-04:00,4.87,4.96,4.57,4.62,315500,0.0,0.0
2025-10-06 00:00:00-04:00,5.0,5.15,4.71,4.82,584000,0.0,0.0
2025-10-03 00:00:00-04:00,4.19,4.97,4.05,4.91,806100,0.0,0.0
2025-10-02 00:00:00-04:00,4.1,4.31,4.01,4.17,219500,0.0,0.0
2025-10-01 00:00:00-04:00,3.75,4.05,3.7,4.03,160300,0.0,0.0
2025-09-30 00:00:00-04:00,3.72,3.75,3.59,3.68,85400,0.0,0.0
2025-09-29 00:00:00-04:00,3.85,3.92,3.57,3.72,236600,0.0,0.0
2025-09-26 00:00:00-04:00,3.82,3.93,3.78,3.84,65300,0.0,0.0
2025-09-25 00:00:00-04:00,3.96,3.96,3.74,3.81,205900,0.0,0.0
2025-09-24 00:00:00-04:00,3.92,4.13,3.92,4.01,170300,0.0,0.0
2025-09-23 00:00:00-04:00,3.87,3.99,3.73,3.96,278100,0.0,0.0
2025-09-22 00:00:00-04:00,3.67,3.86,3.65,3.82,170700,0.0,0.0
2025-09-19 00:00:00-04:00,3.74,3.75,3.59,3.66,254900,0.0,0.0
2025-09-18 00:00:00-04:00,3.45,3.69,3.45,3.68,168400,0.0,0.0
2025-09-17 00:00:00-04:00,3.4,3.48,3.32,3.41,143300,0.0,0.0
2025-09-16 00:00:00-04:00,3.43,3.47,3.23,3.39,81000,0.0,0.0
2025-09-15 00:00:00-04:00,3.38,3.47,3.38,3.42,152300,0.0,0.0
2025-09-12 00:00:00-04:00,3.33,3.39,3.24,3.37,124500,0.0,0.0
2025-09-11 00:00:00-04:00,3.01,3.33,3.01,3.32,146000,0.0,0.0
